Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0	0	0.07644	0	0.25248	0	0.12897	0	0	0.54212
V2	0.39335	0.01677	0.20583	0	0.05886	0.32519	0	0	0	0
V3	0	0.02269	0.10241	0	0.49577	0.02412	0.24071	0	0.1143	0
V4	0	0	0	0	0.2626	0	0.28258	0	0.45483	0
V5	0	0.14079	0.14807	0	0.03272	0.06649	0.18112	0	0	0.43081
V6	0	0.03919	0.09281	0	0.58781	0.03071	0.10221	0	0.14728	0
V7	0	0.43207	0	0	0.31397	0	0.20068	0	0.05327	0
V8	0	0.50485	0	0	0.14456	0	0.256	0.0746	0.01998	0
V9	0	0	0.11222	0	0.1698	0.02663	0.47414	0.21608	0.00112	0
V10	0	0	0	0	0.63628	0.00079	0.19637	0	0.16656	0
V11	0	0.48119	0	0	0.13532	0	0.27538	0.05456	0.05356	0
V12	0	0	0.3499	0.28707	0.05078	0.05736	0.2277	0	0.0167	0.01049
V13	0	0	0.15113	0	0.19666	0.11263	0.53423	0	0.00535	0
V14	0	0.41664	0.17536	0	0.10524	0	0.30276	0	0	0
V15	0.00796	0	0.44694	0.40826	0	0.09036	0.04648	0	0	0
V16	0	0.03193	0.35788	0.278	0.03314	0.0541	0.16655	0	0.0784	0
V17	0	0.12106	0.06087	0	0.1246	0.05703	0.22367	0	0	0.41278
V18	0	0.07184	0.26973	0.18411	0	0.02481	0.12711	0	0	0.3224
V19	0	0	0.12374	0	0	0.1086	0.13555	0	0	0.63211
V20	0	0.04261	0.04722	0	0.19854	0	0.71164	0	0	0
V21	0	0.40751	0.02219	0	0.11593	0.21766	0.2367	0	0	0
V22	0	0	0.01258	0	0.12276	0	0.27864	0.11319	0.02809	0.44474
V23	0.09055	0.03903	0.70226	0	0.02378	0.08046	0	0	0	0.06392
V24	0	0.54048	0	0	0.16007	0	0.24962	0	0.04983	0
V25	0	0.07056	0.03625	0	0.24315	0.09252	0.22231	0	0.16625	0.16895
V26	0	0	0	0	0.19552	0	0.30917	0.49531	0	0
V27	0	0	0	0	0.49197	0	0.11004	0	0.1242	0.27379
V28	0.13606	0	0.19149	0	0	0.08501	0.04032	0	0	0.54712
V29	0	0.6619	0	0	0.11222	0	0.22588	0	0	0
V30	0	0	0.06952	0	0.19333	0.18363	0.46468	0	0.08885	0
V31	0	0.31894	0.11801	0	0.19189	0	0.24216	0.07836	0.05064	0
V32	0.18159	0.04036	0.16528	0	0.3838	0.09845	0	0	0.13051	0
V33	0	0	0.40659	0.23341	0.0016	0.05211	0.30629	0	0	0
V34	0	0.00457	0.00183	0	0.34663	0	0.1442	0	0.09166	0.41112
V35	0	0.81519	0	0	0.0638	0	0.121	0	0	0
V36	0	0	0.07064	0	0.12865	0.03285	0.76786	0	0	0
V37	0	0.40558	0	0	0.15679	0	0.43763	0	0	0
V38	0	0	0.26693	0	0.06132	0.05532	0.61643	0	0	0
V39	0	0	0.22945	0	0.10744	0.04327	0.61984	0	0	0
V40	0	0.03249	0.70937	0	0.1405	0.08814	0	0	0.0295	0
V41	0.3291	0.08339	0.20798	0	0.12664	0.04404	0	0	0.20886	0
V42	0	0.54893	0	0	0.31362	0	0.07451	0	0.06294	0
V43	0	0	0.19414	0	0.30122	0.04162	0.35732	0	0.1057	0
V44	0	0	0.48877	0	0.1144	0.09113	0.15026	0.09821	0.05724	0
V45	0	0	0	0	0.22613	0	0.42718	0	0.34669	0
V46	0	0.14905	0.32437	0.11245	0	0.04365	0.08038	0	0	0.2901
V47	0	0	0.04638	0	0.108	0.03149	0.81413	0	0	0
V48	0	0.0051	0.08361	0	0.01891	0	0.19766	0	0	0.69473
V49	0	0	0.0552	0	0.21604	0.03081	0.25227	0.44567	0	0
V50	0.00764	0.21793	0.17747	0	0.1	0.43977	0.05719	0	0	0
V51	0	0.02748	0.62796	0	0.14376	0.1149	0	0	0.08589	0
V52	0	0	0.3479	0.07228	0.0326	0.05137	0.49585	0	0	0
V53	0.21632	0.05779	0.36966	0	0.03998	0.1121	0.05688	0	0.00263	0.14464
V54	0	0	0	0	0.27534	0.52684	0.19782	0	0	0
V55	0	0	0.33333	0.42184	0.03477	0.03585	0.1695	0	0.00472	0
V56	0	0.0387	0.59267	0	0.13482	0.22644	0	0	0.00736	0
V57	0	0.0206	0.60622	0.05784	0.02922	0.10546	0.0739	0	0.10678	0
V58	0	0.16982	0.14931	0	0.07254	0.3687	0.23963	0	0	0
V59	0	0	0.06268	0	0.12619	0.02061	0.79052	0	0	0
V60	0.5303	0.01583	0.19475	0	0.12869	0.01607	0	0	0.11436	0
V61	0	0	0.02669	0	0.105	0.67193	0.19639	0	0	0
V62	0	0	0.07746	0	0.15357	0.03029	0.5524	0	0	0.18627
V63	0	0.17254	0	0	0.2643	0.33268	0.23049	0	0	0
V64	0	0.00739	0.45565	0.08279	0.054	0.10641	0.18694	0.04939	0.05744	0
V65	0	0.00156	0.27801	0.10198	0.08992	0.0305	0.33688	0.04618	0.11496	0
V66	0	0	0	0	0.65803	0	0.13618	0	0.20579	0
V67	0	0.1603	0.44087	0	0.09953	0.06933	0.186	0	0.04397	0
V68	0	0	0	0	0.21819	0	0.27185	0.11795	0.392	0
V69	0	0.03033	0.82103	0	0.03085	0.10441	0	0	0.01339	0
V70	0.50145	0.02855	0.29655	0	0.04499	0.08957	0	0	0.0389	0
V71	0	0	0	0	0.18354	0	0.29916	0.51729	0	0
V72	0.01943	0.0575	0.32488	0.1218	0.17934	0.07239	0.02464	0	0.04363	0.15639
V73	0	0.03302	0	0	0.71488	0	0.06883	0	0.18327	0
V74	0	0	0.20165	0.09435	0	0.07313	0.11225	0	0	0.51862
V75	0	0.05934	0.3487	0.18148	0.06104	0.01871	0.17927	0	0.15145	0
V76	0	0	0	0	0.09309	0.70444	0.20247	0	0	0
V77	0	0	0.25038	0.0311	0.02399	0.24965	0.44488	0	0	0
V78	0	0.33007	0.01628	0	0.1906	0	0.46305	0	0	0
V79	0	0.01729	0.21998	0.02449	0.09302	0.20983	0.26384	0	0.17155	0
V80	0.23665	0.01184	0.22163	0	0.01204	0.04947	0.04936	0	0	0.41902
V81	0	0.00747	0.10203	0	0.22265	0.4566	0.21125	0	0	0
V82	0	0.56154	0.21717	0	0.0064	0	0.21489	0	0	0
V83	0	0.03216	0.29757	0.21394	0.06588	0.02939	0.26951	0.05625	0.0353	0
V84	0	0	0.03537	0	0.19779	0.4189	0.34794	0	0	0
V85	0.04317	0	0.64854	0	0	0.0685	0	0	0	0.23979
V86	0.08626	0	0.58246	0.24876	0	0.08252	0	0	0	0
V87	0	0	0	0	0.2479	0	0.19444	0	0.55766	0
V88	0	0.30107	0.26892	0.25505	0	0	0.17496	0	0	0
V89	0	0	0.06311	0	0.1183	0.02451	0.79407	0	0	0
V90	0	0.06314	0.4399	0	0.04545	0.09065	0.04981	0	0	0.31105
V91	0	0.02074	0.80643	0	0.0455	0.10582	0	0	0.02151	0
V92	0	0	0.03989	0	0.14112	0.01938	0.79961	0	0	0
V93	0	0	0.03068	0	0.23862	0	0.41256	0	0.31814	0
V94	0.69702	0	0.23634	0	0	0.06664	0	0	0	0
V95	0	0	0.00021	0	0.17244	0.00361	0.70937	0.11437	0	0
V96	0	0.12074	0.48709	0.18906	0.00355	0.06763	0.10528	0	0.02664	0
V97	0	0	0.05389	0	0.13585	0.03282	0.77745	0	0	0
V98	0	0.21321	0.00533	0	0.31113	0	0.27951	0	0.19082	0
V99	0.27053	0	0.21034	0	0.16586	0.05733	0.07987	0	0.21608	0
V100	0	0.05526	0.30811	0.00453	0.09597	0.31584	0.16326	0	0.05704	0
V101	0	0	0.07004	0	0.03021	0.09545	0.3463	0	0	0.458
V102	0	0.13406	0.00169	0	0.24325	0.21333	0.40767	0	0	0
V103	0	0	0	0	0.25107	0	0.19734	0	0.55159	0
V104	0	0.01759	0.81335	0	0.03369	0.10176	0	0	0.0336	0
V105	0.03304	0.00209	0.28281	0	0.17882	0.24653	0.13387	0.12283	0	0
V106	0	0.66045	0.1299	0	0.09451	0	0.11514	0	0	0
V107	0	0.23396	0.10874	0	0.39396	0.01138	0.08453	0	0.16743	0
V108	0	0	0.15953	0	0.08704	0.40841	0.2048	0	0	0.14021
V109	0	0	0	0	0.11681	0.6608	0.22239	0	0	0
V110	0	0.02224	0	0	0.6964	0	0.0887	0	0.19265	0
V111	0	0	0.03765	0	0.19615	0.01637	0.74982	0	0	0
V112	0	0	0.04931	0	0.20124	0.03548	0.71397	0	0	0
V113	0	0	0	0	0.23429	0	0.26801	0	0.4977	0
V114	0	0	0	0	0.23214	0	0.19853	0	0.56933	0
V115	0	0.81175	0	0	0.07298	0	0.11527	0	0	0
V116	0.14547	0.09829	0.19117	0	0.17367	0.08844	0.13207	0.16766	0.00323	0
V117	0	0	0.05318	0	0.10578	0.02395	0.81708	0	0	0
V118	0	0	0	0	0.09926	0.69777	0.20297	0	0	0
V119	0	0.00179	0.289	0.23794	0.04858	0.16339	0.22536	0	0.03394	0
V120	0.47902	0	0.40715	0	0	0.11383	0	0	0	0
V121	0	0.00359	0.273	0	0.16153	0.12482	0.43706	0	0	0
V122	0	0	0.07314	0	0.22496	0	0.34928	0	0.35262	0
V123	0	0	0	0	0.45895	0	0.21771	0.19154	0.1318	0
V124	0.48026	0.09096	0.2065	0	0.06331	0.097	0.02646	0.0355	0	0
V125	0	0.08012	0.04623	0	0.21776	0.07053	0.35208	0.22852	0.00475	0
V126	0	0.06523	0	0	0.65634	0	0.08523	0	0.1932	0
V127	0	0	0.49243	0	0.12128	0.07332	0.25123	0	0.06175	0
V128	0	0.17792	0.3028	0	0.32831	0.06248	0.06054	0	0.06794	0
V129	0	0.06636	0.17465	0	0.18504	0	0.22476	0	0.34918	0
V130	0	0	0.38537	0	0.14097	0.07059	0.18452	0.17539	0.04316	0
V131	0	0.39531	0.40796	0	0.05301	0.00458	0.11494	0	0.0242	0
V132	0	0	0.10246	0	0.18281	0.0352	0.67953	0	0	0
V133	0	0	0.11181	0	0.14923	0.10817	0.38584	0.24496	0	0
V134	0	0	0.22757	0	0.34615	0.03956	0.27735	0	0.08614	0.02323
V135	0	0.11407	0.08301	0	0.22439	0	0.19827	0	0.38026	0
V136	0	0.64421	0.09606	0	0.07427	0	0.16211	0	0.02335	0
V137	0	0	0.02715	0	0.15895	0.25269	0.56121	0	0	0
V138	0	0	0.06458	0	0.21237	0.03309	0.65728	0	0	0.03268
V139	0.29672	0.03241	0.20023	0	0.1895	0.12109	0	0	0.16003	0
V140	0	0	0.49458	0.25997	0.03217	0.11494	0.08745	0	0.01089	0
V141	0	0	0.34361	0.48031	0	0.06894	0.10715	0	0	0
V142	0	0	0.23373	0	0.04399	0.04237	0.67991	0	0	0
V143	0	0.79177	0	0	0.08528	0	0.12295	0	0	0
V144	0	0	0.0286	0	0.09793	0.28686	0.58661	0	0	0
V145	0	0.07896	0.30249	0.24321	0.0374	0.04304	0.26701	0.00026	0.02763	0
V146	0	0	0.46581	0	0.10287	0.12716	0.13402	0	0.04999	0.12016
V147	0	0	0	0	0.32643	0	0.18788	0	0.48569	0
V148	0	0	0	0	0.22809	0	0.26166	0	0.51024	0
V149	0	0	0.29164	0.28321	0.03882	0.01524	0.23858	0	0.13251	0
V150	0	0.00025	0.11088	0	0.12585	0.00114	0.15029	0	0	0.6116
V151	0	0	0.09324	0	0	0.08702	0.10859	0	0	0.71114
V152	0	0	0	0	0.19952	0	0.3045	0.47119	0.02479	0
V153	0	0.01679	0	0	0.68818	0	0.10318	0	0.19184	0
V154	0	0.03373	0.68164	0.15035	0	0.12954	0	0	0.00473	0
V155	0	0	0	0	0.19998	0.04428	0.3185	0.26235	0.17489	0
V156	0	0.00327	0.21072	0	0.16561	0.39774	0.21092	0	0.01175	0
V157	0	0.38196	0	0	0.28306	0.09435	0.22756	0	0.01307	0
V158	0	0.65796	0.13718	0	0.15058	0	0.05427	0	0	0
V159	0	0.0482	0.22906	0	0.39367	0.08025	0.11584	0	0.13298	0
V160	0	0.85204	0	0	0.06665	0	0.08131	0	0	0
V161	0	0	0.34577	0.49083	0	0.04511	0.11829	0	0	0
V162	0	0	0.0636	0	0	0	0.08738	0	0	0.84902
V163	0	0.02684	0.80448	0	0.04054	0.1215	0	0	0.00664	0
V164	0	0.01908	0.79769	0	0.03626	0.13019	0	0	0.01678	0
V165	0	0	0.38371	0	0.03468	0.06405	0.05992	0	0	0.45765
V166	0	0.07186	0.31337	0.30148	0.02685	0.02293	0.21545	0	0.04806	0
V167	0.74038	0.01769	0.22597	0	0.00046	0.00685	0	0	0.00866	0
V168	0	0	0	0	0.20748	0.19649	0.33097	0.14576	0.1193	0
V169	0	0	0.21648	0	0	0.22165	0.17838	0	0	0.3835
V170	0	0	0	0	0.22501	0	0.19092	0	0.58407	0
V171	0	0	0.22576	0	0.15559	0.32868	0.24494	0	0.04504	0
V172	0	0	0.04137	0	0.13303	0.12681	0.6988	0	0	0
V173	0	0	0.05623	0	0.15611	0.0543	0.62374	0	0	0.10963
V174	0	0.06906	0.37685	0.16364	0.13474	0.07001	0.12786	0	0.05785	0
V175	0.68977	0	0.30314	0	0	0.00709	0	0	0	0
V176	0	0	0.11005	0	0.13352	0.61991	0.13652	0	0	0
V177	0.56747	0.00239	0.28991	0.00989	0	0.05112	0	0	0	0.07922
V178	0	0	0.15416	0	0.16378	0.58118	0.10088	0	0	0
V179	0	0.06786	0.02106	0	0.72877	0.0139	0	0	0.16841	0
V180	0.23568	0.14387	0.3618	0.19389	0	0.06476	0	0	0	0
V181	0	0.14551	0.56124	0	0.10414	0.07879	0.10422	0	0.00609	0
V182	0	0	0	0	0.41404	0	0.26161	0.19088	0.13348	0
V183	0	0.10534	0.30561	0.27783	0.00446	0.00782	0.29893	0	0	0
V184	0	0	0.15375	0	0.13696	0.59558	0.11233	0	0	0.00137
V185	0.37356	0.05742	0.34992	0.04973	0	0.0993	0.01456	0	0.05551	0
V186	0.67477	0.00015	0.28366	0.00815	0	0.03327	0	0	0	0
V187	0.57955	0.00564	0.32072	0	0.01947	0.04072	0	0	0.0339	0
V188	0	0.163	0.02009	0	0.58156	0	0.09304	0	0.1423	0
V189	0.72008	0	0.25129	0	0	0.02863	0	0	0	0
V190	0	0	0	0	0.26408	0	0.2545	0	0.48142	0
V191	0	0.04166	0.24426	0.083	0.32639	0.02652	0.18358	0	0.09458	0
V192	0	0	0.04521	0	0.26653	0	0.14423	0	0.00877	0.53527
V193	0	0.0179	0.3794	0.08311	0.15839	0.0606	0.26827	0	0.03232	0
V194	0	0	0	0	0.10153	0.57233	0.32614	0	0	0
V195	0	0	0.05085	0	0.20275	0.11113	0.63527	0	0	0
V196	0.5995	0	0.29306	0.09404	0	0.01339	0	0	0	0
V197	0	0	0.11423	0	0.16299	0	0.33441	0.1817	0.20668	0
V198	0	0.01185	0	0	0.54783	0.13827	0.1837	0	0.11835	0
V199	0	0	0.07837	0	0.37097	0.02512	0.26009	0	0.05624	0.2092
V200	0	0	0	0	0.47639	0.06101	0.42164	0	0.04096	0
V201	0	0	0.11539	0	0.24279	0	0.26133	0	0.38049	0
V202	0	0.27487	0.41643	0	0.09124	0.00935	0.18251	0	0.0256	0
V203	0	0.06151	0.41116	0	0.0978	0.04242	0.2362	0	0.1509	0
