Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.01935	0.02068	0.02031	0.02139	0.12673	0	0.06504	0.00874	0.00299	0.71476
V2	0.56008	0.01031	0.08599	0.02163	0.00622	0.2231	0.08874	0.00392	0	0
V3	0.07346	0.05824	0.07364	0.02753	0.34174	0.00582	0.1552	0.11871	0.13143	0.01424
V4	0	0.08233	0.03284	0.00738	0.07345	0.06491	0.08358	0.03606	0.45592	0.16353
V5	0.00408	0.11644	0.0319	0.09859	0	0.05776	0.07734	0.0057	0	0.60818
V6	0	0.08024	0.131	0.03597	0.4853	0.01495	0.04796	0.04725	0.1536	0.00372
V7	0	0.51377	0	0	0.21586	0	0.10459	0.05643	0.10936	0
V8	0	0.54756	0.02385	0	0.00271	0.02195	0.07655	0.22641	0.10097	0
V9	0	0	0.07192	0.11224	0.03999	0.0251	0.3162	0.36049	0.07406	0
V10	0	0.08415	0	0	0.53682	0.04619	0.06937	0.11266	0.15081	0
V11	0	0.53644	0	0	0.00581	0.0429	0.0778	0.2075	0.12955	0
V12	0.01348	0.00947	0.17529	0.45322	0.01475	0	0.16478	0	0.03045	0.13857
V13	0.05891	0	0.11543	0.04506	0.07445	0.08692	0.48268	0.0241	0.10658	0.00587
V14	0.04834	0.42543	0.125	0.08084	0.02619	0.03179	0.18045	0.00629	0.07566	0
V15	0.22522	0	0.16392	0.4954	0	0.00116	0.08991	0	0.0244	0
V16	0.01385	0.04551	0.20793	0.49164	0.01118	0.02754	0.07085	0	0.12258	0.00893
V17	0.01619	0.13751	0.00772	0.02744	0.00522	0.06719	0.10961	0.01979	0.0057	0.60362
V18	0.07079	0.05723	0.07384	0.29706	0	0	0.06344	0	0	0.43764
V19	0.01654	0	0	0.08695	0	0.06627	0.0617	0.00199	0	0.76655
V20	0	0.17748	0.00979	0.03604	0.05084	0	0.58384	0.05186	0.01756	0.07259
V21	0.06382	0.41697	0.02723	0.01749	0.00702	0.28784	0.08933	0.02522	0.06507	0
V22	0	0	0.00402	0.00703	0	0.01919	0.10437	0.24476	0.03179	0.58884
V23	0.26319	0.00435	0.48182	0.0829	0	0.00412	0.03234	0	0.0264	0.10488
V24	0	0.60106	0.0335	0.00369	0.0228	0	0.12409	0.06236	0.1525	0
V25	0.00584	0.1151	0.03115	0.03856	0.06324	0.10258	0.10054	0.01534	0.15836	0.3693
V26	0	0	0.04417	0	0.02322	0.04471	0.1678	0.64481	0.07528	0
V27	0	0.06022	0	0	0.31428	0	0.07357	0.0075	0.06845	0.47598
V28	0.28177	0	0.01286	0.01998	0	0.00674	0.06903	0.02377	0	0.58584
V29	0	0.70122	0	0.00603	0.00115	0.08515	0.0562	0.01282	0.07281	0.06461
V30	0	0	0.09065	0.04627	0.06393	0.22468	0.35685	0.01827	0.19814	0.0012
V31	0	0.33208	0.16245	0.02291	0.04701	0.01087	0.07896	0.23845	0.10727	0
V32	0.40752	0.04423	0.06883	0.00776	0.21823	0.02653	0.07952	0.0064	0.13905	0.00193
V33	0.03356	0	0.21778	0.44599	0.01162	0	0.26267	0	0.02837	0
V34	0	0.05425	0	0.00847	0.17167	0	0.06942	0.02473	0.06544	0.60602
V35	0	0.88346	0	0	0	0	0.03619	0.00425	0.0761	0
V36	0.01616	0	0.03287	0.03303	0.08234	0	0.79104	0.04457	0	0
V37	0	0.51184	0	0.00942	0.04003	0	0.34834	0.02883	0.06153	0
V38	0.08802	0	0.07805	0.17154	0.04826	0	0.59542	0.01449	0.00422	0
V39	0.04792	0	0.07753	0.16489	0.07617	0	0.58291	0.02665	0.01559	0.00832
V40	0.11884	0.01105	0.58757	0.09506	0.07137	0	0.02884	0	0.06793	0.01934
V41	0.53988	0.06781	0.10673	0.00714	0.0118	0	0.05067	0.01403	0.20193	0
V42	0	0.63242	0	0	0.2194	0	0.0162	0	0.11251	0.01947
V43	0.09174	0.02238	0.10743	0.09644	0.18261	0.02093	0.27964	0.02937	0.16946	0
V44	0.02398	0	0.46187	0.06999	0	0.01974	0.08555	0.26192	0.07694	0
V45	0	0	0.04272	0.02134	0.08928	0	0.33675	0.0273	0.42989	0.05272
V46	0.15663	0.08532	0.0841	0.23094	0	0	0.05985	0.01025	0.01142	0.36148
V47	0	0	0.01793	0.03115	0.06437	0	0.85441	0.02439	0	0.00775
V48	0.03127	0	0	0.02048	0	0	0.07356	0.00887	0.01454	0.85128
V49	0.13358	0	0.03345	0	0.01429	0.03645	0.13881	0.58133	0.06208	0
V50	0.24789	0.16578	0.05621	0.02236	0.02016	0.37431	0.07928	0.00437	0.02964	0
V51	0.14882	2e-05	0.49123	0.07972	0.0552	0.00318	0.05299	0.03888	0.1056	0.02436
V52	0.00307	0	0.17678	0.31196	0.02774	0	0.45047	0.00693	0.02191	0.00114
V53	0.38862	0.00081	0.14048	0.10579	0	0.00463	0.07126	0.10902	0.0168	0.16259
V54	0	0.01852	0.00082	0.02742	0.18319	0.60911	0.1129	0.00584	0.0422	0
V55	0.01781	0.00544	0.15545	0.62478	0.03889	0	0.09714	0	0.04352	0.01696
V56	0.13549	0.00726	0.4538	0.09998	0.05854	0.12114	0.0487	0	0.05922	0.01587
V57	0.03389	0	0.47882	0.2502	0	0.00564	0.06214	0.00847	0.12153	0.03931
V58	0	0.16887	0.08281	0.15644	0.02143	0.41761	0.11056	0	0.04228	0
V59	0	0.00546	0.03004	0.03682	0.08489	0	0.81941	0.02338	0	0
V60	0.69367	0.02096	0.09452	0.00624	0.039	0	0.02961	0.00099	0.11501	0
V61	0	0	0.04626	0.05576	0.03698	0.71963	0.13181	0.00834	0.00123	0
V62	0.00709	0	0.02653	0.04193	0.02534	0	0.48044	0.03136	0.00906	0.37825
V63	0	0.22238	0.00921	0.02574	0.14872	0.42917	0.09597	0	0.0688	0
V64	0.06239	0	0.27292	0.25089	0	0.01777	0.09063	0.20339	0.05607	0.04595
V65	0.04534	0.01151	0.11408	0.3033	0.01821	0.00732	0.16048	0.19133	0.13004	0.01839
V66	0	0.09913	0	0	0.49535	0.00811	0.07375	0.01974	0.15222	0.1517
V67	0.01826	0.14933	0.39682	0.11805	0.01497	0.0322	0.13529	0.00037	0.10481	0.0299
