Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.009	0.02132	0.04792	0.00656	0.1144	0.00043	0.03365	0	0.01087	0.75585
V2	0.62468	0.00819	0.05361	0.00605	0.0376	0.21566	0.05363	0	0.00059	0
V3	0.11953	0.09335	0.1088	0.02193	0.3644	0.01111	0.1129	0.10705	0.0199	0.04102
V4	0.00604	0.08695	0.04977	0.0093	0.05112	0.0703	0.02758	0.00896	0.44922	0.24077
V5	0	0.10763	0.04471	0.06522	0.00134	0.05374	0.03082	0	0.00818	0.68837
V6	0.00671	0.12784	0.20317	0.03312	0.50594	0.02665	0.02431	0.04263	0.00933	0.0203
V7	0	0.57397	0.01364	0.01818	0.22529	0.01343	0.07423	0.04981	0.01485	0.01661
V8	0.00178	0.60374	0.04741	0.01537	0.01695	0.0266	0.02839	0.2073	0.03216	0.0203
V9	0.01295	0.00158	0.09931	0.13506	0.0577	0.021	0.24088	0.37748	0.03916	0.01488
V10	0	0.14476	0.01863	0.00921	0.58918	0.06632	0.03861	0.10694	0.00921	0.01714
V11	0.01059	0.59366	0.00998	0.01142	0.01712	0.04875	0.02852	0.18942	0.05841	0.03211
V12	0.01141	0.02739	0.19596	0.42589	0.04555	0	0.09937	0.00626	0.00936	0.17881
V13	0.09652	0.01166	0.13323	0.02114	0.08211	0.10748	0.41959	0.00094	0.10036	0.02697
V14	0.07222	0.46383	0.13876	0.06776	0.04633	0.04527	0.1291	0.00607	0.01709	0.01358
V15	0.23744	0.01098	0.17033	0.47154	0.03557	0.01342	0.04083	0.00827	0.01161	0
V16	0.01486	0.06006	0.23528	0.48903	0.04553	0.03765	0.01723	0.00148	0.08236	0.01653
V17	0.01548	0.1192	0.01699	0.00886	0.01166	0.06127	0.05278	0.00159	0.016	0.69618
V18	0.06036	0.07006	0.08548	0.24101	0	0.00595	0.0214	2e-04	0.0084	0.50714
V19	0	0	0.03234	0.05348	0	0.0615	0.02977	0.00263	0.00746	0.81282
V20	0	0.23015	0.02985	0.02028	0.05076	0.00638	0.49954	0.02607	0.01298	0.124
V21	0.09913	0.45309	0.02474	0.01221	0.02111	0.29375	0.03981	0.01985	0.01883	0.01749
V22	0.00217	0	0.01453	0.00251	0	0.01216	0.03669	0.18283	0.04513	0.70398
V23	0.26105	0.02874	0.46726	0.04633	0.01933	0.00484	0.01909	0.00098	0.01135	0.14102
V24	0.02136	0.64125	0.04932	0.01506	0.0312	0.00631	0.08518	0.05185	0.08432	0.01416
V25	0.02055	0.1118	0.03656	0.02476	0.05453	0.101	0.04462	0	0.11879	0.48738
V26	0.01946	0	0.071	0.01922	0.03954	0.02992	0.07771	0.69906	0.03785	0.00623
V27	0	0.07267	0.02006	0.00506	0.28057	6e-04	0.04365	0	0.00952	0.56786
V28	0.23942	0	0.03423	0.00138	0	0.01444	0.04396	0.01513	0.00399	0.64745
V29	0.00436	0.69264	0.01004	0.01738	0.01503	0.08989	0.02539	0.01132	0.01461	0.11933
V30	0.00586	0.00859	0.11872	0.02953	0.06188	0.25827	0.29217	0	0.19943	0.02555
V31	0.01177	0.38526	0.19543	0.02754	0.06418	0.01048	0.02892	0.22904	0.02515	0.02225
V32	0.48543	0.04881	0.0608	0.00619	0.2171	0.03296	0.05079	0	0.06915	0.02877
V33	0.03722	0.01937	0.24688	0.43926	0.04772	0	0.19158	0.00048	0.01022	0.0073
