Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0	0.07483	0.06827	0.01407	0.1014	0	0.06671	0.01754	0	0.65718
V2	0.51741	0.05106	0.09175	0.02563	0.00298	0.22581	0.08145	0.00391	0	0
V3	0.02419	0.11516	0.11222	0.02327	0.31444	0.00323	0.14529	0.12467	0.13754	0
V4	0	0.1275	0.06063	0	0.07207	0.04111	0.11612	0.05428	0.44566	0.08263
V5	0	0.15694	0.06354	0.10148	0	0.0384	0.0993	0.01528	0	0.52506
V6	0	0.13547	0.14305	0.02031	0.43495	0.01253	0.04948	0.05687	0.14735	0
V7	0	0.53763	0	0	0.17497	0	0.11044	0.06872	0.10825	0
V8	0	0.55301	0.01705	0.00909	0	0.00377	0.10205	0.21904	0.09599	0
V9	0	0.02907	0.09131	0.10523	0.02045	0.01402	0.29707	0.35596	0.08689	0
V10	0	0.14032	0	0	0.48408	0.03542	0.0753	0.1198	0.14508	0
V11	0	0.54578	0	0	0	0.02193	0.10598	0.20276	0.12356	0
V12	0	0.0434	0.22416	0.42423	0	0	0.15154	0.01934	0.04338	0.09395
V13	0.00954	0.04227	0.15905	0.04064	0.04939	0.08315	0.44075	0.05167	0.12354	0
V14	0.00396	0.45857	0.15008	0.08393	0	0.02442	0.17865	0.02212	0.07827	0
V15	0.17525	0.01555	0.21242	0.47379	0	0.00163	0.08112	0.00867	0.03158	0
V16	0	0.07394	0.25154	0.44622	0	0.01851	0.07832	0.00846	0.12301	0
V17	0	0.18782	0.04472	0.02848	0	0.04783	0.13385	0.0311	0	0.52621
V18	0.03147	0.0923	0.12783	0.3013	0	0	0.06344	0.00668	0	0.37697
V19	0	0	0.0241	0.10759	0	0.04669	0.08425	0.01215	0	0.72523
V20	0	0.22532	0.02438	0.03838	0.02432	0	0.52883	0.08401	0.05652	0.01826
V21	0.02063	0.45552	0.04334	0.01879	0	0.25139	0.11491	0.03765	0.05777	0
V22	0	0.02977	0.03449	0.01054	0	0	0.1308	0.25162	0.01863	0.52415
V23	0.21862	0.03357	0.5169	0.09623	0	0.01466	0.01955	0	0.01964	0.08084
V24	0	0.60803	0.03182	0.0102	0	0	0.13071	0.07377	0.14547	0
V25	0	0.16616	0.06412	0.02821	0.05416	0.08159	0.12427	0.03011	0.16923	0.28217
V26	0	0.02947	0.05678	0	0.01102	0.0257	0.17608	0.62172	0.07923	0
V27	0	0.11448	0.00556	0	0.30491	0	0.07551	0.01825	0.08253	0.39876
V28	0.26503	0	0.03504	0.04403	0	0.00077	0.07601	0.02499	0	0.55414
V29	0	0.71901	0	0.01255	0	0.0669	0.08956	0.02809	0.08389	0
V30	0	0.04439	0.11106	0.0309	0.03973	0.19401	0.34111	0.04563	0.19317	0
V31	0	0.35885	0.16136	0.03115	0.02225	0	0.09181	0.22804	0.10654	0
V32	0.34548	0.08675	0.0908	0.00659	0.21094	0.03513	0.06594	0.00596	0.15242	0
V33	0	0.02407	0.27065	0.41648	0	0	0.2344	0.01631	0.03809	0
V34	0	0.1096	0.02709	0.00033	0.15741	0	0.07755	0.03593	0.05918	0.5329
V35	0	0.86158	0	0	0	0	0.06062	0.01864	0.05916	0
V36	0	0.03279	0.06205	0.03541	0.05206	0	0.70738	0.08579	0.02452	0
V37	0	0.53345	0	0.01365	0.00696	0	0.31933	0.05343	0.07317	0
V38	0.04131	0.02079	0.12567	0.16418	0.02842	0	0.534	0.04979	0.03583	0
V39	0.00239	0.02664	0.128	0.15736	0.05254	0	0.52385	0.06147	0.04775	0
V40	0.07297	0.05034	0.63416	0.10027	0.04905	0.00932	0.01521	0	0.06869	0
V41	0.47049	0.10036	0.12358	0.01598	0.01591	0.00654	0.04276	0.01205	0.21233	0
V42	0	0.65382	0	0	0.18604	0	0.03482	0.00641	0.1189	0
V43	0.03301	0.07518	0.15365	0.08622	0.15344	0.01692	0.25723	0.04859	0.17574	0
V44	0	0.01651	0.48192	0.07905	0	0.01616	0.08014	0.25327	0.07294	0
V45	0	0.04294	0.07174	0.01104	0.07813	0	0.31726	0.05525	0.42363	0
V46	0.11599	0.12286	0.12963	0.23504	0	0	0.05783	0.0178	0.01584	0.305
V47	0	0.00651	0.04498	0.03311	0.05008	0	0.77325	0.07306	0.019	0
V48	0	0.03208	0.03626	0.03161	0	0	0.08049	0.0192	0	0.80036
V49	0.08758	0.03725	0.06659	0.00034	0.00525	0.02445	0.14468	0.5648	0.06905	0
V50	0.19976	0.2199	0.07389	0.0178	0.0055	0.34452	0.09484	0.01156	0.03223	0
V51	0.09871	0.03768	0.53665	0.08287	0.03959	0.01079	0.04051	0.04336	0.10982	0
V52	0	0.01831	0.21008	0.28247	0.00578	0	0.39592	0.04067	0.04677	0
V53	0.34194	0.0327	0.16628	0.11526	0	0.00801	0.06262	0.10761	0.02928	0.1363
V54	0	0.08735	0.01663	0	0.1472	0.5468	0.14384	0.02729	0.03089	0
V55	0	0.0404	0.216	0.57292	0.01005	0	0.094	0.00697	0.05965	0
V56	0.09039	0.04971	0.49987	0.09498	0.03841	0.12068	0.04299	0	0.06298	0
V57	0	0.02025	0.52258	0.23998	0	0.00793	0.05741	0.02354	0.12195	0.00635
V58	0	0.21481	0.10039	0.12791	0	0.36402	0.13539	0.01934	0.03814	0
V59	0	0.06183	0.04983	0.03461	0.04212	0	0.72361	0.06721	0.02078	0
V60	0.64206	0.04661	0.10042	0.01816	0.04524	0.00854	0.01609	0	0.12288	0
V61	0	0.04952	0.06766	0.02117	0.00945	0.65177	0.16835	0.03207	0	0
V62	0	0.02842	0.06637	0.03949	0.01442	0	0.44848	0.05975	0.03261	0.31046
V63	0	0.27702	0.01964	0.00612	0.11701	0.37476	0.12441	0.01927	0.06177	0
V64	0.02189	0.02117	0.31935	0.24901	0	0.0132	0.08771	0.20531	0.06508	0.01729
V65	0	0.05269	0.16573	0.28254	0.00073	0	0.15332	0.19894	0.14604	0
V66	0	0.1541	0	0	0.4737	0.00377	0.08006	0.03295	0.16578	0.08964
V67	0	0.18398	0.41936	0.1136	0	0.02917	0.12797	0.01631	0.10961	0
V68	0	0.06149	0.05067	0	0.06703	0	0.13233	0.27139	0.41708	0
V69	0.01405	0.01765	0.7712	0.13769	0	0.00764	0.01128	0	0.0405	0
V70	0.60831	0.03427	0.16908	0.03788	0	0.03569	0.04853	0.00085	0.06539	0
V71	0	0.03174	0.02705	0	0.01373	0.02614	0.17452	0.64605	0.08077	0
V72	0.15952	0.06263	0.13413	0.24231	0.10478	0	0.04857	0.01082	0.07393	0.1633
V73	0	0.18616	0	0	0.59463	0	0.04239	0.01152	0.1653	0
V74	0	0	0.08542	0.21914	0	0.00451	0.07658	0.01225	0	0.6021
V75	0	0.09917	0.25497	0.36421	0.00345	0	0.07128	0.01748	0.18944	0
V76	0	0.05718	0.0366	0	0.00171	0.69811	0.17301	0.03339	0	0
V77	0	0.02645	0.11212	0.2508	0.00679	0.18794	0.34896	0.03769	0.02926	0
V78	0	0.45775	0.03034	0.03042	0.02484	0	0.34436	0.03094	0.08134	0
V79	0	0.06103	0.12784	0.22921	0.01815	0.18792	0.12446	0.02811	0.22328	0
V80	0.36415	0.01409	0.07571	0.03888	0	0	0.07619	0.0078	0	0.42318
V81	0	0.07907	0.06274	0.1261	0.11147	0.42721	0.12933	0.02209	0.04197	0
V82	0	0.49338	0.09135	0.22306	0	0	0.06833	0.05279	0.07108	0
V83	0	0.07452	0.17569	0.37959	0	0	0.09923	0.20258	0.06839	0
V84	0	0.05581	0.05462	0.03519	0.09053	0.39885	0.30028	0.0383	0.02643	0
V85	0.17425	0.00073	0.45145	0.09626	0	0.00244	0.02772	0	0	0.24716
V86	0.22754	0.01084	0.35617	0.34451	0	0.00452	0.03339	0	0.02302	0
V87	0	0.08059	0.07166	0	0.11403	0	0.09562	0.0447	0.5934	0
V88	0	0.31298	0.1482	0.42552	0	0	0.06105	0	0.05225	0
V89	0	0.01157	0.04669	0.05391	0.04402	0	0.68181	0.13315	0.02886	0
V90	0	0.07179	0.38216	0.08739	0	0.00897	0.05926	0.00067	0	0.38975
V91	0.02046	0.01502	0.75732	0.129	0	0.00986	0.01457	0	0.05074	0.00303
V92	0	0.01875	0.04623	0.02961	0.04976	0	0.73126	0.07053	0.05386	0
V93	0	0.07882	0.10614	0.01263	0.06839	0	0.2854	0.06002	0.38861	0
V94	0.7647	0.01017	0.11036	0.03453	0	0.03701	0.02739	0.01583	0	0
