CD19B	CD56NK	CD4MemoryT	CD14
V1	0.40863	0.09378	0.20531	0.29228
V2	0.148	0.16453	0.1223	0.56516
V3	0.08378	0.52431	0.07571	0.3162
V4	0.62312	0.16851	0.09327	0.1151
V5	0.12755	0.42686	0.22743	0.21816
V6	0.0983	0.70015	0.07713	0.12443
V7	0.1456	0.348	0.13049	0.37591
V8	0.16478	0.10777	0.59287	0.13458
V9	0.20004	0.26456	0.1089	0.4265
V10	0.08881	0.1166	0.64444	0.15015
V11	0.19775	0.34776	0.34617	0.10833
V12	0.07673	0.50434	0.30077	0.11816
V13	0.22346	0.58291	0.07245	0.12118
V14	0.09297	0.72952	0.06689	0.11062
V15	0.13047	0.50594	0.1467	0.21688
V16	0.65104	0.11006	0.11472	0.12418
V17	0.10594	0.69866	0.07126	0.12414
V18	0.41646	0.33977	0.11258	0.13119
V19	0.15494	0.66075	0.06941	0.1149
V20	0.1558	0.41483	0.08766	0.3417
V21	0.16317	0.13725	0.566	0.13358
V22	0.07166	0.17062	0.21088	0.54684
V23	0.31756	0.12073	0.45219	0.10951
V24	0.68467	0.09632	0.12245	0.09656
V25	0.26605	0.26638	0.16416	0.30341
V26	0.29353	0.36891	0.09195	0.2456
V27	0.11777	0.13986	0.10476	0.63761
V28	0.08097	0.12438	0.68677	0.10788
V29	0.35166	0.10893	0.40846	0.13096
V30	0.12269	0.2548	0.24873	0.37379
V31	0.18756	0.23853	0.26164	0.31227
V32	0.1037	0.12295	0.11239	0.66095
V33	0.08789	0.44228	0.29062	0.17921
V34	0.16345	0.12337	0.57886	0.13433
V35	0.15778	0.59148	0.12129	0.12944
V36	0.06974	0.12947	0.37843	0.42236
V37	0.39565	0.14601	0.15282	0.30552
V38	0.3277	0.09132	0.20489	0.3761
V39	0.15963	0.48394	0.15327	0.20316
V40	0.11527	0.66682	0.11412	0.10379
V41	0.05376	0.56005	0.09641	0.28978
V42	0.20143	0.12044	0.22061	0.45752
V43	0.15216	0.33469	0.38165	0.13151
V44	0.08225	0.15631	0.53385	0.22759
V45	0.11938	0.50272	0.20611	0.1718
V46	0.58216	0.13783	0.17797	0.10204
V47	0.34396	0.23089	0.28329	0.14186
V48	0.57905	0.21149	0.09503	0.11443
V49	0.52304	0.22667	0.0867	0.16358
V50	0.09445	0.67449	0.11983	0.11123
V51	0.25535	0.37681	0.23899	0.12885
V52	0.09388	0.17743	0.59294	0.13575
V53	0.53552	0.17683	0.19113	0.09652
V54	0.32966	0.23365	0.31587	0.12082
V55	0.19328	0.19389	0.23343	0.3794
V56	0.08665	0.11631	0.14369	0.65334
V57	0.11282	0.69269	0.07761	0.11688
V58	0.46314	0.0883	0.12631	0.32225
V59	0.32516	0.38451	0.14948	0.14086
V60	0.14857	0.21135	0.28089	0.35919
