CD19B	CD56NK	CD4MemoryT	CD14
V1	0.40591	0.09908	0.19707	0.29793
V2	0.14485	0.16472	0.11446	0.57598
V3	0.08105	0.52488	0.0706	0.32347
V4	0.62387	0.17252	0.08561	0.118
V5	0.12458	0.42824	0.2243	0.22288
V6	0.09544	0.70435	0.07311	0.1271
V7	0.14316	0.34669	0.12524	0.38491
V8	0.15806	0.11459	0.59304	0.13431
V9	0.19796	0.26332	0.1024	0.43632
V10	0.08321	0.12219	0.64563	0.14896
V11	0.19453	0.35109	0.34482	0.10956
V12	0.07271	0.50876	0.2988	0.11973
V13	0.22104	0.58761	0.06714	0.12421
V14	0.08984	0.73358	0.06325	0.11333
V15	0.1278	0.50801	0.14224	0.22195
V16	0.65035	0.11662	0.1055	0.12753
V17	0.10316	0.70268	0.06727	0.12688
V18	0.41676	0.34162	0.10693	0.13469
V19	0.1518	0.66543	0.065	0.11778
V20	0.15324	0.4143	0.08241	0.35005
V21	0.15689	0.14387	0.56577	0.13348
V22	0.06899	0.17184	0.20428	0.55489
V23	0.31285	0.12843	0.44871	0.11001
V24	0.68416	0.10349	0.11268	0.09967
V25	0.26426	0.26694	0.15832	0.31048
V26	0.29301	0.36849	0.08618	0.25233
V27	0.1149	0.13944	0.09674	0.64892
V28	0.07502	0.1307	0.68775	0.10652
V29	0.34713	0.11595	0.40465	0.13227
V30	0.11968	0.25549	0.24358	0.38126
V31	0.18393	0.2407	0.25667	0.3187
V32	0.10086	0.12281	0.10459	0.67174
V33	0.08471	0.44454	0.28871	0.18204
V34	0.15686	0.12946	0.57947	0.13421
V35	0.15476	0.59635	0.11682	0.13207
V36	0.06669	0.1337	0.37186	0.42775
V37	0.39392	0.14916	0.14486	0.31207
V38	0.32474	0.09579	0.19644	0.38303
V39	0.1567	0.48628	0.14917	0.20785
V40	0.11287	0.67126	0.1101	0.10577
V41	0.05187	0.56049	0.09142	0.29622
V42	0.19831	0.12316	0.21316	0.46537
V43	0.14831	0.3386	0.38	0.13308
V44	0.07857	0.16177	0.52997	0.22969
V45	0.11656	0.50566	0.20299	0.1748
V46	0.58135	0.14319	0.17089	0.10457
V47	0.34211	0.23521	0.27849	0.14419
V48	0.57971	0.21538	0.0876	0.11731
V49	0.52329	0.23104	0.07901	0.16667
V50	0.09122	0.67905	0.11589	0.11384
V51	0.25345	0.37874	0.23623	0.13157
V52	0.08862	0.18167	0.59438	0.13533
V53	0.53466	0.18153	0.18474	0.09907
V54	0.32732	0.23797	0.31246	0.12225
V55	0.19048	0.19518	0.22754	0.3868
V56	0.08395	0.11742	0.13522	0.66342
V57	0.10999	0.69691	0.07343	0.11967
V58	0.46143	0.09199	0.11722	0.32935
V59	0.32493	0.38587	0.14513	0.14406
V60	0.14502	0.2141	0.27509	0.36579
V61	0.57302	0.16723	0.09301	0.16674
V62	0.63465	0.11295	0.13989	0.11251
V63	0.05961	0.67427	0.13832	0.1278
V64	0.0495	0.68598	0.05604	0.20849
V65	0.06623	0.1131	0.14234	0.67833
V66	0.18476	0.57844	0.07677	0.16002
V67	0.16304	0.33116	0.38918	0.11662
V68	0.14955	0.20239	0.09699	0.55107
V69	0.0811	0.32131	0.45072	0.14686
V70	0.39718	0.20625	0.19959	0.19698
V71	0.1668	0.15698	0.31058	0.36565
V72	0.41605	0.21017	0.14325	0.23053
V73	0.15067	0.52139	0.1542	0.17374
V74	0.10545	0.26032	0.52946	0.10477
V75	0.51801	0.09017	0.21594	0.17587
V76	0.05396	0.22679	0.18946	0.52979
V77	0.07381	0.30039	0.081	0.54481
V78	0.24557	0.18472	0.19893	0.37078
V79	0.07133	0.17592	0.57684	0.17591
V80	0.2919	0.11256	0.42342	0.17212
V81	0.10818	0.2173	0.56318	0.11134
V82	0.07325	0.1497	0.66358	0.11347
V83	0.13774	0.22703	0.12612	0.50911
V84	0.30229	0.13032	0.18946	0.37793
V85	0.12921	0.32405	0.31786	0.22889
V86	0.10451	0.13979	0.61424	0.14145
V87	0.06934	0.67059	0.09764	0.16242
V88	0.1649	0.14893	0.24548	0.44068
V89	0.07146	0.11887	0.20652	0.60315
V90	0.06394	0.71684	0.09735	0.12187
V91	0.07337	0.612	0.18011	0.13453
V92	0.35389	0.11467	0.32688	0.20456
V93	0.63567	0.09482	0.09002	0.17949
V94	0.05883	0.40864	0.08233	0.45021
V95	0.21381	0.39736	0.17367	0.21516
V96	0.09928	0.17321	0.10007	0.62744
V97	0.5039	0.17023	0.22061	0.10526
V98	0.50199	0.30736	0.07988	0.11077
V99	0.58344	0.1214	0.18899	0.10617
V100	0.12365	0.12736	0.62126	0.12773
V101	0.06661	0.12597	0.09146	0.71596
V102	0.66876	0.12199	0.09651	0.11273
V103	0.06475	0.13738	0.13975	0.65812
V104	0.06349	0.7604	0.06215	0.11396
V105	0.08136	0.73653	0.06817	0.11393
V106	0.13417	0.45565	0.27072	0.13946
V107	0.18402	0.2461	0.4233	0.14657
V108	0.14866	0.62211	0.12415	0.10509
V109	0.07425	0.22193	0.43356	0.27026
