CD19B	CD56NK	CD4MemoryT	CD14
V1	0.34813	0.11021	0.19228	0.34938
V2	0.02765	0.20594	0.06137	0.70504
V3	0	0.60602	0.03058	0.36341
V4	0.60676	0.17569	0.10956	0.10798
V5	0.01142	0.50763	0.22644	0.2545
V6	0	0.81749	0.07186	0.11065
V7	0.02454	0.40985	0.10609	0.45952
V8	0.08468	0.12887	0.63298	0.15347
V9	0.08984	0.30846	0.07746	0.52424
V10	0.00708	0.13779	0.68167	0.17346
V11	0.11228	0.40291	0.3731	0.11171
V12	0	0.58491	0.30165	0.11344
V13	0.11013	0.69582	0.07936	0.11468
V14	0	0.85095	0.05847	0.09058
V15	0.01309	0.60213	0.13786	0.24692
V16	0.63912	0.1111	0.12896	0.12082
V17	0	0.81937	0.06845	0.11217
V18	0.35651	0.38433	0.13011	0.12905
V19	0.03103	0.78867	0.07663	0.10367
V20	0.03289	0.48781	0.06699	0.41232
V21	0.08347	0.15289	0.6111	0.15255
V22	0	0.20082	0.13895	0.66023
V23	0.25397	0.13677	0.49061	0.11865
V24	0.67413	0.09707	0.13726	0.09154
V25	0.17137	0.3063	0.1556	0.36674
V26	0.19616	0.42911	0.08832	0.2864
V27	0	0.17958	0.03525	0.78516
V28	0	0.14335	0.73308	0.12357
V29	0.28727	0.12705	0.44367	0.14201
V30	0.01029	0.29874	0.22499	0.46598
V31	0.08558	0.27805	0.25179	0.38458
V32	0	0.15564	0.03878	0.80558
V33	0	0.51251	0.28835	0.19913
V34	0.08368	0.13969	0.62316	0.15346
V35	0.04268	0.70325	0.12557	0.1285
V36	0	0.15172	0.33638	0.51189
V37	0.32894	0.16407	0.13906	0.36793
V38	0.23937	0.11537	0.18071	0.46455
V39	0.04585	0.57506	0.14685	0.23225
V40	0	0.79404	0.11529	0.09066
V41	0	0.62856	0.05455	0.31689
V42	0.10284	0.14844	0.18021	0.56851
V43	0.05865	0.38725	0.41092	0.14318
V44	0	0.17914	0.54704	0.27382
V45	0.00339	0.59928	0.20747	0.18986
V46	0.56575	0.14269	0.19367	0.09789
V47	0.28388	0.25762	0.30201	0.15649
V48	0.55856	0.22288	0.11308	0.10548
V49	0.48626	0.24203	0.09728	0.17444
V50	0	0.7921	0.11134	0.09657
V51	0.1734	0.44312	0.24943	0.13405
V52	0.00508	0.20207	0.63881	0.15404
V53	0.50926	0.18802	0.20909	0.09364
V54	0.26569	0.26401	0.34074	0.12956
V55	0.09059	0.23089	0.2093	0.46921
V56	0	0.14651	0.05964	0.79385
V57	0	0.81685	0.0774	0.10576
V58	0.40885	0.09926	0.10753	0.38436
V59	0.24343	0.44449	0.16643	0.14566
V60	0.04241	0.25162	0.25903	0.44694
V61	0.54599	0.1722	0.10754	0.17428
V62	0.62496	0.10967	0.15994	0.10543
V63	0	0.77405	0.11741	0.10855
V64	0	0.7784	0.02227	0.19933
V65	0	0.13723	0.06004	0.80273
V66	0.07097	0.68108	0.08557	0.16239
V67	0.07562	0.37934	0.42294	0.1221
V68	0.03215	0.24541	0.05055	0.67189
V69	0	0.36447	0.47508	0.16046
V70	0.34267	0.22788	0.20755	0.2219
V71	0.07057	0.18295	0.29965	0.44683
V72	0.36328	0.23098	0.14449	0.26124
V73	0.03969	0.61744	0.15631	0.18656
V74	0.01851	0.2915	0.57641	0.11358
V75	0.4874	0.09178	0.22941	0.19142
V76	0	0.2533	0.12645	0.62026
V77	0	0.34435	0.01241	0.64325
V78	0.15481	0.21343	0.1842	0.44756
V79	0	0.18961	0.60539	0.20501
V80	0.2274	0.12319	0.45096	0.19845
V81	0.02343	0.24313	0.61048	0.12296
V82	0	0.16355	0.70809	0.12836
V83	0.02332	0.27169	0.08584	0.61916
V84	0.21442	0.15093	0.17675	0.4579
V85	0.03031	0.38003	0.32282	0.26685
V86	0.02398	0.15427	0.65642	0.16533
V87	0	0.76861	0.08152	0.14987
V88	0.06392	0.17837	0.22126	0.53646
V89	0	0.14533	0.1347	0.71997
V90	0	0.82125	0.07911	0.09965
V91	0	0.70732	0.16766	0.12502
V92	0.29812	0.12711	0.33743	0.23734
V93	0.62032	0.09266	0.09702	0.19001
V94	0	0.45873	0.02623	0.51504
V95	0.11605	0.46641	0.17571	0.24184
V96	0	0.21051	0.03644	0.75305
V97	0.47946	0.17797	0.24173	0.10085
V98	0.46044	0.34004	0.10253	0.09698
V99	0.56832	0.12099	0.20938	0.1013
V100	0.04514	0.14271	0.66809	0.14406
V101	0	0.1544	0.0067	0.8389
V102	0.65755	0.11714	0.122	0.10331
V103	0	0.16557	0.05866	0.77577
V104	0	0.86605	0.0467	0.08725
V105	0	0.84907	0.06149	0.08944
V106	0.0307	0.53766	0.28414	0.1475
V107	0.10463	0.27702	0.4551	0.16325
V108	0.03512	0.7363	0.13584	0.09274
V109	0	0.24766	0.43552	0.31682
V110	0	0.81295	0.07787	0.10918
V111	0.65845	0.07853	0.16318	0.09984
V112	0.0532	0.17815	0.32825	0.44041
V113	0.0701	0.21533	0.16067	0.5539
V114	0.10604	0.16524	0.09321	0.63551
V115	0	0.72143	0.18212	0.09645
V116	0.05194	0.38014	0.30208	0.26584
V117	0.44671	0.2984	0.12463	0.13026
V118	0.03689	0.58539	0.07957	0.29816
V119	0.00628	0.20161	0.06004	0.73208
V120	0.04389	0.16979	0.65189	0.13444
V121	0.37852	0.20807	0.14408	0.26932
V122	0.68626	0.08312	0.12702	0.10359
V123	0	0.50482	0.0523	0.44288
V124	0.42669	0.33462	0.09419	0.1445
V125	0.21955	0.45048	0.20871	0.12126
V126	0	0.23911	0.04498	0.71591
V127	0.06392	0.16573	0.21593	0.55442
V128	0	0.14594	0.0763	0.77777
V129	0.37736	0.28683	0.20662	0.12919
V130	0	0.64089	0.26213	0.09698
V131	0	0.81085	0.03362	0.15553
V132	0.66727	0.08549	0.13462	0.11262
V133	0.64948	0.09438	0.15127	0.10487
V134	0.00494	0.4359	0.14106	0.41811
V135	0	0.1566	0.14082	0.70258
V136	0.09126	0.43847	0.06772	0.40255
V137	0.44616	0.12496	0.26417	0.16472
V138	0.08425	0.44221	0.1885	0.28504
V139	0.18986	0.27745	0.20785	0.32485
V140	0	0.19968	0.04136	0.75896
V141	0.00974	0.24937	0.41499	0.3259
V142	0.57173	0.08828	0.2425	0.09749
V143	0.22888	0.32856	0.12538	0.31718
V144	0.0524	0.25448	0.15697	0.53616
V145	0	0.72545	0.17995	0.0946
V146	0	0.14829	0.03287	0.81884
V147	0.64539	0.09837	0.12708	0.12916
V148	0.06222	0.18284	0.44807	0.30687
V149	0.13195	0.53915	0.2239	0.10501
V150	0.03047	0.3156	0.46563	0.1883
V151	0.06888	0.62787	0.08638	0.21687
V152	0.10298	0.4778	0.2181	0.20112
V153	0	0.72054	0.07345	0.20602
