CD19B	CD56NK	CD4MemoryT	CD14
V1	0.39867	0.11715	0.1916	0.29258
V2	0.14121	0.18105	0.11516	0.56258
V3	0.08007	0.52694	0.0704	0.32259
V4	0.61276	0.1873	0.08192	0.11803
V5	0.12333	0.43163	0.22318	0.22186
V6	0.09352	0.69819	0.07786	0.13042
V7	0.14056	0.35366	0.12616	0.37962
V8	0.15578	0.12928	0.57744	0.1375
V9	0.19466	0.27398	0.10306	0.4283
V10	0.08374	0.13712	0.62724	0.1519
V11	0.19069	0.35586	0.33977	0.11368
V12	0.07214	0.50634	0.29742	0.12409
V13	0.21764	0.58528	0.06942	0.12766
V14	0.08757	0.72622	0.06867	0.11754
V15	0.12666	0.50996	0.14157	0.22181
V16	0.6394	0.13382	0.10011	0.12667
V17	0.10147	0.6957	0.07266	0.13017
V18	0.41113	0.34857	0.10426	0.13604
V19	0.14859	0.66025	0.07044	0.12071
V20	0.1504	0.41906	0.08396	0.34658
V21	0.15477	0.15666	0.55185	0.13672
V22	0.06795	0.18692	0.20322	0.54191
V23	0.30541	0.14321	0.43805	0.11333
V24	0.67081	0.12103	0.10672	0.10144
V25	0.25956	0.27683	0.15673	0.30688
V26	0.28814	0.37668	0.08424	0.25093
V27	0.11184	0.1576	0.09815	0.63241
V28	0.07603	0.14552	0.66646	0.11199
V29	0.33923	0.13198	0.39545	0.13335
V30	0.11835	0.2656	0.24022	0.37583
V31	0.18071	0.25156	0.25275	0.31498
V32	0.09796	0.14192	0.10723	0.65288
V33	0.08448	0.44725	0.28414	0.18413
V34	0.15448	0.1433	0.56487	0.13735
V35	0.15206	0.59349	0.11855	0.13591
V36	0.06671	0.14889	0.36503	0.41937
V37	0.38807	0.16447	0.14046	0.30701
V38	0.31713	0.11468	0.19274	0.37545
V39	0.15475	0.48916	0.148	0.20809
V40	0.11108	0.66578	0.11293	0.11021
V41	0.05139	0.55777	0.09599	0.29486
V42	0.1948	0.14008	0.21022	0.4549
V43	0.14604	0.3428	0.37498	0.13617
V44	0.07881	0.17348	0.51867	0.22904
V45	0.1153	0.50473	0.20314	0.17683
V46	0.57093	0.15883	0.16446	0.10578
V47	0.33518	0.24625	0.27256	0.14602
V48	0.57061	0.22816	0.08415	0.11708
V49	0.51484	0.24276	0.07609	0.1663
V50	0.08952	0.67394	0.11868	0.11787
V51	0.25002	0.38536	0.23024	0.13438
V52	0.08852	0.19259	0.57999	0.1389
V53	0.52571	0.19529	0.17772	0.10127
V54	0.3211	0.2493	0.30449	0.12511
V55	0.18655	0.2083	0.22452	0.38062
V56	0.08207	0.13685	0.13581	0.64527
V57	0.10816	0.69075	0.0781	0.123
V58	0.4538	0.11071	0.11292	0.32257
V59	0.3188	0.39192	0.14335	0.14594
V60	0.14296	0.22602	0.27075	0.36028
V61	0.56376	0.18213	0.08843	0.16569
V62	0.62387	0.13021	0.13275	0.11317
V63	0.05912	0.66963	0.13994	0.13131
V64	0.04872	0.68095	0.06141	0.20892
V65	0.06496	0.13294	0.14293	0.65917
V66	0.18148	0.57802	0.07839	0.16211
V67	0.16002	0.33589	0.38344	0.12065
V68	0.14572	0.21708	0.09839	0.53881
V69	0.08092	0.32571	0.44328	0.15009
V70	0.39247	0.21974	0.19215	0.19564
V71	0.16431	0.17211	0.30344	0.36014
V72	0.41069	0.22426	0.13654	0.22852
V73	0.14864	0.52212	0.15331	0.17594
V74	0.10468	0.26817	0.51814	0.10901
V75	0.50833	0.10833	0.20894	0.17439
V76	0.05331	0.23919	0.18951	0.51799
V77	0.07274	0.30986	0.08337	0.53402
V78	0.24102	0.19814	0.19635	0.36449
V79	0.07194	0.18689	0.56301	0.17816
V80	0.28564	0.12775	0.41374	0.17287
V81	0.1072	0.22639	0.55123	0.11518
