CD19B	CD56NK	CD4MemoryT	CD14
V1	0.42332	0.0774	0.19607	0.30321
V2	0.18098	0.15156	0.11612	0.55134
V3	0.10151	0.51679	0.0813	0.30039
V4	0.6453	0.12945	0.08238	0.14287
V5	0.13688	0.42516	0.22714	0.21082
V6	0.10507	0.68622	0.08825	0.12046
V7	0.16642	0.34215	0.12759	0.36384
V8	0.15249	0.11762	0.59041	0.13949
V9	0.225	0.25337	0.10298	0.41865
V10	0.08013	0.12941	0.63951	0.15095
V11	0.1947	0.34427	0.34725	0.11378
V12	0.07915	0.50144	0.30471	0.1147
V13	0.22846	0.56891	0.07981	0.12282
V14	0.10001	0.71254	0.08068	0.10677
V15	0.14171	0.49812	0.1512	0.20896
V16	0.67573	0.06726	0.10416	0.15285
V17	0.11286	0.68372	0.08332	0.1201
V18	0.42482	0.31994	0.11099	0.14425
V19	0.15973	0.64603	0.0808	0.11344
V20	0.17541	0.40654	0.0869	0.33115
V21	0.15242	0.14371	0.56562	0.13826
V22	0.10067	0.16925	0.20492	0.52516
V23	0.30574	0.11414	0.45505	0.12507
V24	0.70993	0.05124	0.11119	0.12764
V25	0.27918	0.25649	0.16016	0.30417
V26	0.30647	0.35454	0.09025	0.24874
V27	0.15669	0.12316	0.09905	0.62109
V28	0.07075	0.13958	0.67696	0.11271
V29	0.34397	0.09872	0.41114	0.14617
V30	0.13947	0.25388	0.24543	0.36123
V31	0.2006	0.23505	0.25849	0.30587
V32	0.14533	0.10738	0.10594	0.64135
V33	0.09264	0.44095	0.29312	0.1733
V34	0.15206	0.13071	0.57812	0.13911
V35	0.16363	0.57994	0.12922	0.12721
V36	0.08553	0.13642	0.37366	0.40439
V37	0.41374	0.12464	0.14604	0.31558
V38	0.3453	0.07834	0.19625	0.38011
V39	0.16807	0.47707	0.1571	0.19776
V40	0.11957	0.65257	0.12573	0.10213
V41	0.07111	0.55398	0.10175	0.27316
V42	0.22367	0.11455	0.21253	0.44924
V43	0.14823	0.33345	0.38602	0.1323
V44	0.08206	0.16627	0.52981	0.22187
V45	0.12546	0.49684	0.2115	0.1662
V46	0.59344	0.10434	0.17319	0.12903
V47	0.3435	0.21866	0.28426	0.15358
V48	0.5958	0.17801	0.0869	0.13929
V49	0.5413	0.19612	0.08016	0.18242
V50	0.0991	0.66206	0.13087	0.10797
V51	0.25546	0.36943	0.24078	0.13432
V52	0.08616	0.18695	0.59039	0.1365
V53	0.5432	0.14775	0.18872	0.12033
V54	0.32583	0.22283	0.31651	0.13482
V55	0.21174	0.18876	0.22718	0.37232
V56	0.12632	0.10713	0.13493	0.63163
V57	0.11917	0.6793	0.08841	0.11312
V58	0.48665	0.06345	0.11372	0.33619
V59	0.32827	0.37172	0.15002	0.14999
V60	0.16233	0.2111	0.27724	0.34933
V61	0.59394	0.12856	0.09076	0.18674
V62	0.65513	0.06421	0.14305	0.13761
V63	0.06872	0.65995	0.15146	0.11987
V64	0.0654	0.67231	0.07243	0.18986
V65	0.10758	0.10263	0.14344	0.64634
V66	0.19633	0.56045	0.08917	0.15405
V67	0.16247	0.32331	0.39543	0.11878
V68	0.18583	0.18872	0.09945	0.526
V69	0.08309	0.31985	0.45257	0.14449
V70	0.40646	0.18653	0.20228	0.20473
V71	0.18476	0.15337	0.30999	0.35188
V72	0.4304	0.18614	0.1456	0.23786
V73	0.16021	0.50967	0.16352	0.1666
V74	0.10329	0.25955	0.52806	0.1091
V75	0.53097	0.05607	0.21822	0.19475
V76	0.08467	0.2251	0.19067	0.49956
V77	0.10805	0.29466	0.08342	0.51386
V78	0.2642	0.17327	0.19997	0.36256
V79	0.07131	0.18063	0.57403	0.17404
V80	0.29006	0.10079	0.42773	0.18141
V81	0.10409	0.21905	0.55985	0.11701
V82	0.06959	0.15582	0.6553	0.11929
V83	0.1699	0.21645	0.12837	0.48528
V84	0.32137	0.11539	0.18974	0.37351
V85	0.13896	0.32292	0.31932	0.2188
V86	0.10009	0.14539	0.61013	0.14439
V87	0.08	0.65523	0.11274	0.15202
V88	0.18948	0.14204	0.24705	0.42142
V89	0.10638	0.11308	0.20686	0.57369
V90	0.07401	0.69774	0.11363	0.11462
V91	0.08025	0.60096	0.19034	0.12844
V92	0.35966	0.09882	0.33041	0.21111
V93	0.66498	0.04767	0.08525	0.20209
V94	0.08667	0.406	0.08777	0.41955
V95	0.2231	0.39122	0.17651	0.20916
V96	0.14062	0.15961	0.10197	0.5978
V97	0.51001	0.14031	0.2241	0.12559
V98	0.51444	0.27657	0.0805	0.12849
V99	0.59492	0.08214	0.19191	0.13103
V100	0.11948	0.13092	0.6169	0.1327
V101	0.11252	0.1105	0.09141	0.68557
V102	0.69656	0.07166	0.09215	0.13962
V103	0.10592	0.12648	0.14144	0.62616
V104	0.0756	0.73695	0.08041	0.10703
V105	0.09086	0.71578	0.08576	0.1076
V106	0.1388	0.44923	0.27673	0.13524
V107	0.18537	0.24005	0.42602	0.14856
V108	0.15439	0.60408	0.13837	0.10316
V109	0.08266	0.22515	0.43501	0.25718
V110	0.09208	0.68663	0.10084	0.12045
V111	0.68979	0.03226	0.14428	0.13367
V112	0.16414	0.151	0.33993	0.34494
V113	0.20099	0.17195	0.19322	0.43384
V114	0.24018	0.11976	0.13473	0.50533
V115	0.06256	0.61218	0.21688	0.10838
V116	0.15978	0.31928	0.30135	0.21958
V117	0.49905	0.24601	0.10493	0.15
V118	0.17126	0.4871	0.09589	0.24575
V119	0.165	0.14538	0.11663	0.57299
V120	0.11743	0.1562	0.6012	0.12518
V121	0.44521	0.16464	0.14553	0.24463
V122	0.72695	0.03275	0.09919	0.14111
V123	0.07688	0.45126	0.10329	0.36858
V124	0.48968	0.2724	0.07793	0.15999
V125	0.30104	0.37604	0.19406	0.12886
V126	0.11487	0.19896	0.11521	0.57097
V127	0.18948	0.13315	0.24239	0.43497
V128	0.1154	0.10667	0.15592	0.622
V129	0.42775	0.23921	0.19086	0.14218
V130	0.0635	0.54744	0.28028	0.10878
V131	0.07368	0.69633	0.07307	0.15692
V132	0.70603	0.03553	0.11105	0.14739
V133	0.68228	0.04497	0.13373	0.13902
V134	0.14356	0.367	0.15789	0.33155
V135	0.14428	0.11456	0.19468	0.54647
