CD19B	CD56NK	CD4MemoryT	CD14
V1	0.46043	0.06096	0.18251	0.29609
V2	0.15191	0.14594	0.07685	0.62529
V3	0.06867	0.58076	0.03026	0.32031
V4	0.73937	0.14496	0.02779	0.08787
V5	0.10995	0.45935	0.23145	0.19925
V6	0.07796	0.79986	0.03517	0.08701
V7	0.14428	0.36646	0.09625	0.393
V8	0.13317	0.07018	0.70755	0.0891
V9	0.21489	0.26573	0.06189	0.45749
V10	0.0339	0.07801	0.78236	0.10573
V11	0.18982	0.36157	0.38568	0.06293
V12	0.0364	0.55746	0.33253	0.07361
V13	0.23493	0.65609	0.02253	0.08646
V14	0.07014	0.83968	0.02141	0.06877
V15	0.11783	0.55687	0.12612	0.19918
V16	0.77311	0.07568	0.05399	0.09723
V17	0.08648	0.79841	0.02831	0.0868
V18	0.47602	0.35536	0.06564	0.10298
V19	0.14845	0.75285	0.02217	0.07652
V20	0.15875	0.44897	0.03907	0.3532
V21	0.13235	0.10435	0.67408	0.08922
V22	0.0517	0.15229	0.19826	0.59775
V23	0.33614	0.08365	0.51627	0.06394
V24	0.81588	0.05648	0.06446	0.06319
V25	0.29054	0.26538	0.13844	0.30564
V26	0.32883	0.39103	0.03935	0.24079
V27	0.11494	0.11635	0.05069	0.71801
V28	0.02083	0.08797	0.83907	0.05213
V29	0.38064	0.07027	0.45699	0.0921
V30	0.11039	0.25182	0.25096	0.38683
V31	0.18731	0.23172	0.26704	0.31393
V32	0.09836	0.09585	0.06037	0.74543
V33	0.05565	0.47918	0.31538	0.14978
V34	0.13242	0.08711	0.69114	0.08934
V35	0.14962	0.66266	0.09452	0.0932
V36	0.03641	0.10238	0.41735	0.44386
V37	0.44992	0.11912	0.11834	0.31262
V38	0.36434	0.05824	0.18267	0.39475
V39	0.15324	0.52975	0.13428	0.18273
V40	0.09547	0.75746	0.08704	0.06002
V41	0.02569	0.62604	0.06001	0.28826
V42	0.21011	0.09219	0.2068	0.4909
V43	0.12862	0.34761	0.43503	0.08875
V44	0.03688	0.12872	0.62898	0.20543
V45	0.09941	0.55186	0.20653	0.14221
V46	0.67875	0.10576	0.147	0.06849
V47	0.37574	0.21966	0.29531	0.10929
V48	0.68207	0.19843	0.03252	0.08697
V49	0.61313	0.21817	0.02286	0.14584
V50	0.06966	0.76742	0.09457	0.06835
V51	0.26809	0.3985	0.24147	0.09194
V52	0.04329	0.15436	0.71346	0.0889
V53	0.61944	0.1534	0.16727	0.05989
V54	0.35914	0.22064	0.33801	0.08222
V55	0.19995	0.17765	0.22754	0.39486
V56	0.07334	0.08938	0.10423	0.73305
V57	0.09545	0.79129	0.03564	0.07761
V58	0.53472	0.05644	0.07352	0.33533
V59	0.36199	0.40685	0.12035	0.11082
V60	0.13791	0.19855	0.29309	0.37046
V61	0.67376	0.14091	0.04004	0.14529
V62	0.75132	0.06789	0.10222	0.07857
V63	0.02649	0.76266	0.12537	0.08548
V64	0.02148	0.7809	0.01261	0.18501
V65	0.0521	0.0835	0.11307	0.75134
V66	0.19305	0.64275	0.03655	0.12764
V67	0.14615	0.3382	0.44448	0.07117
V68	0.15913	0.19322	0.05139	0.59626
V69	0.04157	0.32689	0.52592	0.10562
V70	0.44895	0.18678	0.18917	0.1751
V71	0.16473	0.12897	0.3354	0.3709
V72	0.47419	0.19314	0.11704	0.21563
V73	0.14369	0.57187	0.142	0.14244
V74	0.06928	0.24864	0.62881	0.05327
V75	0.59689	0.04428	0.20722	0.1516
V76	0.03283	0.22011	0.17961	0.56745
V77	0.06561	0.31327	0.03389	0.58722
V78	0.26734	0.16452	0.18867	0.37947
V79	0.02438	0.14719	0.68891	0.13952
V80	0.31103	0.06743	0.48113	0.14042
V81	0.07085	0.19671	0.67187	0.06058
V82	0.01995	0.11239	0.80642	0.06124
V83	0.1414	0.22044	0.09448	0.54368
V84	0.33824	0.09995	0.17449	0.38731
V85	0.11271	0.33112	0.35058	0.20558
V86	0.06324	0.1006	0.7393	0.09686
V87	0.04363	0.75772	0.07061	0.12804
V88	0.16724	0.12141	0.25109	0.46026
V89	0.05577	0.08822	0.19891	0.65709
V90	0.03538	0.81552	0.07093	0.07818
V91	0.04472	0.68047	0.18165	0.09316
V92	0.39014	0.07163	0.35564	0.18259
V93	0.75537	0.05158	0.0312	0.16185
V94	0.04228	0.44451	0.04068	0.47253
V95	0.22498	0.42451	0.1598	0.19071
V96	0.09526	0.15631	0.05644	0.69199
V97	0.57895	0.13956	0.21448	0.06702
V98	0.58649	0.31285	0.02341	0.07725
V99	0.68083	0.08036	0.17012	0.0687
V100	0.08923	0.0831	0.74803	0.07964
V101	0.05536	0.09944	0.04114	0.80405
V102	0.79756	0.08274	0.03908	0.08062
V103	0.05033	0.11159	0.11182	0.72626
V104	0.0365	0.87391	0.02057	0.06902
V105	0.06033	0.84191	0.02845	0.06931
V106	0.11672	0.4923	0.29096	0.10002
V107	0.17427	0.2316	0.48725	0.10688
V108	0.14009	0.69762	0.10279	0.0595
V109	0.03707	0.20559	0.5026	0.25474
V110	0.06152	0.79896	0.05292	0.0866
V111	0.79113	0.03423	0.10352	0.07112
V112	0.1387	0.12197	0.37717	0.36215
V113	0.18259	0.16078	0.18117	0.47547
V114	0.22822	0.10715	0.10564	0.55899
V115	0.0187	0.70014	0.21504	0.06612
V116	0.1402	0.32896	0.32486	0.20598
V117	0.56419	0.27339	0.05851	0.10391
V118	0.1548	0.54592	0.05142	0.24786
V119	0.12917	0.13904	0.07754	0.65425
V120	0.08806	0.11674	0.72425	0.07096
V121	0.49111	0.16796	0.11721	0.22371
V122	0.83329	0.03919	0.04687	0.08065
V123	0.03114	0.49732	0.0634	0.40814
V124	0.55351	0.30706	0.01983	0.11961
V125	0.32896	0.41089	0.1781	0.08206
V126	0.07022	0.19958	0.07571	0.6545
V127	0.1673	0.11216	0.2444	0.47614
V128	0.06505	0.0884	0.12658	0.71997
V129	0.47944	0.25433	0.17254	0.09369
V130	0.01903	0.61744	0.2979	0.06563
V131	0.03485	0.81568	0.01214	0.13733
V132	0.80721	0.03983	0.06353	0.08942
V133	0.78264	0.05009	0.08758	0.07969
V134	0.11584	0.3945	0.13625	0.35341
V135	0.1033	0.09239	0.18275	0.62156
V136	0.21895	0.40305	0.03267	0.34533
V137	0.54502	0.0804	0.24725	0.12733
V138	0.19164	0.40192	0.17548	0.23096
V139	0.29946	0.241	0.19518	0.26437
V140	0.0643	0.15208	0.07848	0.70514
V141	0.08127	0.20305	0.46039	0.25529
V142	0.68215	0.03929	0.21875	0.05981
V143	0.359	0.28551	0.0912	0.26428
V144	0.16519	0.20395	0.17164	0.45922
V145	0.01211	0.70806	0.21408	0.06574
V146	0.08334	0.08954	0.06208	0.76504
V147	0.78122	0.05816	0.05427	0.10636
V148	0.13535	0.13043	0.49602	0.23819
V149	0.23151	0.49441	0.20839	0.0657
V150	0.09485	0.27138	0.50245	0.13133
V151	0.18674	0.58709	0.05046	0.1757
V152	0.2066	0.43703	0.2058	0.15057
V153	0.10555	0.68939	0.0361	0.16896
V154	0.21474	0.4443	0.24933	0.09162
V155	0.39612	0.18301	0.27001	0.15086
V156	0.05313	0.18839	0.58616	0.17231
V157	0.26619	0.20069	0.28559	0.24753
V158	0.05537	0.08587	0.05437	0.8044
V159	0.75751	0.09837	0.03004	0.11408
V160	0.57653	0.05402	0.0979	0.27155
V161	0.20364	0.07965	0.06392	0.65279
V162	0.08643	0.32461	0.09874	0.49023
V163	0.10351	0.47474	0.16679	0.25497
V164	0.28906	0.32639	0.12014	0.26441
V165	0.04447	0.29848	0.02638	0.63067
V166	0.04898	0.16047	0.09254	0.69801
V167	0.311	0.06363	0.0391	0.58628
V168	0.2468	0.54079	0.09424	0.11817
V169	0.18549	0.11903	0.07109	0.62439
V170	0.12105	0.08728	0.45391	0.33776
V171	0.13056	0.26921	0.50332	0.09691
V172	0.61517	0.04274	0.27439	0.0677
V173	0.06289	0.1996	0.06978	0.66773
V174	0.053	0.21795	0.09616	0.63289
V175	0.08194	0.07345	0.67229	0.17231
V176	0.01899	0.74755	0.16618	0.06728
V177	0.01873	0.88753	0.01417	0.07957
V178	0.02267	0.70758	0.021	0.24875
V179	0.16677	0.07628	0.3445	0.41245
V180	0.03548	0.81664	0.08677	0.06111
V181	0.15925	0.18002	0.46258	0.19814
V182	0.26368	0.21768	0.40314	0.11551
V183	0.165	0.7445	0.02157	0.06893
V184	0.86312	0.03146	0.04129	0.06413
V185	0.48268	0.4146	0.03387	0.06885
V186	0.11912	0.4664	0.24006	0.17442
V187	0.82485	0.03918	0.06389	0.07208
V188	0.08429	0.27137	0.02724	0.61711
V189	0.68499	0.06549	0.04843	0.2011
V190	0.56413	0.05436	0.3146	0.06691
V191	0.17387	0.24038	0.48755	0.0982
V192	0.26019	0.45712	0.06747	0.21523
V193	0.50353	0.0822	0.23899	0.17528
V194	0.04413	0.84755	0.02095	0.08737
V195	0.02816	0.08688	0.82398	0.06099
V196	0.05277	0.13712	0.04573	0.76438
V197	0.3529	0.10752	0.05988	0.4797
V198	0.07296	0.48686	0.32377	0.11641
V199	0.1687	0.09571	0.18221	0.55338
V200	0.12872	0.53651	0.03754	0.29724
V201	0.10115	0.52671	0.18063	0.19151
V202	0.03814	0.08448	0.66348	0.21389
V203	0.15351	0.42308	0.34164	0.08177
V204	0.03114	0.51947	0.02619	0.4232
V205	0.03528	0.11092	0.78215	0.07165
V206	0.06298	0.14524	0.73128	0.06051
V207	0.14134	0.23666	0.07857	0.54343
V208	0.23111	0.11607	0.58097	0.07185
V209	0.25882	0.45486	0.08727	0.19906
V210	0.08666	0.6999	0.10278	0.11066
V211	0.36225	0.07447	0.06665	0.49664
V212	0.43364	0.08606	0.39795	0.08235
V213	0.52744	0.07987	0.13635	0.25634
