CD19B	CD56NK	CD4MemoryT	CD14
V1	0.42188	0.07168	0.21731	0.28912
V2	0.16377	0.1462	0.13058	0.55945
V3	0.08121	0.53299	0.09233	0.29347
V4	0.64603	0.15104	0.08988	0.11306
V5	0.12026	0.42993	0.25462	0.19518
V6	0.08508	0.7158	0.09868	0.10044
V7	0.14845	0.3455	0.14633	0.35973
V8	0.1487	0.08689	0.64553	0.11888
V9	0.20941	0.25636	0.11872	0.41551
V10	0.07037	0.09582	0.70146	0.13235
V11	0.18448	0.34517	0.37936	0.09099
V12	0.06037	0.50989	0.33469	0.09505
V13	0.21466	0.59673	0.08737	0.10124
V14	0.07893	0.74645	0.0881	0.08652
V15	0.12367	0.51448	0.1687	0.19315
V16	0.67844	0.08593	0.11211	0.12353
V17	0.09232	0.71512	0.09225	0.10031
V18	0.42018	0.33826	0.12205	0.11951
V19	0.14153	0.67735	0.08847	0.09264
V20	0.15701	0.41786	0.10064	0.3245
V21	0.14734	0.1182	0.61711	0.11735
V22	0.08124	0.1542	0.22897	0.53558
V23	0.31091	0.09904	0.49082	0.09923
V24	0.71375	0.06864	0.12035	0.09727
V25	0.27013	0.25893	0.17955	0.29138
V26	0.29634	0.36917	0.10193	0.23256
V27	0.13736	0.11753	0.10968	0.63543
V28	0.06144	0.10424	0.74233	0.09199
V29	0.34869	0.08676	0.44382	0.12073
V30	0.12359	0.24629	0.27215	0.35796
V31	0.18768	0.22869	0.28603	0.2976
V32	0.12471	0.09938	0.11746	0.65845
V33	0.07569	0.44509	0.3229	0.15633
V34	0.14754	0.10301	0.63112	0.11833
V35	0.14618	0.60423	0.14271	0.10688
V36	0.07029	0.11122	0.41039	0.4081
V37	0.4094	0.12754	0.16192	0.30114
V38	0.34043	0.06907	0.2181	0.3724
V39	0.15255	0.49154	0.17511	0.1808
V40	0.10032	0.68158	0.13706	0.08104
V41	0.04789	0.57038	0.1163	0.26543
V42	0.21201	0.10069	0.23742	0.44988
V43	0.13744	0.33199	0.41915	0.11142
V44	0.06864	0.13959	0.58133	0.21045
V45	0.10872	0.50926	0.23342	0.14861
V46	0.59681	0.11764	0.18587	0.09969
V47	0.34159	0.22127	0.30843	0.12871
V48	0.59594	0.19895	0.09421	0.1109
V49	0.53992	0.21656	0.08695	0.15657
V50	0.07912	0.68954	0.1439	0.08744
V51	0.24718	0.37741	0.26389	0.11153
V52	0.07467	0.16265	0.64559	0.11708
V53	0.5455	0.16026	0.20192	0.09231
V54	0.32524	0.22286	0.34367	0.10822
V55	0.19808	0.18031	0.25396	0.36765
V56	0.10479	0.09264	0.15285	0.64972
V57	0.09875	0.70927	0.0989	0.09308
V58	0.48427	0.06488	0.12821	0.32265
V59	0.32254	0.38595	0.16615	0.12536
V60	0.14861	0.1998	0.30641	0.34517
V61	0.59421	0.14566	0.10086	0.15927
V62	0.66065	0.08063	0.15046	0.10825
V63	0.04665	0.68461	0.1681	0.10064
V64	0.0417	0.70125	0.0809	0.17615
V65	0.0874	0.08735	0.16047	0.66479
V66	0.17957	0.58706	0.09897	0.13439
V67	0.15158	0.32338	0.42812	0.09692
V68	0.16739	0.1887	0.11137	0.53254
V69	0.06835	0.31324	0.49346	0.12495
V70	0.40472	0.19084	0.22196	0.18248
V71	0.17278	0.1372	0.3425	0.34751
V72	0.42641	0.19524	0.1609	0.21745
V73	0.14381	0.52643	0.18153	0.14823
V74	0.09212	0.24598	0.57473	0.08717
V75	0.53637	0.05731	0.23861	0.16771
V76	0.06484	0.21549	0.21283	0.50685
V77	0.08709	0.29574	0.0969	0.52027
V78	0.25531	0.16792	0.22209	0.35468
V79	0.05955	0.15662	0.62672	0.15712
V80	0.29304	0.08318	0.46485	0.15893
V81	0.09457	0.20076	0.60979	0.09488
V82	0.06008	0.12615	0.71604	0.09773
V83	0.15203	0.21508	0.14463	0.48826
V84	0.31582	0.10819	0.21118	0.3648
V85	0.12471	0.31774	0.35223	0.20532
V86	0.09201	0.11467	0.66834	0.12497
V87	0.05874	0.68301	0.12503	0.13323
V88	0.17589	0.12879	0.27348	0.42183
V89	0.08778	0.09463	0.23085	0.58674
V90	0.05202	0.72834	0.12493	0.09472
V91	0.06059	0.61988	0.21166	0.10787
V92	0.36069	0.08622	0.36226	0.19083
V93	0.66756	0.06364	0.09342	0.17538
V94	0.06349	0.41231	0.10243	0.42177
V95	0.21203	0.40019	0.19786	0.18991
V96	0.11984	0.15547	0.11333	0.61136
V97	0.51252	0.14774	0.24193	0.09781
V98	0.51112	0.29993	0.08841	0.10054
V99	0.59994	0.09233	0.2062	0.10153
V100	0.11251	0.09998	0.67524	0.11226
V101	0.09062	0.10173	0.10167	0.70598
V102	0.6983	0.09206	0.10015	0.10949
V103	0.08425	0.11488	0.15839	0.64248
V104	0.05197	0.77296	0.08794	0.08713
V105	0.07011	0.749	0.09411	0.08679
V106	0.12378	0.45667	0.30419	0.11535
V107	0.17736	0.23238	0.46264	0.12761
V108	0.13748	0.63015	0.15084	0.08153
V109	0.06809	0.20814	0.47468	0.24909
V110	0.07188	0.71576	0.11184	0.10052
V111	0.69539	0.04779	0.15291	0.10391
V112	0.15194	0.13128	0.37605	0.34072
V113	0.1862	0.1632	0.21594	0.43466
V114	0.22694	0.11376	0.15275	0.50655
V115	0.04233	0.63171	0.23795	0.088
V116	0.14699	0.31535	0.33187	0.20579
V117	0.49615	0.26582	0.11527	0.12276
V118	0.15296	0.50351	0.10916	0.23437
V119	0.14702	0.13924	0.13087	0.58287
V120	0.11026	0.1303	0.65585	0.10358
V121	0.44192	0.17297	0.16037	0.22474
V122	0.72912	0.05315	0.10694	0.1108
V123	0.05335	0.45866	0.1205	0.3675
V124	0.48624	0.29472	0.08559	0.13344
V125	0.29444	0.38835	0.21296	0.10426
