CD19B	CD56NK	CD4MemoryT	CD14
V1	0.41195	0.08733	0.21777	0.28295
V2	0.15809	0.1549	0.13503	0.55197
V3	0.07786	0.53148	0.10065	0.29002
V4	0.62521	0.16833	0.09736	0.1091
V5	0.11976	0.43335	0.25456	0.19233
V6	0.08437	0.7113	0.10767	0.09666
V7	0.14489	0.34929	0.15099	0.35483
V8	0.15179	0.10429	0.62603	0.11789
V9	0.20389	0.26248	0.12427	0.40936
V10	0.07566	0.11177	0.68113	0.13143
V11	0.18484	0.35317	0.37287	0.08912
V12	0.06209	0.51257	0.33197	0.09337
V13	0.21122	0.59409	0.09696	0.09773
V14	0.07791	0.74159	0.09767	0.08283
V15	0.12193	0.51469	0.17329	0.19009
V16	0.65615	0.1067	0.11788	0.11928
V17	0.09179	0.71025	0.10149	0.09648
V18	0.41016	0.34594	0.12819	0.11572
V19	0.13999	0.67385	0.09747	0.08869
V20	0.15323	0.41892	0.10804	0.31981
V21	0.1504	0.13432	0.59891	0.11637
V22	0.07759	0.16261	0.22928	0.53052
V23	0.30735	0.11819	0.47669	0.09778
V24	0.68946	0.09151	0.12545	0.09358
V25	0.26491	0.26701	0.182	0.28608
V26	0.28989	0.37355	0.10919	0.22737
V27	0.13132	0.12702	0.11437	0.6273
V28	0.06688	0.12004	0.72121	0.09187
V29	0.34315	0.10582	0.43241	0.11862
V30	0.12178	0.25347	0.27084	0.35391
V31	0.18506	0.23801	0.28353	0.2934
V32	0.11868	0.10955	0.12162	0.65015
V33	0.07705	0.4486	0.32008	0.15427
V34	0.15046	0.11968	0.6126	0.11727
V35	0.1448	0.60215	0.14915	0.1039
V36	0.07059	0.1234	0.4021	0.40391
V37	0.39904	0.14165	0.16473	0.29458
V38	0.33258	0.08353	0.21824	0.36565
V39	0.15059	0.49276	0.1791	0.17754
V40	0.09976	0.67831	0.14415	0.07778
V41	0.0458	0.56805	0.12395	0.2622
V42	0.20708	0.11307	0.23651	0.44334
V43	0.1398	0.34035	0.41024	0.10961
V44	0.07327	0.15417	0.56415	0.20841
V45	0.10877	0.51055	0.23462	0.14606
V46	0.57933	0.13685	0.18768	0.09614
V47	0.33609	0.23374	0.30425	0.12591
V48	0.57786	0.21355	0.10188	0.1067
V49	0.52423	0.22907	0.09481	0.15189
V50	0.07929	0.68605	0.15052	0.08414
V51	0.24455	0.38359	0.26302	0.10884
V52	0.07916	0.17577	0.62852	0.11654
V53	0.53028	0.17725	0.20315	0.08932
V54	0.32021	0.23605	0.3378	0.10594
V55	0.19429	0.19042	0.25292	0.36237
V56	0.09902	0.10245	0.15589	0.64263
V57	0.09823	0.70441	0.10803	0.08933
V58	0.4708	0.08138	0.1327	0.31513
V59	0.31633	0.39162	0.16997	0.12208
V60	0.1469	0.20935	0.30289	0.34087
V61	0.57593	0.16225	0.10748	0.15433
V62	0.63972	0.1018	0.15372	0.10476
V63	0.04715	0.68204	0.1736	0.09721
V64	0.04064	0.69573	0.09034	0.17329
V65	0.08191	0.0976	0.16289	0.6576
V66	0.17643	0.58493	0.10752	0.13112
V67	0.15367	0.33237	0.41858	0.09539
V68	0.16165	0.19586	0.11699	0.5255
V69	0.07202	0.322	0.48234	0.12364
V70	0.39568	0.20381	0.22239	0.17812
V71	0.17061	0.14917	0.33734	0.34287
V72	0.4161	0.20769	0.16408	0.21213
V73	0.14244	0.52689	0.1854	0.14527
V74	0.09599	0.25747	0.56025	0.08629
V75	0.52214	0.07708	0.23726	0.16352
V76	0.06176	0.22168	0.21441	0.50214
V77	0.08234	0.29916	0.1037	0.51481
V78	0.25002	0.17914	0.222	0.34883
V79	0.06414	0.16906	0.61066	0.15614
V80	0.28943	0.10162	0.45254	0.15641
V81	0.0986	0.21334	0.59388	0.09419
V82	0.06533	0.14052	0.69678	0.09737
V83	0.14749	0.22185	0.14865	0.482
V84	0.30875	0.12075	0.21193	0.35858
V85	0.12487	0.325	0.34735	0.20278
V86	0.09666	0.13008	0.64925	0.12401
V87	0.05748	0.67911	0.13281	0.1306
V88	0.1724	0.14049	0.27077	0.41634
V89	0.08356	0.1052	0.23049	0.58076
V90	0.05245	0.72356	0.13279	0.0912
V91	0.06124	0.61794	0.21515	0.10567
V92	0.35445	0.10368	0.35487	0.187
V93	0.64557	0.0846	0.10035	0.16948
V94	0.05994	0.41299	0.10941	0.41767
V95	0.20894	0.40413	0.20061	0.18632
V96	0.11377	0.16333	0.11871	0.60419
V97	0.49942	0.16532	0.24048	0.09478
V98	0.49667	0.30965	0.0971	0.09658
V99	0.58216	0.1132	0.20647	0.09817
V100	0.11616	0.11669	0.65556	0.11159
V101	0.08417	0.1116	0.10702	0.69721
V102	0.67585	0.11266	0.10567	0.10582
V103	0.07908	0.12422	0.16086	0.63585
V104	0.05064	0.76794	0.09756	0.08386
V105	0.06959	0.7439	0.10333	0.08319
V106	0.12469	0.46062	0.30152	0.11317
V107	0.17789	0.24382	0.45244	0.12585
V108	0.13721	0.62767	0.15672	0.07839
V109	0.07023	0.21809	0.465	0.24668
V110	0.07129	0.71157	0.12045	0.09669
V111	0.67189	0.07199	0.15604	0.10008
V112	0.15079	0.14374	0.36906	0.33641
V113	0.18183	0.17305	0.21644	0.42868
V114	0.22047	0.12482	0.15585	0.49886
V115	0.04295	0.6315	0.24046	0.08508
V116	0.14621	0.32278	0.32794	0.20307
V117	0.48294	0.27661	0.12176	0.11869
V118	0.14962	0.50352	0.1164	0.23046
V119	0.14146	0.14802	0.13519	0.57533
V120	0.11433	0.14569	0.63675	0.10323
V121	0.43073	0.18645	0.16356	0.21926
V122	0.70327	0.07787	0.11238	0.10648
V123	0.05063	0.45854	0.12711	0.36372
V124	0.47283	0.30424	0.09392	0.129
V125	0.28959	0.39418	0.21485	0.10138
V126	0.08894	0.20077	0.13466	0.57562
V127	0.17259	0.12979	0.2669	0.43073
V128	0.09038	0.10238	0.17529	0.63195
V129	0.41694	0.26173	0.20823	0.1131
V130	0.04493	0.56288	0.30679	0.0854
V131	0.04887	0.72302	0.09068	0.13744
V132	0.68513	0.07784	0.124	0.11303
V133	0.66508	0.08554	0.14412	0.10526
V134	0.12262	0.37477	0.18069	0.32191
V135	0.12233	0.10875	0.21801	0.55091
V136	0.20159	0.38104	0.1035	0.31387
V137	0.47753	0.1127	0.26684	0.14292
V138	0.18232	0.38464	0.21239	0.22065
V139	0.27291	0.24747	0.22675	0.25286
V140	0.08784	0.15988	0.13592	0.61636
V141	0.10261	0.21688	0.4333	0.2472
V142	0.58629	0.07725	0.24434	0.09211
V143	0.31657	0.28495	0.1475	0.25098
V144	0.1677	0.20943	0.20956	0.41331
V145	0.03821	0.6367	0.2395	0.0856
V146	0.10583	0.10457	0.12304	0.66656
V147	0.66467	0.09273	0.11655	0.12605
V148	0.14895	0.15479	0.46188	0.23439
V149	0.21359	0.46233	0.23687	0.08721
V150	0.11554	0.27654	0.46379	0.14412
V151	0.17309	0.53959	0.11656	0.17076
V152	0.19408	0.41465	0.23591	0.15535
V153	0.10759	0.62277	0.10623	0.16341
V154	0.20259	0.42146	0.26823	0.10771
V155	0.35304	0.201	0.2855	0.16045
V156	0.08463	0.20593	0.53047	0.17896
V157	0.2491	0.21418	0.29759	0.23913
V158	0.0847	0.10001	0.11669	0.6986
V159	0.64324	0.12874	0.09763	0.13039
V160	0.50493	0.08241	0.15108	0.26158
V161	0.20326	0.09512	0.12503	0.57658
V162	0.09791	0.31274	0.15326	0.43609
V163	0.11185	0.44426	0.20515	0.23874
V164	0.26172	0.31894	0.16949	0.24986
V165	0.06679	0.28499	0.09724	0.55098
V166	0.07482	0.1676	0.14674	0.61084
V167	0.28717	0.08397	0.10571	0.52316
V168	0.22376	0.50284	0.14941	0.12399
V169	0.18518	0.13205	0.12993	0.55284
V170	0.13625	0.11506	0.43067	0.31803
V171	0.14261	0.27523	0.46394	0.11822
V172	0.53272	0.08042	0.28775	0.0991
V173	0.08417	0.20021	0.13027	0.58535
V174	0.07481	0.21794	0.15045	0.55681
V175	0.11007	0.10437	0.60302	0.18255
V176	0.04189	0.66933	0.20339	0.08538
V177	0.03711	0.77896	0.09333	0.09061
V178	0.04164	0.63527	0.0955	0.22759
V179	0.17451	0.1017	0.34515	0.37863
V180	0.05301	0.72428	0.1448	0.07792
V181	0.16757	0.19715	0.43602	0.19926
V182	0.24747	0.23276	0.38864	0.13113
V183	0.15331	0.66594	0.09765	0.0831
V184	0.7251	0.07081	0.10912	0.09497
V185	0.41201	0.39367	0.10506	0.08926
V186	0.12609	0.43956	0.26137	0.17298
V187	0.69758	0.07791	0.12407	0.10045
V188	0.09977	0.26263	0.09761	0.54
V189	0.5909	0.09458	0.11277	0.20174
V190	0.49222	0.09011	0.31923	0.09844
V191	0.17725	0.25058	0.45263	0.11953
V192	0.235	0.43027	0.12904	0.20568
V193	0.44544	0.11292	0.26089	0.18074
V194	0.05625	0.74897	0.09796	0.09682
V195	0.07123	0.11994	0.71107	0.09776
V196	0.08049	0.14474	0.11041	0.66436
V197	0.32091	0.12488	0.12176	0.43245
V198	0.09101	0.45581	0.32642	0.12676
V199	0.17336	0.11349	0.21815	0.49499
V200	0.1282	0.49433	0.10685	0.27062
V201	0.11014	0.49021	0.21457	0.18508
V202	0.07616	0.11384	0.59397	0.21603
V203	0.15592	0.40323	0.33932	0.10153
V204	0.04961	0.47612	0.0994	0.37487
V205	0.07566	0.1395	0.67967	0.10516
V206	0.09477	0.16771	0.64245	0.09507
V207	0.14642	0.23532	0.1367	0.48156
V208	0.22535	0.14601	0.52637	0.10227
V209	0.23481	0.42944	0.14446	0.19129
V210	0.0936	0.63261	0.1565	0.11728
V211	0.33	0.09549	0.12664	0.44787
V212	0.38835	0.12004	0.3831	0.10851
V213	0.46515	0.10467	0.18075	0.24943
V214	0.26155	0.21518	0.2095	0.31377
V215	0.2435	0.16537	0.11367	0.47746
V216	0.09524	0.09909	0.11682	0.68885
V217	0.07665	0.44858	0.2415	0.23327
V218	0.11301	0.41404	0.20567	0.26729
V219	0.11123	0.54613	0.10049	0.24215
V220	0.04138	0.67634	0.09492	0.18736
V221	0.59024	0.07743	0.10403	0.2283
V222	0.25661	0.20009	0.33024	0.21307
V223	0.06287	0.2074	0.58273	0.147
V224	0.71579	0.07034	0.11904	0.09484
V225	0.07116	0.71185	0.13354	0.08346
V226	0.25839	0.16018	0.47978	0.10166
V227	0.58022	0.07634	0.23808	0.10537
V228	0.55362	0.13564	0.14967	0.16107
V229	0.0772	0.1187	0.69236	0.11173
V230	0.08325	0.11196	0.11744	0.68736
V231	0.06876	0.29894	0.17151	0.46079
V232	0.07032	0.55778	0.09004	0.28186
V233	0.41395	0.15949	0.23502	0.19154
V234	0.05744	0.73704	0.11452	0.091
V235	0.29901	0.13947	0.44436	0.11716
V236	0.09449	0.15322	0.60377	0.14852
V237	0.16942	0.09582	0.12877	0.60599
V238	0.13203	0.48928	0.26037	0.11832
V239	0.09499	0.38374	0.10897	0.4123
V240	0.37406	0.11839	0.37852	0.12902
V241	0.07608	0.11106	0.66936	0.1435
V242	0.12402	0.62971	0.15712	0.08914
V243	0.21968	0.12955	0.50241	0.14836
V244	0.20008	0.10039	0.54284	0.15668
V245	0.42657	0.30936	0.13522	0.12885
V246	0.09755	0.21258	0.58142	0.10845
V247	0.17218	0.11267	0.6248	0.09035
V248	0.08706	0.11727	0.13337	0.6623
V249	0.06324	0.13251	0.66116	0.14309
V250	0.56614	0.07848	0.25562	0.09976
V251	0.68875	0.10548	0.10641	0.09936
V252	0.04183	0.68743	0.19269	0.07805
V253	0.28591	0.14819	0.20916	0.35673
V254	0.03799	0.74931	0.12807	0.08462
V255	0.06248	0.7369	0.09068	0.10994
V256	0.17021	0.25704	0.41933	0.15343
V257	0.31932	0.17172	0.2536	0.25536
V258	0.16888	0.29336	0.36115	0.1766
V259	0.07799	0.3138	0.48918	0.11903
V260	0.05536	0.31016	0.54386	0.09062
V261	0.45161	0.1103	0.237	0.20108
V262	0.13089	0.13328	0.11404	0.6218
V263	0.04398	0.76625	0.09363	0.09614
V264	0.17198	0.12629	0.37098	0.33075
V265	0.09165	0.0969	0.19067	0.62078
V266	0.46792	0.34646	0.10102	0.0846
V267	0.05951	0.23334	0.27471	0.43244
V268	0.30191	0.10638	0.20058	0.39113
V269	0.04723	0.4939	0.33842	0.12044
V270	0.47249	0.10397	0.26758	0.15596
V271	0.57391	0.13258	0.12522	0.16829
V272	0.07091	0.67132	0.10058	0.15719
V273	0.10538	0.11007	0.1291	0.65545
V274	0.51555	0.07712	0.23174	0.17558
V275	0.06635	0.11975	0.71614	0.09777
V276	0.36239	0.33951	0.10389	0.19421
V277	0.08187	0.24993	0.20311	0.46509
V278	0.09012	0.1433	0.28479	0.48179
V279	0.49737	0.12961	0.18029	0.19273
V280	0.0847	0.10001	0.11669	0.6986
V281	0.40199	0.10716	0.20084	0.29
V282	0.10062	0.15349	0.61065	0.13523
V283	0.17482	0.50473	0.13678	0.18366
V284	0.05307	0.72994	0.1326	0.08439
V285	0.11081	0.11072	0.68735	0.09112
V286	0.19662	0.48346	0.16643	0.15349
V287	0.0976	0.70467	0.10214	0.0956
V288	0.06412	0.30461	0.3597	0.27157
V289	0.233	0.2614	0.36108	0.14452
V290	0.59731	0.20533	0.10816	0.08921
V291	0.37108	0.14598	0.38129	0.10165
V292	0.6825	0.07747	0.10235	0.13769
V293	0.25545	0.10815	0.51304	0.12336
