CD19B	CD56NK	CD4MemoryT	CD14
V1	0.42599	0.08011	0.20642	0.28748
V2	0.12483	0.17034	0.10908	0.59575
V3	0.04472	0.58638	0.04839	0.3205
V4	0.68215	0.16091	0.06854	0.08841
V5	0.0959	0.46792	0.22871	0.20747
V6	0.05844	0.79344	0.04261	0.10551
V7	0.11929	0.38102	0.11488	0.38482
V8	0.13976	0.07517	0.68024	0.10483
V9	0.18348	0.28509	0.09015	0.44128
V10	0.04851	0.08193	0.7471	0.12246
V11	0.17912	0.36947	0.37218	0.07923
V12	0.03233	0.56	0.31368	0.09399
V13	0.20554	0.65497	0.03888	0.1006
V14	0.0517	0.82941	0.02906	0.08983
V15	0.09888	0.56234	0.13145	0.20734
V16	0.71589	0.09218	0.09514	0.09679
V17	0.0674	0.79136	0.03622	0.10502
V18	0.4354	0.36617	0.09019	0.10824
V19	0.12504	0.74693	0.034	0.09403
V20	0.13082	0.45896	0.06294	0.34728
V21	0.13788	0.10991	0.64767	0.10454
V22	0.03511	0.17466	0.2139	0.57633
V23	0.3233	0.09211	0.50836	0.07624
V24	0.7568	0.07357	0.10447	0.06516
V25	0.25983	0.28249	0.15588	0.3018
V26	0.29137	0.4036	0.06667	0.23837
V27	0.08981	0.14351	0.08892	0.67776
V28	0.03644	0.08894	0.80176	0.07287
V29	0.36341	0.08066	0.45474	0.10119
V30	0.09312	0.26799	0.25723	0.38166
V31	0.16839	0.24613	0.27377	0.31171
V32	0.07551	0.12349	0.0979	0.70311
V33	0.04721	0.48589	0.30325	0.16364
V34	0.13843	0.0922	0.66437	0.105
V35	0.12884	0.66409	0.09825	0.10882
V36	0.03056	0.11762	0.41446	0.43736
V37	0.41138	0.13948	0.14549	0.30365
V38	0.33113	0.07983	0.20622	0.38283
V39	0.13275	0.53642	0.1396	0.19123
V40	0.07856	0.75379	0.08681	0.08085
V41	0.00831	0.62836	0.07099	0.29233
V42	0.18612	0.11359	0.22568	0.47461
V43	0.12319	0.35403	0.41708	0.10569
V44	0.04183	0.13756	0.60538	0.21523
V45	0.085	0.55687	0.20275	0.15538
V46	0.63446	0.12134	0.17292	0.07128
V47	0.35184	0.23136	0.29993	0.11687
V48	0.62944	0.21241	0.07012	0.08803
V49	0.56181	0.23271	0.06067	0.14481
V50	0.05345	0.76329	0.09383	0.08944
V51	0.24608	0.4076	0.24205	0.10427
V52	0.05388	0.15879	0.67998	0.10735
V53	0.57931	0.16698	0.18795	0.06576
V54	0.33619	0.23271	0.33812	0.09298
V55	0.17711	0.1961	0.24003	0.38677
V56	0.05422	0.11587	0.13446	0.69545
V57	0.0757	0.7844	0.04318	0.09671
V58	0.48883	0.0769	0.11193	0.32234
V59	0.32844	0.41869	0.13432	0.11854
V60	0.12234	0.21507	0.29688	0.36572
V61	0.62085	0.15665	0.07932	0.14319
V62	0.69812	0.08474	0.1371	0.08004
V63	0.01591	0.75799	0.12059	0.10551
V64	0.00453	0.77479	0.02408	0.1966
V65	0.03332	0.11068	0.14284	0.71317
V66	0.16589	0.64305	0.05094	0.14012
V67	0.14118	0.34369	0.42756	0.08756
V68	0.12996	0.21529	0.08618	0.56857
V69	0.04344	0.33269	0.50105	0.12282
V70	0.41619	0.20178	0.20598	0.17605
V71	0.14953	0.14582	0.33866	0.36599
V72	0.43666	0.20986	0.14057	0.21291
V73	0.12474	0.57621	0.14459	0.15445
V74	0.07366	0.25451	0.59863	0.0732
V75	0.55905	0.06054	0.22886	0.15155
V76	0.01652	0.24029	0.19455	0.54864
V77	0.04087	0.3314	0.06493	0.5628
V78	0.24005	0.18319	0.20676	0.37
V79	0.03362	0.15335	0.65844	0.15459
V80	0.2967	0.07896	0.47626	0.14808
V81	0.07699	0.20153	0.64165	0.07984
V82	0.03441	0.11555	0.76851	0.08152
V83	0.11543	0.24178	0.1204	0.52239
V84	0.3052	0.12032	0.19746	0.37702
V85	0.10277	0.34174	0.34192	0.21358
