CD19B	CD56NK	CD4MemoryT	CD14
V1	0.43123	0.05811	0.20255	0.30811
V2	0.15965	0.14132	0.10937	0.58966
V3	0.07609	0.53427	0.07054	0.3191
V4	0.68036	0.1349	0.06315	0.12159
V5	0.11573	0.42447	0.24465	0.21515
V6	0.08155	0.72659	0.07683	0.11504
V7	0.1457	0.34169	0.12672	0.3859
V8	0.1417	0.07182	0.65437	0.13211
V9	0.20929	0.25099	0.09618	0.44354
V10	0.05961	0.07861	0.71469	0.14709
V11	0.18358	0.33272	0.37969	0.10401
V12	0.05215	0.50666	0.33109	0.1101
V13	0.21955	0.60076	0.06462	0.11506
V14	0.07472	0.75899	0.06572	0.10058
V15	0.12045	0.51201	0.15386	0.21367
V16	0.71227	0.06891	0.08723	0.13159
V17	0.08923	0.72522	0.07076	0.11479
V18	0.4389	0.33056	0.09846	0.13208
V19	0.14181	0.68598	0.06545	0.10677
V20	0.15576	0.4163	0.07744	0.3505
V21	0.14103	0.10119	0.62696	0.13083
V22	0.07282	0.14896	0.21531	0.56292
V23	0.31344	0.08061	0.49556	0.11038
V24	0.75022	0.05052	0.09489	0.10437
V25	0.27398	0.25039	0.16259	0.31303
V26	0.30531	0.36451	0.07706	0.25312
V27	0.13113	0.11399	0.08726	0.66762
V28	0.04927	0.08681	0.75996	0.10395
V29	0.35401	0.06868	0.44541	0.1319
V30	0.11818	0.23791	0.26188	0.38203
V31	0.18504	0.21884	0.27666	0.31946
V32	0.11773	0.0957	0.09615	0.69042
V33	0.06888	0.43959	0.3173	0.17423
V34	0.14089	0.08614	0.64121	0.13176
V35	0.14559	0.60665	0.12586	0.1219
V36	0.05988	0.10216	0.40654	0.43142
V37	0.41959	0.11521	0.14351	0.32169
V38	0.34421	0.059	0.20253	0.39426
V39	0.15087	0.48851	0.16062	0.20001
V40	0.09703	0.68888	0.11994	0.09415
V41	0.04043	0.57291	0.09686	0.2898
V42	0.20879	0.09266	0.22337	0.47519
V43	0.13277	0.32008	0.42159	0.12556
V44	0.05846	0.12514	0.58777	0.22862
V45	0.10398	0.50606	0.22403	0.16593
V46	0.62385	0.09962	0.16885	0.10767
V47	0.34932	0.20561	0.30284	0.14223
V48	0.62677	0.18516	0.0681	0.11997
V49	0.56608	0.20375	0.06017	0.16999
V50	0.07487	0.69731	0.12659	0.10123
V51	0.25138	0.36852	0.25517	0.12493
V52	0.06508	0.1458	0.65817	0.13094
V53	0.56962	0.14273	0.18748	0.10017
V54	0.3325	0.2071	0.33956	0.12084
V55	0.19558	0.17127	0.24169	0.39145
V56	0.09736	0.08916	0.13419	0.67929
V57	0.0963	0.71956	0.07671	0.10743
V58	0.49747	0.0546	0.1053	0.34263
V59	0.33355	0.37919	0.14797	0.1393
V60	0.1432	0.19031	0.29822	0.36827
V61	0.62244	0.13053	0.07552	0.17151
V62	0.69128	0.0626	0.13003	0.1161
V63	0.03939	0.69287	0.15289	0.11485
V64	0.03431	0.71194	0.05724	0.19651
V65	0.07823	0.08418	0.14233	0.69526
V66	0.18187	0.58993	0.07776	0.15044
V67	0.14812	0.30961	0.43153	0.11074
V68	0.16453	0.1837	0.08849	0.56327
V69	0.05999	0.30122	0.49796	0.14083
V70	0.41626	0.17632	0.20911	0.1983
V71	0.16793	0.12672	0.33534	0.37001
V72	0.4402	0.18234	0.14206	0.2354
V73	0.14198	0.52485	0.16762	0.16555
V74	0.08528	0.23084	0.58432	0.09956
V75	0.55344	0.04163	0.22437	0.18057
V76	0.05584	0.21005	0.19876	0.53536
V77	0.08058	0.29355	0.07281	0.55306
V78	0.25613	0.15818	0.20785	0.37783
V79	0.04892	0.14005	0.63733	0.17369
V80	0.29382	0.06771	0.46529	0.17318
V81	0.08696	0.18451	0.62125	0.10728
V82	0.04795	0.10952	0.73238	0.11015
V83	0.148	0.20972	0.1248	0.51748
V84	0.3192	0.09737	0.19609	0.38734
V85	0.11946	0.30817	0.34767	0.2247
V86	0.08262	0.09797	0.68082	0.13859
V87	0.05293	0.69061	0.10615	0.15032
V88	0.17093	0.12004	0.2629	0.44613
V89	0.07884	0.08971	0.21678	0.61467
V90	0.04544	0.73942	0.10626	0.10889
V91	0.05441	0.62093	0.2009	0.12377
V92	0.36596	0.0699	0.35756	0.20658
V93	0.69827	0.04792	0.06656	0.18724
V94	0.05727	0.41185	0.07979	0.45108
V95	0.21387	0.39437	0.1826	0.20916
V96	0.11307	0.15148	0.09187	0.64358
V97	0.53227	0.13081	0.23004	0.10688
V98	0.53844	0.29	0.0609	0.11066
V99	0.62567	0.07446	0.19044	0.10943
V100	0.10478	0.08318	0.6873	0.12474
V101	0.08214	0.10028	0.07985	0.73773
V102	0.73405	0.07526	0.07372	0.11697
V103	0.07552	0.11133	0.13991	0.67324
V104	0.04539	0.78812	0.06538	0.10112
V105	0.06535	0.76193	0.07156	0.10116
V106	0.11993	0.45147	0.29803	0.13057
V107	0.17406	0.2166	0.46754	0.1418
V108	0.13632	0.63548	0.13424	0.09396
V109	0.058	0.19559	0.4773	0.26911
V110	0.06726	0.72622	0.09137	0.11516
V111	0.72859	0.02955	0.13071	0.11114
V112	0.1458	0.12103	0.37063	0.36254
V113	0.18299	0.15549	0.20145	0.46008
V114	0.22523	0.10626	0.13314	0.53537
V115	0.03361	0.63463	0.22967	0.10208
V116	0.14272	0.30632	0.32618	0.22478
V117	0.5197	0.25434	0.09183	0.13413
V118	0.15174	0.50278	0.08907	0.25642
V119	0.14126	0.13463	0.11027	0.61384
V120	0.10264	0.11375	0.66748	0.11613
V121	0.45616	0.15927	0.14216	0.24241
V122	0.76772	0.03426	0.08017	0.11785
V123	0.04702	0.45829	0.09929	0.39541
V124	0.51014	0.28477	0.05878	0.14631
V125	0.30292	0.38041	0.19961	0.11705
V126	0.08769	0.19078	0.10905	0.61248
V127	0.17111	0.11003	0.25788	0.46098
V128	0.08759	0.08812	0.15522	0.66907
V129	0.44226	0.23728	0.19321	0.12724
V130	0.03601	0.56015	0.30175	0.10209
V131	0.04403	0.74026	0.05744	0.15827
V132	0.74454	0.03512	0.09548	0.12486
V133	0.72066	0.04443	0.118	0.11691
V134	0.12093	0.36617	0.16203	0.35087
V135	0.11906	0.09262	0.20363	0.58469
V136	0.20876	0.37486	0.07189	0.34449
V137	0.50454	0.07713	0.2599	0.15844
V138	0.18462	0.37412	0.19605	0.24521
V139	0.28147	0.22758	0.21322	0.27773
V140	0.08634	0.14772	0.11088	0.65506
V141	0.09404	0.19342	0.44285	0.2697
V142	0.62709	0.0369	0.23297	0.10304
V143	0.33266	0.26837	0.12186	0.27711
V144	0.16821	0.19389	0.19331	0.44459
V145	0.02667	0.64229	0.22916	0.10188
V146	0.10506	0.09131	0.09751	0.70612
V147	0.72098	0.0533	0.08677	0.13895
V148	0.14228	0.12652	0.47506	0.25614
V149	0.21861	0.45398	0.22537	0.10204
V150	0.10561	0.25334	0.47892	0.16213
V151	0.17743	0.54156	0.08809	0.19292
V152	0.19688	0.40421	0.22361	0.17531
V153	0.10696	0.63136	0.07622	0.18547
V154	0.20503	0.40957	0.26141	0.12399
V155	0.36757	0.17203	0.28174	0.17866
V156	0.072	0.17898	0.55073	0.19829
V157	0.25334	0.19094	0.29304	0.26269
V158	0.08247	0.08786	0.09085	0.73881
V159	0.69806	0.09219	0.065	0.14475
V160	0.53625	0.05154	0.12598	0.28624
V161	0.20709	0.07907	0.09843	0.61541
V162	0.09689	0.30454	0.12954	0.46903
V163	0.10875	0.43837	0.18849	0.26439
V164	0.27183	0.30514	0.14742	0.27561
V165	0.06439	0.27966	0.06673	0.58921
V166	0.07193	0.1563	0.12433	0.64743
V167	0.29822	0.06444	0.07712	0.56022
V168	0.23183	0.49926	0.1261	0.14281
V169	0.1879	0.11621	0.10479	0.5911
V170	0.13061	0.08822	0.43865	0.34251
V171	0.13534	0.2498	0.481	0.13385
V172	0.56474	0.04091	0.28382	0.11053
V173	0.08252	0.19055	0.10422	0.62271
V174	0.07233	0.20759	0.1273	0.59279
V175	0.09846	0.07357	0.62724	0.20073
V176	0.03177	0.67849	0.18754	0.1022
V177	0.02982	0.80186	0.06011	0.10822
V178	0.03653	0.64567	0.06386	0.25394
V179	0.17098	0.07922	0.34353	0.40627
V180	0.04614	0.73949	0.1198	0.09457
V181	0.16219	0.17123	0.44674	0.21984
V182	0.25082	0.20443	0.39674	0.148
V183	0.15693	0.67734	0.06534	0.10039
V184	0.79209	0.0277	0.07508	0.10513
V185	0.44266	0.38235	0.07145	0.10354
V186	0.12276	0.43031	0.25239	0.19454
V187	0.75957	0.03425	0.09491	0.11127
V188	0.09894	0.25572	0.06656	0.57878
V189	0.63437	0.06014	0.08319	0.2223
V190	0.51869	0.05256	0.31898	0.10977
V191	0.17338	0.22354	0.46789	0.13518
V192	0.2442	0.42386	0.10187	0.23007
V193	0.46819	0.07862	0.2532	0.19999
V194	0.05206	0.76736	0.06561	0.11497
V195	0.0547	0.08645	0.74825	0.11061
V196	0.07835	0.13359	0.08339	0.70467
V197	0.33543	0.10379	0.0934	0.46738
V198	0.08322	0.44627	0.32492	0.14559
V199	0.17335	0.09506	0.20303	0.52856
V200	0.12919	0.4956	0.07594	0.29927
V201	0.10671	0.48492	0.20085	0.20752
V202	0.06193	0.08255	0.61942	0.2361
V203	0.15279	0.38915	0.34008	0.11798
V204	0.04654	0.47799	0.06774	0.40774
V205	0.06009	0.10809	0.71369	0.11812
V206	0.08182	0.13721	0.67284	0.10813
V207	0.14703	0.22401	0.11203	0.51693
V208	0.2233	0.11109	0.55018	0.11543
V209	0.24372	0.42231	0.11925	0.21472
V210	0.09045	0.64003	0.13351	0.13601
V211	0.34401	0.07385	0.10027	0.48187
V212	0.40334	0.08307	0.3919	0.12169
V213	0.49086	0.07459	0.16178	0.27276
V214	0.26945	0.19601	0.19264	0.3419
V215	0.25222	0.14948	0.08394	0.51436
V216	0.09463	0.0861	0.0906	0.72868
V217	0.07058	0.44172	0.22953	0.25817
V218	0.1101	0.40719	0.18875	0.29396
V219	0.11099	0.54937	0.06994	0.2697
V220	0.03502	0.69103	0.06281	0.21114
V221	0.63403	0.04378	0.07128	0.2509
V222	0.26108	0.17398	0.32987	0.23506
V223	0.04837	0.17944	0.60769	0.1645
V224	0.78133	0.02743	0.0866	0.10464
V225	0.0669	0.72499	0.10728	0.10082
V226	0.26023	0.12562	0.49924	0.11492
V227	0.62018	0.03739	0.22507	0.11736
V228	0.59391	0.10116	0.12623	0.17869
V229	0.06117	0.08617	0.72666	0.126
V230	0.08137	0.1006	0.09083	0.7272
V231	0.0652	0.28983	0.15132	0.49365
V232	0.06789	0.56301	0.05766	0.31144
V233	0.43519	0.129	0.22337	0.21244
V234	0.05191	0.754	0.08494	0.10915
V235	0.30572	0.10512	0.45843	0.13073
V236	0.08185	0.12132	0.6314	0.16544
V237	0.17124	0.0816	0.10273	0.64443
V238	0.12894	0.48261	0.25162	0.13684
V239	0.09438	0.38019	0.07952	0.44591
V240	0.38746	0.08213	0.38629	0.14412
V241	0.06015	0.0785	0.70148	0.15988
V242	0.12189	0.63763	0.13398	0.1065
V243	0.21685	0.09501	0.5231	0.16503
V244	0.19541	0.06649	0.56475	0.17335
V245	0.45709	0.28944	0.10767	0.14581
V246	0.08568	0.18406	0.60758	0.12268
V247	0.16427	0.07738	0.65557	0.10279
V248	0.08496	0.10468	0.10903	0.70132
V249	0.04648	0.10064	0.69331	0.15956
V250	0.60423	0.03836	0.24627	0.11114
V251	0.75005	0.06619	0.07338	0.11038
V252	0.03175	0.7001	0.17412	0.09402
V253	0.29509	0.12493	0.19366	0.38632
V254	0.02992	0.7676	0.10121	0.10128
V255	0.05916	0.75464	0.05719	0.12901
V256	0.16614	0.23216	0.43061	0.1711
V257	0.33079	0.14627	0.24327	0.27967
V258	0.16586	0.27391	0.3635	0.19673
V259	0.0667	0.29212	0.50611	0.13507
V260	0.04043	0.28623	0.56825	0.10508
