CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.17261	0	0.77724	0	0.05015	0
V2	0.51093	0.1001	0.02099	0.0914	0.19423	0.08235
V3	0.31847	0.0462	0.24205	0	0.01696	0.37631
V4	0.27776	0.41487	0	0.10465	0.13436	0.06836
V5	0.09303	0	0	0.5338	0.37317	0
V6	0.31009	0.00263	0.19242	0	0.21745	0.27743
V7	0.12509	0.36482	0	0.00802	0.50207	0
V8	0.6005	0.03438	0.04825	0.10694	0.08191	0.12801
V9	0.3444	0.13977	0	0.23402	0.1174	0.1644
V10	0.44852	0	0.03739	0.28229	0.17605	0.05575
V11	0.16693	0.75744	0	0.07563	0	0
V12	0.34233	0.02838	0.09628	0	0	0.53301
V13	0.17864	0.47863	0.25312	0.01723	0.07237	0
V14	0.13108	0	0	0.75027	0.11865	0
V15	0.45206	0.05501	0.00297	0.08973	0.30482	0.0954
V16	0.15817	0	0	0.32266	0.47146	0.04772
V17	0.32068	0.03382	0.18562	0	0	0.45988
V18	0.60631	0.1311	0.05455	0.03387	0.06511	0.10907
V19	0.50644	0.03342	0.19944	0	0.17294	0.08775
V20	0.54421	0.04629	0.10633	0.09281	0.09379	0.11657
V21	0.34147	0.04724	0.05886	0	0.03563	0.51679
V22	0.23955	0.02974	0	0.00862	0.68718	0.03491
V23	0.13087	0	0.2995	0	0.56963	0
V24	0.20779	0	0	0.04341	0.71813	0.03067
V25	0.42821	0.25371	0	0.13869	0.11582	0.06357
V26	0.29267	0	0	0	0.67924	0.02809
V27	0.30602	0.00389	0.22078	0	0.01058	0.45873
V28	0.23081	0.21953	0.11892	0.18974	0.13913	0.10187
V29	0.19141	0.56091	0.04901	0.10559	0.03006	0.06303
V30	0.29011	0.18248	0.10955	0	0.26791	0.14994
V31	0.55724	0.00949	0.21584	0	0.0871	0.13034
V32	0.12772	0	0.27998	0.41665	0.17565	0
V33	0.29327	0.36463	0.20558	0.02237	0.06518	0.04897
V34	0.08087	0	0.45987	0	0.45926	0
V35	0.14357	0	0.1078	0.446	0.30264	0
V36	0.18621	0.44587	0.07169	0.0144	0.2702	0.01163
V37	0.1604	0	0.73995	0	0.04077	0.05888
V38	0.32126	0	0.17811	0	0	0.50063
V39	0.51854	0.02345	0.00349	0.24951	0.12105	0.08396
V40	0.17645	0.46673	0	0.16705	0.15167	0.03811
V41	0.58621	0.02549	0.08107	0.00642	0.06539	0.23541
V42	0.29644	0	0.52409	0	0.0966	0.08288
V43	0.26123	0.36818	0	0.03893	0.27682	0.05483
V44	0.1704	0.76905	0	0.06055	0	0
V45	0.4079	0.29389	0.05268	0.03294	0.07355	0.13904
V46	0.1873	0	0	0.1958	0.4672	0.14971
V47	0.16832	0.38088	0	0.14016	0.28775	0.02289
V48	0.15142	0.55903	0.13692	0.02064	0.13199	0
V49	0.17024	0.72332	0	0.07583	0.03061	0
V50	0.10329	0	0.23947	0	0.64334	0.01389
V51	0.04889	0	0	0	0.95111	0
V52	0.16237	0.49794	0.20211	0.03931	0.09827	0
V53	0.19052	0	0.06445	0	0.74503	0
V54	0.19197	0.07157	0.53317	0	0.17135	0.03194
V55	0.08913	0	0.068	0	0.84287	0
V56	0.11268	0	0.70023	0	0.18709	0
V57	0.26472	0.3292	0.03117	0	0.17796	0.19694
V58	0.12461	0	0.82144	0	0.05395	0
V59	0.09937	0	0	0.76458	0.13605	0
V60	0.45761	0	0	0.34929	0.15241	0.04068
V61	0.37811	0.10802	0.00657	0.1392	0.14731	0.2208
V62	0.45823	0.02593	0.08517	0.08662	0.2002	0.14386
V63	0.2198	0.47549	0	0.10773	0.02697	0.17
V64	0.07981	0.06936	0	0	0.85083	0
V65	0.48617	0.1223	0.06242	0.0177	0.10641	0.205
V66	0.43286	0.0098	0.13248	0	0.36475	0.06012
V67	0.2074	0.10895	0.27624	0.1779	0.12154	0.10797
V68	0.66247	0.02602	0.07042	0.05126	0.06373	0.12609
V69	0.51926	0.04144	0.05674	0.00363	0.07087	0.30806
V70	0.12136	0	0.1401	0.47489	0.26365	0
V71	0.17281	0.22659	0	0.07055	0.44128	0.08877
V72	0.50047	0.10899	0.09934	0.01209	0.14074	0.13837
V73	0.12659	0	0	0.64507	0.22833	0
V74	0.11043	0.09139	0	0.70979	0.08838	0
V75	0.14565	0.76371	0	0.09064	0	0
V76	0.09783	0	0.6573	0	0.24487	0
V77	0.2339	0.08825	0.02259	0.48197	0.16984	0.00346
V78	0.46718	0.10277	0.06711	0.11251	0.09796	0.15248
V79	0.24298	0.50358	0	0.0352	0	0.21823
V80	0.23006	0.52665	0	0.05199	0.00255	0.18875
V81	0.56767	0.09863	0.1141	0.02053	0.08495	0.11412
V82	0.15811	0.67925	0	0.10478	0.05786	0
V83	0.23999	0.11072	0	0.35318	0.26221	0.03389
V84	0.3633	0	0.05155	0.3497	0.2007	0.03475
V85	0.6369	0.02344	0.13626	0.01552	0.06713	0.12075
V86	0.33056	0.00976	0.11187	0.23848	0.14441	0.16492
V87	0.08269	0	0	0.79132	0.12599	0
V88	0.22913	0	0	0.4586	0.17132	0.14094
V89	0.22943	0.12693	0.43403	0	0.03518	0.17443
V90	0.18947	0.57545	0.07162	0.0449	0.10453	0.01402
V91	0.1147	0	0	0.01877	0.86653	0
V92	0.09071	0.0273	0	0	0.88199	0
V93	0.29839	0.05113	0.00564	0.04975	0.3635	0.23158
V94	0.0889	0	0.17254	0.53688	0.20167	0
V95	0.08361	0	0.25969	0.00035	0.65636	0
V96	0.18437	0.32667	0	0.03148	0.36304	0.09444
V97	0.05622	0	0	0	0.94378	0
V98	0.12527	0.01275	0	0.67017	0.19181	0
V99	0.0683	0	0	0.81942	0.11228	0
V100	0.12131	0	0.42582	0.14336	0.3095	0
V101	0.15358	0.28756	0.38434	0.05361	0.12091	0
V102	0.62596	0.02826	0.15064	0.00667	0.07128	0.1172
V103	0.53897	0.0274	0.02911	0.14453	0.1559	0.1041
V104	0.11652	0	0.12828	0.53241	0.22279	0
V105	0.33393	0.00812	0.11594	0	0	0.542
V106	0.18835	0	0.60233	0	0.03025	0.17907
V107	0.19772	0.55139	0.17993	0.02193	0.04904	0
V108	0.27293	0.0304	0.06687	0	0.24046	0.38935
V109	0.28665	0.01361	0.04823	0	0.20425	0.44726
V110	0.17959	0.0963	0.66155	0	0.06256	0
V111	0.09642	0	0.8219	0	0.08168	0
V112	0.1381	0.26571	0	0.52684	0.06935	0
V113	0.14692	0.02675	0.59688	0	0.22945	0
V114	0.20971	0	0.61344	0.02741	0.14944	0
