CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.1402	0.02387	0.65932	0.01202	0.11566	0.04893
V2	0.41276	0.09326	0.0915	0.10348	0.21274	0.08627
V3	0.24097	0.05751	0.23322	0.02571	0.14541	0.29718
V4	0.22803	0.29371	0.083	0.0932	0.21143	0.09063
V5	0.08248	0.03761	0.03907	0.46058	0.34522	0.03503
V6	0.23612	0.02746	0.19566	0.05898	0.25129	0.2305
V7	0.11692	0.26084	0.05922	0.05466	0.46172	0.04664
V8	0.48632	0.04634	0.1024	0.11045	0.1402	0.11429
V9	0.25692	0.12169	0.07215	0.22113	0.1715	0.1566
V10	0.33703	0.03547	0.10961	0.27048	0.16454	0.08289
V11	0.16409	0.48591	0.09649	0.04473	0.16151	0.04726
V12	0.25383	0.03622	0.13062	0.03898	0.15629	0.38405
V13	0.14896	0.34206	0.28119	0.03991	0.14167	0.04621
V14	0.11469	0.01939	0.05214	0.60408	0.16843	0.04126
V15	0.35766	0.06449	0.07774	0.1194	0.28288	0.09783
V16	0.11319	0.0168	0.05224	0.32604	0.39559	0.09615
V17	0.24053	0.04383	0.19634	0.02789	0.14414	0.34728
V18	0.50405	0.11035	0.11017	0.04124	0.13334	0.10086
V19	0.41959	0.05147	0.21541	0.02915	0.19296	0.09142
V20	0.43807	0.05686	0.14926	0.1083	0.13787	0.10964
V21	0.25782	0.04387	0.10087	0.04064	0.18539	0.3714
V22	0.18102	0.04978	0.06161	0.09011	0.54858	0.0689
V23	0.1072	0.02049	0.29197	0.03972	0.4987	0.04192
V24	0.15927	0.02176	0.05183	0.12615	0.57136	0.06962
V25	0.34525	0.19414	0.08293	0.1267	0.17122	0.07976
V26	0.23406	0.02753	0.06733	0.04214	0.56738	0.06155
V27	0.2229	0.0289	0.21634	0.03457	0.15043	0.34686
V28	0.16188	0.17911	0.17817	0.1937	0.16663	0.12051
V29	0.15457	0.38335	0.14463	0.0816	0.14513	0.09071
V30	0.22815	0.15007	0.15136	0.03238	0.29651	0.14153
V31	0.4597	0.03245	0.22338	0.04193	0.12547	0.11707
V32	0.0883	0.02085	0.29102	0.40287	0.14313	0.05383
V33	0.23665	0.27308	0.24013	0.04062	0.13426	0.07525
V34	0.07148	0.01257	0.41581	0.04157	0.41499	0.04358
V35	0.08721	0.04577	0.17491	0.40335	0.23833	0.05043
V36	0.15458	0.31839	0.1518	0.04132	0.28037	0.05354
V37	0.11692	0.02195	0.62019	0.01928	0.11924	0.10241
V38	0.23927	0.02272	0.19218	0.02859	0.14526	0.37198
V39	0.40585	0.0402	0.08643	0.22889	0.14422	0.0944
V40	0.14559	0.32197	0.0778	0.14262	0.23202	0.07999
V41	0.48646	0.03488	0.11684	0.03293	0.14138	0.18752
V42	0.23478	0.02827	0.45856	0.01796	0.15464	0.10578
V43	0.21296	0.26706	0.07828	0.05687	0.30391	0.08092
V44	0.16945	0.49259	0.09356	0.03993	0.15164	0.05283
V45	0.33149	0.22039	0.12153	0.0456	0.15127	0.12972
V46	0.1306	0.01856	0.06623	0.23729	0.39395	0.15337
V47	0.13921	0.27261	0.06743	0.1392	0.31272	0.06883
V48	0.13628	0.38657	0.20504	0.03262	0.19805	0.04145
V49	0.15988	0.46701	0.0885	0.03977	0.19807	0.04678
V50	0.07967	0.01251	0.24411	0.04227	0.55286	0.06858
V51	0.0624	0.0124	0.0452	0.05644	0.7812	0.04236
V52	0.13738	0.35152	0.24806	0.05413	0.16182	0.0471
V53	0.15282	0.01629	0.11721	0.06203	0.60233	0.04933
V54	0.12899	0.0943	0.46305	0.05427	0.18352	0.07589
V55	0.06771	0.03762	0.12865	0.06309	0.662	0.04094
