CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.14008	0.00791	0.58081	0.04662	0.15938	0.0652
V2	0.412	0.10776	0.0359	0.12055	0.23396	0.08983
V3	0.22709	0.06792	0.16354	0.06693	0.18229	0.29223
V4	0.21971	0.32355	0.02821	0.10011	0.22616	0.10226
V5	0.09124	0.05229	0.00592	0.43052	0.37259	0.04743
V6	0.22643	0.03749	0.13542	0.08822	0.27906	0.23337
V7	0.11671	0.28232	0.02135	0.05545	0.46817	0.056
V8	0.47833	0.06433	0.04048	0.13281	0.16785	0.1162
V9	0.25233	0.14091	0.01624	0.22663	0.19912	0.16476
V10	0.34078	0.05027	0.05504	0.27137	0.1936	0.08894
V11	0.15516	0.51336	0.04228	0.05501	0.16965	0.06454
V12	0.23619	0.05808	0.06281	0.08183	0.19365	0.36743
V13	0.13867	0.36196	0.22544	0.05222	0.16041	0.06129
V14	0.12138	0.03575	0.01175	0.57397	0.20216	0.05499
V15	0.35892	0.07894	0.02647	0.13268	0.3025	0.10048
V16	0.11894	0.03063	0.01588	0.31078	0.4191	0.10467
V17	0.22468	0.05937	0.12598	0.07142	0.18112	0.33742
V18	0.48941	0.12678	0.04731	0.07419	0.15806	0.10426
V19	0.41563	0.05938	0.15161	0.06054	0.21845	0.09439
V20	0.43339	0.07062	0.08644	0.13026	0.16599	0.1133
V21	0.24058	0.06648	0.03801	0.08123	0.21754	0.35615
V22	0.18904	0.05973	0.02773	0.09654	0.55338	0.07358
V23	0.11674	0.01994	0.24753	0.05485	0.50906	0.05188
V24	0.16878	0.03471	0.02115	0.12699	0.57431	0.07407
V25	0.34271	0.21596	0.02572	0.13724	0.19079	0.08758
V26	0.24221	0.03944	0.0329	0.05654	0.56388	0.06503
V27	0.20783	0.0431	0.14521	0.07704	0.18911	0.33771
V28	0.15144	0.19449	0.12543	0.20052	0.19509	0.13303
V29	0.14291	0.41388	0.0878	0.08911	0.16105	0.10526
V30	0.22226	0.16091	0.09801	0.05413	0.31704	0.14764
V31	0.44894	0.04413	0.15315	0.07637	0.15754	0.11988
V32	0.08724	0.02259	0.24789	0.39161	0.18191	0.06876
V33	0.22709	0.29181	0.1807	0.05833	0.15514	0.08692
V34	0.08181	0.00736	0.36119	0.05933	0.43367	0.05664
V35	0.0881	0.05213	0.13589	0.38875	0.2721	0.06304
V36	0.1484	0.34306	0.10219	0.04879	0.29203	0.06554
V37	0.11295	0.00832	0.54618	0.05375	0.163	0.1158
V38	0.22344	0.0404	0.12086	0.07372	0.18409	0.35749
V39	0.40794	0.05648	0.0297	0.23434	0.17274	0.0988
V40	0.1363	0.35605	0.02669	0.14097	0.24657	0.09342
V41	0.46647	0.05511	0.05159	0.07277	0.17118	0.18288
V42	0.22981	0.02149	0.39112	0.05271	0.19103	0.11382
V43	0.20719	0.29289	0.02858	0.06561	0.31539	0.09035
V44	0.15947	0.52012	0.03896	0.05149	0.1592	0.07076
V45	0.32172	0.24136	0.05863	0.06935	0.17289	0.13605
V46	0.13193	0.03355	0.02575	0.23396	0.41634	0.15847
V47	0.13298	0.30239	0.02123	0.13658	0.32731	0.07951
V48	0.1267	0.41181	0.15224	0.04147	0.21118	0.0566
V49	0.15103	0.49579	0.03645	0.04905	0.20484	0.06285
V50	0.09066	0.0146	0.20307	0.05677	0.55824	0.07666
V51	0.08725	0.0261	0.02711	0.06124	0.7477	0.0506
V52	0.1277	0.37415	0.19499	0.06258	0.17859	0.06198
V53	0.16483	0.02554	0.08427	0.07058	0.59951	0.05527
V54	0.12252	0.08444	0.4094	0.07633	0.21881	0.08849
V55	0.08491	0.04383	0.09925	0.06825	0.65434	0.04941
V56	0.0805	0.02479	0.53291	0.11743	0.19082	0.05356
V57	0.1965	0.26622	0.05248	0.05376	0.25679	0.17425
V58	0.09358	0.00472	0.60401	0.05793	0.16303	0.07673
V59	0.11083	0.03062	0.00107	0.58347	0.22268	0.05133
V60	0.35821	0.0399	0.02243	0.32135	0.17717	0.08095
V61	0.27501	0.11731	0.02745	0.16704	0.2176	0.1956
V62	0.36763	0.05325	0.07642	0.13661	0.22892	0.13717
V63	0.16679	0.3581	0.0319	0.10127	0.17834	0.1636
V64	0.08937	0.09072	0.02449	0.05078	0.69579	0.04884
V65	0.37961	0.12297	0.05034	0.07686	0.19551	0.1747
V66	0.34444	0.04844	0.10973	0.07022	0.34415	0.08302
V67	0.12646	0.11459	0.2302	0.21083	0.17836	0.13957
V68	0.53173	0.0568	0.0482	0.09452	0.15938	0.10936
V69	0.4048	0.06591	0.0361	0.07243	0.18978	0.23097
V70	0.10147	0.02092	0.16123	0.42843	0.23516	0.0528
V71	0.12687	0.19326	0.03972	0.11494	0.4102	0.11501
V72	0.4002	0.11339	0.08089	0.07432	0.20264	0.12856
V73	0.1145	0.0211	0.06869	0.5248	0.21677	0.05414
V74	0.09358	0.11751	0.01016	0.52775	0.20325	0.04775
V75	0.14427	0.51698	0.03159	0.06399	0.18029	0.06288
V76	0.0899	0.00223	0.50112	0.06406	0.28536	0.05733
V77	0.14404	0.10959	0.07793	0.39883	0.18679	0.08283
V78	0.36375	0.11253	0.06324	0.14104	0.17641	0.14304
V79	0.18063	0.37133	0.0382	0.05448	0.16627	0.18908
V80	0.17436	0.38663	0.03178	0.05838	0.17642	0.17241
V81	0.46087	0.10476	0.08511	0.07101	0.16957	0.10866
V82	0.13745	0.47562	0.03285	0.0716	0.21774	0.06475
V83	0.16741	0.12043	0.02608	0.30913	0.28554	0.09141
V84	0.27329	0.03678	0.07439	0.33119	0.19814	0.08621
V85	0.51432	0.05212	0.09495	0.07494	0.157	0.10667
V86	0.23412	0.05006	0.10413	0.25357	0.18868	0.16944
V87	0.09122	0.03413	0.01677	0.5966	0.20595	0.05533
V88	0.15013	0.0479	0.01262	0.39028	0.23343	0.16565
V89	0.14901	0.12148	0.32759	0.05692	0.16525	0.17976
V90	0.15072	0.41987	0.10742	0.05006	0.20062	0.07131
V91	0.10467	0.02966	0.0502	0.11766	0.64056	0.05725
