CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.1054	0.02963	0.72212	0.0175	0.05018	0.07517
V2	0.37834	0.12838	0.09686	0.11525	0.17023	0.11093
V3	0.20079	0.07339	0.25185	0.02539	0.07223	0.37635
V4	0.17563	0.3625	0.07311	0.10722	0.16904	0.1125
V5	0.03472	0.0645	0.00676	0.49828	0.35486	0.04088
V6	0.19959	0.03971	0.20603	0.05718	0.20355	0.29395
V7	0.06484	0.31816	0.03388	0.05622	0.47382	0.05309
V8	0.45619	0.07523	0.11714	0.12397	0.07814	0.14933
V9	0.21676	0.15884	0.06969	0.23682	0.11923	0.19865
V10	0.30622	0.06129	0.11198	0.2944	0.11775	0.10835
V11	0.0981	0.59189	0.07826	0.06455	0.11195	0.05524
V12	0.21229	0.04996	0.14514	0.03522	0.07646	0.48093
V13	0.09268	0.42143	0.28259	0.05649	0.08725	0.05956
V14	0.06775	0.0464	0.02675	0.67031	0.13693	0.05187
V15	0.32265	0.09341	0.07765	0.12778	0.25435	0.12415
V16	0.07179	0.03469	0.03126	0.33947	0.40193	0.12087
V17	0.19896	0.05705	0.21336	0.02549	0.0669	0.43825
V18	0.46932	0.15171	0.12466	0.05398	0.06833	0.132
V19	0.38824	0.07726	0.23394	0.03675	0.14362	0.12019
V20	0.40711	0.08561	0.16441	0.12168	0.07714	0.14404
V21	0.21491	0.05919	0.11378	0.03658	0.11077	0.46477
V22	0.14295	0.06973	0.04337	0.08462	0.57584	0.08348
V23	0.06948	0.02987	0.28984	0.0325	0.52426	0.05405
V24	0.1215	0.03752	0.03019	0.12056	0.60626	0.08398
V25	0.30232	0.24945	0.08148	0.14384	0.1212	0.10172
V26	0.19871	0.0442	0.05299	0.03349	0.59594	0.07467
V27	0.18309	0.03911	0.23338	0.03145	0.07381	0.43916
V28	0.11634	0.22484	0.17636	0.2116	0.11754	0.15333
V29	0.09612	0.46522	0.13644	0.09982	0.09003	0.11238
V30	0.18686	0.18513	0.15086	0.03443	0.26532	0.1774
V31	0.43028	0.05577	0.24705	0.05163	0.05893	0.15634
V32	0.04349	0.0392	0.29876	0.44723	0.09781	0.07351
V33	0.18758	0.33917	0.24543	0.05562	0.07517	0.09703
V34	0.0312	0.01897	0.42847	0.03731	0.42461	0.05945
V35	0.0415	0.06997	0.16458	0.44054	0.21798	0.06543
V36	0.10025	0.38954	0.13941	0.05122	0.25459	0.065
V37	0.08119	0.02602	0.67272	0.02355	0.05223	0.14429
V38	0.19868	0.03309	0.20946	0.02444	0.06575	0.46857
V39	0.37423	0.06939	0.09308	0.25026	0.08993	0.12312
V40	0.08967	0.39533	0.06039	0.15897	0.19843	0.09722
V41	0.45151	0.05897	0.13703	0.03922	0.07127	0.24201
V42	0.20391	0.03952	0.494	0.02274	0.09574	0.1441
V43	0.16225	0.32926	0.06536	0.06519	0.27889	0.09904
V44	0.10377	0.59953	0.07568	0.05998	0.09844	0.06261
V45	0.28525	0.27542	0.126	0.0581	0.09066	0.16457
V46	0.09168	0.03379	0.05128	0.24141	0.38916	0.19269
V47	0.08602	0.33564	0.04786	0.15123	0.29653	0.08272
V48	0.07658	0.47279	0.19609	0.04736	0.15679	0.05039
V49	0.09565	0.56839	0.06892	0.05696	0.15591	0.05417
V50	0.04185	0.01971	0.2348	0.0316	0.58553	0.08652
V51	0.0212	0.02361	0.00819	0.03892	0.86115	0.04692
V52	0.07964	0.43222	0.2452	0.07076	0.11231	0.05987
V53	0.11602	0.02928	0.09903	0.05216	0.64412	0.05939
V54	0.08938	0.11707	0.49042	0.06238	0.1377	0.10305
V55	0.02632	0.05221	0.1032	0.05146	0.71953	0.04727
V56	0.03762	0.04949	0.64569	0.11513	0.09696	0.0551
V57	0.16011	0.29278	0.10484	0.03918	0.19281	0.21026
V58	0.05236	0.02544	0.74803	0.03163	0.05282	0.08972
V59	0.0543	0.03879	0.0104	0.68685	0.16385	0.04581
V60	0.32327	0.04826	0.07659	0.35499	0.09812	0.09877
V61	0.24327	0.13056	0.08724	0.16218	0.13596	0.2408
V62	0.33586	0.06449	0.14486	0.12757	0.15455	0.17269
V63	0.12534	0.39355	0.08218	0.10435	0.10214	0.19244
V64	0.02999	0.10385	0.01352	0.03451	0.77281	0.04532
V65	0.35116	0.14105	0.12485	0.05417	0.10867	0.22009
V66	0.31357	0.05988	0.16868	0.04932	0.30706	0.1015
V67	0.09588	0.14179	0.289	0.22004	0.08761	0.16568
V68	0.52121	0.06665	0.13086	0.07392	0.06483	0.14254
V69	0.38292	0.06827	0.11821	0.037	0.09061	0.30299
V70	0.05286	0.03384	0.19445	0.49442	0.17268	0.05175
V71	0.08429	0.21784	0.06516	0.115	0.38666	0.13106
V72	0.37108	0.13424	0.15506	0.05439	0.12296	0.16228
V73	0.06183	0.02969	0.09054	0.6119	0.15402	0.05202
V74	0.04096	0.14401	0.02473	0.60817	0.14196	0.04016
V75	0.0865	0.59505	0.06376	0.07621	0.12601	0.05247
V76	0.04448	0.01821	0.60919	0.04263	0.22379	0.06171
V77	0.10143	0.13652	0.11419	0.44455	0.11223	0.09108
V78	0.33179	0.13116	0.1333	0.13518	0.09004	0.17853
V79	0.14204	0.41162	0.09283	0.04497	0.08374	0.2248
V80	0.13546	0.42718	0.08303	0.05259	0.09951	0.20224
V81	0.43694	0.12681	0.16751	0.05001	0.08084	0.13788
V82	0.08447	0.53938	0.06259	0.08515	0.17171	0.05671
V83	0.1238	0.14419	0.05545	0.33903	0.23506	0.10247
V84	0.23403	0.04798	0.12621	0.36521	0.1239	0.10268
V85	0.5018	0.06427	0.18456	0.04926	0.06101	0.1391
V86	0.20272	0.0588	0.16719	0.26328	0.09891	0.20909
V87	0.0347	0.04405	0.02771	0.70115	0.14216	0.05023
V88	0.11283	0.05278	0.04891	0.42597	0.16058	0.19894
V89	0.1234	0.15228	0.40999	0.03135	0.06155	0.22143
V90	0.10031	0.47892	0.15166	0.05598	0.14372	0.0694
V91	0.04812	0.03225	0.04839	0.11158	0.70095	0.05872
V92	0.03098	0.07451	0.01961	0.03943	0.78112	0.05436
V93	0.18212	0.07988	0.07338	0.10711	0.30923	0.24829
V94	0.03074	0.03283	0.22739	0.55124	0.11264	0.04516
V95	0.02576	0.02817	0.26189	0.11633	0.52167	0.04619
V96	0.09828	0.29216	0.06118	0.07523	0.33906	0.13409
V97	0.02084	0.03119	0.01401	0.08225	0.80956	0.04216
V98	0.05099	0.08718	0.01803	0.58724	0.20978	0.04678
V99	0.03098	0.0441	0.01254	0.71998	0.15097	0.04143
V100	0.04347	0.0274	0.40023	0.2365	0.21601	0.07638
V101	0.06282	0.29285	0.38373	0.11375	0.0836	0.06326
V102	0.48831	0.07025	0.1958	0.04879	0.06062	0.13623
V103	0.39814	0.07067	0.10727	0.16719	0.12416	0.13258
V104	0.04925	0.02646	0.19434	0.54492	0.12924	0.05578
V105	0.20905	0.03448	0.16953	0.02611	0.06707	0.49376
V106	0.10526	0.02144	0.55241	0.01532	0.06258	0.24299
V107	0.10873	0.471	0.23091	0.04762	0.08387	0.05787
V108	0.16286	0.05389	0.10999	0.03454	0.26342	0.37529
V109	0.17341	0.03896	0.09732	0.0266	0.24598	0.41773
V110	0.07923	0.14763	0.6029	0.02247	0.06637	0.08139
V111	0.03878	0.03276	0.76132	0.03272	0.07007	0.06435
V112	0.06615	0.26409	0.02545	0.46407	0.13243	0.04783
V113	0.0542	0.09065	0.5405	0.05296	0.19854	0.06315
V114	0.12673	0.02374	0.57149	0.14147	0.06287	0.07371
V115	0.30337	0.09077	0.10652	0.05793	0.19316	0.24825
V116	0.51206	0.0655	0.12792	0.08849	0.06585	0.14018
V117	0.33397	0.0556	0.07515	0.11239	0.3192	0.10369
V118	0.08406	0.48714	0.13457	0.07534	0.15374	0.06516
V119	0.09232	0.57081	0.07567	0.08627	0.10538	0.06955
V120	0.09671	0.17867	0.11273	0.35206	0.18808	0.07174
V121	0.25395	0.04676	0.08894	0.24753	0.08298	0.27984
V122	0.19927	0.05539	0.04771	0.47844	0.14668	0.07252
V123	0.2717	0.04764	0.0936	0.07002	0.20359	0.31345
V124	0.03078	0.02066	0.24925	0.03264	0.615	0.05166
V125	0.06894	0.13923	0.55563	0.07657	0.06377	0.09586
V126	0.17172	0.22496	0.13253	0.04149	0.08183	0.34746
V127	0.06523	0.01864	0.6842	0.09844	0.06688	0.06661
V128	0.22654	0.22649	0.14675	0.16331	0.14509	0.09182
V129	0.04115	0.03278	0.71054	0.08199	0.06642	0.06711
V130	0.32021	0.13967	0.08369	0.23293	0.11642	0.10708
V131	0.06258	0.02443	0.04544	0.0431	0.70351	0.12094
V132	0.07516	0.36308	0.34629	0.03798	0.11965	0.05785
V133	0.08205	0.17078	0.4742	0.09579	0.11691	0.06028
V134	0.15618	0.46176	0.07499	0.05842	0.16607	0.08258
V135	0.09104	0.02745	0.62977	0.01732	0.10475	0.12967
V136	0.11868	0.50636	0.11813	0.06556	0.12566	0.06561
V137	0.06449	0.14608	0.46242	0.04099	0.23213	0.05389
V138	0.13731	0.02987	0.068	0.33844	0.17598	0.25041
V139	0.09306	0.0627	0.16265	0.03396	0.44228	0.20535
V140	0.3547	0.2137	0.12815	0.10183	0.08286	0.11876
V141	0.18038	0.22926	0.14992	0.2353	0.11949	0.08565
V142	0.13556	0.50238	0.08091	0.09689	0.09437	0.08989
V143	0.08393	0.06925	0.52724	0.08552	0.15689	0.07717
V144	0.17767	0.16081	0.09993	0.12931	0.08657	0.3457
V145	0.03513	0.02982	0.0209	0.72361	0.13565	0.05488
V146	0.10187	0.03468	0.08686	0.03641	0.64538	0.0948
V147	0.32318	0.09975	0.1882	0.07242	0.0667	0.24974
V148	0.05913	0.16114	0.63348	0.02259	0.05853	0.06514
V149	0.14518	0.37481	0.081	0.06332	0.084	0.25169
V150	0.03413	0.03039	0.00619	0.72068	0.1663	0.04231
V151	0.15953	0.31846	0.0857	0.04752	0.10192	0.28687
V152	0.08944	0.20147	0.36995	0.05951	0.19071	0.0889
V153	0.03809	0.05105	0.52618	0.22768	0.10061	0.05639
V154	0.30264	0.20137	0.11163	0.03961	0.07216	0.27259
V155	0.08193	0.28528	0.10464	0.03869	0.41289	0.07656
