CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.14399	0.02982	0.63726	0.011	0.13294	0.04499
V2	0.45011	0.10745	0.0745	0.07755	0.20721	0.08317
V3	0.25962	0.07226	0.20268	0.01743	0.15902	0.28899
V4	0.24478	0.31275	0.06611	0.07222	0.21451	0.08964
V5	0.09475	0.05557	0.03741	0.42949	0.34722	0.03555
V6	0.25836	0.04501	0.17466	0.04364	0.24945	0.22889
V7	0.12749	0.28619	0.0559	0.03963	0.44526	0.04553
V8	0.52239	0.06174	0.07988	0.08241	0.14365	0.10994
V9	0.28527	0.14157	0.05306	0.18545	0.17683	0.15782
V10	0.37582	0.05309	0.09402	0.22844	0.16624	0.08239
V11	0.16916	0.49726	0.07949	0.03263	0.17529	0.04616
V12	0.27307	0.055	0.0984	0.02817	0.17126	0.3741
V13	0.15231	0.35497	0.26396	0.02979	0.15523	0.04374
V14	0.13263	0.03527	0.0452	0.57024	0.17356	0.0431
V15	0.39499	0.08217	0.06276	0.09258	0.27178	0.09571
V16	0.13168	0.03378	0.04873	0.29344	0.39199	0.10039
V17	0.25949	0.06004	0.16389	0.01949	0.1596	0.3375
V18	0.53306	0.12129	0.08602	0.02453	0.13918	0.09592
V19	0.44984	0.06471	0.19318	0.01589	0.18976	0.08661
V20	0.4721	0.07162	0.12648	0.08197	0.1423	0.10553
V21	0.27921	0.06229	0.07194	0.02876	0.19534	0.36246
V22	0.20894	0.06728	0.06189	0.06965	0.52395	0.06829
V23	0.11889	0.03288	0.3002	0.02944	0.47881	0.03977
V24	0.18573	0.03857	0.05383	0.10351	0.54888	0.06947
V25	0.37459	0.21004	0.06444	0.09925	0.17384	0.07784
V26	0.26816	0.04404	0.06775	0.02605	0.53406	0.05994
V27	0.24092	0.04575	0.18422	0.02532	0.16532	0.33847
V28	0.17422	0.20044	0.16388	0.16489	0.17539	0.12118
V29	0.16109	0.4004	0.12616	0.06444	0.15868	0.08923
V30	0.24824	0.1666	0.13601	0.02005	0.28964	0.13945
V31	0.48725	0.04705	0.19492	0.02681	0.13253	0.11144
V32	0.09365	0.03379	0.29735	0.36722	0.15378	0.0542
V33	0.24949	0.28436	0.21892	0.02879	0.14633	0.07212
V34	0.0762	0.02272	0.42385	0.0329	0.40332	0.04101
V35	0.09596	0.06142	0.17893	0.36969	0.24274	0.05126
V36	0.16377	0.33736	0.14124	0.02864	0.2776	0.0514
V37	0.11875	0.02988	0.59879	0.017	0.13736	0.09822
V38	0.25819	0.04026	0.15854	0.02031	0.16149	0.3612
V39	0.44801	0.0574	0.0679	0.18771	0.14622	0.09276
V40	0.15506	0.34724	0.06383	0.11821	0.23572	0.07994
V41	0.51466	0.05058	0.09025	0.01837	0.14736	0.17877
V42	0.24973	0.03919	0.43514	0.01188	0.16321	0.10085
V43	0.23103	0.28609	0.06594	0.04048	0.29682	0.07965
V44	0.17426	0.50196	0.07581	0.02867	0.16724	0.05206
V45	0.35295	0.2328	0.09783	0.03076	0.15974	0.12593
V46	0.14968	0.03741	0.05841	0.20745	0.38767	0.15937
V47	0.15074	0.29859	0.05768	0.11565	0.30885	0.06849
V48	0.13922	0.40211	0.19069	0.02272	0.2058	0.03947
V49	0.16518	0.48149	0.07285	0.02813	0.207	0.04535
V50	0.08975	0.02558	0.2535	0.03143	0.53234	0.06741
V51	0.07794	0.02729	0.05829	0.04177	0.75309	0.04163
V52	0.14059	0.36746	0.23242	0.04171	0.17316	0.04465
V53	0.17688	0.03203	0.12368	0.04575	0.5739	0.04776
V54	0.13221	0.10566	0.45274	0.04419	0.19245	0.07277
V55	0.07963	0.0529	0.14115	0.04876	0.63821	0.03935
V56	0.07827	0.04568	0.59222	0.08839	0.16271	0.03274
V57	0.22308	0.25914	0.08935	0.02155	0.23832	0.16855
V58	0.09145	0.02701	0.66529	0.02403	0.13669	0.05553
V59	0.11919	0.02808	0.03224	0.58772	0.19408	0.0387
V60	0.39639	0.03995	0.06061	0.27865	0.14929	0.07512
V61	0.31012	0.11876	0.06353	0.12395	0.19395	0.18969
V62	0.40514	0.05732	0.11531	0.0911	0.2	0.13114
V63	0.19011	0.34396	0.06847	0.0711	0.17105	0.15531
V64	0.08671	0.09976	0.05613	0.03297	0.68405	0.04039
V65	0.41829	0.12151	0.08865	0.03054	0.1736	0.16742
V66	0.37757	0.05533	0.15048	0.03082	0.30984	0.07596
V67	0.14552	0.12875	0.26866	0.17399	0.15491	0.12817
V68	0.58093	0.05294	0.08708	0.04079	0.13545	0.10282
V69	0.45097	0.06183	0.07419	0.01958	0.16582	0.22761
V70	0.10858	0.02763	0.20612	0.41227	0.20624	0.03915
V71	0.14444	0.19943	0.07477	0.09053	0.38207	0.10876
V72	0.43607	0.11363	0.12048	0.0294	0.17918	0.12124
V73	0.12276	0.0218	0.10771	0.51842	0.18736	0.04194
V74	0.10236	0.12432	0.04484	0.51631	0.17798	0.0342
V75	0.15707	0.50245	0.06797	0.04256	0.18545	0.04451
V76	0.0859	0.02147	0.56555	0.03435	0.25448	0.03826
V77	0.16261	0.11934	0.11681	0.36654	0.16214	0.07256
V78	0.39913	0.11352	0.10179	0.09544	0.15465	0.13546
V79	0.20638	0.3566	0.07397	0.02243	0.16143	0.1792
V80	0.19881	0.37073	0.06793	0.02814	0.17168	0.16272
V81	0.49983	0.10342	0.12537	0.02319	0.14805	0.10014
V82	0.15273	0.46096	0.06876	0.05174	0.2177	0.04811
V83	0.18857	0.12898	0.06195	0.27959	0.2571	0.08381
V84	0.30401	0.04066	0.11488	0.2925	0.16937	0.07858
V85	0.55841	0.05136	0.1356	0.02232	0.13319	0.09913
V86	0.26503	0.05614	0.14399	0.21027	0.16173	0.16284
V87	0.09646	0.03301	0.04969	0.60128	0.17724	0.04232
V88	0.17434	0.05042	0.0462	0.36076	0.2054	0.16289
V89	0.16987	0.13624	0.36499	0.01939	0.14442	0.16509
