CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.13174	0.01365	0.62831	0.06278	0.0839	0.07963
V2	0.48025	0.08064	0.06928	0.1212	0.15012	0.09851
V3	0.26982	0	0.20712	0.05984	0.08182	0.38141
V4	0.24607	0.31621	0.06553	0.11026	0.15628	0.10566
V5	0.09107	0.03301	0.02649	0.44665	0.35087	0.0519
V6	0.25524	0	0.17163	0.08423	0.1929	0.296
V7	0.12333	0.2738	0.05328	0.07661	0.42524	0.04773
V8	0.56639	0.02471	0.07429	0.12878	0.06908	0.13676
V9	0.30175	0.10167	0.05264	0.22364	0.1197	0.2006
V10	0.40194	0.01954	0.08564	0.27052	0.11758	0.10478
V11	0.15521	0.53994	0.08015	0.07125	0.10655	0.0469
V12	0.26509	0	0.10477	0.06537	0.0819	0.48287
V13	0.13849	0.38334	0.25674	0.07266	0.0943	0.05447
V14	0.12698	0.01935	0.0315	0.59515	0.15994	0.06707
V15	0.42182	0.04153	0.05904	0.13474	0.22772	0.11515
V16	0.12837	0	0.04173	0.31467	0.38598	0.12925
V17	0.25548	0	0.16847	0.05875	0.07531	0.44199
V18	0.57423	0.10035	0.08109	0.07193	0.05671	0.11569
V19	0.48346	0.02948	0.18546	0.06493	0.12888	0.10779
V20	0.50907	0.03627	0.12088	0.12817	0.07269	0.13291
V21	0.2766	0	0.0789	0.0667	0.10973	0.46808
V22	0.21994	0.01981	0.05576	0.10766	0.51702	0.07981
V23	0.11781	0	0.27811	0.07283	0.47565	0.0556
V24	0.19011	0	0.04695	0.13692	0.54341	0.08261
V25	0.39343	0.20386	0.06135	0.14007	0.11004	0.09125
V26	0.28058	0	0.06026	0.06767	0.52374	0.06775
V27	0.226	0	0.18639	0.06316	0.08264	0.44181
V28	0.17246	0.17953	0.16077	0.2046	0.12635	0.1563
V29	0.15151	0.41921	0.12622	0.10324	0.09281	0.10701
V30	0.25925	0.12646	0.13378	0.06293	0.24455	0.17303
V31	0.52772	0.00661	0.18902	0.07593	0.0577	0.14303
V32	0.08119	0.01338	0.2839	0.40523	0.1291	0.08719
V33	0.24999	0.29643	0.21323	0.07228	0.07933	0.08874
V34	0.06327	0	0.39758	0.07855	0.39527	0.06534
V35	0.08807	0.04044	0.16514	0.39885	0.23183	0.07568
V36	0.1557	0.34808	0.1359	0.06923	0.23302	0.05807
V37	0.10459	0	0.59367	0.06713	0.08564	0.14896
V38	0.23931	0	0.16184	0.05751	0.07405	0.46729
V39	0.48233	0.02272	0.06183	0.23085	0.08624	0.11603
V40	0.14642	0.35379	0.06385	0.15283	0.18847	0.09464
V41	0.55646	0	0.08811	0.06506	0.06269	0.22768
V42	0.25797	0	0.42889	0.06221	0.10945	0.14148
V43	0.23173	0.28146	0.06454	0.08021	0.25092	0.09114
V44	0.15964	0.54679	0.07686	0.06729	0.09457	0.05486
V45	0.37119	0.22083	0.09701	0.07372	0.08448	0.15276
V46	0.14268	0	0.05493	0.23427	0.36893	0.19919
V47	0.14447	0.29554	0.0562	0.14981	0.27495	0.07904
V48	0.12473	0.43164	0.18514	0.06344	0.15033	0.04471
V49	0.15298	0.51839	0.07341	0.06652	0.1437	0.04499
V50	0.08077	0	0.23202	0.07177	0.52641	0.08904
V51	0.07593	0	0.04907	0.07678	0.74855	0.04967
V52	0.12688	0.39303	0.22641	0.08332	0.11538	0.05498
V53	0.17849	0	0.11053	0.08473	0.56931	0.05693
V54	0.12269	0.08414	0.44274	0.09267	0.15214	0.10563
V55	0.08379	0.01127	0.1264	0.08674	0.64299	0.04882
V56	0.05816	0.03505	0.5786	0.13764	0.12681	0.06374
V57	0.22852	0.23348	0.09239	0.062	0.18062	0.20301
V58	0.07029	0.00983	0.65653	0.07552	0.09078	0.09705
V59	0.11223	0.01245	0.01868	0.60952	0.18517	0.06194
V60	0.42448	0.00881	0.05285	0.31834	0.10004	0.09547
V61	0.33062	0.06502	0.06484	0.16426	0.1326	0.24266
V62	0.43642	0.00732	0.11102	0.13571	0.1429	0.16663
V63	0.18786	0.34014	0.07328	0.10941	0.10288	0.18643
V64	0.09256	0.05751	0.04846	0.0701	0.68671	0.04467
V65	0.45027	0.07649	0.08833	0.07515	0.09864	0.21111
V66	0.40233	0.01314	0.14105	0.07753	0.27285	0.0931
V67	0.14109	0.0972	0.26454	0.2169	0.10784	0.17244
V68	0.63093	0.01832	0.08083	0.0897	0.05433	0.12589
V69	0.4857	0	0.07497	0.0642	0.08125	0.29387
V70	0.09973	0.00847	0.19104	0.44381	0.19272	0.06423
V71	0.14452	0.16626	0.07305	0.12719	0.35914	0.12985
V72	0.46804	0.07971	0.11683	0.07555	0.11058	0.14929
V73	0.11664	0.00323	0.09287	0.54505	0.17552	0.0667
V74	0.09147	0.12085	0.0338	0.53901	0.16203	0.05284
V75	0.14229	0.54449	0.06903	0.0805	0.11923	0.04446
V76	0.07019	3e-04	0.54587	0.0843	0.23058	0.06876
V77	0.16117	0.10109	0.10827	0.40147	0.12933	0.09866
V78	0.42832	0.07613	0.09879	0.13918	0.08701	0.17058
V79	0.20473	0.35126	0.08008	0.0621	0.08421	0.21762
V80	0.19603	0.37083	0.07298	0.06763	0.09778	0.19475
V81	0.53959	0.07527	0.12036	0.07072	0.07107	0.12298
V82	0.13834	0.49513	0.06918	0.08882	0.15928	0.04925
V83	0.1918	0.102	0.05622	0.31077	0.23322	0.10598
V84	0.32139	0.00709	0.10566	0.33166	0.12945	0.10475
V85	0.60603	0.0163	0.12919	0.07171	0.05343	0.12334
V86	0.28106	0	0.14049	0.25239	0.10964	0.21643
V87	0.08588	0.01867	0.0354	0.62403	0.16808	0.06794
V88	0.17812	0	0.04238	0.39222	0.17234	0.21494
V89	0.16699	0.09878	0.36421	0.06518	0.08137	0.22348
V90	0.15616	0.43432	0.14247	0.06893	0.13667	0.06144
V91	0.1057	0	0.07415	0.13249	0.62682	0.06084
V92	0.09418	0.02775	0.05382	0.07584	0.69369	0.05472
V93	0.26209	0.00715	0.06358	0.12446	0.28926	0.25346
V94	0.07064	0.01183	0.22178	0.49301	0.14187	0.06087
V95	0.06922	0	0.25977	0.13915	0.47977	0.05209
V96	0.15841	0.24209	0.06615	0.09149	0.3107	0.13116
V97	0.07851	0	0.05207	0.11022	0.71371	0.0455
V98	0.10614	0.06068	0.02899	0.52136	0.22341	0.05942
V99	0.08315	0.02042	0.02259	0.63736	0.1772	0.05927
V100	0.07606	0.00123	0.37381	0.23418	0.2285	0.08622
V101	0.0975	0.26249	0.35189	0.12349	0.10134	0.06329
V102	0.59002	0.0231	0.14053	0.07143	0.0541	0.12082
V103	0.50529	0.0212	0.07389	0.16453	0.11271	0.12238
V104	0.09438	0.00195	0.18991	0.48868	0.15424	0.07084
V105	0.25178	0	0.1252	0.05797	0.07373	0.49132
V106	0.12881	0	0.48241	0.05792	0.08743	0.24344
V107	0.16028	0.42907	0.20946	0.06315	0.08735	0.05069
V108	0.22018	0	0.08939	0.06621	0.24585	0.37837
V109	0.22194	0	0.07378	0.05898	0.22756	0.41774
V110	0.10419	0.12168	0.53664	0.06104	0.0926	0.08385
V111	0.05514	0.02121	0.6679	0.07696	0.10602	0.07278
V112	0.12166	0.23836	0.03246	0.40966	0.14379	0.05407
V113	0.08208	0.06634	0.48973	0.08802	0.20647	0.06736
V114	0.16233	0.00374	0.5067	0.15649	0.09223	0.07851
V115	0.39989	0.0209	0.07863	0.08124	0.17579	0.24355
V116	0.62133	0.01752	0.07935	0.10085	0.05626	0.12469
V117	0.43177	0.00688	0.05882	0.12453	0.2821	0.09589
V118	0.13693	0.44482	0.13012	0.08354	0.14658	0.05801
V119	0.14742	0.52191	0.07724	0.08885	0.10219	0.06239
V120	0.15525	0.14483	0.11086	0.32081	0.19267	0.07559
V121	0.3316	0	0.06046	0.2342	0.0881	0.28563
V122	0.28514	0.01938	0.04015	0.42514	0.15327	0.07692
V123	0.34426	0	0.06564	0.09116	0.18623	0.31271
V124	0.07272	0	0.24832	0.07339	0.55007	0.0555
V125	0.09492	0.11092	0.5005	0.10245	0.09196	0.09925
V126	0.23793	0.14737	0.10607	0.06682	0.08749	0.35431
V127	0.08644	0.00571	0.60514	0.1257	0.10223	0.07478
V128	0.30632	0.184	0.12624	0.15972	0.13873	0.085
V129	0.05854	0.01942	0.62937	0.11348	0.10309	0.0761
V130	0.41988	0.09485	0.06068	0.21502	0.11012	0.09946
V131	0.11342	0	0.06616	0.07762	0.62167	0.12113
V132	0.11345	0.32951	0.3149	0.0625	0.12538	0.05427
V133	0.11445	0.14471	0.42964	0.11597	0.13259	0.06266
V134	0.22554	0.41009	0.07124	0.06967	0.15065	0.07282
V135	0.11873	0	0.55735	0.06276	0.12719	0.13396
V136	0.17691	0.46112	0.11171	0.07439	0.11915	0.05672
V137	0.09815	0.11726	0.42311	0.07583	0.23021	0.05543
V138	0.18867	0	0.05501	0.31079	0.18134	0.2642
V139	0.15272	0	0.15694	0.07076	0.41165	0.20792
V140	0.44952	0.16508	0.09517	0.10809	0.07592	0.10621
V141	0.25116	0.19215	0.13322	0.21896	0.12214	0.08237
V142	0.19901	0.45444	0.07602	0.09809	0.09141	0.08103
V143	0.11674	0.043	0.47513	0.11298	0.17098	0.08116
V144	0.25156	0.08219	0.07529	0.1391	0.09412	0.35773
V145	0.08666	0.00364	0.02869	0.64298	0.16378	0.07426
V146	0.16241	0	0.09855	0.07232	0.5737	0.09302
V147	0.41656	0.03397	0.14328	0.09177	0.06866	0.24575
V148	0.07954	0.13858	0.56367	0.06165	0.08795	0.06861
V149	0.20927	0.31218	0.06795	0.07775	0.08525	0.2476
V150	0.0873	0.00577	0.01706	0.63751	0.19195	0.06041
V151	0.22615	0.24936	0.06896	0.06808	0.10105	0.2864
V152	0.13053	0.16407	0.33875	0.08579	0.19215	0.0887
V153	0.06298	0.03353	0.48141	0.22524	0.13053	0.06631
V154	0.39815	0.13133	0.07877	0.06254	0.06846	0.26074
V155	0.13918	0.23926	0.11118	0.06456	0.37386	0.07195
V156	0.11346	0.32317	0.06013	0.06597	0.39827	0.039
V157	0.20801	0.04202	0.08312	0.23714	0.11492	0.31479
V158	0.07287	0.05142	0.6478	0.06309	0.08863	0.07619
V159	0.18132	0.17062	0.27057	0.16839	0.12765	0.08144
V160	0.07618	0	0.65398	0.06918	0.08889	0.11177
V161	0.11953	0.34766	0.04439	0.25528	0.18951	0.04364
V162	0.1355	0.36299	0.05303	0.13664	0.25499	0.05684
V163	0.06588	0.00789	0.69092	0.06434	0.09005	0.08094
V164	0.10271	0.25253	0.29383	0.13055	0.1632	0.05719
V165	0.11465	0	0.07192	0.0794	0.63152	0.10252
V166	0.14851	0	0.0478	0.15296	0.436	0.21472
V167	0.07295	0.00311	0.33051	0.37843	0.14822	0.06678
V168	0.51398	0.01741	0.06493	0.21263	0.07474	0.11631
V169	0.07537	0.00951	0.5291	0.19517	0.11127	0.07959
V170	0.36872	0.02497	0.11774	0.24675	0.1461	0.09572
V171	0.23737	0.29488	0.08018	0.06202	0.09388	0.23168
V172	0.13369	0.04586	0.41837	0.17422	0.10338	0.12448
V173	0.09081	0.0062	0.59896	0.06179	0.10061	0.14163
V174	0.47185	0.07687	0.07183	0.07157	0.2115	0.09639
V175	0.16147	0.43956	0.14224	0.07418	0.13094	0.05161
V176	0.05255	0.00722	0.68808	0.07132	0.10599	0.07484
V177	0.19476	0.03456	0.27569	0.08081	0.2218	0.19238
V178	0.10177	0.00747	0.0719	0.07049	0.69145	0.05691
V179	0.11326	0	0.0587	0.45677	0.22223	0.14903
V180	0.26698	0	0.17459	0.31047	0.10113	0.14684
V181	0.42094	0.07384	0.10678	0.10418	0.12532	0.16894
V182	0.07574	0.07117	0.57478	0.10427	0.09331	0.08073
V183	0.09284	0.00743	0.02235	0.6516	0.16428	0.0615
V184	0.33047	0.27553	0.07004	0.07981	0.16496	0.07919
V185	0.19374	0.34061	0.07888	0.06805	0.18644	0.13228
V186	0.05787	0.00505	0.47246	0.27703	0.1225	0.06509
V187	0.27654	0.33382	0.06364	0.07449	0.18559	0.06592
V188	0.21176	0.37968	0.07249	0.0778	0.08582	0.17245
V189	0.11403	0.02457	0.16949	0.08386	0.48985	0.11821
V190	0.13406	0.10106	0.05687	0.07736	0.50256	0.12809
V191	0.19324	0.37569	0.06788	0.06772	0.098	0.19748
V192	0.41341	0.16213	0.12478	0.08054	0.11422	0.10492
V193	0.27596	0.0296	0.07999	0.06817	0.0868	0.45948
V194	0.09287	0	0.06154	0.13874	0.64865	0.05821
V195	0.06431	0.00135	0.54593	0.12642	0.19271	0.06927
V196	0.08226	0.00401	0.0364	0.61636	0.1969	0.06407
V197	0.21289	0	0.06839	0.07334	0.57662	0.06875
V198	0.17438	0.27497	0.07843	0.15084	0.26033	0.06105
V199	0.10871	0.15206	0.11729	0.12822	0.44189	0.05184
V200	0.11996	6e-05	0.44056	0.20884	0.10872	0.12187
V201	0.09584	0.00236	0.01642	0.64326	0.16276	0.07936
V202	0.15643	0.02013	0.34526	0.08703	0.20353	0.18762
V203	0.44951	0.03104	0.05702	0.27304	0.08688	0.10251
V204	0.26309	0	0.09292	0.16624	0.09502	0.38273
V205	0.06113	0.02174	0.67481	0.07626	0.09182	0.07424
V206	0.08641	0.0413	0.10478	0.53435	0.17626	0.0569
V207	0.3399	0.12991	0.08296	0.20922	0.10813	0.12988
V208	0.3234	0.06427	0.31685	0.09299	0.11451	0.08797
V209	0.29048	0.317	0.06732	0.08376	0.0864	0.15504
V210	0.13267	0.02088	0.62117	0.0626	0.0837	0.07898
V211	0.42336	0.00987	0.13431	0.06961	0.18629	0.17657
V212	0.10377	0.19761	0.17981	0.2934	0.16324	0.06217
V213	0.10914	0.03859	0.2304	0.08455	0.48255	0.05476
V214	0.57662	0.02815	0.08828	0.10063	0.08542	0.1209
V215	0.19073	0.4075	0.06657	0.08278	0.08852	0.16391
V216	0.17913	0.34835	0.24864	0.06713	0.09698	0.05976
V217	0.24496	0	0.0869	0.11546	0.29243	0.26025
V218	0.13653	0.23889	0.0395	0.38691	0.1466	0.05158
V219	0.58968	0.00246	0.08837	0.06631	0.06074	0.19244
V220	0.15286	0.01131	0.03333	0.58052	0.1481	0.07388
V221	0.17828	0.4758	0.08489	0.10792	0.1003	0.05281
V222	0.14897	0.18967	0.0752	0.15503	0.36398	0.06715
V223	0.17778	0.19861	0.23698	0.06596	0.10212	0.21855
V224	0.06864	0	0.32755	0.06744	0.48241	0.05396
V225	0.30003	0	0.08683	0.0645	0.0738	0.47484
V226	0.25958	0.03306	0.188	0.23682	0.18308	0.09946
V227	0.48408	0	0.06539	0.20248	0.08219	0.16586
V228	0.16979	0.16995	0.35942	0.09632	0.11285	0.09167
V229	0.18713	0.00212	0.29707	0.22101	0.20278	0.08989
V230	0.10183	0.12279	0.54227	0.06711	0.08655	0.07945
V231	0.11916	0.01968	0.02537	0.59875	0.17521	0.06184
V232	0.36483	0	0.05399	0.24068	0.0936	0.2469
V233	0.58244	0.01961	0.08848	0.10611	0.07266	0.1307
V234	0.37342	0	0.05836	0.07761	0.39963	0.09098
V235	0.13971	0.00294	0.03884	0.58112	0.1643	0.07309
V236	0.12689	0	0.17841	0.0752	0.4634	0.15611
V237	0.06149	0.0053	0.61551	0.13269	0.11209	0.07291
V238	0.47399	0	0.09728	0.11661	0.0938	0.21832
