CD56NK	CD4MemoryT	CD19B	CD14
V1	0.6073	0.00099	0.15601	0.2357
V2	0.17513	0.05056	0.04621	0.72809
V3	0.07803	0.55542	0.01191	0.35463
V4	0.91309	0.07118	0.00016	0.01556
V5	0.14995	0.39437	0.29061	0.16507
V6	0.11554	0.83898	0.02335	0.02214
V7	0.18835	0.28336	0.08782	0.44046
V8	0.15735	0	0.81568	0.02698
V9	0.29035	0.17189	0.03346	0.50431
V10	0.01956	0.00033	0.93123	0.04888
V11	0.26561	0.26908	0.46189	0.00341
V12	0.03511	0.51319	0.43993	0.01177
V13	0.36588	0.60921	0.00545	0.01946
V14	0.10316	0.8838	0.00695	0.00608
V15	0.16616	0.52721	0.13893	0.1677
V16	0.94194	0.02037	0.01623	0.02146
V17	0.13042	0.83358	0.01357	0.02243
V18	0.67327	0.25572	0.04031	0.03071
V19	0.23098	0.75012	0.00598	0.01292
V20	0.22071	0.37959	0.01826	0.38144
V21	0.15857	0.01833	0.79731	0.02579
V22	0.02196	0.05167	0.21147	0.7149
V23	0.43523	0.01035	0.55108	0.00334
V24	0.96059	0.01224	0.02717	0
V25	0.4192	0.16623	0.13074	0.28383
V26	0.48753	0.29803	0.01674	0.1977
V27	0.11159	0.02743	0.01399	0.847
V28	0.00135	0.00993	0.98668	0.00205
V29	0.49558	0.00565	0.47671	0.02207
V30	0.12743	0.15144	0.29911	0.42202
V31	0.25349	0.12863	0.31284	0.30504
V32	0.08646	0.00957	0.02472	0.87925
V33	0.0604	0.42091	0.41939	0.0993
V34	0.15812	0.00678	0.80877	0.02632
V35	0.23152	0.64658	0.09311	0.02878
V36	0.00911	0.01134	0.49999	0.47956
V37	0.61353	0.03556	0.08946	0.26144
V38	0.47843	0	0.16118	0.36039
V39	0.22744	0.48465	0.14714	0.14078
V40	0.14408	0.76563	0.09028	0
V41	0.01009	0.62687	0.04941	0.31363
V42	0.26111	0.00951	0.20768	0.5217
V43	0.16976	0.25751	0.54703	0.0257
V44	0.01878	0.03253	0.78362	0.16507
V45	0.13831	0.5188	0.25449	0.08839
V46	0.84995	0.03731	0.10996	0.00278
V47	0.52914	0.12181	0.31091	0.03814
V48	0.86652	0.11379	0.00473	0.01495
V49	0.80528	0.12678	0	0.06794
V50	0.09956	0.79293	0.1023	0.00521
V51	0.39563	0.30895	0.27118	0.02423
V52	0.03108	0.059	0.88159	0.02834
V53	0.78847	0.07279	0.13874	0
V54	0.49823	0.12484	0.36169	0.01524
V55	0.26083	0.0778	0.25	0.41137
V56	0.04944	0.00373	0.07896	0.86787
V57	0.14396	0.81929	0.02353	0.01323
V58	0.68907	0.0014	0.03697	0.27256
V59	0.53646	0.3116	0.11156	0.04038
V60	0.16562	0.09786	0.34813	0.3884
V61	0.86299	0.06186	0.00968	0.06547
V62	0.91639	0.01394	0.06129	0.00838
V63	0.02472	0.80431	0.14903	0.02194
