Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.36291	0.13641	0.23094	0.11524	0.1545
V2	0.075	0.79436	0.04111	0.03996	0.04956
V3	0.07917	0.03562	0.42139	0.42049	0.04333
V4	0.01652	0.01284	0.20676	0.04427	0.71962
V5	0.02081	0	0.04943	0.08316	0.8466
V6	0.37545	0.02521	0.25522	0.20994	0.13417
V7	0.01114	0.05218	0.38169	0.06328	0.4917
V8	0.00429	0.07237	0.86529	0.05691	0.00115
V9	0.07383	0.00784	0.24689	0.61621	0.05523
V10	0.51067	0.03741	0.43562	0	0.0163
V11	0.04081	0.01064	0.08697	0.05446	0.80712
V12	0.09298	0.01045	0.19719	0.28211	0.41727
V13	0.14615	0.03554	0.03051	0.38428	0.40353
V14	0.17956	0	0.06476	0.61281	0.14287
V15	0.0438	0.01309	0.00105	0.84004	0.10203
V16	0.61245	0.06053	0.00827	0.28835	0.0304
V17	0.07652	0.22994	0.00779	0.04665	0.6391
V18	0.10558	0.44801	0.23259	0.18929	0.02454
V19	0.03472	0	0	0.09356	0.87171
V20	0	0.04438	0.71314	0.217	0.02548
V21	0.03446	0.25643	0.11139	0.1417	0.45602
V22	0.85064	0.06841	0.05911	0	0.02184
V23	0.08479	0.00354	0.01561	0.11305	0.78301
V24	0.4731	0.10668	0.01261	0.02417	0.38344
V25	0.03787	0.01653	0.01088	0.37974	0.55498
V26	0.50201	0.19658	0.05	0.0189	0.2325
V27	0.13914	0.511	0.15862	0	0.19124
V28	0.0465	0.07963	0.18777	0.60174	0.08436
V29	0.01647	0.00584	0.31815	0.59507	0.06447
V30	0.77295	0.0932	0.02155	0	0.1123
V31	0.44932	0.13496	0.00634	0.20018	0.20919
V32	0.94354	0	0.00495	0	0.05151
V33	0.0351	0.18231	0.00894	0.09783	0.67581
V34	0.14007	0.85263	0.00084	0	0.00646
V35	0.11204	0.64473	0.22989	0.01095	0.00238
V36	0.03759	0.17089	0.14385	0.07646	0.57121
