Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.10939	0.03009	0.86052	0	0	0
V2	0.6742	0.1856	0	0.07064	0.06957	0
V3	0.00314	0.1132	0.16571	0	0	0.71795
V4	0.30074	0.56949	0	0.07632	0.05344	0
V5	0	0.042	0	0.74895	0.20905	0
V6	0.12869	0.06347	0.14368	0.02924	0.12321	0.51171
V7	0	0.47258	0	0.02384	0.50359	0
V8	0.82667	0.11547	0	0.05785	0	0
V9	0.28345	0.22634	0	0.28015	0	0.21006
V10	0.54014	0.09236	0.00744	0.36007	0	0
V11	0.01458	0.98542	0	0	0	0
V12	0	0.05665	0	0	0	0.94335
V13	0.03318	0.62146	0.34536	0	0	0
V14	0.0121	0.04763	0	0.94027	0	0
V15	0.59465	0.1332	0	0.10634	0.16581	0
V16	0	0.02813	0	0.52577	0.3208	0.1253
V17	0	0.06919	0.07909	0	0	0.85172
V18	0.7949	0.2051	0	0	0	0
V19	0.69649	0.11373	0.15492	0	0.03486	0
V20	0.76341	0.12611	0.04254	0.06794	0	0
V21	0	0.07759	0	0	0	0.92241
V22	0.225	0.08155	0	0.09518	0.59827	0
V23	0.0525	0.0252	0.37422	0.03101	0.51707	0
V24	0.18374	0.03255	0	0.16112	0.62258	0
V25	0.53429	0.35251	0	0.1132	0	0
V26	0.32182	0.05446	0	0.00548	0.61823	0
V27	0	0.03331	0.12237	0	0	0.84432
V28	0.07151	0.32504	0.15673	0.27455	0	0.17216
V29	0.04274	0.76889	0.08142	0.03861	0	0.06833
V30	0.2723	0.26902	0.07854	0	0.20311	0.17703
V31	0.77589	0.08454	0.13957	0	0	0
V32	0	0.0317	0.37676	0.59154	0	0
V33	0.29247	0.47636	0.23117	0	0	0
V34	0	0	0.59247	0.0412	0.36633	0
V35	0	0.07138	0.19492	0.67346	0.06024	0
V36	0.07626	0.61993	0.1124	0	0.19142	0
V37	0.03752	0.02249	0.83408	0	0	0.1059
V38	0	0.028	0.06449	0	0	0.90751
V39	0.65521	0.10126	0	0.24353	0	0
V40	0.04432	0.64186	0	0.19535	0.08115	0.03732
V41	0.84078	0.0812	0	0	0	0.07802
V42	0.34685	0.04483	0.58724	0	0	0.02109
V43	0.26222	0.50444	0	0.01238	0.22096	0
V44	0.02585	0.97415	0	0	0	0
V45	0.57657	0.3927	0	0	0	0.03074
V46	0	0.01939	0	0.36687	0.32547	0.28827
V47	0.06435	0.51855	0	0.19013	0.22697	0
V48	0	0.75052	0.22012	0	0.02936	0
V49	0.00654	0.96352	0	0	0.02994	0
V50	0	1e-05	0.29533	0.0398	0.61622	0.04864
V51	0	0	0	0.05511	0.94489	0
V52	0.00874	0.67073	0.31176	0.00876	0	0
V53	0.16415	0.02265	0.05028	0.06162	0.7013	0
V54	0.08916	0.14708	0.68305	0.04631	0.00926	0.02514
V55	0	0.03177	0.08296	0.07514	0.81013	0
V56	0	0.04304	0.84974	0.10722	0	0
V57	0.12133	0.46709	0	0	0.09072	0.32086
V58	0.04443	0.01867	0.9369	0	0	0
V59	0	0.02801	0	0.97199	0	0
V60	0.52364	0.07407	0	0.4023	0	0
V61	0.30931	0.19409	0	0.17506	0.00428	0.31725
V62	0.69618	0.08833	0.03419	0.10989	0.06005	0.01136
V63	0	0.64853	0	0.04898	0	0.30249
V64	0	0.09933	0	0.03195	0.86871	0
V65	0.67192	0.19732	0	0	0	0.13076
V66	0.56236	0.0916	0.08869	0.00088	0.25647	0
V67	0	0.18834	0.3434	0.26227	0	0.20599
V68	0.89187	0.10813	0	0	0	0
V69	0.59879	0.09849	0	0	0	0.30272
V70	0	0.0305	0.24064	0.72886	0	0
V71	0.00137	0.32224	0	0.14308	0.37685	0.15645
V72	0.75172	0.18849	0.03654	0	0.02324	0
V73	0.0131	0.02585	0.07028	0.89077	0	0
V74	0	0.14611	0	0.85389	0	0
V75	0	0.9991	0	9e-04	0	0
V76	0.00827	0.01349	0.82989	0.03924	0.10911	0
V77	0.11772	0.17371	0.07129	0.63236	0	0.00492
V78	0.67435	0.18217	0.00932	0.10392	0	0.03024
V79	0	0.63725	0	0	0	0.36275
V80	0	0.68526	0	0	0	0.31474
V81	0.79714	0.17928	0.02358	0	0	0
V82	0	0.90854	0	0.03244	0.05902	0
V83	0.16618	0.19446	0	0.50896	0.10552	0.02488
V84	0.40005	0.06642	0.05221	0.48132	0	0
V85	0.86686	0.10258	0.03057	0	0	0
V86	0.24945	0.07958	0.09581	0.33304	0	0.24212
V87	0	0.01691	0	0.98309	0	0
V88	0	0.06236	0	0.63748	0	0.30016
V89	0.00167	0.19823	0.48162	0	0	0.31848
V90	0.0601	0.78933	0.12975	0	0.02082	0
V91	0.02407	0.01817	0	0.17564	0.78212	0
V92	0	0.06494	0	0.0485	0.88656	0
V93	0.11826	0.11586	0	0.11031	0.24621	0.40936
V94	0	0.00526	0.25791	0.73683	0	0
V95	0	0.00041	0.3384	0.16639	0.4948	0
V96	0.03197	0.4546	0	0.05052	0.31174	0.15117
V97	0	0	0	0.12137	0.87863	0
V98	0	0.09269	0	0.88963	0.01768	0
V99	0	0.01008	0	0.98992	0	0
V100	0.00649	0.02044	0.55962	0.33174	0.08029	0.00142
V101	0	0.39495	0.52962	0.07543	0	0
V102	0.84138	0.10854	0.05008	0	0	0
V103	0.73247	0.10727	0	0.14865	0.01161	0
V104	0	0.01655	0.22412	0.75933	0	0
V105	0	0.03043	0	0	0	0.96957
V106	0	0.0131	0.66524	0	0	0.32165
V107	0.05536	0.70775	0.23689	0	0	0
V108	0	0.05721	0	0	0.19674	0.74604
V109	0	0.02827	0	0	0.1505	0.82123
V110	0.05694	0.17163	0.77144	0	0	0
V111	0	0.03144	0.96856	0	0	0
V112	0	0.34636	0	0.65364	0	0
V113	0.00875	0.10885	0.75606	0.04445	0.08189	0
