mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.26896	0.20831	0.25771	0.15651	0.1085
V2	0.07291	0.67967	0.09976	0.10196	0.0457
V3	0.05867	0.14646	0.39463	0.37826	0.02198
V4	0.01831	0.12467	0.2567	0.061	0.53932
V5	0.02342	0.08109	0.09713	0.1017	0.69666
V6	0.26883	0.14041	0.26991	0.23159	0.08926
V7	0.01483	0.16893	0.40384	0.08193	0.33047
V8	0.01593	0.21671	0.67337	0.08661	0.00738
V9	0.0538	0.10207	0.2579	0.56385	0.02238
V10	0.34893	0.18313	0.40494	0.03782	0.02518
V11	0.04001	0.10471	0.13836	0.06989	0.64704
V12	0.0753	0.11292	0.233	0.29042	0.28837
V13	0.1226	0.09918	0.06799	0.41536	0.29487
V14	0.1418	0.06707	0.09741	0.60715	0.08657
V15	0.03032	0.05158	0.02754	0.84812	0.04245
V16	0.468	0.12912	0.04188	0.33838	0.02261
V17	0.0728	0.25757	0.0523	0.07468	0.54265
V18	0.0853	0.39273	0.27355	0.22962	0.01881
V19	0.03675	0.07612	0.03571	0.11823	0.73319
V20	0.00928	0.18247	0.58767	0.20452	0.01606
V21	0.02943	0.27841	0.1656	0.17434	0.35222
V22	0.65303	0.1664	0.09434	0.05294	0.03328
V23	0.08009	0.08493	0.05727	0.13895	0.63876
V24	0.40061	0.17409	0.05267	0.07994	0.29269
V25	0.03078	0.0759	0.04609	0.42143	0.4258
V26	0.40857	0.23829	0.09276	0.07958	0.1808
V27	0.12267	0.46094	0.21858	0.04445	0.15335
V28	0.03369	0.13648	0.2131	0.57497	0.04176
V29	0.01236	0.10823	0.31489	0.53727	0.02725
V30	0.60347	0.17292	0.0581	0.07272	0.0928
V31	0.36696	0.17974	0.0438	0.25436	0.15513
V32	0.74194	0.10278	0.0396	0.06174	0.05394
V33	0.03257	0.21759	0.05239	0.12712	0.57033
V34	0.14058	0.73758	0.05188	0.05786	0.01209
V35	0.09847	0.53768	0.2874	0.06762	0.00884
V36	0.03417	0.22683	0.1998	0.10245	0.43675
V37	0.62169	0.09514	0.02964	0.06045	0.19308
V38	0.10132	0.16895	0.42557	0.19312	0.11104
V39	0.26312	0.16517	0.31803	0.0452	0.20848
V40	0.22336	0.5315	0.05633	0.14871	0.0401
V41	0.07191	0.74342	0.05942	0.04947	0.07578
V42	0.69232	0.12928	0.05151	0.06343	0.06346
V43	0.37019	0.22535	0.32423	0.06374	0.01649
V44	0.03812	0.34095	0.50211	0.0353	0.08351
V45	0.05292	0.57997	0.13902	0.18194	0.04615
V46	0.12783	0.65606	0.11607	0.0761	0.02393
V47	0.00904	0.22612	0.7217	0.0315	0.01164
V48	0.14477	0.19188	0.23126	0.32187	0.11022
V49	0.36848	0.21517	0.23117	0.16524	0.01995
V50	0.02423	0.23287	0.70554	0.0311	0.00626
V51	0.10012	0.29429	0.22286	0.0855	0.29722
V52	0.07891	0.79524	0.05533	0.05872	0.0118
V53	0.0363	0.16348	0.03781	0.73224	0.03017
V54	0.1935	0.05809	0.04077	0.54075	0.16689
V55	0.07398	0.04037	0.02634	0.82463	0.03468
V56	0.07197	0.03749	0.03365	0.74155	0.11534
V57	0.1266	0.24566	0.48438	0.05456	0.0888
V58	0.07036	0.0863	0.16679	0.20487	0.47168
V59	0.66833	0.13089	0.11326	0.06475	0.02277
V60	0.35762	0.24137	0.14905	0.15455	0.09741
V61	0.18128	0.07865	0.06036	0.23373	0.44597
V62	0.0572	0.14088	0.305	0.13886	0.35806
V63	0.34991	0.27598	0.09528	0.07329	0.20554
V64	0.74156	0.1173	0.05422	0.0607	0.02622
V65	0.08428	0.11229	0.06767	0.60297	0.13279
V66	0.0322	0.07125	0.15178	0.71035	0.03442
V67	0.01552	0.14048	0.33888	0.10272	0.40241
V68	0.35013	0.15767	0.35635	0.07005	0.0658
V69	0.46542	0.20413	0.20942	0.06311	0.05792
V70	0.07676	0.60676	0.08689	0.20238	0.02721
V71	0.11101	0.67097	0.09028	0.10946	0.01828
V72	0.05157	0.37975	0.06415	0.06162	0.44291
V73	0.05928	0.07144	0.12646	0.55296	0.18986
V74	0.02187	0.08247	0.03582	0.77162	0.08822
V75	0.3695	0.2587	0.2975	0.05256	0.02174
V76	0.01931	0.04189	0.04409	0.81897	0.07574
V77	0.02269	0.21729	0.6918	0.06143	0.00679
V78	0.00935	0.2284	0.71331	0.03734	0.01161
V79	0.08652	0.37501	0.07789	0.16747	0.2931
V80	0.13945	0.63675	0.0443	0.09693	0.08257
V81	0.01624	0.2262	0.71992	0.03131	0.00633
V82	0.21034	0.17426	0.05939	0.52544	0.03057
V83	0.09518	0.11078	0.05129	0.54077	0.20199
V84	0.09822	0.19404	0.04243	0.07724	0.58807
V85	0.0091	0.22586	0.72091	0.03762	0.00651
V86	0.03192	0.27429	0.30379	0.3678	0.0222
V87	0.37826	0.08465	0.07015	0.43164	0.0353
V88	0.27452	0.19696	0.08531	0.21679	0.22643
V89	0.04172	0.2538	0.63597	0.06166	0.00685
V90	0.02984	0.21046	0.09546	0.12256	0.54168
V91	0.01719	0.05626	0.1027	0.7921	0.03175
V92	0.22097	0.10763	0.06217	0.08166	0.52757
V93	0.01866	0.13947	0.18289	0.49517	0.16381
V94	0.047	0.18979	0.05742	0.26015	0.44563
V95	0.07062	0.24197	0.05949	0.12943	0.4985
V96	0.63758	0.10847	0.05628	0.07513	0.12252
V97	0.15338	0.0997	0.0794	0.13618	0.53134
V98	0.06033	0.36523	0.2106	0.14751	0.21633
V99	0.43528	0.17047	0.0361	0.24822	0.10992
V100	0.44988	0.20794	0.08299	0.09369	0.1655
V101	0.08681	0.78028	0.06347	0.05796	0.01148
V102	0.26988	0.26808	0.16255	0.13571	0.16378
V103	0.12912	0.06647	0.0413	0.07755	0.68555
V104	0.05795	0.39153	0.12497	0.06261	0.36293
V105	0.02445	0.08412	0.07943	0.11133	0.70067
V106	0.06749	0.65093	0.19625	0.04996	0.03537
V107	0.04849	0.30516	0.56349	0.07034	0.01251
V108	0.02393	0.29636	0.64176	0.03169	0.00626
V109	0.06549	0.22775	0.09104	0.29325	0.32246
V110	0.16598	0.4518	0.21379	0.14466	0.02377
V111	0.22703	0.29822	0.42404	0.04188	0.00883
V112	0.16007	0.07514	0.13185	0.45572	0.17722
V113	0.21283	0.09391	0.13512	0.17266	0.38548
V114	0.46911	0.14387	0.07948	0.20182	0.10572
V115	0.70041	0.09802	0.03734	0.0659	0.09832
V116	0.02817	0.07197	0.0378	0.08836	0.77371
V117	0.0447	0.2064	0.63314	0.09259	0.02316
V118	0.04709	0.03874	0.02676	0.83846	0.04895
V119	0.25169	0.15345	0.34993	0.23073	0.0142
V120	0.01557	0.19991	0.64195	0.11336	0.02921
V121	0.20548	0.62578	0.04486	0.0571	0.06679
V122	0.04514	0.36195	0.12199	0.25981	0.21111
V123	0.40704	0.12138	0.10321	0.21263	0.15574
V124	0.19479	0.15857	0.09467	0.24096	0.31102
V125	0.04822	0.43416	0.46381	0.04118	0.01263
V126	0.1405	0.23739	0.23613	0.13617	0.24981
V127	0.20622	0.18447	0.52042	0.07503	0.01386
V128	0.21542	0.65448	0.05569	0.04904	0.02538
V129	0.22027	0.14606	0.26804	0.1832	0.18243
V130	0.04445	0.44905	0.0804	0.26161	0.16449
V131	0.02185	0.0925	0.23449	0.62675	0.02441
V132	0.31263	0.07891	0.02672	0.35419	0.22755
V133	0.01302	0.19344	0.49274	0.10015	0.20065
V134	0.0606	0.2095	0.61883	0.05026	0.06081
V135	0.02729	0.2453	0.59547	0.052	0.07994
V136	0.76129	0.10597	0.04146	0.0637	0.02758
V137	0.71325	0.12135	0.0386	0.08439	0.04241
V138	0.22409	0.18913	0.11217	0.16222	0.31239
V139	0.10921	0.07686	0.17261	0.61033	0.03099
V140	0.0365	0.09582	0.18878	0.0663	0.6126
V141	0.02576	0.3003	0.54871	0.11167	0.01357
V142	0.17664	0.13111	0.31866	0.1438	0.2298
V143	0.02649	0.27051	0.44254	0.14998	0.11048
V144	0.42312	0.24381	0.09953	0.1557	0.07783
V145	0.00914	0.22551	0.70497	0.04343	0.01695
V146	0.04609	0.31676	0.04237	0.34317	0.25161
V147	0.07952	0.21887	0.55636	0.11541	0.02984
V148	0.17017	0.66897	0.05559	0.07966	0.02562
V149	0.02072	0.03793	0.02784	0.84296	0.07054
V150	0.12008	0.28682	0.50139	0.03449	0.05722
V151	0.3689	0.07756	0.04043	0.40512	0.10798
V152	0.02367	0.06032	0.13522	0.69849	0.0823
