B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.56309	0.01433	0.17532	0.24726
V2	0.19103	0.11366	0.06035	0.63495
V3	0.07759	0.62879	0.02723	0.2664
V4	0.8519	0.11343	0	0.03467
V5	0.11927	0.47458	0.27426	0.13189
V6	0.10186	0.82227	0.05347	0.0224
V7	0.16623	0.37976	0.09745	0.35656
V8	0.12993	0.02458	0.80942	0.03607
V9	0.26742	0.26228	0.03642	0.43388
V10	0.01696	0.03054	0.89423	0.05827
V11	0.20928	0.35586	0.43486	0
V12	0.03768	0.5681	0.39063	0.00358
V13	0.28628	0.67695	0.02079	0.01598
V14	0.09721	0.86094	0.03505	0.0068
V15	0.13613	0.58579	0.14681	0.13126
V16	0.87788	0.05423	0.01431	0.05357
V17	0.11207	0.82458	0.04118	0.02217
V18	0.57092	0.3475	0.04781	0.03377
V19	0.18341	0.77759	0.02778	0.01121
V20	0.18902	0.47793	0.02579	0.30726
V21	0.13098	0.0817	0.7557	0.03162
V22	0.03518	0.12222	0.2293	0.6133
V23	0.37629	0.06088	0.56002	0.00281
V24	0.92838	0.0446	0.02702	0
V25	0.35477	0.25513	0.1367	0.2534
V26	0.40797	0.39693	0.01687	0.17824
V27	0.15271	0.08688	0.02539	0.73501
V28	0	0.07893	0.92107	0
V29	0.43389	0.04576	0.49212	0.02823
V30	0.11234	0.2434	0.29403	0.35022
V31	0.21266	0.2159	0.307	0.26444
V32	0.13572	0.05046	0.0557	0.75811
V33	0.05366	0.49413	0.37437	0.07784
V34	0.13046	0.06121	0.77483	0.03351
V35	0.18213	0.68629	0.11154	0.02003
V36	0.00755	0.0688	0.50526	0.4184
V37	0.55511	0.08318	0.0976	0.2641
V38	0.45307	0	0.18594	0.361
V39	0.18002	0.55328	0.15315	0.11355
V40	0.11543	0.7764	0.10817	0
V41	0.0185	0.67805	0.07512	0.22833
V42	0.25398	0.04481	0.22487	0.47635
V43	0.13767	0.34617	0.50109	0.01507
V44	0.0086	0.10467	0.74164	0.14509
