Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.01108	0.04343	0.02223	0.00727	0.10203	0.0025	0.02777	0.00264	0.00091	0.78015
V2	0.63013	0.01566	0.02558	0.00841	0.02776	0.22377	0.06268	0.00601	0	0
V3	0.11002	0.10539	0.08598	0.01111	0.41104	0.00915	0.11745	0.10991	5e-04	0.03944
V4	0	0.11118	0.04292	0	0.01935	0.09294	0.02619	0.01609	0.4163	0.27502
V5	0.00043	0.12124	0.02783	0.06021	0	0.0621	0.02951	0.00203	0	0.69665
V6	0	0.13634	0.16551	0.01656	0.56654	0.02498	0.01976	0.05171	0	0.01859
V7	0	0.56494	0.01123	0.00618	0.27443	0.00853	0.07123	0.05501	0	0.00845
V8	0	0.61575	0.0661	0.00214	0.04109	0.02295	0.02787	0.20687	0.00716	0.01008
V9	0.00513	0.00285	0.09896	0.10928	0.03966	0.02077	0.28816	0.40661	0.01126	0.01733
V10	0	0.14976	0	0	0.6313	0.05983	0.03616	0.10756	0	0.0154
V11	0	0.6122	0.0321	0	0.03841	0.04707	0.02966	0.19071	0.02717	0.02268
V12	0.01715	0.03725	0.16347	0.42194	0.02255	0.00025	0.10924	0.00989	0.02182	0.19643
V13	0.09451	0.01461	0.11436	0.01221	0.05122	0.11727	0.48343	0.01363	0.06863	0.03014
V14	0.06295	0.47425	0.14039	0.05428	0.05842	0.0447	0.13896	0.01301	0.00855	0.0045
V15	0.28679	0.01603	0.12119	0.47299	0.01654	0.01638	0.03245	0.01087	0.02676	0
V16	0.01965	0.07225	0.21137	0.49332	0.03263	0.04904	0.00471	0.00269	0.09772	0.01661
V17	0.01683	0.13915	0.00372	0.00791	0	0.06952	0.05827	0.0069	0.00219	0.69552
V18	0.07125	0.0767	0.05477	0.23336	0	0.00819	0.01135	0.00238	0.00991	0.5321
V19	0.00111	0	0.00711	0.04978	0	0.07399	0.0286	0.00786	0.00144	0.83012
V20	0	0.2402	0.01287	0.01306	0.02157	0.00199	0.54931	0.03841	0	0.12258
V21	0.08911	0.45637	0.03661	0	0.0344	0.29892	0.05589	0.02483	0	0.00388
V22	0.00038	0	0.0051	0	0	0.01588	0.03773	0.19633	0.0232	0.72139
V23	0.26203	0.0334	0.47045	0.04444	0.00662	0.00849	0.01073	0.00738	0.02563	0.13085
V24	0.0101	0.65845	0.064	0.00647	0.0535	0.00256	0.0865	0.05716	0.05534	0.00589
V25	0.02012	0.13923	0.02633	0.01847	0.03478	0.11682	0.05159	0.00167	0.09269	0.4983
V26	0.00313	0	0.09113	0	0.02929	0.02794	0.09139	0.75258	0	0.00454
V27	0	0.09563	0	0	0.30898	0.00077	0.0386	0.00159	0	0.55442
V28	0.25762	0	0.00943	0.00787	0	0.01754	0.04246	0.02109	0	0.644
V29	0	0.69573	0.02497	0.00732	0.04118	0.0887	0.02497	0.01612	0	0.10099
V30	0	0.01001	0.10957	0.01067	0.03102	0.2939	0.35664	0.00615	0.15462	0.02741
V31	0	0.39812	0.21316	0.01277	0.08755	0.00853	0.02874	0.2286	0.00986	0.01266
V32	0.49686	0.063	0.02594	0.00954	0.24346	0.03371	0.04818	0.00348	0.04825	0.02757
V33	0.04576	0.02154	0.21544	0.4309	0.02492	0	0.22418	0.0051	0.02409	0.00808
V34	0	0.07959	0	0.00233	0.15022	0.00264	0.02787	0.01258	0.02049	0.70429
V35	0	0.85305	0.02789	0.00579	0.06038	0.00933	0.02165	0.01757	0.00295	0.00139
