CD19B	CD56NK	CD4MemoryT	CD14
V1	0.43915	0.07429	0.18951	0.29705
V2	0.17272	0.14825	0.10067	0.57836
V3	0.09788	0.52564	0.06542	0.31106
V4	0.68283	0.14239	0.06164	0.11314
V5	0.13822	0.42369	0.2304	0.2077
V6	0.10645	0.71183	0.07147	0.11026
V7	0.16377	0.34253	0.11733	0.37637
V8	0.16508	0.08653	0.62625	0.12214
V9	0.22432	0.25432	0.08865	0.4327
V10	0.08416	0.09464	0.68451	0.13668
V11	0.20698	0.33688	0.36038	0.09576
V12	0.0775	0.50299	0.31567	0.10384
V13	0.23973	0.59006	0.06083	0.10937
V14	0.10015	0.74186	0.06195	0.09605
V15	0.14268	0.50671	0.14404	0.20657
V16	0.71371	0.08024	0.08371	0.12235
V17	0.11432	0.7097	0.06613	0.10985
V18	0.45013	0.33113	0.09483	0.1239
V19	0.16684	0.67014	0.06212	0.10089
V20	0.17465	0.41281	0.07178	0.34076
V21	0.16425	0.11568	0.59881	0.12126
V22	0.08896	0.15655	0.20074	0.55374
V23	0.33135	0.09516	0.47274	0.10075
V24	0.75051	0.0626	0.09159	0.09529
V25	0.28885	0.25509	0.15225	0.3038
V26	0.31978	0.36294	0.07331	0.24397
V27	0.14258	0.12056	0.08043	0.65643
V28	0.07452	0.10244	0.7285	0.09454
V29	0.37061	0.0832	0.42436	0.12183
V30	0.137	0.24374	0.24643	0.37282
V31	0.20404	0.22573	0.26065	0.30958
V32	0.12955	0.10222	0.08803	0.6802
V33	0.09315	0.43852	0.30146	0.16687
V34	0.16431	0.10085	0.61292	0.12191
V35	0.16939	0.5968	0.11819	0.11563
V36	0.07884	0.11465	0.38476	0.42174
V37	0.42898	0.12471	0.13511	0.3112
V38	0.35514	0.07254	0.18993	0.38239
V39	0.17274	0.48403	0.15055	0.19268
V40	0.12283	0.67482	0.11373	0.08862
V41	0.06344	0.56415	0.08951	0.28291
V42	0.22336	0.10421	0.20886	0.46357
V43	0.15639	0.32386	0.40208	0.11767
V44	0.08275	0.13825	0.5593	0.2197
V45	0.12769	0.50202	0.21133	0.15896
V46	0.6299	0.10966	0.16178	0.09866
V47	0.36588	0.21415	0.28706	0.13291
V48	0.63195	0.19018	0.0665	0.11138
V49	0.57155	0.20797	0.05931	0.16117
V50	0.10062	0.68354	0.1196	0.09624
V51	0.27104	0.36971	0.2419	0.11735
V52	0.09045	0.1585	0.62924	0.12181
V53	0.57721	0.15182	0.17882	0.09216
V54	0.3496	0.2153	0.32316	0.11194
V55	0.21358	0.17908	0.22634	0.38099
V56	0.10957	0.09945	0.12184	0.66914
V57	0.1217	0.7041	0.07154	0.10266
V58	0.50349	0.06716	0.09764	0.33171
V59	0.34985	0.37947	0.13961	0.13107
V60	0.16225	0.19799	0.28138	0.35838
V61	0.6262	0.13971	0.07154	0.16255
V62	0.69327	0.07461	0.12533	0.10679
