CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.07609	0.04823	0.74359	0.02142	0.03412	0.07655
V2	0.35449	0.14513	0.08924	0.12092	0.16695	0.12327
V3	0.16952	0.09452	0.23926	0.02698	0.0664	0.40333
V4	0.15487	0.36786	0.07538	0.11171	0.16122	0.12896
V5	0.02338	0.0703	0.02099	0.50461	0.33647	0.04426
V6	0.17169	0.05945	0.19449	0.06294	0.19774	0.31368
V7	0.05074	0.31896	0.03818	0.06768	0.46204	0.06241
V8	0.43077	0.09591	0.10594	0.12776	0.07484	0.16477
V9	0.19306	0.17155	0.06858	0.23989	0.11047	0.21645
V10	0.28439	0.07651	0.11159	0.30034	0.10898	0.11819
V11	0.08062	0.58825	0.09	0.06614	0.10181	0.07318
V12	0.17955	0.07203	0.12895	0.03573	0.0717	0.51204
V13	0.07152	0.42839	0.29247	0.05966	0.07625	0.07171
V14	0.05424	0.05311	0.045	0.67564	0.11556	0.05646
V15	0.2992	0.10903	0.07076	0.13484	0.25071	0.13546
V16	0.05646	0.04555	0.03513	0.34838	0.38621	0.12827
V17	0.16677	0.07897	0.19835	0.02647	0.06088	0.46856
V18	0.4443	0.17126	0.11379	0.05676	0.06587	0.14802
V19	0.36351	0.0972	0.22469	0.04196	0.14086	0.13177
V20	0.38231	0.1051	0.15572	0.12586	0.07268	0.15833
V21	0.183	0.08064	0.09746	0.03789	0.10594	0.49506
V22	0.126	0.08175	0.03861	0.09877	0.56561	0.08925
V23	0.05102	0.04345	0.28768	0.04688	0.51648	0.05449
V24	0.10574	0.0499	0.02701	0.13476	0.59385	0.08875
V25	0.27961	0.26122	0.0797	0.14785	0.11536	0.11626
V26	0.18019	0.05851	0.04485	0.04887	0.58797	0.07962
V27	0.15104	0.06126	0.21898	0.03267	0.06764	0.46841
V28	0.09467	0.23411	0.18092	0.2153	0.10667	0.16832
V29	0.07574	0.46759	0.14385	0.10191	0.07998	0.13093
V30	0.16291	0.1976	0.1447	0.04146	0.26034	0.19298
V31	0.40424	0.07757	0.23704	0.05496	0.05553	0.17065
V32	0.02399	0.04946	0.31458	0.45673	0.07814	0.07709
V33	0.16459	0.35007	0.24863	0.05885	0.06667	0.1112
V34	0.0104	0.03257	0.4317	0.04964	0.41683	0.05886
V35	0.0251	0.0786	0.17717	0.44916	0.20029	0.06968
V36	0.08143	0.3928	0.14391	0.05761	0.24662	0.07763
V37	0.05034	0.04517	0.68741	0.02714	0.03715	0.15279
V38	0.1656	0.05628	0.19319	0.02498	0.06009	0.49986
V39	0.35115	0.08662	0.08813	0.25558	0.08329	0.13523
V40	0.07206	0.39575	0.06794	0.16304	0.18858	0.11264
V41	0.42247	0.08239	0.12017	0.04167	0.06982	0.26349
V42	0.17671	0.05904	0.49618	0.02683	0.08728	0.15395
V43	0.14222	0.33417	0.06626	0.07217	0.27221	0.11296
V44	0.08573	0.59604	0.0873	0.06129	0.08799	0.08165
V45	0.26074	0.28817	0.12153	0.06089	0.08518	0.18349
V46	0.07316	0.04665	0.05074	0.24878	0.37707	0.20359
V47	0.06945	0.3379	0.05354	0.15792	0.28586	0.09534
V48	0.05767	0.47501	0.20482	0.05163	0.14701	0.06386
V49	0.07865	0.56446	0.07961	0.05985	0.1462	0.07122
V50	0.02465	0.03309	0.23108	0.0467	0.57541	0.08907
V51	0.01204	0.03381	0.00731	0.05906	0.84023	0.04755
V52	0.05961	0.43716	0.25481	0.07436	0.10156	0.0725
V53	0.09998	0.04209	0.09416	0.06832	0.63371	0.06175
V54	0.06419	0.13252	0.49933	0.06847	0.12537	0.11011
V55	0.01384	0.06221	0.10175	0.06895	0.70481	0.04843
V56	0.0111	0.06432	0.66757	0.12303	0.07967	0.05431
V57	0.13637	0.302	0.10133	0.04402	0.18662	0.22965
V58	0.02194	0.04297	0.77182	0.03614	0.03535	0.09178
V59	0.04185	0.04489	0.02977	0.69156	0.14234	0.04959
V60	0.30189	0.06323	0.07715	0.36087	0.08881	0.10805
V61	0.2174	0.14557	0.08161	0.1654	0.12956	0.26046
V62	0.31041	0.08318	0.13531	0.13305	0.15027	0.18779
V63	0.10356	0.39806	0.08467	0.10673	0.09346	0.21352
V64	0.01966	0.11065	0.01344	0.05289	0.75484	0.04852
V65	0.32357	0.15951	0.11373	0.05726	0.10516	0.24077
V66	0.28998	0.0774	0.15953	0.05845	0.3047	0.10994
V67	0.07251	0.15436	0.29443	0.22468	0.07515	0.17887
V68	0.49574	0.08894	0.11711	0.07685	0.06339	0.15796
V69	0.35186	0.09101	0.10073	0.0394	0.089	0.328
V70	0.03614	0.04292	0.20914	0.50377	0.15385	0.05418
V71	0.06671	0.22412	0.06554	0.12395	0.37666	0.14302
V72	0.34499	0.15282	0.14509	0.05845	0.12027	0.17838
V73	0.04711	0.03742	0.10723	0.61887	0.13394	0.05543
V74	0.02797	0.14791	0.04378	0.61349	0.12072	0.04614
V75	0.06984	0.59014	0.07624	0.07822	0.11534	0.07022
V76	0.01901	0.03342	0.62274	0.05111	0.21297	0.06075
V77	0.08367	0.14476	0.1258	0.44984	0.09577	0.10017
V78	0.30582	0.14848	0.12649	0.13858	0.08488	0.19575
V79	0.11796	0.41719	0.09269	0.0465	0.07666	0.24899
V80	0.11254	0.43145	0.08447	0.05447	0.09178	0.22529
V81	0.41148	0.14707	0.15676	0.05315	0.0782	0.15335
V82	0.06731	0.53562	0.0736	0.08825	0.16173	0.0735
V83	0.10626	0.1523	0.06212	0.3444	0.22274	0.11218
V84	0.21328	0.06234	0.12906	0.37241	0.11155	0.11136
V85	0.4764	0.08673	0.17165	0.05244	0.05902	0.15376
V86	0.17835	0.07471	0.16576	0.26758	0.08882	0.22478
V87	0.02207	0.04979	0.04812	0.7061	0.11972	0.0542
V88	0.09329	0.06441	0.05474	0.42842	0.14649	0.21265
V89	0.09576	0.16855	0.41091	0.03411	0.05172	0.23894
V90	0.08095	0.48035	0.15946	0.0596	0.13491	0.08471
V91	0.03576	0.04297	0.04766	0.12739	0.68551	0.06072
V92	0.02036	0.08291	0.01863	0.05805	0.76292	0.05712
V93	0.15802	0.09503	0.06584	0.11387	0.30259	0.26465
V94	0.01375	0.04133	0.24564	0.56184	0.09082	0.04663
V95	0.00938	0.03988	0.26362	0.13059	0.51063	0.04589
V96	0.07953	0.29702	0.0615	0.08343	0.3299	0.14862
V97	0.01138	0.0408	0.01446	0.10062	0.78994	0.04281
V98	0.03802	0.09268	0.03493	0.59239	0.19034	0.05164
V99	0.01914	0.04934	0.034	0.72494	0.12773	0.04485
V100	0.02172	0.04024	0.41064	0.24664	0.20202	0.07874
V101	0.04067	0.30276	0.39651	0.11855	0.0701	0.0714
V102	0.46309	0.09232	0.18394	0.05197	0.05823	0.15045
V103	0.37406	0.08921	0.09876	0.17261	0.11978	0.14558
V104	0.03252	0.03538	0.21062	0.55455	0.10851	0.05842
V105	0.17565	0.05768	0.15232	0.02654	0.0619	0.5259
V106	0.07469	0.04136	0.55523	0.01833	0.05063	0.25976
V107	0.08822	0.47583	0.24022	0.05008	0.07362	0.07203
V108	0.13496	0.0729	0.09648	0.0402	0.25808	0.39739
V109	0.1445	0.05918	0.08223	0.03138	0.24063	0.44208
V110	0.05245	0.16434	0.61926	0.02606	0.05116	0.08673
V111	0.00863	0.04978	0.7882	0.03781	0.05228	0.06331
V112	0.05203	0.26559	0.04198	0.46748	0.11572	0.0572
V113	0.02959	0.1051	0.55235	0.06085	0.18714	0.06498
V114	0.1004	0.0406	0.58628	0.14898	0.04767	0.07607
V115	0.27563	0.10941	0.09434	0.06301	0.18973	0.26788
V116	0.48677	0.08743	0.11492	0.09151	0.06415	0.15521
V117	0.31085	0.07237	0.0667	0.12112	0.31593	0.11304
V118	0.06572	0.48712	0.14351	0.07915	0.14408	0.08042
V119	0.07444	0.56762	0.08717	0.08788	0.09481	0.08808
V120	0.07958	0.18547	0.12266	0.35735	0.17474	0.08019
V121	0.22741	0.06456	0.08318	0.24983	0.07479	0.30022
V122	0.18143	0.06649	0.05537	0.4851	0.13211	0.07949
V123	0.24286	0.0675	0.08002	0.0748	0.19983	0.33499
V124	0.01469	0.03315	0.24679	0.0487	0.60525	0.05142
V125	0.04283	0.15471	0.57054	0.08142	0.04806	0.10245
V126	0.14317	0.239	0.12466	0.04261	0.07562	0.37495
V127	0.03698	0.03494	0.70668	0.10542	0.04953	0.06645
V128	0.20481	0.23767	0.14802	0.16854	0.13746	0.1035
V129	0.01257	0.0488	0.73524	0.08856	0.04807	0.06675
V130	0.29765	0.1539	0.08198	0.23766	0.10959	0.11923
V131	0.04796	0.03712	0.0402	0.05971	0.68887	0.12614
V132	0.05358	0.37209	0.35673	0.04213	0.10838	0.0671
V133	0.05849	0.1843	0.48717	0.10212	0.10301	0.06491
V134	0.1372	0.46318	0.07927	0.06282	0.15836	0.09918
V135	0.06203	0.04596	0.64144	0.02206	0.0916	0.13691
V136	0.09971	0.50714	0.12643	0.06859	0.11638	0.08176
V137	0.04162	0.159	0.47104	0.04902	0.22246	0.05686
V138	0.11512	0.04428	0.06833	0.34155	0.16439	0.26634
V139	0.07155	0.0772	0.15475	0.0451	0.43417	0.21723
V140	0.33134	0.22839	0.12375	0.10549	0.07743	0.13359
V141	0.15993	0.23894	0.15508	0.24023	0.10909	0.09671
V142	0.11619	0.50286	0.08876	0.09914	0.08503	0.10803
V143	0.05865	0.08475	0.53838	0.09323	0.14443	0.08056
V144	0.15011	0.17563	0.09328	0.1305	0.07941	0.37108
V145	0.02272	0.03576	0.04171	0.72811	0.11279	0.05891
V146	0.08548	0.04781	0.08091	0.05243	0.634	0.09936
V147	0.29422	0.12003	0.17694	0.07488	0.06228	0.27165
V148	0.03195	0.17759	0.65324	0.02622	0.04209	0.06891
V149	0.12064	0.38146	0.07982	0.06467	0.07691	0.2765
V150	0.02256	0.03591	0.0274	0.72519	0.14337	0.04557
V151	0.13405	0.32738	0.08134	0.04956	0.09499	0.31268
V152	0.06687	0.21299	0.37555	0.06586	0.18192	0.09681
V153	0.01376	0.06446	0.54488	0.2378	0.08232	0.05678
V154	0.27467	0.21767	0.10199	0.04085	0.06848	0.29634
V155	0.06496	0.2894	0.10575	0.04922	0.40418	0.08647
V156	0.0432	0.36485	0.04654	0.05587	0.43475	0.0548
V157	0.11499	0.12742	0.09936	0.24388	0.0928	0.32156
V158	0.02558	0.08424	0.76222	0.02145	0.03556	0.07095
V159	0.10799	0.21684	0.30479	0.17315	0.10672	0.0905
V160	0.02712	0.03531	0.76841	0.02707	0.03369	0.10839
V161	0.05024	0.3765	0.04727	0.28679	0.18266	0.05654
V162	0.06197	0.40156	0.05035	0.14441	0.2671	0.07461
V163	0.01892	0.03521	0.82197	0.0192	0.03214	0.07256
V164	0.04284	0.29249	0.32514	0.12794	0.14624	0.06534
V165	0.04268	0.05069	0.04532	0.061	0.69323	0.10708
V166	0.07844	0.04738	0.03714	0.15185	0.46218	0.22301
V167	0.01841	0.03342	0.36673	0.42962	0.09798	0.05383
V168	0.38051	0.08267	0.09281	0.23313	0.07321	0.13767
V169	0.02673	0.04103	0.60556	0.19665	0.05945	0.07058
V170	0.258	0.0811	0.14323	0.27102	0.1397	0.10694
V171	0.14335	0.36548	0.09357	0.04525	0.08858	0.26377
V172	0.07305	0.09381	0.47138	0.17172	0.0642	0.12583
V173	0.03692	0.05241	0.69201	0.01948	0.05513	0.14405
V174	0.34694	0.14485	0.08599	0.056	0.24467	0.12154
V175	0.08701	0.4842	0.15969	0.06662	0.12856	0.07394
V176	0.00665	0.0336	0.81646	0.02863	0.05028	0.06438
V177	0.11533	0.10499	0.30156	0.05504	0.21877	0.20432
V178	0.02731	0.06296	0.03879	0.04934	0.76273	0.05887
V179	0.0473	0.03789	0.06702	0.51251	0.1925	0.14278
V180	0.17205	0.05688	0.205	0.34158	0.07247	0.15202
V181	0.29922	0.14859	0.13126	0.09461	0.1315	0.19482
