CD56NK	CD4MemoryT	CD19B	CD14
V1	0.51903	0	0.15019	0.33078
V2	0.11939	0.05155	0.03326	0.7958
V3	0.05316	0.56295	0.00692	0.37696
V4	0.87447	0.09667	0	0.02886
V5	0.10906	0.44402	0.23877	0.20815
V6	0.0805	0.87408	0.01691	0.02851
V7	0.1301	0.30267	0.06608	0.50116
V8	0.1378	0	0.81731	0.04489
V9	0.20676	0.18395	0.02574	0.58355
V10	0.01665	0	0.91138	0.07197
V11	0.2222	0.33914	0.43185	0.00681
V12	0.0283	0.58831	0.36577	0.01761
V13	0.27579	0.69264	0.00338	0.02818
V14	0.07209	0.91633	0.00412	0.00746
V15	0.11766	0.57021	0.10886	0.20328
V16	0.91647	0.02574	0.01813	0.03966
V17	0.0908	0.871	0.00964	0.02855
V18	0.58349	0.32722	0.03849	0.0508
V19	0.16652	0.8123	0.00341	0.01777
V20	0.15175	0.40509	0.01291	0.43026
V21	0.13836	0.0251	0.79202	0.04451
V22	0.01326	0.05355	0.16116	0.77203
V23	0.40441	0.01578	0.57198	0.00784
V24	0.95551	0.0152	0.02871	0.00058
V25	0.32664	0.19426	0.11309	0.36602
V26	0.37981	0.34902	0.01408	0.25709
V27	0.07412	0.02609	0.00809	0.8917
V28	0.00128	0.01338	0.98473	0.00062
V29	0.45879	0.00611	0.49347	0.04163
V30	0.09112	0.16486	0.24355	0.50047
V31	0.19248	0.14874	0.27031	0.38846
V32	0.05663	0.00651	0.01577	0.9211
V33	0.04594	0.47642	0.34771	0.12994
V34	0.13778	0.00952	0.80812	0.04458
V35	0.16855	0.71744	0.07372	0.0403
V36	0.00574	0.01229	0.41851	0.56347
V37	0.51302	0.04385	0.08214	0.36099
V38	0.38571	0	0.14582	0.46847
V39	0.1648	0.53793	0.11846	0.17881
V40	0.10439	0.82634	0.06927	0
V41	0.00928	0.62526	0.03491	0.33054
V42	0.19267	0.00893	0.17222	0.62619
V43	0.13833	0.31812	0.50102	0.04254
V44	0.01473	0.04047	0.71998	0.22483
V45	0.10014	0.57598	0.20861	0.11527
V46	0.82305	0.05178	0.11779	0.00738
V47	0.46834	0.15765	0.3097	0.06431
V48	0.81464	0.15266	0.00452	0.02818
V49	0.72803	0.16577	0	0.10619
V50	0.07095	0.84516	0.07716	0.00672
V51	0.32633	0.38316	0.24958	0.04093
V52	0.02669	0.07482	0.85295	0.04553
V53	0.75177	0.10072	0.14739	0.00012
V54	0.44635	0.16204	0.36239	0.02922
V55	0.19534	0.08714	0.21159	0.50593
V56	0.03084	0.00053	0.05746	0.91116
V57	0.10244	0.86286	0.01719	0.01751
V58	0.59061	0	0.03376	0.37562
V59	0.44504	0.39103	0.10102	0.0629
V60	0.12199	0.10866	0.29514	0.47422
V61	0.80278	0.08119	0.00968	0.10635
V62	0.89864	0.01831	0.06517	0.01789
V63	0.02033	0.83962	0.11154	0.02851
V64	0.01086	0.82192	0	0.16722
V65	0.00746	0	0.06726	0.92527
V66	0.21907	0.67855	0.01549	0.08688
V67	0.16369	0.30793	0.51047	0.01791
V68	0.13013	0.10015	0.01262	0.7571
V69	0.02649	0.28672	0.61847	0.06831
V70	0.54765	0.11894	0.17202	0.16138
V71	0.15205	0.03975	0.33985	0.46834
V72	0.56888	0.1244	0.08591	0.2208
V73	0.15505	0.60116	0.12996	0.11383
V74	0.06101	0.1985	0.74049	0
V75	0.70116	0	0.18145	0.11738
V76	0.00042	0.12124	0.14619	0.73214
V77	0.03052	0.22784	0.00117	0.74047
V78	0.28344	0.07771	0.16295	0.4759
V79	0.00678	0.06232	0.80879	0.12211
V80	0.36323	0	0.52221	0.11456
V81	0.06047	0.13027	0.80102	0.00824
V82	0.00049	0.03598	0.95361	0.00991
V83	0.11223	0.1277	0.05518	0.70489
V84	0.36384	0.02216	0.14114	0.47286
V85	0.1089	0.27913	0.38733	0.22465
V86	0.04768	0.01923	0.87504	0.05805
V87	0.0375	0.82777	0.047	0.08774
V88	0.14587	0.03068	0.23112	0.59234
V89	0.01343	0	0.15862	0.82795
V90	0.03022	0.90233	0.0496	0.01785
V91	0.03764	0.74236	0.17896	0.04104
V92	0.45808	0.00376	0.36453	0.17364
V93	0.86981	0.00384	0	0.12635
V94	0.01516	0.37861	0.01245	0.59379
V95	0.25862	0.40322	0.1469	0.19126
V96	0.05573	0.06219	0.01366	0.86842
V97	0.7109	0.07962	0.20218	0.00729
V98	0.69718	0.28492	0	0.01791
V99	0.82143	0.02709	0.14403	0.00744
V100	0.08205	0.00426	0.88105	0.03264
V101	0.00965	0.01112	0	0.97923
V102	0.93903	0.03645	0.00558	0.01893
V103	0.00707	0.0201	0.06555	0.90728
V104	0.0321	0.95618	0.00413	0.00759
V105	0.06155	0.92039	0.01076	0.0073
V106	0.12444	0.50491	0.31667	0.05397
V107	0.19925	0.16838	0.56486	0.06751
V108	0.15897	0.75458	0.08645	0
V109	0.01455	0.1189	0.56101	0.30555
V110	0.05966	0.87968	0.03205	0.0286
V111	0.92522	0	0.06655	0.00823
V112	0.12026	0.0328	0.39015	0.45679
V113	0.16662	0.06751	0.14758	0.61829
V114	0.20771	0.02242	0.06224	0.70762
V115	0.01127	0.76448	0.21735	0.0069
V116	0.1421	0.27773	0.35615	0.22401
V117	0.68774	0.2307	0.03104	0.05052
V118	0.15858	0.53926	0.02808	0.27408
V119	0.09172	0.04542	0.03396	0.8289
V120	0.08204	0.0384	0.85928	0.02028
V121	0.58608	0.09599	0.08555	0.23238
V122	0.96855	0	0.01234	0.01911
V123	0.0082	0.45084	0.03352	0.50745
V124	0.65836	0.2685	0	0.07314
V125	0.40374	0.39881	0.16902	0.02843
V126	0.0295	0.1029	0.03392	0.83368
V127	0.14364	0.02344	0.21946	0.61346
V128	0.02192	0.00048	0.08072	0.89688
V129	0.59745	0.20616	0.15615	0.04024
V130	0.01057	0.66361	0.31888	0.00694
V131	0.02895	0.87353	0	0.09753
V132	0.94583	0	0.02543	0.02874
V133	0.92831	0.00421	0.04911	0.01837
V134	0.10214	0.34158	0.11285	0.44343
V135	0.06328	0.00447	0.14225	0.79
V136	0.22656	0.35256	0.007	0.41389
V137	0.66213	0.01694	0.23505	0.08588
V138	0.20949	0.36784	0.16462	0.25805
V139	0.34542	0.16742	0.18	0.30716
V140	0.02178	0.05513	0.03476	0.88833
V141	0.0632	0.11733	0.51411	0.30537
V142	0.80318	0	0.19646	0.00036
V143	0.41913	0.22353	0.0593	0.29804
V144	0.14794	0.11232	0.14202	0.59772
V145	0.00406	0.77207	0.21689	0.00698
V146	0.0401	0.00124	0.01657	0.94209
V147	0.92172	0.01027	0.01802	0.05
V148	0.12782	0.0435	0.55087	0.27781
V149	0.27535	0.50758	0.21052	0.00655
V150	0.09103	0.21325	0.58708	0.10864
V151	0.20635	0.6032	0.02901	0.16144
V152	0.24049	0.42248	0.20906	0.12798
V153	0.10754	0.73039	0.01499	0.14708
V154	0.25565	0.44232	0.26095	0.04108
V155	0.48715	0.11219	0.27412	0.12654
V156	0.03415	0.10466	0.68667	0.17453
V157	0.30161	0.11992	0.29347	0.28499
V158	0.00941	0	0.01194	0.97865
V159	0.88944	0.04919	0	0.06137
V160	0.65574	0	0.05684	0.28742
V161	0.17404	0	0.02032	0.80564
V162	0.05814	0.24303	0.06395	0.63489
V163	0.09581	0.45354	0.15388	0.29677
V164	0.33107	0.26946	0.09551	0.30396
V165	0.00775	0.20986	0	0.78239
V166	0.00704	0.06317	0.04966	0.88013
V167	0.2957	0	0.00222	0.70208
V168	0.29201	0.55965	0.07244	0.0759
V169	0.15668	0.03034	0.02608	0.7869
V170	0.10026	0.00477	0.47744	0.41754
V171	0.13789	0.21657	0.58988	0.05566
V172	0.73302	0	0.25936	0.00762
V173	0.022	0.10416	0.02683	0.84701
V174	0.01387	0.11982	0.05561	0.8107
V175	0.06466	0	0.76444	0.1709
V176	0.01156	0.82218	0.15938	0.00687
V177	0.01352	0.96753	0	0.01895
V178	0.0101	0.72558	0.00161	0.26271
V179	0.14689	0	0.33783	0.51528
V180	0.03228	0.89728	0.07043	0
V181	0.16697	0.09881	0.52272	0.2115
V182	0.31635	0.15112	0.45295	0.07958
V183	0.18841	0.80075	0.00373	0.00711
V184	0.99115	0	0.0081	0.00076
V185	0.57753	0.40459	0.01087	0.00702
V186	0.12074	0.45995	0.25029	0.16901
V187	0.96492	0	0.02656	0.00852
V188	0.04822	0.18219	0	0.76959
V189	0.79116	0.00843	0.01549	0.18492
V190	0.68117	0	0.31121	0.00762
V191	0.19921	0.18128	0.56428	0.05523
V192	0.29666	0.43337	0.044	0.22597
V193	0.60084	0.01555	0.22493	0.15868
V194	0.0409	0.9265	0.00338	0.02922
V195	0.00869	0.00867	0.9725	0.01014
V196	0.00824	0.04407	0.00369	0.944
V197	0.3615	0.02839	0.01923	0.59088
V198	0.06803	0.49427	0.35865	0.07906
V199	0.14039	0.00916	0.14377	0.70668
V200	0.12259	0.51911	0.01332	0.34498
V201	0.09816	0.53165	0.17722	0.19298
