CD56NK	CD4MemoryT	CD19B	CD14
V1	0.05903	0.09709	0.11657	0.72732
V2	0.00558	0.07703	0.01138	0.90601
V3	0.00432	0.39133	0.00401	0.60033
V4	0.25188	0.54549	0	0.20263
V5	0.01004	0.39411	0.15246	0.44339
V6	0.00976	0.87623	0.01818	0.09583
V7	0.00812	0.23914	0.03524	0.71749
V8	0.02194	0.03173	0.78263	0.1637
V9	0.01176	0.16443	0.01288	0.81093
V10	0.00293	0.01164	0.76262	0.2228
V11	0.03197	0.4872	0.43888	0.04195
V12	0.00381	0.61846	0.30704	0.0707
V13	0.03835	0.84884	0.00492	0.10789
V14	0.00885	0.95456	0.00429	0.0323
V15	0.01029	0.47925	0.07499	0.43547
V16	0.26093	0.41987	0.04467	0.27453
V17	0.01109	0.88207	0.011	0.09584
V18	0.10443	0.61953	0.056	0.22004
V19	0.02175	0.90497	0.00458	0.0687
V20	0.00894	0.29814	0.00695	0.68597
V21	0.02137	0.07986	0.73803	0.16075
V22	0.00033	0.06995	0.05378	0.87594
V23	0.07555	0.12994	0.73956	0.05495
V24	0.38789	0.52068	0.08772	0.00371
V25	0.02847	0.23426	0.07622	0.66105
V26	0.03909	0.3801	0.01228	0.56853
V27	0.0031	0.0608	0.00069	0.93541
V28	3e-05	0.01356	0.98641	0
V29	0.07987	0.12519	0.60513	0.18981
V30	0.00724	0.1624	0.13158	0.69878
V31	0.01508	0.17253	0.16252	0.64986
V32	0.00217	0.04846	0.0029	0.94647
V33	0.00571	0.44415	0.2441	0.30604
V34	0.02163	0.0555	0.76037	0.16251
V35	0.02164	0.77218	0.07248	0.1337
V36	0.00022	0.04152	0.20517	0.75309
V37	0.05393	0.1419	0.06066	0.74351
V38	0.03943	0.06161	0.1035	0.79545
V39	0.01582	0.47984	0.08476	0.41958
V40	0.01419	0.91766	0.06814	0
V41	0.00017	0.43191	0.02241	0.54551
V42	0.01178	0.05671	0.08263	0.84887
V43	0.0188	0.40081	0.43613	0.14426
V44	0.00189	0.0696	0.43426	0.49425
V45	0.01098	0.54135	0.15542	0.29224
V46	0.24265	0.44074	0.24133	0.07528
V47	0.0718	0.34319	0.33721	0.24779
V48	0.20772	0.59676	0.01165	0.18387
V49	0.13222	0.44153	0	0.42625
V50	0.00922	0.88518	0.07248	0.03312
V51	0.04509	0.55336	0.24725	0.1543
V52	0.00462	0.11619	0.7305	0.14868
V53	0.20211	0.51518	0.28096	0.00174
V54	0.07506	0.36129	0.42541	0.13824
V55	0.01461	0.1237	0.12345	0.73824
V56	0.00103	0.04649	0.0165	0.93598
V57	0.01305	0.90245	0.01904	0.06546
V58	0.0683	0.10838	0.0287	0.79462
V59	0.0689	0.58945	0.11174	0.22991
V60	0.0098	0.13441	0.17871	0.67708
V61	0.16454	0.35953	0.01743	0.45851
V62	0.28138	0.41754	0.14763	0.15345
V63	0.00201	0.80895	0.09643	0.09261
V64	3e-04	0.62914	0	0.37055
V65	0	0.03878	0.01831	0.94291
V66	0.02633	0.70373	0.01678	0.25316
V67	0.02359	0.41357	0.47847	0.08436
V68	0.00691	0.10164	0.00482	0.88664
V69	0.00394	0.31765	0.47602	0.20239
V70	0.06907	0.26311	0.15623	0.51159
V71	0.01243	0.07952	0.21324	0.69481
V72	0.06413	0.25473	0.07507	0.60607
V73	0.01669	0.58064	0.1051	0.29758
V74	0.01046	0.27125	0.71829	0
V75	0.12469	0.15944	0.22429	0.49158
V76	0	0.09679	0.05655	0.84666
V77	0.00166	0.15187	0	0.84647
V78	0.02433	0.13052	0.10439	0.74076
V79	0.00112	0.09258	0.58802	0.31829
V80	0.04878	0.08111	0.47896	0.39115
V81	0.01038	0.19188	0.7558	0.04194
V82	0	0.05255	0.90536	0.04209
V83	0.00556	0.11417	0.02284	0.85743
V84	0.03422	0.09066	0.09665	0.77846
V85	0.00987	0.26916	0.23455	0.48643
V86	0.00804	0.05022	0.74801	0.19374
V87	0.00397	0.72474	0.04084	0.23045
V88	0.00846	0.073	0.10734	0.8112
V89	0.00032	0.04048	0.05308	0.90612
V90	0.00334	0.88612	0.04703	0.06351
V91	0.00454	0.72301	0.14921	0.12325
V92	0.0551	0.10188	0.31734	0.52568
V93	0.185	0.24375	0	0.57124
V94	0.00057	0.24041	0.00528	0.75373
V95	0.02565	0.41409	0.10905	0.45121
V96	0.00279	0.07688	0.00382	0.91651
V97	0.17609	0.40747	0.3484	0.06805
V98	0.15358	0.73121	0	0.11521
V99	0.24738	0.38066	0.29483	0.07713
V100	0.01383	0.03192	0.82914	0.12511
V101	0	0.0421	0	0.9579
V102	0.30428	0.51467	0.01797	0.16308
V103	0	0.0543	0.01887	0.92683
V104	0.00331	0.96118	0.00414	0.03137
V105	0.00746	0.94921	0.01149	0.03184
V106	0.01598	0.55304	0.2629	0.16808
V107	0.02547	0.26018	0.49016	0.22418
V108	0.0218	0.88985	0.08835	0
V109	0.00147	0.12942	0.29792	0.5712
V110	0.00729	0.86583	0.03224	0.09464
V111	0.33451	0.39655	0.17737	0.09157
V112	0.01023	0.07019	0.23714	0.68244
V113	0.00967	0.09395	0.06906	0.82732
V114	0.01108	0.06633	0.02712	0.89547
V115	8e-04	0.78135	0.18489	0.03297
V116	0.0122	0.27469	0.22074	0.49237
V117	0.13426	0.57268	0.05213	0.24093
V118	0.01237	0.44519	0.02101	0.52143
V119	0.00437	0.07261	0.01155	0.91148
V120	0.01395	0.08245	0.81767	0.08593
V121	0.06335	0.22805	0.0738	0.6348
V122	0.34994	0.43319	0.0395	0.17737
V123	1e-05	0.29689	0.01736	0.68574
V124	0.11693	0.57578	0	0.30729
V125	0.06056	0.62604	0.18712	0.12628
V126	0.00135	0.09324	0.0113	0.89412
V127	0.00834	0.06385	0.10172	0.82609
V128	0.00061	0.04725	0.02332	0.92882
V129	0.11369	0.48722	0.20523	0.19386
V130	9e-04	0.69504	0.27035	0.0337
V131	0.0027	0.75007	0	0.24723
V132	0.31555	0.37865	0.06958	0.23622
V133	0.3026	0.40905	0.12482	0.16354
V134	0.00774	0.28169	0.06534	0.64524
V135	0.00321	0.04894	0.0491	0.89875
V136	0.01726	0.31279	0.00468	0.66527
V137	0.12539	0.20185	0.29674	0.37602
V138	0.0184	0.35322	0.10973	0.51864
V139	0.02973	0.21804	0.11639	0.63584
V140	0.00059	0.07106	0.00939	0.91895
V141	0.00618	0.13602	0.28181	0.57598
V142	0.27051	0.29136	0.4357	0.00243
V143	0.0411	0.28239	0.04519	0.63132
V144	0.00945	0.12518	0.07441	0.79096
V145	0	0.78306	0.18428	0.03266
V146	0.00135	0.04475	0.00304	0.95086
V147	0.2534	0.37203	0.04315	0.33142
V148	0.0106	0.08809	0.3109	0.59042
V149	0.04039	0.69699	0.22063	0.04199
V150	0.01214	0.26079	0.4306	0.29646
V151	0.02093	0.55932	0.02572	0.39404
V152	0.02649	0.46604	0.16625	0.34121
V153	0.01064	0.62772	0.0136	0.34804
V154	0.03355	0.57557	0.24259	0.1483
V155	0.06536	0.25184	0.25402	0.42878
V156	0.00447	0.13766	0.44324	0.41463
V157	0.02714	0.17445	0.18655	0.61186
V158	0	0.03643	0.001	0.96257
V159	0.22513	0.42107	0	0.3538
V160	0.08216	0.12809	0.05342	0.73633
V161	0.00819	0.05342	0.00662	0.93177
V162	0.00397	0.17756	0.02979	0.78868
V163	0.00785	0.3609	0.09122	0.54003
V164	0.02914	0.28806	0.06342	0.61937
V165	0	0.14065	0	0.85935
V166	0	0.06988	0.01654	0.91358
V167	0.01944	0.05363	0	0.92692
V168	0.03571	0.65255	0.07245	0.2393
V169	0.00718	0.06858	0.00892	0.91532
V170	0.00907	0.04479	0.27906	0.66707
V171	0.01875	0.29711	0.50079	0.18336
V172	0.20429	0.23527	0.48651	0.07393
V173	0.00081	0.09304	0.0088	0.89735
V174	3e-04	0.09796	0.019	0.88274
V175	0.00857	0.02742	0.52949	0.43452
V176	0.00074	0.82916	0.13811	0.03199
V177	0.00059	0.93846	0	0.06095
V178	0.00024	0.53423	0.00097	0.46456
V179	0.01102	0.04166	0.19841	0.74891
V180	0.00353	0.93177	0.0647	0
V181	0.01652	0.15021	0.34439	0.48888
V182	0.0417	0.2729	0.41495	0.27045
V183	0.02549	0.9339	0.00496	0.03566
V184	0.44235	0.52504	0.02795	0.00466
V185	0.11476	0.81341	0.01953	0.0523
V186	0.01164	0.42508	0.16871	0.39457
V187	0.3713	0.44957	0.08347	0.09567
