Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.32774	0.15728	0.26754	0.09279	0.15465
V2	0.05124	0.82748	0.03217	0.04113	0.04798
V3	0.07365	0	0.53081	0.38051	0.01503
V4	0.00623	0	0.22598	0.02122	0.74657
V5	0.00482	0	0.04834	0.0571	0.88975
V6	0.34857	0.04289	0.30716	0.17377	0.1276
V7	0.00872	0.01329	0.42251	0.04202	0.51347
V8	0.01045	0	0.93845	0.0511	0
V9	0.0597	0	0.33616	0.58944	0.0147
V10	0.46566	0.0149	0.51261	0	0.00683
V11	0.02624	0.00926	0.09307	0.03109	0.84034
V12	0.07883	0.00055	0.24294	0.23346	0.44422
V13	0.12761	0.05655	0.03332	0.33934	0.44318
V14	0.17702	0.00287	0.08882	0.60102	0.13027
V15	0.01766	0.02731	0	0.90024	0.05478
V16	0.61056	0.12729	0	0.26216	0
V17	0.05385	0.24055	0	0.02525	0.68034
V18	0.08945	0.46016	0.27536	0.1657	0.00933
V19	0.01759	0	0	0.06519	0.91723
V20	0	0	0.80392	0.18691	0.00917
V21	0.0165	0.25692	0.12726	0.11218	0.48714
V22	0.82979	0.10352	0.05699	0	0.0097
V23	0.06384	0.01427	0.01237	0.08052	0.829
V24	0.42011	0.15951	0	0.00935	0.41103
V25	0.01737	0.02703	0.00803	0.33396	0.61361
V26	0.45939	0.23524	0.04647	0.01279	0.24611
V27	0.11565	0.50652	0.17491	0	0.20292
V28	0.03103	0.08238	0.256	0.57839	0.0522
V29	0	0	0.4101	0.56305	0.02685
V30	0.74134	0.1377	0.00901	0	0.11196
V31	0.41543	0.1967	0	0.17182	0.21606
V32	0.92939	0.02919	0	0	0.04143
V33	0.01557	0.19151	0.00193	0.07052	0.72046
V34	0.11205	0.886	0	0.00195	0
V35	0.09197	0.64548	0.24835	0.01421	0
V36	0.02259	0.16091	0.16278	0.05006	0.60366
V37	0.73215	0.00782	0	0	0.26003
V38	0.12946	0.0044	0.52976	0.15358	0.1828
V39	0.30829	0.04047	0.34075	0	0.31049
V40	0.2174	0.67243	0	0.07351	0.03665
V41	0.04706	0.86917	0	0.00055	0.08322
V42	0.87268	0.06154	0.00505	0	0.06073
V43	0.49022	0.12494	0.38454	3e-04	0
V44	0.03934	0.27654	0.56194	0	0.12219
V45	0.03735	0.71655	0.08635	0.10888	0.05087
V46	0.10919	0.81056	0.04523	0.01836	0.01665
V47	0	0	0.99871	0	0.00129
V48	0.17273	0.14463	0.252	0.26636	0.16428
