Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	5e-04	0	0.10735	0	0.41115	0	0	0	0	0.48099
V2	0.64546	0	0	0	0.00437	0.30658	0.04359	0	0	0
V3	0.10092	0	0.12433	0	0.50459	0.01672	0.05577	0.19512	0	0.00254
V4	0.01613	0.0528	0.04756	0.00582	0.08978	0.06477	0.01293	0.01501	0.59702	0.0982
V5	0	0.10517	0.09879	0.0666	0.2091	0.06745	0.00863	0	0	0.44425
V6	0.01284	0	0.2284	0	0.66296	0.01464	0	0.08116	0	0
V7	0.00645	0.3652	0.03648	0	0.44975	0.00917	0.03397	0.09898	0	0
V8	0.01587	0.40742	0.06689	0	0.15579	0	0	0.35404	0	0
V9	0.01374	0.00869	0.08783	0.10596	0.0034	0.03203	0.12991	0.60824	0.00974	0.00047
V10	0.00409	0	0.03963	0	0.73283	0.04581	0.00383	0.17381	0	0
V11	0.0224	0.41087	0.03077	0	0.16252	0.02014	0	0.3319	0.01327	0.00813
V12	0	0.03192	0.17221	0.52914	0.05007	0.02129	0.08989	0.01449	0	0.09099
V13	0.08649	0.02794	0.12438	0	0.01037	0.23316	0.34015	0.0192	0.15494	0.00338
V14	0.07253	0.37109	0.18606	0.02144	0.15357	0.07412	0.09716	0.02404	0	0
V15	0.21268	0.01058	0.08352	0.60781	0	0.02503	0.04189	0.01355	0.00495	0
V16	0.00182	0.0471	0.18183	0.56585	0.01623	0.04329	0.02633	0.00034	0.11722	0
V17	0.0092	0.11459	0.06717	0	0.23904	0.08476	0.0284	0.00814	0	0.44871
V18	0.04656	0.07682	0.0969	0.33587	0.11198	0.0034	0.00747	0	0	0.321
V19	0	0	0.08526	0.06218	0.16723	0.08579	0.00551	0.00714	0	0.58689
V20	0	0.22739	0.03029	0	0.06027	0.13179	0.41344	0.07627	0	0.06054
V21	0.08975	0.34264	0.02935	0	0.12619	0.33393	0.03597	0.03907	0	0.0031
V22	0.00154	0	0.05864	0	0.1295	0	0	0.37807	0.01018	0.42207
V23	0.28375	0.01034	0.61206	0	0.01996	0.00063	0	0.00296	0	0.07029
V24	0.03259	0.48298	0.0663	0	0.19355	0.00543	0.04871	0.10515	0.06529	0
V25	0.01787	0.08498	0.08105	0.0081	0.22012	0.12353	0.02723	0	0.16333	0.27379
V26	0.02383	0	0.06622	0	0	0	0	0.90995	0	0
V27	0	0	0.06065	0	0.61687	0	0.00979	0	0	0.31269
V28	0.28266	0	0.04571	0	0.11513	0.02054	0.01179	0.0411	0	0.48306
V29	0.01272	0.53724	0.03657	0	0.23451	0.08885	0.0087	0.02997	0	0.05144
V30	0.0072	0.01514	0.11442	0	0	0.34315	0.22928	0.00074	0.28904	0.00102
V31	0.02336	0.23305	0.21459	0	0.15352	0	0	0.37549	0	0
V32	0.4727	0	0.01075	0	0.34847	0.04643	0.02516	0	0.09105	0.00545
V33	0.01987	0.02499	0.21304	0.51243	0	0.04734	0.16958	0.00619	0.00656	0
