mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.26214	0.20391	0.23655	0.18012	0.11728
V2	0.0555	0.68374	0.09304	0.11703	0.05068
V3	0.0617	0.14241	0.36722	0.39404	0.03463
V4	0.02294	0.12141	0.22551	0.10497	0.52516
V5	0.02858	0.08055	0.07499	0.15204	0.66384
V6	0.26598	0.13225	0.24793	0.25369	0.10015
V7	0.01844	0.16528	0.36947	0.11448	0.33234
V8	0.01887	0.21644	0.64291	0.10187	0.01991
V9	0.0575	0.09898	0.23328	0.57546	0.03477
V10	0.35066	0.17399	0.38071	0.05669	0.03795
V11	0.04332	0.10337	0.11366	0.11986	0.61978
V12	0.07744	0.10884	0.20799	0.3181	0.28763
V13	0.12068	0.09866	0.05475	0.43611	0.28981
V14	0.141	0.06454	0.08194	0.61662	0.0959
V15	0.03598	0.05542	0.01743	0.83908	0.05208
V16	0.45325	0.12258	0.03275	0.35662	0.0348
V17	0.06889	0.26011	0.04174	0.11812	0.51114
V18	0.07761	0.40304	0.25059	0.24009	0.02867
V19	0.04101	0.07694	0.01985	0.16977	0.69242
V20	0.01265	0.18074	0.5554	0.22234	0.02887
V21	0.029	0.28148	0.14552	0.20473	0.33927
V22	0.6385	0.15586	0.08094	0.07891	0.04579
V23	0.08061	0.08446	0.0413	0.18571	0.60791
V24	0.3831	0.16914	0.0422	0.115	0.29055
V25	0.03546	0.07808	0.03295	0.44486	0.40865
V26	0.39019	0.23637	0.08057	0.10863	0.18424
V27	0.10926	0.47002	0.19876	0.0682	0.15376
V28	0.03689	0.13755	0.19054	0.58216	0.05287
V29	0.01761	0.10499	0.28734	0.55038	0.03969
V30	0.58424	0.16473	0.04756	0.10072	0.10275
V31	0.35119	0.17624	0.03529	0.27754	0.15974
V32	0.72651	0.08648	0.02748	0.0919	0.06763
V33	0.03331	0.21998	0.04036	0.16958	0.53676
V34	0.11548	0.73611	0.05078	0.07646	0.02118
V35	0.08511	0.55255	0.26094	0.08298	0.01842
V36	0.03498	0.22729	0.17515	0.14	0.42258
V37	0.60244	0.08204	0.01883	0.09502	0.20167
V38	0.10235	0.16291	0.39838	0.21497	0.12139
V39	0.26001	0.15615	0.29359	0.07315	0.2171
V40	0.19918	0.53611	0.05419	0.16339	0.04713
V41	0.05289	0.74096	0.05854	0.07013	0.07749
V42	0.67648	0.11582	0.03968	0.09218	0.07584
V43	0.36593	0.22036	0.30175	0.08321	0.02876
V44	0.03575	0.35025	0.46818	0.05286	0.09295
V45	0.04047	0.58902	0.12721	0.19146	0.05183
V46	0.1066	0.66286	0.10677	0.09235	0.03143
V47	0.01188	0.22802	0.69098	0.04445	0.02468
V48	0.14153	0.19092	0.21016	0.33913	0.11827
V49	0.36043	0.21126	0.21192	0.18465	0.03174
V50	0.02679	0.2353	0.67502	0.04385	0.01904
V51	0.09468	0.29711	0.20068	0.11641	0.29112
V52	0.05829	0.78996	0.05415	0.07689	0.02071
V53	0.03819	0.17004	0.02972	0.72186	0.04019
V54	0.18901	0.05555	0.03001	0.55422	0.17122
V55	0.07696	0.04228	0.01639	0.819	0.04537
V56	0.07518	0.03835	0.02283	0.74213	0.12151
V57	0.12544	0.24534	0.45536	0.07405	0.0998
V58	0.07276	0.08252	0.1423	0.2427	0.45972
V59	0.65871	0.11677	0.09831	0.09049	0.03573
V60	0.34388	0.23968	0.13368	0.17747	0.10528
V61	0.1755	0.07557	0.04634	0.27041	0.43218
V62	0.05949	0.13549	0.27555	0.17314	0.35633
V63	0.3314	0.27611	0.08334	0.10279	0.20636
V64	0.72692	0.10202	0.04134	0.0894	0.04032
V65	0.08441	0.11399	0.05541	0.60823	0.13796
V66	0.03725	0.07065	0.13138	0.71535	0.04536
V67	0.01986	0.13633	0.30609	0.13908	0.39863
V68	0.35016	0.14697	0.33249	0.09228	0.0781
V69	0.45639	0.19735	0.19089	0.0865	0.06886
V70	0.0611	0.61353	0.08189	0.20925	0.03423
V71	0.09069	0.67513	0.08479	0.1234	0.02599
V72	0.04597	0.38232	0.0557	0.09983	0.41617
V73	0.06258	0.06996	0.10784	0.56661	0.19301
V74	0.02706	0.08721	0.02581	0.76466	0.09527
V75	0.36233	0.25637	0.27562	0.07221	0.03348
V76	0.026	0.04493	0.03188	0.81338	0.08381
V77	0.02574	0.21711	0.66225	0.07548	0.01942
V78	0.01195	0.23058	0.68239	0.05052	0.02455
V79	0.07821	0.37834	0.06961	0.1942	0.27963
V80	0.11686	0.63779	0.04534	0.11535	0.08466
V81	0.01913	0.22777	0.68981	0.04407	0.01922
V82	0.20126	0.17614	0.05013	0.53069	0.04178
V83	0.09463	0.11249	0.04049	0.55014	0.20224
V84	0.09402	0.19587	0.03126	0.12408	0.55478
V85	0.012	0.2277	0.69016	0.05071	0.01944
V86	0.03139	0.2815	0.27766	0.37628	0.03318
V87	0.36911	0.07723	0.05788	0.44845	0.04733
V88	0.26169	0.19514	0.07308	0.24382	0.22626
V89	0.04314	0.25685	0.60493	0.07593	0.01915
V90	0.03103	0.21274	0.07875	0.16383	0.51365
V91	0.02357	0.05804	0.08553	0.7906	0.04225
V92	0.21236	0.1043	0.04804	0.12706	0.50825
V93	0.02248	0.14108	0.16077	0.50737	0.1683
V94	0.04737	0.19253	0.04562	0.28999	0.42448
V95	0.06732	0.24431	0.04818	0.16888	0.47131
V96	0.62263	0.09433	0.04415	0.10577	0.13313
V97	0.14897	0.09684	0.06313	0.17956	0.51149
V98	0.05475	0.37121	0.18998	0.17095	0.21311
V99	0.41759	0.16625	0.02795	0.27087	0.11734
V100	0.43169	0.20429	0.07121	0.12259	0.17022
V101	0.06589	0.77696	0.06089	0.07588	0.02038
V102	0.25686	0.26786	0.14602	0.1612	0.16806
V103	0.12643	0.06447	0.02591	0.1303	0.6529
V104	0.0516	0.39605	0.11058	0.09654	0.34522
V105	0.02939	0.08408	0.05919	0.16159	0.66575
V106	0.05216	0.66124	0.17718	0.06742	0.042
V107	0.04761	0.31315	0.52996	0.08511	0.02417
V108	0.02416	0.30577	0.60672	0.04484	0.01851
V109	0.06355	0.23089	0.07768	0.31733	0.31056
V110	0.15095	0.46145	0.19557	0.15916	0.03287
V111	0.22302	0.30067	0.39666	0.05881	0.02084
V112	0.15859	0.07041	0.11342	0.47518	0.1824
V113	0.20758	0.08799	0.11474	0.20968	0.38002
V114	0.45541	0.13605	0.06712	0.22688	0.11454
V115	0.6844	0.08226	0.02579	0.09706	0.11048
V116	0.03349	0.07287	0.02066	0.1441	0.72888
V117	0.04757	0.20367	0.60387	0.10882	0.03606
V118	0.05198	0.04147	0.01651	0.83157	0.05848
V119	0.25192	0.14413	0.32706	0.24987	0.02702
V120	0.01873	0.19767	0.61096	0.13046	0.04218
V121	0.17812	0.62772	0.04475	0.07843	0.07099
V122	0.04081	0.36738	0.10891	0.27655	0.20635
V123	0.39644	0.11322	0.0883	0.23929	0.16275
V124	0.18672	0.1569	0.08012	0.27075	0.30551
V125	0.04232	0.45074	0.42762	0.05604	0.02328
V126	0.1354	0.23644	0.21368	0.16499	0.2495
V127	0.2093	0.17643	0.49498	0.09251	0.02678
V128	0.18737	0.6559	0.0539	0.06916	0.03368
V129	0.21622	0.13886	0.24487	0.21035	0.1897
V130	0.0373	0.45448	0.07398	0.27338	0.16086
V131	0.02694	0.09127	0.20949	0.63599	0.03631
V132	0.3007	0.07435	0.01717	0.37872	0.22906
V133	0.01587	0.19101	0.45932	0.12518	0.20862
V134	0.06297	0.20698	0.58911	0.06709	0.07384
V135	0.02869	0.24666	0.56303	0.06951	0.09212
V136	0.74578	0.08938	0.02891	0.09355	0.04239
V137	0.69679	0.10727	0.02736	0.11304	0.05554
V138	0.21426	0.187	0.09658	0.19481	0.30735
V139	0.11071	0.07338	0.15216	0.62046	0.04329
V140	0.04057	0.09289	0.16044	0.11436	0.59173
V141	0.0254	0.3079	0.51509	0.12645	0.02516
V142	0.17569	0.122	0.2931	0.17336	0.23584
V143	0.02667	0.27367	0.41183	0.16923	0.11861
V144	0.40556	0.24212	0.08761	0.17831	0.08641
V145	0.01175	0.22721	0.67409	0.05704	0.02989
V146	0.04303	0.32144	0.03689	0.35633	0.24232
V147	0.08092	0.21742	0.5268	0.13261	0.04225
V148	0.14482	0.67063	0.05447	0.09681	0.03327
V149	0.02773	0.04158	0.01712	0.83459	0.07898
V150	0.11829	0.28935	0.47198	0.05182	0.06855
V151	0.35774	0.07102	0.03011	0.42482	0.11631
V152	0.02942	0.06001	0.11562	0.70377	0.09118
V153	0.1397	0.26545	0.3886	0.0973	0.10895
V154	0.1112	0.53056	0.06195	0.10047	0.19582
V155	0.04526	0.07094	0.13095	0.7078	0.04505
V156	0.089	0.15194	0.34612	0.18502	0.22791
V157	0.08896	0.12203	0.16777	0.30849	0.31275
V158	0.16041	0.14429	0.37665	0.10175	0.2169
V159	0.10746	0.21603	0.03838	0.57704	0.06109
V160	0.37116	0.2067	0.10871	0.11503	0.1984
V161	0.1921	0.09716	0.07791	0.11154	0.52129
V162	0.0124	0.23425	0.68952	0.04446	0.01937
V163	0.06499	0.0717	0.03428	0.15576	0.67327
V164	0.71117	0.12366	0.03579	0.09459	0.03479
V165	0.47827	0.24381	0.10036	0.11757	0.06
V166	0.05768	0.08982	0.2191	0.54262	0.09077
V167	0.04271	0.56635	0.05723	0.19059	0.14311
V168	0.0124	0.23425	0.68952	0.04446	0.01937
V169	0.05621	0.59968	0.18178	0.13162	0.03071
V170	0.21101	0.35971	0.08185	0.23851	0.10893
V171	0.24155	0.18325	0.31172	0.20438	0.0591
V172	0.16222	0.24958	0.0933	0.11039	0.3845
V173	0.18235	0.14938	0.10212	0.41381	0.15235
V174	0.17451	0.12354	0.30877	0.22645	0.16672
V175	0.07736	0.19201	0.13167	0.23325	0.36571
V176	0.30786	0.06416	0.02365	0.56462	0.03971
V177	0.15412	0.1784	0.44811	0.19039	0.02899
V178	0.21758	0.17239	0.37883	0.15107	0.08015
V179	0.10088	0.07847	0.02664	0.13117	0.66285
V180	0.03508	0.14063	0.31232	0.09041	0.42156
V181	0.07011	0.27896	0.02781	0.14722	0.47591
V182	0.45417	0.23861	0.03168	0.2168	0.05874
V183	0.07456	0.77613	0.05312	0.06932	0.02688
V184	0.2518	0.11884	0.26012	0.32295	0.04628
V185	0.09884	0.43781	0.05747	0.2031	0.20277
V186	0.12634	0.20222	0.05245	0.30157	0.31742
V187	0.07969	0.58573	0.04308	0.26062	0.03087
V188	0.64524	0.10788	0.05152	0.15771	0.03765
V189	0.36918	0.24469	0.05971	0.2902	0.03622
V190	0.33085	0.1585	0.20544	0.09056	0.21466
V191	0.18908	0.22144	0.03108	0.44002	0.11838
V192	0.26516	0.22443	0.13583	0.25154	0.12303
V193	0.06487	0.28902	0.43645	0.0891	0.12057
V194	0.22857	0.12202	0.10075	0.17816	0.37051
V195	0.43783	0.23628	0.22021	0.07584	0.02984
V196	0.02856	0.07349	0.07489	0.15318	0.66988
V197	0.07228	0.75107	0.05161	0.0982	0.02685
V198	0.20052	0.23796	0.06099	0.25638	0.24415
V199	0.57935	0.12563	0.1983	0.06915	0.02757
V200	0.60396	0.08205	0.04988	0.10646	0.15764
V201	0.049	0.0426	0.03777	0.69467	0.17596
V202	0.71232	0.12705	0.0234	0.09643	0.04079
V203	0.43284	0.26385	0.05304	0.12672	0.12355
V204	0.29262	0.13705	0.05595	0.10351	0.41087
V205	0.10987	0.11149	0.12658	0.15769	0.49438
V206	0.05315	0.11525	0.0195	0.74468	0.06743
V207	0.03598	0.05542	0.01743	0.83908	0.05208
V208	0.13101	0.28931	0.40186	0.09451	0.0833
V209	0.1455	0.10247	0.10935	0.12996	0.51271
V210	0.01174	0.22595	0.68713	0.05059	0.02459
V211	0.14025	0.12277	0.19789	0.11653	0.42257
V212	0.06203	0.65991	0.11472	0.1007	0.06264
