mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V1	0.29222	0.20354	0.20668	0.17629	0.12126
V2	0.08048	0.68866	0.08461	0.1131	0.03315
V3	0.0544	0.15306	0.33111	0.44504	0.01639
V4	0.01283	0.09667	0.19224	0.10214	0.59611
V5	0.01749	0.04403	0.05866	0.15579	0.72403
V6	0.28941	0.1371	0.21419	0.2618	0.0975
V7	0.00838	0.15591	0.33271	0.11437	0.38863
V8	0.00914	0.25012	0.62918	0.09896	0.01259
V9	0.04422	0.10425	0.20201	0.64038	0.00914
V10	0.40622	0.19123	0.34628	0.02469	0.03158
V11	0.03553	0.06925	0.09254	0.11838	0.6843
V12	0.0709	0.0977	0.17701	0.34061	0.31378
V13	0.11615	0.08053	0.03929	0.46261	0.30142
V14	0.13575	0.0629	0.06438	0.66002	0.07695
V15	0.01262	0.04988	0.00815	0.90922	0.02013
V16	0.49675	0.1167	0.01771	0.35734	0.0115
V17	0.07074	0.21058	0.02919	0.113	0.57649
V18	0.08997	0.40279	0.23349	0.26639	0.00736
V19	0.02988	0.03546	0.01102	0.17354	0.7501
V20	0	0.20175	0.52727	0.25204	0.01895
V21	0.02407	0.25115	0.12463	0.21555	0.3846
V22	0.72362	0.15191	0.05869	0.03275	0.03303
V23	0.07471	0.05052	0.02897	0.18716	0.65864
V24	0.42135	0.1445	0.02671	0.09053	0.3169
V25	0.02014	0.05279	0.02166	0.47149	0.43392
V26	0.44205	0.21496	0.06159	0.08351	0.1979
V27	0.13658	0.45824	0.18249	0.04869	0.174
V28	0.02206	0.13462	0.1644	0.64987	0.02906
V29	0	0.11117	0.25337	0.61903	0.01643
V30	0.65981	0.15105	0.02941	0.06177	0.09796
V31	0.38271	0.15859	0.02064	0.27818	0.15988
V32	0.80541	0.08691	0.01026	0.04122	0.0562
V33	0.0277	0.17254	0.02836	0.17382	0.59758
V34	0.16158	0.75171	0.03997	0.04674	0
V35	0.11306	0.56612	0.25432	0.0665	0
V36	0.03004	0.19796	0.15117	0.1409	0.47993
V37	0.66355	0.07065	0.00419	0.05488	0.20672
V38	0.10804	0.17123	0.35966	0.23022	0.13085
V39	0.29012	0.15718	0.25696	0.05115	0.24459
V40	0.25	0.52273	0.04022	0.16027	0.02677
V41	0.08022	0.75343	0.04881	0.04843	0.06911
V42	0.75276	0.11215	0.02194	0.0464	0.06675
V43	0.42719	0.23263	0.26838	0.05509	0.0167
V44	0.03873	0.36811	0.45154	0.03589	0.10573
V45	0.05352	0.58309	0.11742	0.21156	0.0344
V46	0.14769	0.67035	0.09784	0.07637	0.00774
V47	0.00066	0.26509	0.68881	0.02432	0.02112
V48	0.15071	0.18546	0.18157	0.36778	0.11447
V49	0.41096	0.21416	0.18338	0.17596	0.01554
V50	0.02097	0.27141	0.67142	0.02302	0.01317
V51	0.10526	0.27398	0.17629	0.10869	0.33578
V52	0.08833	0.81852	0.04461	0.04855	0
V53	0.02201	0.15443	0.01871	0.79779	0.00706
V54	0.18841	0.04816	0.01771	0.58365	0.16206
V55	0.05908	0.03977	0.00698	0.88164	0.01252
V56	0.05858	0.03348	0.01279	0.79308	0.10207
V57	0.1452	0.26159	0.42314	0.05819	0.11188
V58	0.06527	0.06308	0.11721	0.25252	0.50191
V59	0.73972	0.11869	0.07416	0.0454	0.02202
V60	0.38824	0.22889	0.11176	0.16769	0.10343
V61	0.17763	0.05436	0.03183	0.27494	0.46123
V62	0.0544	0.12346	0.24103	0.17861	0.4025
V63	0.37825	0.25225	0.06477	0.07968	0.22505
V64	0.81284	0.10267	0.02256	0.03731	0.02462
V65	0.07489	0.10168	0.04105	0.65791	0.12447
V66	0.01778	0.07189	0.10963	0.78333	0.01738
V67	0.00917	0.12099	0.26957	0.14186	0.4584
V68	0.39955	0.15939	0.29342	0.06789	0.07975
V69	0.52248	0.19808	0.16071	0.05437	0.06435
V70	0.08124	0.60743	0.0709	0.23211	0.00832
V71	0.12603	0.68176	0.07505	0.11716	0
V72	0.04995	0.33389	0.04202	0.09293	0.4812
V73	0.04867	0.06338	0.08678	0.6111	0.19007
V74	0.00585	0.07585	0.01557	0.83144	0.07129
V75	0.4253	0.2667	0.24476	0.04132	0.02192
V76	0.00184	0.04008	0.02097	0.87944	0.05767
V77	0.01864	0.25182	0.6514	0.06496	0.01318
V78	0.00117	0.26667	0.67864	0.03275	0.02077
V79	0.08681	0.34144	0.05407	0.20114	0.31654
V80	0.15623	0.62815	0.03322	0.10528	0.07713
V81	0.01031	0.26485	0.68781	0.02326	0.01377
V82	0.21356	0.16378	0.03523	0.57373	0.01371
V83	0.08644	0.09544	0.02739	0.59167	0.19905
V84	0.09643	0.1485	0.01964	0.11733	0.61811
V85	0.00056	0.265	0.68841	0.03221	0.01382
V86	0.02425	0.2799	0.25459	0.43035	0.01091
V87	0.39198	0.07799	0.04103	0.46373	0.02527
V88	0.28609	0.17398	0.05485	0.24478	0.24031
V89	0.04304	0.28884	0.59312	0.06437	0.01064
V90	0.02529	0.17009	0.06241	0.16796	0.57426
V91	0.00021	0.0567	0.06876	0.86287	0.01146
V92	0.22102	0.0752	0.03317	0.11318	0.55743
V93	0.00701	0.1285	0.13656	0.56079	0.16713
V94	0.04065	0.15396	0.03234	0.30921	0.46383
V95	0.0677	0.19917	0.03464	0.17111	0.52738
V96	0.68666	0.08872	0.02643	0.06645	0.13174
V97	0.15137	0.06944	0.04691	0.17635	0.55593
V98	0.05977	0.34967	0.17046	0.17878	0.24132
V99	0.4611	0.15014	0.01363	0.26497	0.11016
V100	0.48726	0.1849	0.05234	0.09626	0.17924
V101	0.09865	0.80226	0.05141	0.04767	0
V102	0.28998	0.2534	0.12387	0.15304	0.17972
V103	0.12335	0.03017	0.01526	0.1236	0.70761
V104	0.05801	0.35737	0.09369	0.08796	0.40297
V105	0.01832	0.04611	0.04505	0.16606	0.72446
V106	0.07702	0.67728	0.1729	0.04743	0.02537
V107	0.05167	0.34343	0.51413	0.07618	0.0146
V108	0.0207	0.33964	0.60656	0.02373	0.00936
V109	0.06017	0.19862	0.06051	0.34131	0.33939
V110	0.18605	0.46002	0.17938	0.16092	0.01363
V111	0.26514	0.32163	0.37402	0.03158	0.00763
V112	0.15804	0.06644	0.09096	0.50398	0.18059
V113	0.21606	0.07275	0.09163	0.20672	0.41283
V114	0.50052	0.12702	0.0485	0.21409	0.10987
V115	0.75459	0.07906	0.00944	0.0516	0.10531
V116	0.0211	0.02884	0.01162	0.14553	0.79291
V117	0.04612	0.23205	0.58143	0.10748	0.03292
V118	0.03046	0.03785	0.00732	0.89655	0.02782
V119	0.27775	0.16134	0.29096	0.25935	0.0106
V120	0.00838	0.22598	0.5887	0.13633	0.0406
V121	0.23498	0.62073	0.03197	0.05285	0.05948
V122	0.04022	0.33815	0.09162	0.30562	0.22438
V123	0.42872	0.10644	0.06786	0.23149	0.16549
V124	0.19854	0.13349	0.06086	0.27775	0.32937
V125	0.05234	0.47671	0.42554	0.03616	0.00926
V126	0.14867	0.22177	0.18637	0.16329	0.27991
V127	0.24097	0.19964	0.46499	0.07566	0.01874
V128	0.24892	0.66276	0.04161	0.03824	0.00846
V129	0.23607	0.13598	0.21123	0.21215	0.20457
V130	0.04059	0.425	0.05914	0.30576	0.16951
V131	0.00775	0.09384	0.18017	0.70872	0.00952
V132	0.31499	0.0627	0.0056	0.38634	0.23038
V133	0.00542	0.19483	0.42392	0.12725	0.24858
V134	0.06712	0.23068	0.56498	0.05393	0.08328
V135	0.02436	0.27134	0.53824	0.05871	0.10735
V136	0.83224	0.09133	0.0109	0.03967	0.02586
V137	0.77465	0.10567	0.01052	0.06714	0.04201
V138	0.23295	0.16288	0.07602	0.19012	0.33802
V139	0.10334	0.07636	0.12724	0.67638	0.01667
V140	0.03205	0.0642	0.13329	0.11166	0.6588
V141	0.02157	0.33611	0.49733	0.13062	0.01437
V142	0.18912	0.12076	0.25435	0.17134	0.26443
V143	0.0214	0.28044	0.38493	0.18149	0.13175
V144	0.46061	0.22739	0.06816	0.16423	0.07961
V145	0.00112	0.26158	0.66766	0.04191	0.02774
V146	0.03912	0.28432	0.02434	0.39266	0.25956
V147	0.08859	0.24227	0.49606	0.13486	0.03823
V148	0.19657	0.67554	0.04253	0.07785	0.00751
V149	0.00234	0.03592	0.00787	0.90316	0.0507
V150	0.13933	0.31225	0.44541	0.03027	0.07274
V151	0.37652	0.06744	0.01647	0.4351	0.10448
V152	0.00886	0.05869	0.09493	0.76707	0.07045
V153	0.16221	0.27386	0.35887	0.08482	0.12024
V154	0.14019	0.5031	0.04794	0.08815	0.22062
V155	0.02707	0.07214	0.10918	0.77454	0.01707
V156	0.09054	0.15042	0.30591	0.193	0.26013
V157	0.08484	0.1057	0.14077	0.32752	0.34117
V158	0.17667	0.14923	0.33557	0.08937	0.24917
V159	0.10677	0.19631	0.02535	0.63738	0.03419
V160	0.41612	0.18849	0.0878	0.09249	0.21509
V161	0.19969	0.06984	0.05899	0.09773	0.57375
V162	0.00144	0.2713	0.68996	0.02365	0.01365
V163	0.05723	0.03458	0.02328	0.15736	0.72754
V164	0.79996	0.12152	0.01751	0.04364	0.01736
V165	0.55362	0.23099	0.07848	0.0876	0.0493
V166	0.04457	0.09166	0.18802	0.59947	0.07628
V167	0.05476	0.54098	0.04425	0.20682	0.1532
V168	0.00144	0.2713	0.68996	0.02365	0.01365
V169	0.07679	0.6054	0.17493	0.13354	0.00935
V170	0.24495	0.33849	0.06499	0.24759	0.10398
V171	0.26938	0.19598	0.27734	0.2068	0.0505
V172	0.1794	0.21493	0.07413	0.09772	0.43383
V173	0.19232	0.13649	0.08141	0.44091	0.14887
V174	0.18818	0.12685	0.2691	0.23526	0.1806
V175	0.07617	0.16481	0.10977	0.24442	0.40483
V176	0.32038	0.06394	0.01104	0.59311	0.01153
V177	0.1742	0.198	0.41195	0.19861	0.01724
V178	0.24494	0.18799	0.34038	0.14591	0.0808
