cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.51729	0.01504	0.15419	0.31347
V2	0.10594	0.07533	0.0425	0.77623
V3	0.03837	0.59539	0.01026	0.35597
V4	0.86846	0.11066	0.00026	0.02062
V5	0.0856	0.46639	0.256	0.19201
V6	0.0614	0.9017	0.01585	0.02105
V7	0.11062	0.31398	0.0695	0.5059
V8	0.10442	0.05116	0.81375	0.03067
V9	0.18974	0.19191	0.02957	0.58878
V10	0.01586	0.05849	0.87648	0.04917
V11	0.1894	0.35104	0.45374	0.00582
V12	0.01789	0.59361	0.37523	0.01328
V13	0.24775	0.72778	0.00359	0.02087
V14	0.05902	0.92919	0.0056	0.0062
V15	0.09547	0.60845	0.10868	0.1874
V16	0.91526	0.04141	0.01529	0.02804
V17	0.07063	0.89869	0.00961	0.02108
V18	0.58689	0.33928	0.03529	0.03854
V19	0.14066	0.84232	0.00402	0.013
V20	0.13139	0.42593	0.01574	0.42694
V21	0.10453	0.0685	0.79623	0.03074
V22	0.00955	0.07768	0.18146	0.73131
V23	0.35603	0.0559	0.58183	0.00624
V24	0.91799	0.04773	0.03413	0.00016
V25	0.31555	0.19717	0.11703	0.37025
V26	0.37347	0.36685	0.01424	0.24544
V27	0.07238	0.06306	0.02226	0.8423
V28	0.00478	0.12029	0.87241	0.00253
V29	0.41772	0.03924	0.51347	0.02957
V30	0.06921	0.1691	0.26495	0.49675
V31	0.16673	0.15288	0.29534	0.38505
V32	0.06061	0.04407	0.03358	0.86174
V33	0.02997	0.48955	0.37094	0.10954
V34	0.10387	0.05846	0.80701	0.03065
V35	0.1411	0.75864	0.0704	0.02986
V36	0.00428	0.04485	0.44893	0.50194
V37	0.51707	0.05188	0.08236	0.34869
V38	0.37169	0.01537	0.15564	0.45729
V39	0.14062	0.5767	0.11972	0.16296
V40	0.08735	0.84	0.07234	0.00031
V41	0.00491	0.65332	0.03659	0.30519
V42	0.17147	0.02992	0.18785	0.61076
V43	0.1091	0.32247	0.5374	0.03103
V44	0.00865	0.07	0.74622	0.17514
V45	0.07686	0.60649	0.21831	0.09833
V46	0.80931	0.07069	0.11475	0.00526
V47	0.45207	0.16576	0.33176	0.05041
V48	0.81395	0.16187	0.00403	0.02015
V49	0.74484	0.16943	0	0.08573
V50	0.05478	0.86588	0.07369	0.00565
V51	0.30171	0.40095	0.26659	0.03074
V52	0.01806	0.11169	0.83925	0.031
V53	0.72775	0.12331	0.14876	0.00018
V54	0.42007	0.17347	0.38566	0.0208
V55	0.17099	0.09492	0.22779	0.50629
V56	0.03408	0.03457	0.08531	0.84604
V57	0.08083	0.88948	0.01679	0.0129
V58	0.59772	0.01366	0.03493	0.35369
V59	0.44044	0.4105	0.09883	0.05023
V60	0.09827	0.11387	0.32062	0.46723
V61	0.82088	0.08599	0.0082	0.08493
V62	0.88939	0.03777	0.06065	0.01218
V63	0.01202	0.85994	0.10707	0.02097
V64	0.00843	0.85282	0.00057	0.13818
V65	0.01425	0.03175	0.10779	0.84621
V66	0.19256	0.72314	0.01406	0.07024
V67	0.13242	0.31584	0.5385	0.01324
V68	0.11495	0.11878	0.02058	0.74569
V69	0.01586	0.28481	0.64921	0.05012
V70	0.55743	0.12265	0.17653	0.14339
V71	0.12593	0.05456	0.3695	0.45
V72	0.58439	0.12651	0.0848	0.2043
V73	0.13018	0.64197	0.12981	0.09804
V74	0.04892	0.2246	0.7249	0.00158
V75	0.70678	0.01456	0.18313	0.09553
V76	0.00053	0.14162	0.16266	0.69519
V77	0.0264	0.24971	0.01008	0.7138
V78	0.26455	0.08438	0.17351	0.47756
V79	0.00465	0.09447	0.81265	0.08823
