cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.59756	0.01125	0.20365	0.18753
V2	0.20562	0.11089	0.07583	0.60766
V3	0.07015	0.6894	0.01811	0.22235
V4	0.86107	0.12373	0.00018	0.01501
V5	0.12568	0.47499	0.29085	0.10848
V6	0.0852	0.8734	0.0261	0.0153
V7	0.18091	0.40183	0.1093	0.30797
V8	0.13292	0.01126	0.83483	0.02098
V9	0.29689	0.27181	0.05224	0.37906
V10	0.02034	0.01341	0.93291	0.03334
V11	0.21492	0.3283	0.45247	0.0043
V12	0.03038	0.56478	0.3952	0.00963
V13	0.27626	0.70095	0.0078	0.01499
V14	0.07525	0.91022	0.00974	0.00479
V15	0.13765	0.61334	0.14121	0.1078
V16	0.90962	0.04748	0.02311	0.0198
V17	0.0953	0.87215	0.01722	0.01533
V18	0.5791	0.34482	0.05041	0.02567
V19	0.16913	0.81268	0.00849	0.0097
V20	0.20278	0.51094	0.02746	0.25882
V21	0.13413	0.03972	0.80524	0.02091
V22	0.02601	0.10811	0.29795	0.56794
V23	0.38154	0.0312	0.58278	0.00448
V24	0.92765	0.03753	0.03462	2e-04
V25	0.39023	0.24401	0.15839	0.20737
V26	0.42812	0.40735	0.02427	0.14026
V27	0.14039	0.07917	0.03279	0.74765
V28	0.00215	0.03788	0.95909	0.00087
V29	0.43549	0.02059	0.52403	0.01989
V30	0.12353	0.22382	0.35381	0.29884
V31	0.23611	0.18833	0.35876	0.21681
V32	0.11198	0.04632	0.04965	0.79206
V33	0.05263	0.4861	0.39565	0.06562
V34	0.13332	0.02422	0.82156	0.0209
V35	0.17282	0.71456	0.09201	0.0206
V36	0.01061	0.03234	0.60875	0.3483
V37	0.60271	0.07092	0.11962	0.20675
V38	0.49039	0.00672	0.21856	0.28433
V39	0.18336	0.57302	0.15067	0.09295
V40	0.10582	0.8104	0.08376	3e-05
V41	0.01096	0.73896	0.05866	0.19142
V42	0.27988	0.03091	0.28044	0.40877
V43	0.13809	0.3109	0.53036	0.02065
V44	0.01917	0.05472	0.81469	0.11142
V45	0.10924	0.58504	0.24689	0.05883
V46	0.78783	0.07374	0.13412	0.00431
V47	0.45256	0.17345	0.34177	0.03222
V48	0.79954	0.17868	0.00699	0.0148
V49	0.74859	0.19593	3e-05	0.05545
V50	0.07403	0.82865	0.09288	0.00444
V51	0.31833	0.38276	0.27872	0.02019
V52	0.02972	0.08692	0.86202	0.02134
V53	0.71794	0.12007	0.16187	0.00012
V54	0.4239	0.17374	0.38792	0.01444
V55	0.26125	0.12836	0.30807	0.30232
V56	0.06302	0.03143	0.13452	0.77103
V57	0.1058	0.85826	0.02624	0.0097
V58	0.71292	0.01283	0.05416	0.22009
V59	0.44368	0.40324	0.12093	0.03215
V60	0.16144	0.14896	0.40994	0.27966
V61	0.8209	0.10904	0.01435	0.05571
V62	0.87516	0.03924	0.07642	0.00917
V63	0.02096	0.82968	0.13414	0.01522
V64	0.0116	0.89545	0.00179	0.09116
V65	0.01935	0.02195	0.15508	0.80362
V66	0.23188	0.69916	0.0243	0.04466
V67	0.16073	0.29878	0.53104	0.00945
V68	0.21698	0.18246	0.03625	0.56432
V69	0.02945	0.28171	0.65607	0.03277
V70	0.56818	0.14222	0.20611	0.0835
V71	0.19781	0.06322	0.46497	0.27401
V72	0.61044	0.15731	0.11444	0.11781
V73	0.16733	0.61657	0.15786	0.05824
V74	0.06164	0.19443	0.7435	0.00043
V75	0.71756	0.00631	0.21553	0.0606
V76	0.00158	0.20603	0.26391	0.52848
V77	0.05504	0.37463	0.01455	0.55577
V78	0.36199	0.11588	0.2394	0.28273
V79	0.00927	0.07516	0.85735	0.05822
V80	0.35799	0.01249	0.57344	0.05608
V81	0.06122	0.13536	0.79854	0.00488
V82	0.00139	0.05298	0.93969	0.00594
V83	0.1827	0.21249	0.10887	0.49593
V84	0.46001	0.04511	0.21	0.28487
V85	0.12474	0.30258	0.45823	0.11444
V86	0.0508	0.03375	0.88833	0.02712
V87	0.04216	0.84839	0.06412	0.04533
V88	0.21055	0.058	0.35695	0.3745
V89	0.02826	0.02446	0.306	0.64127
V90	0.03174	0.89391	0.06454	0.00981
V91	0.04145	0.73102	0.2068	0.02072
V92	0.46955	0.01796	0.42312	0.08936
V93	0.90991	0.02315	0.00013	0.06681
V94	0.02441	0.54264	0.03255	0.40041
V95	0.28035	0.43579	0.18339	0.10048
V96	0.10556	0.13826	0.04339	0.71279
V97	0.67784	0.09809	0.21989	0.00418
V98	0.68513	0.30509	0.00028	0.00949
V99	0.78615	0.0479	0.16162	0.00433
V100	0.08282	0.01933	0.882	0.01585
V101	0.02698	0.07277	0.01174	0.88851
V102	0.92326	0.05975	0.00741	0.00958
V103	0.01681	0.06977	0.14983	0.76359
V104	0.03328	0.95146	0.01032	0.00494
V105	0.06415	0.91258	0.01852	0.00474
V106	0.12937	0.49419	0.3498	0.02665
V107	0.19345	0.17489	0.59922	0.03245
V108	0.15933	0.73808	0.10256	3e-05
V109	0.01947	0.14232	0.68021	0.15801
V110	0.06347	0.87652	0.04476	0.01525
V111	0.90759	0.01049	0.07736	0.00456
V112	0.15674	0.05335	0.52686	0.26304
V113	0.2444	0.11349	0.24297	0.39915
V114	0.32198	0.05585	0.1197	0.50248
V115	0.0109	0.74001	0.24452	0.00457
V116	0.16231	0.30187	0.42115	0.11467
V117	0.68059	0.25288	0.04086	0.02566
V118	0.19074	0.61365	0.04537	0.15025
V119	0.1632	0.10345	0.07911	0.65424
V120	0.08279	0.05171	0.85528	0.01022
V121	0.63512	0.12711	0.11426	0.12351
V122	0.95565	0.01847	0.01614	0.00974
V123	0.01155	0.59859	0.06382	0.32604
V124	0.66652	0.29614	9e-05	0.03726
V125	0.39416	0.40047	0.19089	0.01447
V126	0.05787	0.19803	0.08079	0.6633
V127	0.21255	0.04905	0.34667	0.39173
V128	0.04701	0.03017	0.17716	0.74566
V129	0.58455	0.21943	0.17624	0.01979
V130	0.01054	0.63623	0.34867	0.00457
V131	0.03221	0.91451	0.0017	0.05158
V132	0.9363	0.01662	0.03245	0.01463
V133	0.90739	0.02404	0.05921	0.00936
V134	0.13677	0.43111	0.16759	0.26453
V135	0.11329	0.03016	0.2703	0.58624
V136	0.29065	0.44516	0.01724	0.24695
V137	0.65395	0.03397	0.26943	0.04265
V138	0.24064	0.41057	0.2122	0.13659
V139	0.39281	0.20515	0.23679	0.16525
V140	0.04566	0.12892	0.08662	0.7388
V141	0.07724	0.14144	0.6233	0.15802
V142	0.77836	0.01118	0.21024	0.00022
V143	0.47496	0.27406	0.08688	0.1641
V144	0.21582	0.17075	0.22958	0.38385
V145	0.00207	0.74939	0.24391	0.00463
V146	0.083	0.03665	0.05314	0.82721
V147	0.92146	0.03034	0.02303	0.02517
V148	0.14558	0.06043	0.65476	0.13924
V149	0.27045	0.49303	0.23231	0.00421
V150	0.09493	0.21814	0.63509	0.05184
V151	0.22959	0.64199	0.04352	0.0849
V152	0.25071	0.43854	0.24606	0.06469
V153	0.12229	0.77537	0.02518	0.07716
V154	0.25093	0.43682	0.29185	0.02039
V155	0.48516	0.13356	0.31724	0.06404
V156	0.04065	0.11937	0.75546	0.08451
V157	0.33562	0.14925	0.36595	0.14918
V158	0.02686	0.02513	0.05079	0.89723
V159	0.89301	0.07533	4e-05	0.03162
V160	0.74665	0.01227	0.08185	0.15923
V161	0.29443	0.0238	0.05219	0.62957
V162	0.09221	0.36361	0.11874	0.42543
V163	0.11679	0.51614	0.20547	0.1616
V164	0.38278	0.31984	0.13239	0.16499
V165	0.01526	0.36357	0.00627	0.6149
V166	0.01568	0.1427	0.1152	0.72642
V167	0.46024	0.01268	0.01362	0.51346
V168	0.2999	0.56937	0.09202	0.03871
V169	0.26217	0.07426	0.06213	0.60144
V170	0.12685	0.01953	0.62223	0.23138
V171	0.13718	0.21656	0.61963	0.02663
V172	0.70227	0.00932	0.28402	0.00439
V173	0.0437	0.20199	0.06894	0.68537
V174	0.02767	0.22074	0.1201	0.63148
V175	0.07234	0.00986	0.83554	0.08226
V176	0.01117	0.80085	0.18339	0.00458
V177	0.01323	0.9741	0.00217	0.0105
V178	0.01116	0.82952	0.00914	0.15018
