cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V1	0.8063	0	0.13647	0.05723
V2	0.58848	0.0748	0.08121	0.2555
V3	0.26369	0.59596	0.02595	0.1144
V4	0.956	0.03946	0	0.00454
V5	0.35148	0.33209	0.26809	0.04833
V6	0.2764	0.68249	0.03179	0.00932
V7	0.47179	0.2893	0.11166	0.12724
V8	0.29413	0	0.6963	0.00957
V9	0.62295	0.18118	0.05088	0.14499
V10	0.06691	0	0.91609	0.017
V11	0.44834	0.19418	0.35523	0.00225
V12	0.1076	0.46055	0.42546	0.00639
V13	0.53931	0.44519	0.00809	0.00741
V14	0.24933	0.73521	0.01217	0.0033
V15	0.39163	0.42262	0.13756	0.04818
V16	0.9886	0	0.00761	0.00379
V17	0.29967	0.66997	0.02119	0.00916
V18	0.78879	0.16609	0.03591	0.00921
V19	0.42306	0.5621	0.00948	0.00536
V20	0.52083	0.34366	0.02931	0.1062
V21	0.2988	0.01911	0.67238	0.00971
V22	0.12805	0.11783	0.41358	0.34054
V23	0.66369	0	0.3348	0.00151
V24	0.98952	0	0.01048	0
V25	0.63969	0.15557	0.13175	0.07298
V26	0.68541	0.24143	0.02267	0.05049
V27	0.51858	0.05038	0.03922	0.39182
V28	0	0.00976	0.9902	4e-05
V29	0.65778	0	0.33507	0.00716
V30	0.33821	0.17973	0.35164	0.13042
V31	0.51463	0.11936	0.28856	0.07745
V32	0.45182	0.01984	0.06556	0.46278
V33	0.17922	0.38411	0.40219	0.03447
V34	0.29615	0.0066	0.68764	0.00962
V35	0.4206	0.48006	0.08869	0.01065
V36	0.05307	0.02689	0.72973	0.19031
V37	0.80709	0.03546	0.09065	0.0668
V38	0.75143	0	0.15959	0.08898
V39	0.4361	0.38356	0.13983	0.04051
V40	0.31516	0.59831	0.08631	0.00022
V41	0.05439	0.73854	0.08845	0.11862
V42	0.58511	0.01081	0.2466	0.15748
V43	0.32646	0.20912	0.45412	0.01029
