B_cells	NK_cells	T_cells_CD4.	Monocytes
V1	0.5772	0	0.15977	0.26304
V2	0.17662	0.0834	0.05204	0.68794
V3	0.05577	0.65211	0.00461	0.28751
V4	0.87953	0.08653	0	0.03394
V5	0.10315	0.49646	0.25795	0.14243
V6	0.07874	0.87766	0.02196	0.02164
V7	0.15188	0.38174	0.08134	0.38503
V8	0.1145	0.0264	0.8235	0.03561
V9	0.25896	0.24825	0.02559	0.4672
V10	0	0.03091	0.91527	0.05382
V11	0.19926	0.37516	0.42558	0
V12	0.01211	0.60831	0.37606	0.00352
V13	0.27798	0.70682	0	0.0152
V14	0.07107	0.92107	0.0033	0.00456
V15	0.11972	0.61383	0.12533	0.14113
V16	0.91714	0.02866	0.0014	0.05279
V17	0.08989	0.87783	0.01081	0.02147
V18	0.58354	0.35048	0.02916	0.03682
V19	0.16704	0.8228	0	0.01016
V20	0.17594	0.48622	0.00696	0.33089
V21	0.1153	0.07978	0.77269	0.03223
V22	0.01419	0.09864	0.22334	0.66383
V23	0.38271	0.05125	0.56326	0.00279
V24	0.96782	0.01805	0.01413	0
V25	0.35463	0.24863	0.12351	0.27322
V26	0.40952	0.39924	0	0.19124
V27	0.13115	0.04755	0.02073	0.80056
V28	0	0.07101	0.92899	0
V29	0.44465	0.03398	0.49172	0.02965
V30	0.09675	0.23819	0.2857	0.37936
V31	0.20375	0.21112	0.29848	0.28665
V32	0.1127	0.01359	0.04553	0.82818
V33	0.03181	0.52313	0.36122	0.08384
V34	0.1148	0.05825	0.79312	0.03383
V35	0.16649	0.72591	0.08563	0.02197
V36	0	0.04752	0.50461	0.44787
V37	0.56852	0.06214	0.08682	0.28252
V38	0.45845	0	0.15958	0.38197
V39	0.16667	0.5786	0.13271	0.12202
V40	0.09398	0.82854	0.07747	0
V41	0	0.70658	0.04944	0.24397
V42	0.24662	0.01934	0.21933	0.5147
V43	0.12145	0.36527	0.49542	0.01786
V44	0	0.09951	0.74811	0.15238
V45	0.09374	0.60448	0.22622	0.07556
V46	0.82019	0.06724	0.10677	0.0058
V47	0.4515	0.20095	0.30559	0.04196
V48	0.8204	0.15067	0	0.02893
