Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.01835	0.04552	0	0.00208	0.09744	0.00476	0.01535	0	0.0096	0.8069
V2	0.61068	0.02287	0.04843	0	0.02524	0.23677	0.05321	0.00278	0	0
V3	0.11603	0.10107	0.07751	0.00586	0.39828	0.01667	0.10559	0.10548	0.01874	0.05477
V4	0.00842	0.10682	0.01845	0	0.033	0.08704	0.02077	0.01007	0.46027	0.25517
V5	0.01124	0.12363	0.00688	0.0527	0	0.06439	0.02171	0	0.005	0.71446
V6	0.00816	0.13036	0.15812	0.01699	0.55141	0.03437	0.0053	0.04119	0.01521	0.03889
V7	0	0.58534	0	0.00684	0.24558	0.01172	0.07323	0.04805	0.01509	0.01414
V8	0	0.63542	0.03861	0.00893	0.0033	0.02358	0.03843	0.20605	0.03443	0.01124
V9	0.01345	0.00231	0.09582	0.09101	0.03052	0.02339	0.2851	0.39727	0.03411	0.027
V10	0	0.14176	0	0	0.62522	0.0715	0.02359	0.09955	0.00383	0.03454
V11	0.00825	0.62488	0	0.00375	0.00344	0.04866	0.03922	0.18788	0.06029	0.02364
V12	0.04067	0.04049	0.19714	0.38178	0.01292	0.00141	0.10111	0	0.01504	0.20944
V13	0.0963	0.01598	0.11658	0.00597	0.04359	0.12419	0.46105	0.00481	0.09181	0.03972
V14	0.07633	0.48819	0.13151	0.05773	0.02573	0.0488	0.14048	0.00409	0.01946	0.0077
V15	0.29949	0.02203	0.17817	0.42541	0.01087	0.01789	0.02763	0.00116	0.01587	0.00148
V16	0.04576	0.07546	0.24823	0.43577	0.02133	0.04938	0.00072	0	0.10017	0.02319
V17	0.01619	0.14001	0	0	0	0.07202	0.05021	0.00322	0.01006	0.70828
V18	0.08579	0.07954	0.05878	0.20869	0	0.00811	0.00428	0	0.0064	0.5484
V19	0.00627	0	0	0.03857	0	0.07637	0.02064	0.00429	0.00109	0.85276
V20	0	0.25009	0.00023	0.01156	0.00297	0.00416	0.55526	0.03199	0.00607	0.13768
V21	0.09718	0.4679	0.01709	0.00252	0.00576	0.31674	0.05544	0.01662	0.01534	0.00541
V22	0	0	0	0	0	0.01555	0.03346	0.19083	0.03512	0.72504
V23	0.26512	0.03444	0.48401	0.04539	0	0.01049	0.00612	0.00017	0.01572	0.13854
V24	0.02131	0.67179	0.03447	0.0144	0.01701	0.00249	0.09318	0.05088	0.08903	0.00545
V25	0.02913	0.13952	0.00503	0.01187	0.03197	0.11921	0.04149	0	0.12057	0.5012
V26	0.00827	0	0.06467	0	0.02088	0.02929	0.106	0.73052	0.02643	0.01393
V27	0	0.09204	0	0	0.29507	0.00454	0.02401	0	0.0028	0.58153
V28	0.25569	0	0.00046	0	0	0.01948	0.03375	0.01965	0	0.67097
V29	0.00436	0.72169	0	0.0149	0.00086	0.09463	0.03099	0.00864	0.01741	0.10653
V30	0.00622	0.01287	0.10125	0.00477	0.02719	0.29385	0.32753	0	0.19141	0.03491
V31	0.00989	0.40528	0.19589	0.01713	0.05484	0.00977	0.03394	0.22654	0.0278	0.01892
V32	0.48203	0.06591	0.03882	0	0.24134	0.04018	0.03694	0	0.06171	0.03306
V33	0.06718	0.02461	0.25841	0.39149	0.01132	1e-05	0.21441	0	0.01573	0.01685
V34	0	0.0792	0	0	0.14212	0.00499	0.01552	0.00804	0.03293	0.7172
V35	0.00256	0.89384	0	0.0177	0.00971	0.00829	0.03167	0.00899	0.02723	0
V36	0.05054	0.01949	0.0117	0.00447	0.04044	0.00124	0.81059	0.02314	0.00179	0.0366
V37	0	0.59492	0	0.01059	0.02282	0	0.30753	0.01877	0.0198	0.02556
V38	0.14155	0.00382	0.06969	0.12985	0.02561	0	0.59395	0.00013	0.00735	0.02806
V39	0.08975	0.00962	0.07203	0.12552	0.05653	0	0.58178	0.01237	0.00881	0.0436
V40	0.1218	0.04428	0.6208	0.05951	0.08467	0.00607	0.00288	0	0.0252	0.03478
V41	0.61077	0.07876	0.07712	0.00201	0.01773	0.00473	0.01356	0.00782	0.16742	0.02007
V42	0	0.66905	0	0.00401	0.23763	0.00266	0.00974	0	0.01734	0.05958
V43	0.14337	0.05517	0.11447	0.05918	0.19453	0.04017	0.24098	0.0153	0.10973	0.02708
V44	0.03255	0.0076	0.55854	0.04132	0.00144	0.01372	0.03487	0.26055	0.03443	0.01498
V45	0.00776	0.00698	0.03394	0	0.03944	0.00739	0.31484	0	0.48854	0.10111
V46	0.18256	0.1086	0.0628	0.16146	0	0.00223	0.00491	0.00769	0.00439	0.46537
V47	0	0	0.00875	0.00643	0.0224	0.00038	0.89923	0.00235	0.00441	0.05605
