CD19B	CD56NK	CD4MemoryT	CD14
V1	0.45293	0.0687	0.18412	0.29425
V2	0.17543	0.15316	0.08651	0.5849
V3	0.0929	0.56974	0.03404	0.30332
V4	0.70798	0.15295	0.03398	0.10509
V5	0.13083	0.45045	0.2192	0.19953
V6	0.09909	0.77189	0.03274	0.09628
V7	0.16248	0.36636	0.09859	0.37258
V8	0.1531	0.07034	0.66418	0.11238
V9	0.22809	0.27135	0.06856	0.43199
V10	0.06538	0.07647	0.73013	0.12802
V11	0.20138	0.3543	0.36069	0.08363
V12	0.06491	0.53775	0.30744	0.0899
V13	0.2404	0.64034	0.02283	0.09643
V14	0.09282	0.80617	0.02009	0.08093
V15	0.13708	0.5448	0.12045	0.19767
V16	0.74137	0.08397	0.05988	0.11478
V17	0.10687	0.77055	0.02657	0.09601
V18	0.46108	0.35716	0.06717	0.11459
V19	0.16195	0.72882	0.02162	0.08761
V20	0.17426	0.44574	0.04506	0.33494
V21	0.15251	0.10419	0.63204	0.11126
V22	0.08326	0.15798	0.19948	0.55928
V23	0.33427	0.08608	0.49014	0.0895
V24	0.78094	0.06509	0.0686	0.08537
V25	0.29407	0.26928	0.13861	0.29804
V26	0.32746	0.39089	0.04521	0.23644
V27	0.14415	0.12359	0.0653	0.66695
V28	0.05426	0.08476	0.77859	0.08239
V29	0.37532	0.07419	0.43726	0.11323
V30	0.13248	0.25315	0.24473	0.36964
V31	0.20207	0.23328	0.25951	0.30513
V32	0.13052	0.10288	0.07463	0.69197
V33	0.0819	0.46631	0.29504	0.15675
V34	0.15237	0.08673	0.64879	0.11211
V35	0.16452	0.64552	0.08704	0.10291
V36	0.06818	0.10635	0.40244	0.42303
V37	0.44241	0.12765	0.12212	0.30782
V38	0.3656	0.06606	0.18604	0.3823
V39	0.16858	0.51982	0.12788	0.18373
V40	0.11524	0.73196	0.07879	0.074
V41	0.05452	0.6105	0.06075	0.27423
V42	0.22559	0.10025	0.20752	0.46664
V43	0.14697	0.33935	0.40721	0.10646
V44	0.06671	0.12851	0.59197	0.21281
V45	0.11989	0.53775	0.19402	0.14833
V46	0.65142	0.11359	0.14543	0.08956
V47	0.37098	0.22145	0.2834	0.12417
V48	0.65348	0.20495	0.03825	0.10331
V49	0.59091	0.22445	0.03043	0.1542
V50	0.09207	0.74114	0.08554	0.08125
V51	0.27109	0.39286	0.22976	0.10628
V52	0.07317	0.15031	0.66512	0.1114
V53	0.59524	0.15917	0.16434	0.08124
V54	0.3543	0.22162	0.32263	0.10145
V55	0.2137	0.18245	0.22471	0.37914
V56	0.10787	0.09675	0.11421	0.68116
V57	0.11471	0.7637	0.03311	0.08848
V58	0.52242	0.06578	0.08236	0.32945
V59	0.35619	0.4058	0.11686	0.12115
V60	0.15769	0.20208	0.28417	0.35606
V61	0.64839	0.14863	0.0468	0.15618
V62	0.72048	0.07625	0.10497	0.0983
V63	0.05429	0.7362	0.113	0.09652
V64	0.04924	0.75564	0.01474	0.18038
V65	0.08735	0.09095	0.12254	0.69916
V66	0.2031	0.62768	0.03655	0.13267
V67	0.16297	0.33012	0.41606	0.09085
V68	0.1814	0.1989	0.06309	0.55661
V69	0.07017	0.31801	0.4897	0.12213
