CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V1	0.11574	0	0	0.4574	0.04573	0.38113
V2	0.0063	0.19477	0	0.0884	0.00672	0.70381
V3	0	0.00216	0	0	0	0.99784
V4	0	0.43158	0	0.09575	0	0.47266
V5	0.04579	0.07492	0	0.6609	0.02356	0.19484
V6	0.0066	0.01704	0	0.03366	0.01167	0.93103
V7	0	0.3837	0	0.2042	0.00604	0.40606
V8	0.06528	0.08485	0	0.0299	0.00641	0.81356
V9	0	0.15483	0	0.03747	4e-05	0.80766
V10	0.05541	0.05745	0	0.16421	0.0087	0.71423
V11	0	0.52516	0	0.07562	0	0.39922
V12	0	0	0	0	0	1
V13	0	0.53112	0	0.17521	0	0.29368
V14	0.07231	0.00312	0	0.65901	0.01587	0.24969
V15	0.02719	0.1189	0	0.09015	0.00895	0.75481
V16	0.05309	0	0	0.43006	0.0299	0.48696
V17	0	0	0	0	0	1
V18	0	0.26908	0	0.02504	0.00104	0.70484
V19	0.05704	0.07963	0	0.044	0.01101	0.80832
V20	0.04387	0.11424	0	0.04929	0.00641	0.78619
V21	0	0.00176	0	0	0	0.99824
V22	0.08543	0.02221	0	0.39541	0.03737	0.45957
V23	0.10835	0	0	0.59121	0.05698	0.24345
V24	0.07725	0	0	0.41078	0.03883	0.47315
V25	0	0.41175	0	0.13286	0	0.45538
V26	0.11583	0	0	0.41662	0.04424	0.42331
V27	0	0	0	0	0	1
V28	0	0.21934	0	0.05546	0	0.72521
V29	0	0.46041	0	0.10431	0	0.43527
V30	0	0.20656	0	0.0409	0.00214	0.75041
V31	0.08397	0.03744	0	0.00466	0.00937	0.86456
V32	0.05631	0	0	0.51175	0.02042	0.41152
V33	0	0.42246	0	0.08588	0	0.49166
V34	0.08805	0	0	0.5672	0.05231	0.29244
V35	0.02189	0.0829	0	0.48109	0.01909	0.39502
V36	0	0.50906	0	0.19121	0	0.29973
V37	0.02898	0	0	0.18307	0.0241	0.76384
V38	0	0	0	0	0	1
V39	0.06203	0.07549	0	0.12843	0.00779	0.72626
V40	0	0.5158	0	0.18532	0	0.29889
V41	0.0251	0.04807	0	0	0	0.92683
V42	0.03267	0.0207	0	0.0658	0.01406	0.86678
V43	0	0.40984	0	0.1063	0	0.48386
V44	0	0.52826	0	0.07051	0	0.40123
V45	0	0.27553	0	0	0	0.72447
V46	0	0	0	0.10298	0.01171	0.88531
V47	0	0.37109	0	0.1756	0.00217	0.45114
V48	0	0.54878	0	0.16692	0	0.2843
V49	0	0.51236	0	0.08529	0	0.40235
V50	0.06758	0	0	0.47297	0.04821	0.41124
V51	0.08989	0	0	0.66887	0.06302	0.17822
V52	0	0.53219	0	0.17609	0	0.29171
V53	0.11006	0	0	0.53412	0.05253	0.30329
V54	0	0.14014	0	0.19618	0.01755	0.64613
V55	0.09973	0	0	0.61153	0.05536	0.23339
V56	0.1087	0.01386	0	0.60171	0.04581	0.22993
V57	0	0.10547	0	0	0	0.89453
V58	0.0739	0	0	0.40104	0.04008	0.48498
V59	0.07224	0	0	0.7302	0.01694	0.18062
V60	0.07693	0.01044	0	0.1798	0.0086	0.72423
V61	0	0.13795	0	0.01668	0.00125	0.84411
V62	0.05059	0.06012	0	0.07973	0.01041	0.79915
V63	0	0.16501	0	0	0	0.83499
V64	0.01605	0.16381	0	0.49985	0.04059	0.27969
V65	0	0.161	0	0	0	0.839
V66	0.13839	0.02181	0	0.25404	0.02834	0.55742
V67	0	0.11851	0	0.05571	0.00296	0.82282
V68	0.09786	0.04998	0	0	0.00651	0.84565
V69	0.00344	0.0753	0	0	0	0.92126
V70	0.07964	0	0	0.66702	0.0273	0.22605
V71	0	0.19648	0	0.09404	0.00495	0.70453
V72	0	0.15485	0	0	0.0013	0.84385
V73	0.07129	0	0	0.67862	0.01969	0.23039
V74	0	0.24867	0	0.51657	0.00714	0.22761
V75	0	0.52393	0	0.07869	0	0.39738
V76	0.1046	0	0	0.59014	0.05388	0.25138
V77	0	0.17923	0	0.22282	0.00178	0.59617
V78	0	0.14878	0	0.01031	0.00158	0.83933
V79	0	0.17001	0	0	0	0.82999
V80	0	0.17399	0	0	0	0.82601
V81	0.01058	0.20959	0	0.01922	0.00358	0.75703
V82	0	0.48916	0	0.09756	0	0.41328
V83	0	0.1746	0	0.16857	0.00294	0.65389
V84	0.09415	0.00162	0	0.33629	0.01784	0.55011
V85	0.09773	0.044	0	0	0.007	0.85128
V86	0	0.04488	0	0.04607	0.00466	0.90438
V87	0.05949	0.00307	0	0.69001	0.01519	0.23225
V88	0	0.02749	0	0.08556	0.0029	0.88405
V89	0	0.17157	0	0.02805	0.00218	0.7982
V90	0	0.55408	0	0.15568	0	0.29024
V91	0.08257	0	0	0.56371	0.04992	0.3038
V92	0.06279	0.05682	0	0.51732	0.04628	0.31679
V93	0	0.06841	0	0.01604	0.00604	0.90951
V94	0.07989	0	0	0.76023	0.02788	0.132
V95	0.09978	0	0	0.68906	0.05813	0.15304
V96	0	0.35667	0	0.16561	0.00337	0.47435
V97	0.09552	0	0	0.69594	0.061	0.14754
V98	0	0.17489	0	0.5851	0.0118	0.22822
V99	0.06876	0	0	0.77702	0.01588	0.13835
V100	0.07015	0	0	0.50946	0.03395	0.38644
V101	0	0.38735	0	0.1746	0	0.43805
V102	0.08672	0.06545	0	0	0.00748	0.84035
V103	0.05824	0.07118	0	0.07662	0.00845	0.78551
V104	0.07075	0	0	0.67135	0.0256	0.2323
V105	0	0	0	0	0	1
V106	0	0	0	0.03272	0.01303	0.95425
V107	0	0.55516	0	0.15562	0	0.28922
V108	0	0	0	0	0	1
V109	0	0	0	0	0	1
V110	0	0.24999	0	0.29426	0.02166	0.4341
V111	0.11066	0	0	0.57407	0.0519	0.26337
V112	0	0.42693	0	0.30277	0	0.2703
V113	0.02246	0.17863	0	0.44005	0.03299	0.32587
V114	0.1141	0	0	0.48362	0.03968	0.3626
V115	0	0.09377	0	0	0.00444	0.90179
V116	0.09648	0.04859	0	0	0.0067	0.84823
V117	0.13816	0.00351	0	0.24667	0.02532	0.58634
V118	0	0.5533	0	0.15855	0	0.28815
V119	0	0.51899	0	0.08147	0	0.39954
V120	0	0.3486	0	0.3129	0.00062	0.33788
V121	0.00018	0.0402	0	0.02327	0.00394	0.9324
V122	0.09062	0.0223	0	0.45148	0.01691	0.41869
V123	0.00271	0.04021	0	0	0.00506	0.95202
V124	0.09592	0	0	0.64476	0.06147	0.19785
V125	0	0.16598	0	0.20067	0.016	0.61735
V126	0	0.09006	0	0	0	0.90994
V127	0.10391	0	0	0.55987	0.0473	0.28891
V128	0	0.37459	0	0.17231	0	0.4531
V129	0.10263	0	0	0.55454	0.04697	0.29586
V130	0	0.21952	0	0.11066	0.00145	0.66836
V131	0.0524	0	0	0.36986	0.03983	0.53791
V132	0	0.40733	0	0.12417	0	0.4685
V133	0	0.32976	0	0.34482	0.01675	0.30867
V134	0	0.55767	0	0.15172	0	0.29061
V135	0.06135	0	0	0.27995	0.032	0.6267
V136	0	0.47678	0	0.09735	0	0.42587
V137	0	0.33132	0	0.38721	0.02089	0.26057
V138	0	0.0061	0	0.05915	0.00449	0.93025
V139	0	0.03435	0	0.06698	0.01337	0.8853
V140	0	0.32193	0	0.06372	0	0.61434
V141	0	0.36678	0	0.18816	0	0.44507
V142	0	0.47927	0	0.09326	0	0.42747
V143	0.05259	0.09327	0	0.39968	0.03199	0.42248
V144	0	0.06485	0	0	0	0.93515
V145	0.05188	0	0	0.69787	0.01489	0.23536
V146	0.06752	0	0	0.36781	0.03967	0.52499
V147	0	0.10388	0	0	0.00114	0.89499
V148	0	0.32186	0	0.3374	0.01914	0.3216
V149	0	0.16041	0	0	0	0.83959
V150	0.06503	0	0	0.80394	0.01717	0.11386
V151	0	0.14082	0	0	0	0.85918
V152	0	0.34866	0	0.17694	0.00109	0.47331
V153	0.08782	0.02761	0	0.59755	0.03735	0.24967
V154	0	0.08122	0	0	0	0.91878
V155	0	0.35612	0	0.16925	0.00428	0.47036
V156	0	0.39307	0	0.15971	0.0036	0.44362
V157	0	0.02628	0	0	0	0.97372
V158	0.06651	0.08354	0	0.44409	0.03941	0.36646
V159	0	0.42093	0	0.25327	0	0.3258
V160	0.06493	0	0	0.36266	0.03844	0.53396
V161	0	0.40616	0	0.14818	0	0.44567
V162	0	0.5053	0	0.20163	0	0.29307
V163	0.10214	0	0	0.53816	0.05251	0.3072
V164	0	0.38515	0	0.17825	0	0.43659
V165	0.05651	0	0	0.37707	0.03945	0.52697
V166	0	0	0	0.08454	0.01316	0.90231
V167	0.07893	0	0	0.69202	0.02979	0.19926
V168	0.0815	0.05094	0	0.11415	0.0089	0.74451
V169	0.08586	0	0	0.53005	0.03845	0.34563
V170	0.096	0.04572	0	0.29706	0.01912	0.5421
V171	0	0.15307	0	0	0	0.84693
V172	0.01602	0.12036	0	0.29231	0.01997	0.55135
V173	0.0575	0	0	0.28404	0.03175	0.6267
V174	0.00455	0.19807	0	0.07373	0.00802	0.71564
V175	0	0.55471	0	0.15727	0	0.28802
V176	0.10789	0	0	0.60447	0.05668	0.23096
V177	0	0.06974	0	0.05251	0.01028	0.86747
V178	0.08689	0	0	0.52394	0.05017	0.33899
V179	0	0.00174	0	0.21326	0.00516	0.77984
V180	0.02207	0.02883	0	0.15245	0.00747	0.78918
V181	0	0.14946	0	0.00202	0.00216	0.84636
V182	0.01136	0.15862	0	0.37315	0.02785	0.42902
V183	0.06489	0	0	0.79365	0.01565	0.12581
V184	0	0.41836	0	0.09737	0	0.48427
V185	0	0.44403	0	0.11034	0	0.44563
V186	0.09367	0	0	0.71873	0.04161	0.14599
V187	0	0.44402	0	0.08607	0	0.46991
V188	0	0.46021	0	0.09104	0	0.44875
V189	0.02298	0.04501	0	0.27076	0.02853	0.63272
V190	0	0.15269	0	0.09827	0.00866	0.74038
V191	0	0.17468	0	0	0	0.82532
V192	0	0.22887	0	0.00466	0	0.76647
V193	0	0.0387	0	0	0	0.9613
V194	0.08337	0	0	0.5855	0.05049	0.28065
V195	0.10188	0	0	0.62209	0.05135	0.22468
V196	0.06022	0	0	0.76881	0.01726	0.15372
V197	0.10817	0	0	0.47577	0.04898	0.36708
V198	0	0.36056	0	0.18137	0.00255	0.45552
V199	0	0.29007	0	0.37725	0.02196	0.31072
V200	0.06128	0	0	0.34287	0.02533	0.57052
V201	0.0487	0	0	0.65407	0.01371	0.28352
V202	0	0.04717	0	0.05286	0.01099	0.88898
V203	0.05291	0.08071	0	0.15027	0.00689	0.70922
V204	0	0.00095	0	0	0	0.99905
V205	0.11202	0	0	0.56587	0.0513	0.27081
V206	0.03567	0.09042	0	0.66234	0.01649	0.19508
V207	0	0.19748	0	0.05189	0	0.75063
V208	0.05342	0.15239	0	0.24361	0.02094	0.52964
V209	0	0.15784	0	0	0	0.84216
V210	0.11528	0	0	0.44149	0.04382	0.39942
V211	0.00676	0.06431	0	0	0.00704	0.9219
V212	0	0.39609	0	0.34148	0.00276	0.25967
