CD56NK	CD4MemoryT	CD19B	CD14
V1	0.81514	0.00941	0.17544	0
V2	0.37014	0.13697	0.10979	0.3831
V3	0.34366	0.59632	0.06002	0
V4	0.98487	0.01513	0	0
V5	0.30387	0.43813	0.258	0
V6	0.27988	0.64496	0.07516	0
V7	0.44695	0.41944	0.1336	0
V8	0.21852	0.15756	0.62392	0
V9	0.54916	0.3229	0.05106	0.07688
V10	0.11211	0.18192	0.70597	0
V11	0.32716	0.35513	0.31771	0
V12	0.19616	0.50735	0.29649	0
V13	0.41967	0.54395	0.03638	0
V14	0.28393	0.65628	0.0598	0
V15	0.33308	0.49543	0.1715	0
V16	1	0	0	0
V17	0.28886	0.64598	0.06515	0
V18	0.68176	0.30323	0.015	0
V19	0.34788	0.61273	0.03938	0
V20	0.47674	0.47316	0.0501	0
V21	0.22568	0.17584	0.59848	0
V22	0.15459	0.17006	0.36975	0.30561
V23	0.43987	0.12419	0.43594	0
V24	1	0	0	0
V25	0.58611	0.26205	0.15184	0
V26	0.60779	0.36621	0.026	0
V27	0.21673	0.12669	0.08449	0.57209
V28	0.0989	0.20535	0.69574	0
V29	0.50321	0.10043	0.39636	0
V30	0.3265	0.32248	0.35103	0
V31	0.41965	0.25108	0.32927	0
V32	0.15997	0.08112	0.10373	0.65517
V33	0.21581	0.47375	0.31045	0
V34	0.22132	0.16658	0.6121	0
V35	0.33299	0.55876	0.10825	0
V36	0.15365	0.17691	0.63705	0.03239
V37	0.82925	0.06727	0.10348	0
V38	0.71536	0.00884	0.2324	0.0434
V39	0.36054	0.47869	0.16077	0
V40	0.2909	0.60493	0.10417	0
V41	0.28125	0.60408	0.11467	0
V42	0.47162	0.0817	0.29132	0.15536
V43	0.25293	0.34937	0.3977	0
V44	0.14772	0.21072	0.64156	0
V45	0.28058	0.50831	0.21111	0
V46	0.87185	0.0728	0.05534	0
V47	0.53717	0.21628	0.24655	0
V48	0.89603	0.10397	0	0
V49	0.87991	0.12009	0	0
V50	0.27111	0.61657	0.11231	0
V51	0.43124	0.37022	0.19854	0
V52	0.14139	0.22907	0.62954	0
V53	0.79297	0.12231	0.08472	0
V54	0.49305	0.22641	0.28054	0
V55	0.46248	0.20631	0.31891	0.0123
V56	0.09286	0.09492	0.20876	0.60346
V57	0.29912	0.63446	0.06642	0
V58	0.98878	0	0.00307	0.00816
V59	0.55884	0.35463	0.08653	0
V60	0.35765	0.24058	0.40177	0
V61	0.96956	0.03044	0	0
V62	0.99286	0.00714	0	0
V63	0.22341	0.62867	0.14792	0
V64	0.23629	0.68303	0.08068	0
V65	0.01454	0.08135	0.24364	0.66046
V66	0.39511	0.54624	0.05866	0
V67	0.27135	0.33584	0.39282	0
V68	0.42137	0.21779	0.05359	0.30725
V69	0.1551	0.34685	0.49805	0
V70	0.66799	0.17335	0.15865	0
V71	0.37963	0.17245	0.44792	0
V72	0.76387	0.15593	0.0802	0
V73	0.34147	0.50106	0.15747	0
V74	0.17986	0.27368	0.54646	0
V75	0.83183	0.02354	0.14463	0
V76	0.17199	0.28227	0.31478	0.23096
V77	0.2645	0.41032	0.07762	0.24757
V78	0.57834	0.17452	0.24714	0
V79	0.12735	0.22939	0.64327	0
V80	0.45491	0.08929	0.4558	0
V81	0.17474	0.23717	0.58809	0
V82	0.09711	0.21591	0.68697	0
V83	0.3874	0.27762	0.12573	0.20925
V84	0.68845	0.07283	0.21423	0.02449
V85	0.27788	0.35206	0.37006	0
V86	0.14222	0.20434	0.65344	0
V87	0.255	0.63873	0.10626	0
V88	0.4111	0.15325	0.35104	0.08461
V89	0.11228	0.09115	0.39193	0.40464
V90	0.23288	0.66575	0.10137	0
V91	0.23784	0.56975	0.19242	0
V92	0.56942	0.08383	0.34676	0
V93	1	0	0	0
V94	0.29578	0.58009	0.08494	0.03919
V95	0.43856	0.39509	0.16635	0
V96	0.23785	0.17703	0.10534	0.47977
V97	0.73585	0.12957	0.13458	0
V98	0.77436	0.22564	0	0
V99	0.86317	0.05865	0.07818	0
V100	0.17091	0.1816	0.64749	0
V101	0.00626	0.10987	0.08241	0.80146
V102	1	0	0	0
V103	0.06437	0.14559	0.22561	0.56443
V104	0.23427	0.69835	0.06739	0
V105	0.27014	0.66107	0.06879	0
V106	0.27416	0.46519	0.26065	0
V107	0.29131	0.2552	0.4535	0
V108	0.33422	0.5572	0.10858	0
V109	0.15547	0.28603	0.55851	0
V110	0.27129	0.64399	0.08472	0
V111	1	0	0	0
V112	0.32187	0.18615	0.49199	0
V113	0.44154	0.19576	0.2442	0.1185
V114	0.51903	0.07093	0.12899	0.28105
V115	0.20999	0.57957	0.21044	0
V116	0.30872	0.34053	0.35075	0
V117	0.76519	0.23323	0.00158	0
V118	0.41434	0.50166	0.084	0
V119	0.29627	0.1391	0.13429	0.43034
V120	0.17493	0.19473	0.63035	0
V121	0.78937	0.13176	0.07887	0
V122	1	0	0	0
V123	0.2989	0.5764	0.12471	0
V124	0.7653	0.2347	0	0
V125	0.50067	0.36258	0.13674	0
V126	0.20052	0.24562	0.15549	0.39837
V127	0.3996	0.1472	0.33321	0.11999
V128	0.08561	0.09603	0.24739	0.57096
V129	0.65102	0.23391	0.11507	0
V130	0.19117	0.53184	0.27698	0
V131	0.24501	0.68193	0.07306	0
V132	1	0	0	0
V133	1	0	0	0
V134	0.37442	0.44328	0.1823	0
V135	0.22966	0.08824	0.32705	0.35504
V136	0.54049	0.43588	0.02363	0
V137	0.74533	0.0666	0.18807	0
V138	0.4096	0.39786	0.19254	0
V139	0.55458	0.22997	0.21545	0
V140	0.13086	0.18306	0.16552	0.52056
V141	0.21331	0.265	0.52169	0
V142	0.85082	0.02992	0.11927	0
V143	0.66606	0.25328	0.08067	0
V144	0.43168	0.23898	0.24549	0.08385
V145	0.19955	0.59179	0.20866	0
V146	0.09588	0.07722	0.11955	0.70735
V147	1	0	0	0
V148	0.26285	0.2003	0.53686	0
V149	0.40252	0.42964	0.16785	0
V150	0.2099	0.31206	0.47804	0
V151	0.41077	0.51887	0.07036	0
V152	0.39777	0.4077	0.19452	0
V153	0.32165	0.59895	0.0794	0
V154	0.37725	0.41146	0.21129	0
V155	0.56286	0.19875	0.23839	0
V156	0.15937	0.25005	0.59057	0
V157	0.48003	0.21037	0.3096	0
V158	0.00414	0.08145	0.11437	0.80003
V159	1	0	0	0
V160	0.97878	0	0.02122	0
V161	0.44539	0.01285	0.06847	0.4733
V162	0.33249	0.4209	0.15024	0.09637
V163	0.32367	0.46016	0.21617	0
V164	0.56496	0.30777	0.12727	0
V165	0.19307	0.40489	0.07746	0.32458
V166	0.10111	0.20283	0.20079	0.49526
V167	0.63843	0	0	0.36157
V168	0.45599	0.46399	0.08002	0
V169	0.426	0.07584	0.09491	0.40325
V170	0.27069	0.16285	0.56646	0
V171	0.23786	0.29994	0.4622	0
V172	0.77409	0.0463	0.17962	0
V173	0.18862	0.24956	0.14678	0.41505
V174	0.17424	0.28092	0.20348	0.34136
V175	0.1818	0.15324	0.66495	0
V176	0.21405	0.60984	0.17611	0
V177	0.22592	0.70776	0.06632	0
V178	0.24684	0.65803	0.09512	0
V179	0.3764	0.11559	0.47287	0.03515
V180	0.22529	0.66205	0.11266	0
V181	0.28583	0.22478	0.48939	0
V182	0.41308	0.22228	0.36463	0
V183	0.36454	0.59365	0.0418	0
V184	1	0	0	0
V185	0.66908	0.33092	0	0
V186	0.30594	0.44507	0.24899	0
V187	1	0	0	0
V188	0.29421	0.34651	0.05533	0.30395
V189	1	0	0	0
V190	0.70796	0.06239	0.22965	0
V191	0.28351	0.26831	0.44819	0
V192	0.50666	0.415	0.07834	0
V193	0.73181	0.07635	0.19184	0
V194	0.24286	0.69162	0.06552	0
V195	0.10398	0.20271	0.69331	0
V196	0.03085	0.16104	0.12006	0.68805
V197	0.75918	0.04262	0.00137	0.19684
V198	0.22976	0.46506	0.30518	0
V199	0.39397	0.0703	0.27657	0.25915
V200	0.40695	0.52536	0.06769	0
V201	0.29761	0.48316	0.21923	0
V202	0.14399	0.17441	0.6816	0
V203	0.29099	0.41962	0.28939	0
V204	0.30815	0.62537	0.06648	0
V205	0.11526	0.20612	0.67862	0
V206	0.15253	0.2227	0.62477	0
V207	0.39554	0.30136	0.09806	0.20504
V208	0.32757	0.16032	0.51211	0
V209	0.4958	0.41202	0.09219	0
V210	0.29182	0.58078	0.1274	0
V211	0.77221	0	0	0.22779
V212	0.5527	0.11871	0.32859	0
V213	0.87936	0.02849	0.09215	0
V214	0.59099	0.20707	0.20194	0
V215	0.61622	0.14144	0.00538	0.23696
V216	0.04659	0.066	0.10581	0.78159
V217	0.26131	0.48393	0.25476	0
V218	0.3335	0.43954	0.22696	0
V219	0.36827	0.55733	0.07441	0
V220	0.23636	0.67331	0.09033	0
V221	1	0	0	0
V222	0.44979	0.20366	0.34655	0
V223	0.13252	0.25046	0.61702	0
V224	1	0	0	0
V225	0.26901	0.63854	0.09245	0
V226	0.38388	0.15571	0.46041	0
V227	0.85237	0.03213	0.1155	0
V228	0.9351	0.05257	0.01233	0
V229	0.11387	0.19425	0.69188	0
V230	0.01292	0.11467	0.1069	0.76551
V231	0.24271	0.43682	0.18337	0.1371
V232	0.3413	0.60179	0.05691	0
V233	0.71464	0.11155	0.17381	0
V234	0.24333	0.67596	0.0807	0
V235	0.44194	0.13885	0.41921	0
V236	0.16011	0.21143	0.62846	0
V237	0.34341	0.06374	0.07936	0.51349
V238	0.30264	0.48369	0.21367	0
V239	0.35003	0.53049	0.07729	0.04219
V240	0.55409	0.10867	0.33723	0
V241	0.11446	0.18885	0.69669	0
V242	0.3127	0.57575	0.11155	0
V243	0.34953	0.13439	0.51608	0
V244	0.30683	0.13637	0.5568	0
V245	0.70454	0.26914	0.02632	0
V246	0.17413	0.24409	0.58177	0
V247	0.24983	0.14981	0.60036	0
V248	0.05165	0.10341	0.16961	0.67533
V249	0.09697	0.20847	0.69456	0
V250	0.81963	0.04114	0.13923	0
V251	1	0	0	0
V252	0.21102	0.62451	0.16446	0
V253	0.64157	0.11643	0.22326	0.01875
V254	0.21881	0.68438	0.09681	0
V255	0.26145	0.67936	0.0592	0
V256	0.28658	0.28339	0.43003	0
V257	0.62847	0.12519	0.24635	0
V258	0.31717	0.3048	0.37803	0
V259	0.15787	0.33641	0.50573	0
V260	0.12105	0.33577	0.54318	0
V261	0.77979	0.04957	0.17064	0
V262	0.23635	0.12797	0.08122	0.55446
V263	0.23199	0.70363	0.06438	0
