CD56NK	CD4MemoryT	CD19B	CD14
V1	0.54124	0	0.15207	0.30669
V2	0.13119	0.04511	0.03691	0.78678
V3	0.05276	0.56103	0.00813	0.37807
V4	0.89272	0.08222	0	0.02506
V5	0.11094	0.42529	0.26018	0.20359
V6	0.08046	0.87271	0.0185	0.02833
V7	0.13868	0.28946	0.07238	0.49947
V8	0.1355	0.00056	0.82416	0.03978
V9	0.22604	0.17102	0.02777	0.57517
V10	0.01515	0.0014	0.91948	0.06397
V11	0.22822	0.31494	0.45053	0.00631
V12	0.02455	0.56621	0.39178	0.01746
V13	0.29283	0.67586	0.00413	0.02717
V14	0.072	0.9146	0.00534	0.00806
V15	0.12192	0.55827	0.11884	0.20098
V16	0.92862	0.02043	0.01672	0.03423
V17	0.09198	0.86882	0.01084	0.02836
V18	0.6144	0.30135	0.03778	0.04647
V19	0.17443	0.80347	0.00435	0.01775
V20	0.1633	0.3952	0.01407	0.42742
V21	0.1359	0.02068	0.80354	0.03989
V22	0.01347	0.04726	0.17898	0.76028
V23	0.40749	0.01364	0.57236	0.00652
V24	0.95963	0.01306	0.02731	0
V25	0.35026	0.17463	0.12011	0.355
V26	0.40942	0.32798	0.0145	0.2481
V27	0.08261	0.02329	0.01043	0.88367
V28	0.00191	0.01526	0.98175	0.00109
V29	0.46216	0.00554	0.49544	0.03685
V30	0.09377	0.14815	0.26437	0.49371
V31	0.20392	0.13024	0.2886	0.37725
V32	0.06345	0.00541	0.01972	0.91142
V33	0.04272	0.45543	0.37582	0.12604
V34	0.13497	0.00871	0.81649	0.03984
V35	0.17729	0.70451	0.07887	0.03933
V36	0.00547	0.00978	0.44559	0.53916
V37	0.54114	0.0352	0.08488	0.33877
V38	0.40665	0	0.15019	0.44316
V39	0.17359	0.52282	0.12852	0.17507
V40	0.10675	0.81901	0.07424	0
V41	0.00623	0.62475	0.03744	0.33158
V42	0.20624	0.00621	0.1838	0.60375
V43	0.13853	0.29318	0.52836	0.03993
V44	0.01329	0.03372	0.74685	0.20613
V45	0.10141	0.5603	0.22557	0.11272
V46	0.83671	0.04224	0.11532	0.00573
V47	0.48621	0.13586	0.31881	0.05912
V48	0.83711	0.13384	0.00438	0.02467
V49	0.7578	0.14573	0	0.09647
V50	0.07002	0.83965	0.08328	0.00706
V51	0.34285	0.35659	0.26218	0.03838
V52	0.02397	0.06268	0.87219	0.04116
V53	0.76698	0.08665	0.14637	0
V54	0.46089	0.14052	0.37201	0.02658
V55	0.20739	0.07338	0.22582	0.49341
V56	0.034	1e-04	0.06553	0.90036
V57	0.10459	0.85894	0.01868	0.01779
V58	0.61826	0	0.03329	0.34845
V59	0.47029	0.36547	0.10486	0.05939
V60	0.12575	0.09315	0.31655	0.46455
V61	0.82857	0.06689	0.00911	0.09543
V62	0.90767	0.01439	0.06267	0.01526
V63	0.01609	0.83504	0.12057	0.0283
V64	0.0072	0.82849	0	0.1643
V65	0.00907	0	0.07744	0.91349
V66	0.23278	0.66671	0.01648	0.08402
V67	0.16541	0.28329	0.53445	0.01684
V68	0.14193	0.09153	0.01433	0.75221
V69	0.02332	0.26251	0.6504	0.06377
V70	0.57466	0.10007	0.17578	0.1495
V71	0.15768	0.03185	0.35924	0.45123
V72	0.60035	0.10537	0.08822	0.20605
V73	0.16196	0.58615	0.14054	0.11135
V74	0.05869	0.18206	0.75892	0.00033
V75	0.71546	0	0.17999	0.10455
V76	0.00044	0.11252	0.16135	0.72569
V77	0.03107	0.22436	0.00236	0.74221
V78	0.30164	0.06486	0.17195	0.46155
V79	0.00555	0.05215	0.83147	0.11083
V80	0.36756	0.00013	0.52982	0.10248
V81	0.05755	0.11401	0.82102	0.00741
V82	0.00055	0.0324	0.95791	0.00914
V83	0.12127	0.11799	0.06108	0.69966
V84	0.38506	0.01702	0.14685	0.45107
V85	0.11014	0.25686	0.41664	0.21635
V86	0.04463	0.01697	0.88675	0.05165
V87	0.03388	0.82916	0.05063	0.08632
V88	0.15387	0.0247	0.24785	0.57358
V89	0.01424	0	0.1761	0.80967
V90	0.02626	0.9015	0.05403	0.01821
V91	0.03388	0.73211	0.19357	0.04045
V92	0.46894	0.00292	0.37029	0.15785
V93	0.88538	0.00334	0	0.11129
V94	0.01374	0.37488	0.01401	0.59738
V95	0.2753	0.38233	0.15684	0.18553
V96	0.06014	0.0565	0.01616	0.86721
V97	0.72601	0.06619	0.20192	0.00589
V98	0.72164	0.26219	0	0.01617
V99	0.83113	0.02184	0.14125	0.00579
V100	0.07932	0.00508	0.88659	0.02902
V101	0.01266	0.0113	0.00303	0.97302
V102	0.94856	0.03023	0.00512	0.01608
V103	0.00828	0.01763	0.07519	0.8989
V104	0.02877	0.95754	0.0054	0.00829
V105	0.06025	0.91981	0.01207	0.00787
V106	0.12591	0.48243	0.34036	0.0513
V107	0.20282	0.14548	0.58941	0.0623
V108	0.16662	0.74086	0.09252	0
V109	0.01266	0.10183	0.59729	0.28822
V110	0.05744	0.8804	0.03367	0.02848
V111	0.92934	0	0.06414	0.00652
V112	0.12233	0.0262	0.41283	0.43864
V113	0.17967	0.05744	0.15886	0.60403
V114	0.22622	0.01785	0.06772	0.6882
V115	0.00728	0.75084	0.2347	0.00718
V116	0.14666	0.25542	0.38221	0.21572
V117	0.71852	0.20604	0.02991	0.04553
V118	0.16884	0.5294	0.02989	0.27187
V119	0.10007	0.03994	0.0383	0.8217
V120	0.07928	0.03279	0.86954	0.01838
V121	0.61706	0.07938	0.0875	0.21606
V122	0.97258	0.00013	0.01119	0.01609
V123	0.00608	0.44579	0.03691	0.51121
V124	0.689	0.2447	0	0.0663
V125	0.4257	0.37229	0.1754	0.02661
V126	0.03067	0.09664	0.03858	0.83411
V127	0.15198	0.01859	0.23562	0.59381
V128	0.02385	9e-05	0.09133	0.88474
V129	0.62292	0.1819	0.15853	0.03665
V130	0.00661	0.64371	0.34265	0.00702
V131	0.02536	0.87872	0	0.09591
V132	0.95184	0	0.02365	0.02451
V133	0.9339	0.00367	0.04686	0.01557
V134	0.1064	0.32558	0.12383	0.44418
V135	0.06685	0.00295	0.15644	0.77377
V136	0.24541	0.3379	0.00778	0.40892
V137	0.67589	0.01295	0.23512	0.07603
V138	0.22305	0.34688	0.17667	0.2534
V139	0.36874	0.1474	0.18942	0.29444
V140	0.02309	0.05018	0.04053	0.88619
V141	0.06152	0.10054	0.54781	0.29013
V142	0.80671	0	0.19329	0
V143	0.44955	0.20243	0.06166	0.28636
V144	0.15749	0.09888	0.15314	0.5905
V145	0.00049	0.75828	0.23394	0.0073
V146	0.04525	0.00086	0.02067	0.93323
V147	0.93219	0.00792	0.01656	0.04333
V148	0.12827	0.03476	0.57889	0.25808
V149	0.28835	0.4833	0.22211	0.00623
V150	0.08894	0.18846	0.62117	0.10143
V151	0.22021	0.59092	0.03059	0.15829
V152	0.25414	0.39979	0.22258	0.12349
V153	0.11129	0.72691	0.01638	0.14541
V154	0.26692	0.41708	0.27701	0.03898
V155	0.50734	0.09346	0.28264	0.11657
V156	0.03095	0.08759	0.71984	0.16162
V157	0.31781	0.10204	0.3098	0.27035
V158	0.01242	0	0.0164	0.97118
V159	0.90619	0.04006	0	0.05375
V160	0.68009	0	0.05669	0.26321
V161	0.19164	0	0.02283	0.78553
V162	0.05957	0.23347	0.07127	0.63568
V163	0.0982	0.43972	0.16758	0.29449
V164	0.35585	0.24777	0.10208	0.2943
