CD56NK	CD4MemoryT	CD19B	CD14
V1	0.55768	0.00144	0.13444	0.30645
V2	0.13368	0.0433	0.03298	0.79005
V3	0.05477	0.5524	0.00706	0.38578
V4	0.89566	0.08057	0	0.02377
V5	0.11879	0.42993	0.24018	0.2111
V6	0.08537	0.87071	0.01613	0.02779
V7	0.14369	0.28319	0.06482	0.5083
V8	0.15075	0.00726	0.79967	0.04232
V9	0.2322	0.165	0.02408	0.57872
V10	0.01716	0.00834	0.90536	0.06914
V11	0.24698	0.32342	0.42386	0.00573
V12	0.02673	0.58494	0.3712	0.01712
V13	0.30617	0.66402	0.00346	0.02634
V14	0.07658	0.91141	0.00482	0.00719
V15	0.12876	0.55709	0.10798	0.20617
V16	0.93048	0.02312	0.01364	0.03277
V17	0.09735	0.86577	0.00909	0.02779
V18	0.63028	0.29186	0.03228	0.04558
V19	0.18347	0.79601	0.00357	0.01695
V20	0.16925	0.38544	0.01208	0.43322
V21	0.1509	0.02763	0.77936	0.04211
V22	0.01328	0.04671	0.16286	0.77715
V23	0.43784	0.01936	0.53663	0.00616
V24	0.96008	0.01676	0.02316	0
V25	0.36333	0.17069	0.1073	0.35869
V26	0.42196	0.31792	0.01212	0.248
V27	0.08357	0.0222	0.00989	0.88434
V28	0.00285	0.02416	0.97213	0.00087
V29	0.49313	0.01112	0.45851	0.03724
V30	0.09859	0.14764	0.2429	0.51086
V31	0.21567	0.13069	0.26491	0.38873
V32	0.06407	0.00514	0.01857	0.91222
V33	0.046	0.4685	0.35361	0.13189
V34	0.15001	0.01557	0.79234	0.04208
V35	0.18767	0.70197	0.07104	0.03931
V36	0.00559	0.01257	0.41685	0.565
V37	0.55385	0.0357	0.07397	0.33647
V38	0.41998	0	0.13375	0.44626
V39	0.18341	0.521	0.11669	0.17889
V40	0.11334	0.81883	0.06783	0
V41	0.00666	0.61934	0.03333	0.34066
V42	0.2135	0.00768	0.16576	0.61306
V43	0.15156	0.30483	0.50235	0.04126
V44	0.01473	0.0403	0.72216	0.22281
V45	0.1089	0.5667	0.20821	0.11619
V46	0.85038	0.0441	0.10041	0.00511
V47	0.5131	0.13732	0.29034	0.05924
V48	0.84418	0.12912	0.00336	0.02333
V49	0.76643	0.1399	0	0.09367
V50	0.07472	0.84278	0.07626	0.00623
V51	0.36369	0.3577	0.24025	0.03836
V52	0.02677	0.07177	0.85748	0.04398
V53	0.78396	0.08693	0.12911	0
V54	0.48865	0.14296	0.34198	0.02641
V55	0.21647	0.07302	0.205	0.50552
V56	0.03419	0.00044	0.05911	0.90627
V57	0.11056	0.85604	0.01636	0.01704
V58	0.62766	9e-04	0.02844	0.343
V59	0.48974	0.35902	0.0927	0.05854
V60	0.13278	0.09401	0.29154	0.48167
V61	0.83474	0.06571	0.00729	0.09226
V62	0.91435	0.01765	0.05378	0.01422
V63	0.01772	0.84312	0.11105	0.02811
V64	0.00809	0.82404	0	0.16787
V65	0.0087	0	0.07035	0.92095
V66	0.24389	0.65756	0.01412	0.08444
V67	0.18116	0.29467	0.50755	0.01662
V68	0.14507	0.08768	0.01278	0.75446
V69	0.02561	0.27755	0.62941	0.06743
V70	0.59565	0.09926	0.15592	0.14916
V71	0.16676	0.03402	0.33188	0.46734
V72	0.61623	0.10287	0.07673	0.20417
V73	0.17196	0.58633	0.12814	0.11356
V74	0.06555	0.19575	0.7387	0
V75	0.73705	0.00069	0.15883	0.10343
V76	6e-05	0.11045	0.14696	0.74253
V77	0.03098	0.21709	0.00259	0.74934
V78	0.31291	0.06435	0.15397	0.46877
V79	0.00659	0.06036	0.81316	0.11989
V80	0.39489	0.00555	0.49361	0.10596
V81	0.06441	0.12514	0.80313	0.00732
V82	0.00133	0.04125	0.94814	0.00928
V83	0.1246	0.11408	0.05446	0.70686
V84	0.39692	0.01849	0.1304	0.45419
V85	0.11925	0.26285	0.39101	0.22689
V86	0.04996	0.02446	0.87001	0.05557
V87	0.03587	0.83061	0.04544	0.08808
V88	0.16073	0.026	0.22589	0.58738
V89	0.01411	0.00045	0.16033	0.82511
V90	0.02807	0.90542	0.04892	0.01759
V91	0.03637	0.74283	0.17966	0.04114
V92	0.49431	0.00749	0.33769	0.16051
V93	0.88578	0.00689	0	0.10732
V94	0.01375	0.36616	0.01252	0.60757
V95	0.28964	0.37958	0.14166	0.18912
V96	0.0608	0.05376	0.01484	0.8706
V97	0.74779	0.06761	0.17939	0.00521
V98	0.73229	0.25261	0	0.0151
V99	0.84632	0.02513	0.12337	0.00518
V100	0.08888	0.01233	0.86814	0.03065
V101	0.01222	0.01066	0.00418	0.97294
V102	0.94884	0.03213	0.00391	0.01512
V103	0.00783	0.01703	0.06805	0.90709
V104	0.03097	0.95673	0.00487	0.00743
V105	0.06425	0.91821	0.01054	0.00701
V106	0.1358	0.49368	0.31739	0.05312
V107	0.22187	0.15338	0.55978	0.06498
V108	0.17624	0.73934	0.08442	0
V109	0.01394	0.10811	0.5693	0.30865
V110	0.06125	0.8805	0.0302	0.02804
V111	0.93739	0.00126	0.0554	0.00595
V112	0.13002	0.02896	0.38356	0.45746
