CD56NK	CD4MemoryT	CD19B	CD14
V1	0.55204	0	0.13777	0.31019
V2	0.13008	0.0433	0.03155	0.79506
V3	0.05463	0.55712	0.00579	0.38246
V4	0.89827	0.07788	0	0.02385
V5	0.11618	0.43406	0.24073	0.20902
V6	0.08574	0.87295	0.01493	0.02638
V7	0.14048	0.28889	0.06297	0.50767
V8	0.14572	0	0.81277	0.04152
V9	0.22877	0.16886	0.02314	0.57923
V10	0.01585	0	0.91618	0.06797
V11	0.24315	0.32173	0.42989	0.00523
V12	0.02771	0.58328	0.37363	0.01537
V13	0.30361	0.66866	0.00257	0.02516
V14	0.07751	0.91257	0.00355	0.00638
V15	0.12658	0.5626	0.1066	0.20423
V16	0.93443	0.01795	0.01447	0.03315
V17	0.09757	0.86791	0.00815	0.02637
V18	0.62788	0.29428	0.03268	0.04517
V19	0.18356	0.79808	0.00262	0.01575
V20	0.16586	0.39122	0.0111	0.43182
V21	0.14599	0.02038	0.79261	0.04102
V22	0.01256	0.0461	0.16241	0.77893
V23	0.43312	0.012	0.54868	0.0062
V24	0.96475	0.01084	0.02398	0.00042
V25	0.3586	0.17411	0.10719	0.3601
V26	0.41716	0.32296	0.01175	0.24813
V27	0.08083	0.02106	0.008	0.89011
V28	0.00182	0.01375	0.98352	0.00091
V29	0.49053	0.00366	0.46914	0.03667
V30	0.09588	0.15062	0.24427	0.50923
V31	0.21038	0.1331	0.26758	0.38894
V32	0.06109	0.00331	0.01585	0.91975
V33	0.0456	0.46954	0.35551	0.12935
V34	0.14513	0.00727	0.80665	0.04094
V35	0.18498	0.7078	0.06964	0.03758
V36	0.00491	0.00866	0.42126	0.56518
V37	0.55026	0.034	0.0742	0.34154
V38	0.41416	0	0.13621	0.44963
V39	0.17998	0.52748	0.11553	0.17701
V40	0.1137	0.81896	0.06734	0
V41	0.00839	0.62275	0.03218	0.33669
V42	0.21061	0.00479	0.16802	0.61658
V43	0.14823	0.30356	0.50867	0.03955
V44	0.01342	0.03454	0.73183	0.22021
V45	0.10668	0.56981	0.20965	0.11385
V46	0.85058	0.04011	0.10385	0.00546
V47	0.50814	0.13677	0.29669	0.05841
V48	0.84597	0.12739	0.00341	0.02322
V49	0.76566	0.13996	0	0.09438
V50	0.07526	0.84405	0.07521	0.00548
V51	0.35919	0.36014	0.24368	0.03699
V52	0.02564	0.06581	0.86587	0.04269
V53	0.78263	0.08372	0.13365	0
V54	0.48409	0.14172	0.349	0.02519
V55	0.21254	0.0742	0.20718	0.50609
V56	0.03223	0	0.05691	0.91087
V57	0.11095	0.85831	0.01514	0.0156
V58	0.62308	0	0.02863	0.34829
V59	0.48644	0.36266	0.09343	0.05747
V60	0.12954	0.09552	0.29396	0.48098
V61	0.83546	0.06379	0.00747	0.09328
V62	0.9182	0.01227	0.05541	0.01413
V63	0.01983	0.84358	0.11018	0.02641
V64	0.01013	0.82315	0	0.16672
V65	0.0076	0	0.06786	0.92454
V66	0.24099	0.66261	0.01333	0.08306
V67	0.1777	0.29238	0.51468	0.01523
V68	0.14152	0.08902	0.01149	0.75797
V69	0.0253	0.27382	0.63539	0.06549
V70	0.5904	0.09999	0.16	0.14961
V71	0.16245	0.03204	0.33643	0.46908
V72	0.61253	0.10449	0.07707	0.20591
V73	0.16845	0.59248	0.12739	0.11168
V74	0.06338	0.18838	0.74824	0
V75	0.73262	0	0.16332	0.10406
V76	1e-04	0.11104	0.14677	0.74209
V77	0.03037	0.21809	0.00105	0.7505
V78	0.3089	0.06501	0.15596	0.47013
V79	0.00575	0.05425	0.82208	0.11792
V80	0.38963	0	0.5046	0.10577
V81	0.06223	0.11951	0.81124	0.00702
V82	0.00056	0.03232	0.95831	0.00882
V83	0.12134	0.11616	0.05263	0.70987
V84	0.39303	0.01594	0.13234	0.45869
V85	0.11594	0.26523	0.39415	0.22468
V86	0.04764	0.01611	0.88188	0.05437
V87	0.03738	0.8323	0.04394	0.08637
V88	0.15681	0.02418	0.2284	0.59062
V89	0.01293	0	0.15908	0.82799
V90	0.03022	0.9066	0.04699	0.01619
V91	0.03744	0.74387	0.17962	0.03906
V92	0.49114	0.00125	0.34638	0.16124
V93	0.88949	0.00111	0	0.10941
V94	0.01437	0.37084	0.01123	0.60356
V95	0.28551	0.38474	0.1421	0.18766
V96	0.05879	0.05421	0.01298	0.87402
V97	0.74556	0.06437	0.18472	0.00535
V98	0.73351	0.25196	0	0.01453
V99	0.84678	0.01968	0.12801	0.00553
V100	0.08531	0.00331	0.88178	0.0296
V101	0.01084	0.00865	0.00141	0.9791
V102	0.95341	0.02713	0.00438	0.01509
V103	0.00692	0.01566	0.06522	0.91221
V104	0.03284	0.95704	0.00354	0.00657
V105	0.06532	0.91905	0.0095	0.00614
V106	0.13337	0.49511	0.32022	0.05131
V107	0.21679	0.15193	0.56777	0.0635
V108	0.17564	0.74048	0.08388	0
V109	0.01312	0.1068	0.5743	0.30578
V110	0.06233	0.88177	0.02933	0.02657
V111	0.93691	0	0.05684	0.00624
V112	0.12663	0.02621	0.38852	0.45864
V113	0.18226	0.05735	0.14421	0.61619
