CD56NK	CD4MemoryT	CD19B	CD14
V1	0.55464	0	0.11584	0.32952
V2	0.11983	0.03056	0.02276	0.82685
V3	0.04854	0.54396	0.00249	0.40501
V4	0.90806	0.06887	0	0.02307
V5	0.10856	0.43726	0.2204	0.23378
V6	0.08051	0.88368	0.01026	0.02555
V7	0.12877	0.2725	0.0481	0.55064
V8	0.14772	0	0.80728	0.045
V9	0.2211	0.14996	0.01473	0.61421
V10	0.01348	0.00039	0.91269	0.07344
V11	0.25388	0.32902	0.41351	0.00359
V12	0.02485	0.60716	0.35353	0.01446
V13	0.30579	0.66835	0.00155	0.02432
V14	0.07358	0.91839	0.00285	0.00517
V15	0.11775	0.56889	0.08959	0.22378
V16	0.94248	0.01481	0.01015	0.03256
V17	0.09232	0.87695	0.00519	0.02553
V18	0.6494	0.28205	0.02286	0.04569
V19	0.18138	0.80231	0.00154	0.01476
V20	0.15665	0.37451	0.00573	0.46311
V21	0.14714	0.01754	0.79088	0.04443
V22	0.00859	0.03377	0.13985	0.81779
V23	0.45788	0.01109	0.5255	0.00552
V24	0.96999	0.01096	0.01876	0.00029
V25	0.36045	0.15687	0.08869	0.39399
V26	0.42131	0.30671	0.00674	0.26524
V27	0.07318	0.01292	0.00521	0.90869
V28	0.00333	0.01673	0.97947	0.00047
V29	0.51668	0.00368	0.44117	0.03848
V30	0.08627	0.13308	0.21811	0.56254
V31	0.2079	0.11731	0.24119	0.43359
V32	0.05404	0	0.01228	0.93368
V33	0.03992	0.48078	0.33571	0.14359
V34	0.14545	0.00656	0.80375	0.04424
V35	0.1835	0.72273	0.05562	0.03815
V36	0.00279	0.00381	0.3834	0.61
V37	0.55339	0.02532	0.05775	0.36354
V38	0.41034	0	0.11446	0.4752
V39	0.17537	0.53304	0.09776	0.19383
V40	0.11126	0.8309	0.05784	0
V41	0.00774	0.61249	0.02179	0.35798
V42	0.20265	0	0.14419	0.65315
V43	0.14753	0.31066	0.49941	0.04241
V44	0.0102	0.02952	0.71409	0.24619
V45	0.10054	0.58533	0.19026	0.12387
V46	0.87213	0.03413	0.0892	0.00454
V47	0.53839	0.12529	0.2745	0.06183
V48	0.86059	0.11491	0.00213	0.02237
V49	0.77883	0.1253	0	0.09588
V50	0.07087	0.86129	0.06389	0.00395
V51	0.37581	0.36074	0.22512	0.03833
V52	0.02203	0.05996	0.87182	0.04619
V53	0.80391	0.07705	0.11904	0
V54	0.51486	0.13173	0.32738	0.02603
V55	0.20632	0.05845	0.18149	0.55374
V56	0.02758	0	0.04629	0.92613
V57	0.10621	0.86895	0.01042	0.01442
V58	0.62006	0	0.01941	0.36053
V59	0.5061	0.35714	0.07732	0.05943
V60	0.11892	0.0797	0.26543	0.53595
V61	0.84826	0.05267	0.00441	0.09467
V62	0.93181	0.01055	0.04415	0.01349
V63	0.01894	0.86028	0.09492	0.02586
V64	0.0103	0.81841	0	0.17129
V65	0.00595	0	0.05812	0.93593
V66	0.24004	0.66508	0.00866	0.08622
V67	0.18242	0.29907	0.50415	0.01436
V68	0.13113	0.07227	0.0068	0.7898
V69	0.02122	0.2774	0.63021	0.07117
V70	0.61233	0.08651	0.13941	0.16176
V71	0.15419	0.02287	0.30478	0.51816
V72	0.62839	0.08933	0.06054	0.22174
V73	0.16321	0.60592	0.11027	0.12059
V74	0.06149	0.19377	0.74474	0
V75	0.75049	0	0.14084	0.10866
V76	0	0.09342	0.12583	0.78074
V77	0.02421	0.19886	0	0.77693
V78	0.30617	0.05083	0.13227	0.51073
V79	0.00427	0.04791	0.8175	0.13032
V80	0.40696	0	0.47798	0.11506
V81	0.05983	0.11719	0.81697	0.00601
V82	0.00118	0.03131	0.95923	0.00828
V83	0.10975	0.09828	0.03939	0.75258
V84	0.39006	0.00985	0.11003	0.49006
V85	0.10981	0.2616	0.37297	0.25562
V86	0.04389	0.01507	0.88239	0.05864
V87	0.03336	0.84429	0.03269	0.08966
V88	0.14609	0.0156	0.20016	0.63815
V89	0.0093	0	0.13722	0.85347
V90	0.02805	0.91975	0.03699	0.01521
V91	0.03344	0.76551	0.16097	0.04009
V92	0.50816	0.00048	0.31555	0.17581
V93	0.88954	0.00143	0	0.10903
V94	0.01117	0.35051	0.00631	0.63201
V95	0.29032	0.38073	0.12218	0.20678
V96	0.05025	0.04056	0.00857	0.90062
V97	0.77388	0.05585	0.16592	0.00434
V98	0.74607	0.24028	0	0.01365
V99	0.86706	0.01673	0.11152	0.00469
V100	0.08247	0.00367	0.88253	0.03134
V101	0.01044	0.00408	0.0026	0.98287
V102	0.9591	0.02315	0.00324	0.01451
V103	0.00485	0.00806	0.05368	0.93341
V104	0.03152	0.96021	0.0028	0.00547
V105	0.06186	0.92634	0.00687	0.00493
V106	0.12867	0.51321	0.30315	0.05498
V107	0.22545	0.14458	0.56027	0.06969
V108	0.17652	0.75058	0.0729	0
V109	0.00944	0.09397	0.55158	0.34501
V110	0.05793	0.89488	0.02135	0.02584
V111	0.94743	0	0.04697	0.0056
V112	0.11592	0.01855	0.35631	0.50922
V113	0.17339	0.04354	0.12183	0.66124
V114	0.21935	0.00893	0.04482	0.72689
V115	0.01092	0.78297	0.20197	0.00415
V116	0.14791	0.25905	0.3399	0.25315
V117	0.752	0.18574	0.01787	0.04439
V118	0.16615	0.52111	0.01632	0.29643
V119	0.08846	0.02624	0.02421	0.86108
V120	0.08221	0.0307	0.8686	0.01849
V121	0.64463	0.06413	0.05974	0.2315
V122	0.97811	0	0.00723	0.01466
V123	0.00593	0.4242	0.02108	0.54879
V124	0.71393	0.22015	0	0.06592
V125	0.46205	0.36986	0.14337	0.02473
V126	0.02283	0.07679	0.02421	0.87617
V127	0.14414	0.01054	0.18972	0.6556
V128	0.01704	0	0.06801	0.91496
V129	0.67007	0.16779	0.1262	0.03594
V130	0.00982	0.68195	0.30398	0.00426
V131	0.02611	0.87616	0	0.09773
V132	0.96298	0	0.01437	0.02265
V133	0.95246	0.0022	0.0313	0.01404
V134	0.0985	0.31213	0.09224	0.49713
V135	0.05601	0	0.12114	0.82285
V136	0.24432	0.31472	0.00234	0.43862
V137	0.72151	0.00911	0.18988	0.0795
V138	0.23112	0.34186	0.13996	0.28706
V139	0.38571	0.13263	0.15046	0.33119
V140	0.01644	0.03509	0.02615	0.92232
V141	0.05631	0.09289	0.50335	0.34745
V142	0.84089	0	0.15907	4e-05
V143	0.4658	0.18346	0.03951	0.31122
V144	0.14984	0.08203	0.11644	0.65169
V145	0.00564	0.78853	0.20154	0.00429
V146	0.03775	0	0.01351	0.94875
V147	0.94382	0.00514	0.01001	0.04103
V148	0.12878	0.02818	0.53372	0.30932
V149	0.31149	0.49588	0.18944	0.00319
V150	0.09066	0.19386	0.59608	0.1194
V151	0.2248	0.58892	0.01705	0.16923
V152	0.27016	0.40682	0.18616	0.13686
V153	0.10711	0.73075	0.0084	0.15375
V154	0.29123	0.43011	0.23954	0.03911
V155	0.55403	0.08143	0.23712	0.12743
V156	0.02737	0.0826	0.69583	0.1942
V157	0.33829	0.08964	0.26186	0.31021
V158	0.00991	0	0.01169	0.9784
V159	0.91743	0.03086	0	0.05171
V160	0.69128	0	0.0356	0.27312
V161	0.18219	0	0.01332	0.80449
V162	0.05172	0.21314	0.04718	0.68796
V163	0.09325	0.44208	0.13187	0.33281
V164	0.36836	0.23288	0.07225	0.32651
V165	0.00566	0.18331	0	0.81103
V166	0.00456	0.04125	0.03861	0.91558
V167	0.3136	0	0.00057	0.68583
V168	0.329	0.54403	0.0519	0.07507
V169	0.16349	0.01552	0.01703	0.80396
V170	0.0938	0	0.44401	0.46219
V171	0.14592	0.19954	0.59696	0.05758
V172	0.78043	0	0.21448	0.00508
V173	0.01664	0.07883	0.01844	0.88609
V174	0.00955	0.09362	0.04242	0.8544
V175	0.05969	0	0.75734	0.18298
V176	0.01121	0.84111	0.14343	0.00425
