CD56NK	CD4MemoryT	CD19B	CD14
V1	0.40162	0.00114	0.18093	0.4163
V2	0.07767	0.05793	0.03388	0.83052
V3	0.03713	0.55672	0.00819	0.39795
V4	0.79981	0.1521	0	0.04809
V5	0.07628	0.45538	0.24043	0.22791
V6	0.05597	0.88919	0.0198	0.03504
V7	0.08749	0.31243	0.06927	0.53081
V8	0.10025	0	0.84507	0.05468
V9	0.13634	0.19776	0.02871	0.63719
V10	0.01323	0	0.90419	0.08259
V11	0.1581	0.37235	0.45878	0.01076
V12	0.02053	0.59244	0.36429	0.02275
V13	0.19817	0.75975	0.00483	0.03724
V14	0.04942	0.9353	0.00496	0.01033
V15	0.0813	0.58076	0.11381	0.22413
V16	0.85487	0.04948	0.02969	0.06596
V17	0.06311	0.8899	0.0118	0.03518
V18	0.46238	0.41319	0.05225	0.07217
V19	0.1164	0.85566	0.00467	0.02327
V20	0.10117	0.41706	0.0151	0.46667
V21	0.10057	0.03157	0.81345	0.05441
V22	0.00934	0.05726	0.15092	0.78247
V23	0.30672	0.02358	0.65717	0.01252
V24	0.9209	0.03182	0.04575	0.00153
V25	0.23093	0.22464	0.12576	0.41867
V26	0.27379	0.3999	0.01826	0.30805
V27	0.04765	0.0297	0.00783	0.91482
V28	0.00049	0.0121	0.98686	0.00054
V29	0.35265	0.01187	0.57772	0.05777
V30	0.06353	0.17568	0.24108	0.5197
V31	0.13125	0.16681	0.27875	0.42319
V32	0.03642	0.00951	0.01477	0.93929
V33	0.03377	0.48034	0.34329	0.1426
V34	0.1005	0.01289	0.83204	0.05456
V35	0.11817	0.75006	0.08198	0.04979
V36	0.00455	0.01571	0.40166	0.57808
V37	0.38956	0.06177	0.09964	0.44903
V38	0.28299	0	0.16584	0.55117
V39	0.11398	0.55759	0.12558	0.20284
V40	0.07255	0.85326	0.07419	0
V41	0.00599	0.61191	0.03761	0.34449
V42	0.12857	0.01418	0.17564	0.68161
V43	0.09876	0.33919	0.51003	0.05201
V44	0.0119	0.04616	0.69752	0.24442
V45	0.07025	0.58688	0.2126	0.13027
V46	0.73495	0.08483	0.16605	0.01417
V47	0.35494	0.19914	0.35942	0.0865
V48	0.7212	0.22474	0.00791	0.04614
V49	0.61352	0.23236	0	0.15412
V50	0.04964	0.85877	0.08175	0.00983
V51	0.2357	0.43465	0.2758	0.05385
V52	0.02067	0.08375	0.84232	0.05327
V53	0.65238	0.148	0.19877	0.00084
V54	0.33813	0.2026	0.41814	0.04114
V55	0.13353	0.10185	0.21933	0.5453
V56	0.02014	0.003	0.05441	0.92245
V57	0.07127	0.88586	0.02028	0.02258
V58	0.46884	0.00139	0.04471	0.48505
V59	0.33421	0.46116	0.12105	0.08357
V60	0.08476	0.12195	0.29772	0.49558
V61	0.6993	0.12601	0.01573	0.15897
V62	0.83391	0.037	0.09764	0.03145
V63	0.01389	0.83656	0.1151	0.03445
V64	0.00679	0.80997	0	0.18324
V65	0.00458	0	0.062	0.93342
V66	0.15432	0.72187	0.01913	0.10469
V67	0.11617	0.33205	0.52728	0.0245
V68	0.0855	0.10817	0.01371	0.79261
V69	0.02019	0.29675	0.6043	0.07876
V70	0.42234	0.15754	0.20742	0.2127
