CD56NK	CD4MemoryT	CD19B	CD14
V1	0.69964	0	0.16344	0.13692
V2	0.2208	0	0.08508	0.69412
V3	0.19672	0.64045	0.05028	0.11254
V4	1	0	0	0
V5	0.23213	0.47873	0.28914	0
V6	0.19723	0.75883	0.04394	0
V7	0.27486	0.35757	0.11999	0.24758
V8	0.1984	0.07734	0.72426	0
V9	0.38238	0.20269	0.05274	0.36219
V10	0.07817	0.10303	0.8188	0
V11	0.28785	0.34532	0.36683	0
V12	0.11573	0.55149	0.33278	0
V13	0.37399	0.61754	0.00847	0
V14	0.18889	0.78735	0.02377	0
V15	0.25645	0.57658	0.16697	0
V16	1	0	0	0
V17	0.20835	0.75737	0.03428	0
V18	0.6798	0.29994	0.02025	0
V19	0.27698	0.71084	0.01217	0
V20	0.31798	0.46447	0.0427	0.17485
V21	0.20022	0.11042	0.68936	0
V22	0.02871	0.01699	0.32133	0.63297
V23	0.44881	0.04326	0.50793	0
V24	1	0	0	0
V25	0.50318	0.21045	0.16262	0.12375
V26	0.55691	0.37057	0.03132	0.0412
V27	0.08941	0	0.02503	0.88556
V28	0.0594	0.1224	0.81819	0
V29	0.51893	0.02394	0.45713	0
V30	0.19461	0.21128	0.34751	0.2466
V31	0.32846	0.17672	0.351	0.14382
V32	0.0268	0	0.01925	0.95395
V33	0.14576	0.49481	0.35943	0
V34	0.19872	0.09572	0.70556	0
V35	0.27172	0.63791	0.09037	0
V36	0.0305	0	0.62439	0.3451
V37	0.73128	0	0.11005	0.15867
V38	0.55652	0	0.17526	0.26822
V39	0.29659	0.54019	0.16322	0
V40	0.20918	0.71232	0.0785	0
V41	0.13956	0.69053	0.10177	0.06814
V42	0.31291	0	0.25452	0.43257
V43	0.21128	0.34148	0.44724	0
V44	0.09146	0.12835	0.76386	0.01634
V45	0.21269	0.55738	0.22994	0
V46	0.9203	0.00797	0.07173	0
V47	0.53759	0.17349	0.28892	0
V48	0.92283	0.07717	0	0
V49	0.88783	0.11217	0	0
V50	0.1812	0.72785	0.09095	0
V51	0.40348	0.36917	0.22735	0
V52	0.09441	0.16971	0.73588	0
V53	0.83414	0.06493	0.10094	0
V54	0.49924	0.18113	0.31963	0
V55	0.33615	0.08364	0.30563	0.27458
V56	0	0	0.09772	0.90228
V57	0.21641	0.74688	0.03671	0
