CD56NK	CD4MemoryT	CD19B	CD14
V1	0.56986	0	0.13231	0.29783
V2	0.14376	0.03737	0.03137	0.7875
V3	0.06135	0.54852	0.00616	0.38397
V4	0.90496	0.07258	0	0.02246
V5	0.12734	0.42081	0.24213	0.20971
V6	0.09179	0.86712	0.01527	0.02582
V7	0.1544	0.27526	0.06314	0.5072
V8	0.155	0.00016	0.80377	0.04107
V9	0.24649	0.15762	0.02305	0.57285
V10	0.0175	0.00201	0.91275	0.06775
V11	0.25816	0.3113	0.42555	0.00499
V12	0.0302	0.57939	0.37523	0.01518
V13	0.3182	0.65458	0.00287	0.02435
V14	0.0819	0.90807	0.00397	0.00606
V15	0.13807	0.55071	0.10705	0.20416
V16	0.939	0.01618	0.01364	0.03118
V17	0.10423	0.86147	0.00852	0.02578
V18	0.64824	0.27659	0.03173	0.04344
V19	0.19315	0.78868	0.00298	0.01519
V20	0.18076	0.37697	0.01135	0.43092
V21	0.15565	0.0191	0.78466	0.04059
V22	0.01808	0.0404	0.16254	0.77897
V23	0.44968	0.01171	0.53262	0.00599
V24	0.96489	0.01225	0.02251	0.00035
V25	0.38066	0.15994	0.10552	0.35388
V26	0.43988	0.30513	0.01174	0.24325
V27	0.0916	0.01804	0.00804	0.88231
V28	0.00166	0.01996	0.97736	0.00101
V29	0.50746	0.00413	0.45302	0.03539
V30	0.10649	0.13971	0.24449	0.5093
V31	0.22725	0.12077	0.26585	0.38613
V32	0.07058	0.00205	0.01581	0.91157
V33	0.0507	0.46012	0.35893	0.13025
V34	0.15455	0.0075	0.79748	0.04047
V35	0.19683	0.6969	0.06937	0.0369
V36	0.00857	0.00699	0.42045	0.564
V37	0.57059	0.02872	0.07157	0.32912
V38	0.43271	0	0.13194	0.43536
V39	0.19446	0.51367	0.11557	0.1763
V40	0.12002	0.81316	0.06682	0
V41	0.01108	0.61658	0.03286	0.33948
V42	0.22657	0.00292	0.16506	0.60545
V43	0.15918	0.295	0.50662	0.03921
V44	0.01596	0.03145	0.73229	0.2203
V45	0.1162	0.55955	0.21044	0.11381
V46	0.86045	0.03586	0.0986	0.00509
V47	0.52964	0.12525	0.28848	0.05664
V48	0.85531	0.1195	0.00328	0.02191
V49	0.78005	0.12994	0	0.09001
V50	0.08057	0.83921	0.07508	0.00513
V51	0.37894	0.34458	0.24027	0.03621
V52	0.02788	0.06322	0.86622	0.04269
V53	0.79472	0.07802	0.12726	0
V54	0.5042	0.13205	0.33938	0.02437
V55	0.2293	0.06521	0.20502	0.50048
V56	0.03984	0	0.05654	0.90362
V57	0.11809	0.85137	0.01543	0.01511
V58	0.63945	0	0.02741	0.33314
V59	0.50894	0.34375	0.09144	0.05587
V60	0.14206	0.08574	0.29303	0.47918
V61	0.84784	0.05636	0.00713	0.08867
V62	0.92352	0.01095	0.05227	0.01326
V63	0.02179	0.8416	0.11058	0.02603
V64	0.01238	0.82124	0	0.16638
V65	0.01365	0	0.06753	0.91882
V66	0.25615	0.64846	0.01356	0.08183
V67	0.18972	0.28448	0.51085	0.01495
V68	0.15544	0.08157	0.01152	0.75147
V69	0.02792	0.26785	0.63856	0.06566
V70	0.61226	0.08838	0.1548	0.14456
V71	0.17614	0.02723	0.33278	0.46384
V72	0.63435	0.0925	0.07448	0.19867
V73	0.18192	0.57924	0.1276	0.11124
V74	0.06769	0.18746	0.74485	0
V75	0.74541	0	0.15553	0.09906
V76	0.00418	0.10395	0.14739	0.74447
V77	0.03723	0.21165	0.00124	0.74988
V78	0.32857	0.05672	0.15321	0.4615
V79	0.00698	0.05139	0.82352	0.1181
V80	0.40647	0	0.49068	0.10285
V81	0.06669	0.11619	0.81015	0.00697
V82	0.00045	0.03553	0.95518	0.00884
V83	0.13429	0.1074	0.05247	0.70583
V84	0.41256	0.01286	0.12871	0.44588
V85	0.12676	0.25359	0.39484	0.2248
V86	0.05148	0.01686	0.87754	0.05412
V87	0.04125	0.82811	0.04449	0.08615
V88	0.17068	0.01991	0.22578	0.58363
V89	0.01905	0	0.15816	0.82279
V90	0.03276	0.90431	0.04716	0.01577
V91	0.04095	0.7396	0.1806	0.03885
V92	0.50892	0.00158	0.33403	0.15547
V93	0.89532	0.00142	0	0.10326
V94	0.01903	0.36192	0.01158	0.60747
V95	0.30544	0.36748	0.14119	0.18589
V96	0.06819	0.04873	0.01305	0.87003
V97	0.76107	0.05746	0.17648	0.005
V98	0.74674	0.23953	0	0.01373
V99	0.8556	0.01785	0.12138	0.00517
V100	0.09105	0.00552	0.87406	0.02937
V101	0.01724	0.00903	0.0015	0.97222
V102	0.95635	0.02539	0.00412	0.01414
V103	0.01295	0.01297	0.06509	0.90899
V104	0.03516	0.95461	0.00398	0.00625
V105	0.06933	0.91501	0.00984	0.00582
V106	0.14407	0.48426	0.32059	0.05108
V107	0.23143	0.14282	0.56291	0.06283
V108	0.18518	0.73168	0.08314	0
V109	0.01613	0.09827	0.57801	0.3076
V110	0.06715	0.87719	0.02961	0.02606
V111	0.9406	0	0.05357	0.00583
V112	0.13809	0.02224	0.38514	0.45453
V113	0.19779	0.0501	0.14274	0.60937
V114	0.2446	0.01297	0.05767	0.68475
V115	0.01171	0.76176	0.22111	0.00542
V116	0.16648	0.25077	0.36015	0.2226
V117	0.74617	0.18682	0.02478	0.04223
V118	0.18744	0.51353	0.02535	0.27368
V119	0.11087	0.03272	0.0324	0.82401
V120	0.09096	0.0323	0.85888	0.01786
V121	0.64955	0.06887	0.07373	0.20785
V122	0.97662	0	0.00921	0.01417
V123	0.01073	0.43399	0.03174	0.52354
V124	0.71562	0.22203	0	0.06234
V125	0.46311	0.35539	0.15754	0.02397
V126	0.03694	0.08693	0.03285	0.84327
V127	0.16858	0.0143	0.21444	0.60268
V128	0.029	0	0.08009	0.89091
V129	0.66017	0.16761	0.13866	0.03356
V130	0.01077	0.6583	0.32541	0.00552
V131	0.03179	0.87311	0	0.09511
V132	0.95894	0	0.0191	0.02196
V133	0.94574	0.00217	0.03847	0.01362
V134	0.12051	0.31352	0.11135	0.45462
V135	0.07562	0	0.14088	0.7835
V136	0.26798	0.31752	0.0059	0.40859
V137	0.71192	0.01028	0.20528	0.07252
V138	0.24955	0.33362	0.16053	0.2563
V139	0.40124	0.1352	0.16983	0.29374
V140	0.02869	0.04312	0.03415	0.89403
V141	0.07105	0.09584	0.52646	0.30665
V142	0.83205	0	0.16775	2e-04
V143	0.48087	0.18641	0.05234	0.28038
V144	0.175	0.08913	0.13772	0.59815
V145	0.00415	0.77005	0.22025	0.00554
V146	0.05151	0	0.01683	0.93166
V147	0.94152	0.00553	0.01349	0.03946
V148	0.14658	0.0318	0.55107	0.27055
V149	0.31869	0.47382	0.20289	0.0046
V150	0.10325	0.18975	0.60123	0.10577
V151	0.24423	0.57319	0.02587	0.15671
V152	0.28367	0.38838	0.20464	0.12332
V153	0.12506	0.71674	0.01346	0.14473
V154	0.2993	0.40796	0.25576	0.03698
V155	0.54957	0.08378	0.25322	0.11344
V156	0.03686	0.0853	0.70598	0.17187
V157	0.35097	0.09293	0.28305	0.27305
V158	0.0169	0	0.01312	0.96998
V159	0.91674	0.03389	0	0.04938
V160	0.70296	0	0.04649	0.25055
V161	0.2062	0	0.01869	0.77511
V162	0.06924	0.22138	0.06209	0.64729
V163	0.1124	0.43129	0.15405	0.30227
V164	0.38672	0.23251	0.08841	0.29235
V165	0.01277	0.19628	0	0.79095
V166	0.01247	0.05081	0.04878	0.88794
V167	0.34034	0	0.00208	0.65758
V168	0.34185	0.52156	0.06619	0.07041
V169	0.18797	0.02003	0.02412	0.76789
V170	0.11367	0.0016	0.47209	0.41264
V171	0.15769	0.19339	0.59677	0.05216
V172	0.76969	0	0.22484	0.00547
V173	0.02887	0.08929	0.02582	0.85602
V174	0.01957	0.10445	0.05452	0.82146
V175	0.07121	0	0.76519	0.1636
V176	0.012	0.82246	0.16012	0.00542
V177	0.01456	0.96826	0	0.01718
V178	0.0119	0.72039	0.00145	0.26627
V179	0.16892	0	0.32802	0.50305
V180	0.03581	0.89507	0.06912	0
V181	0.1932	0.07764	0.52289	0.20628
V182	0.36506	0.12149	0.4406	0.07286
V183	0.21782	0.77349	0.00327	0.00542
V184	0.99289	0	0.00656	0.00055
V185	0.63253	0.3539	0.00867	0.00489
V186	0.14117	0.43671	0.25384	0.16829
V187	0.97399	0	0.02	0.00601
V188	0.05856	0.16741	0	0.77403
V189	0.82972	0.00377	0.01161	0.1549
V190	0.72204	0	0.27243	0.00553
V191	0.23125	0.15536	0.56235	0.05104
V192	0.34856	0.39478	0.03922	0.21744
V193	0.65484	0.00868	0.19857	0.1379
V194	0.04552	0.92442	0.00314	0.02692
V195	0.00866	0.01322	0.96906	0.00906
V196	0.01477	0.03666	0.00462	0.94396
V197	0.41497	0.01737	0.01662	0.55104
V198	0.07645	0.47884	0.36746	0.07725
V199	0.16614	0.00287	0.13893	0.69205
V200	0.14447	0.49596	0.01175	0.34782
V201	0.11447	0.51297	0.17812	0.19444
V202	0.01564	0.00224	0.75346	0.22865
V203	0.20365	0.38953	0.38088	0.02594
V204	0.01115	0.45803	0.00067	0.53016
V205	0.01811	0.02906	0.93373	0.0191
V206	0.05448	0.06013	0.87785	0.00754
V207	0.13437	0.1238	0.03813	0.7037
V208	0.30565	0.03152	0.64716	0.01567
V209	0.35187	0.39934	0.05575	0.19304
V210	0.10355	0.75436	0.08084	0.06125
V211	0.41731	0	0.02235	0.56034
V212	0.5815	0.01344	0.38125	0.02381
V213	0.665	0.00748	0.08617	0.24135
V214	0.36207	0.09638	0.13845	0.40311
V215	0.29285	0.04825	0.01096	0.64794
V216	0.03445	0	0.01228	0.95326
V217	0.04961	0.43807	0.2187	0.29361
V218	0.11176	0.38119	0.15176	0.35529
V219	0.12148	0.57578	0.0064	0.29633
V220	0.0119	0.79351	0.00156	0.19304
V221	0.80776	0	0.0023	0.18994
V222	0.36559	0.07787	0.33599	0.22055
V223	0.00719	0.09174	0.79496	0.10611
V224	0.9824	0	0.01713	0.00046
V225	0.06882	0.87837	0.04753	0.00529
V226	0.37097	0.04576	0.56818	0.01509
V227	0.8302	0	0.1567	0.0131
V228	0.82082	0.03082	0.04909	0.09927
V229	0.01781	0.00832	0.94242	0.03145
V230	0.01586	0.00778	0.01233	0.96403
V231	0.01855	0.20385	0.08825	0.68935
V232	0.05033	0.58575	0	0.36392
V233	0.62413	0.04441	0.16735	0.16411
V234	0.04506	0.91626	0.02291	0.01577
V235	0.44477	0.02735	0.49153	0.03635
V236	0.04934	0.03396	0.81209	0.10461
V237	0.15418	0	0.01979	0.82603
V238	0.15667	0.52844	0.25277	0.06212
V239	0.06924	0.32083	0.01115	0.59877
V240	0.55645	0.01247	0.37596	0.05512
V241	0.01695	0.00176	0.88938	0.09191
V242	0.1583	0.74541	0.0821	0.01419
V243	0.285	0.01522	0.60295	0.09683
V244	0.23935	0	0.65318	0.10746
V245	0.67196	0.2263	0.03751	0.06424
V246	0.06512	0.10773	0.79841	0.02874
V247	0.20312	0.00869	0.78774	0.00045
V248	0.02201	0.00918	0.02949	0.93932
V249	0.00038	0.01824	0.88838	0.09299
V250	0.8128	0	0.18179	0.00541
V251	0.96725	0.02221	0.00449	0.00604
V252	0.01381	0.84281	0.14337	0
V253	0.38242	0.02991	0.13108	0.45659
V254	0.01381	0.9403	0.0399	0.006
V255	0.05541	0.89594	0	0.04865
V256	0.21361	0.15904	0.51256	0.11479
V257	0.46653	0.05129	0.20075	0.28144
V258	0.21178	0.20825	0.41271	0.16725
V259	0.03821	0.2584	0.64954	0.05385
V260	0.00135	0.26312	0.72859	0.00695
V261	0.66018	0.00811	0.16224	0.16947
V262	0.09128	0.02431	0.00804	0.87637
V263	0.02389	0.94858	0	0.02753
V264	0.17565	0.01012	0.38063	0.4336
V265	0.02835	0	0.10213	0.86952
V266	0.70119	0.29451	0.00429	0
V267	0.00338	0.1142	0.24409	0.63833
V268	0.39213	0.00254	0.11095	0.49439
V269	0.00944	0.54135	0.38539	0.06382
V270	0.69779	0.00485	0.20453	0.09284
V271	0.83777	0.0307	0.02291	0.10862
V272	0.06436	0.79427	0.0072	0.13416
V273	0.05021	0.0027	0.02272	0.92437
V274	0.73258	0	0.14773	0.1197
V275	5e-04	0.0142	0.97557	0.00973
V276	0.55559	0.26162	0.00645	0.17634
V277	0.03607	0.13747	0.12968	0.69677
V278	0.03467	0.02107	0.2428	0.70147
V279	0.73412	0.02396	0.08698	0.15494
V280	0.0169	0	0.01312	0.96998
V281	0.56756	0.00689	0.11031	0.31524
V282	0.06186	0.03485	0.82406	0.07922
V283	0.24612	0.52059	0.04896	0.18432
V284	0.03344	0.91329	0.04772	0.00555
V285	0.08652	0.00759	0.90519	7e-04
V286	0.28985	0.49513	0.09444	0.12059
V287	0.11658	0.84924	0.00851	0.02566
V288	0.01719	0.21826	0.40553	0.35901
V289	0.34005	0.16122	0.40059	0.09813
V290	0.8657	0.12434	0.00996	0
V291	0.56273	0.03399	0.38935	0.01393
V292	0.94262	0	0	0.05738
V293	0.34801	0.0012	0.60246	0.04833
V294	0.09076	0.28522	0	0.62402
V295	0.01804	0.11151	0.15736	0.71309
V296	0.21129	0.07381	0.60107	0.11383
V297	0.06859	0	0.04776	0.88365
V298	0.36148	0.05963	0.56387	0.01502
V299	0.06846	0.20013	0.00628	0.72514
V300	0.00461	0.00657	0.18626	0.80256
V301	0.13755	0.06599	0.64041	0.15605
V302	0.70793	0.27828	0	0.01379
V303	0.00308	0.5848	0.37239	0.03973
V304	0.05864	0.00581	0.71946	0.21609
V305	0.13423	0.10176	0.43413	0.32989
V306	0.8629	0.05101	0.03626	0.04984
V307	0.02357	0.95039	0.0096	0.01645
V308	0.25852	0.16046	0.27157	0.30945
V309	0.35708	0.23288	0.01695	0.39309
V310	0.08153	0.23771	0.12589	0.55487
V311	0.5776	0.41407	0.00336	0.00497
V312	0.11657	0.72808	0.12954	0.0258
V313	0.00726	0.06516	0.00957	0.91802
V314	0.01859	0.40032	0.09267	0.48841
V315	0.13538	0.56428	0.02543	0.27491
V316	0.35358	0.07936	0.35765	0.20941
V317	0.10016	0.65323	0.0337	0.21291
V318	0.03762	0.47682	0.0058	0.47975
V319	0.0637	0.03087	0.86304	0.04239
V320	0.08674	0.09217	0.65037	0.17072
V321	0.69104	0.30468	0.00429	0
V322	0.20582	0.24069	0.05377	0.49972
V323	0.04886	0	0.06311	0.88803
V324	0.73372	0.1905	0.05335	0.02244
V325	0.35987	0.59251	0.04294	0.00469
V326	0.00393	0.49047	0.07406	0.43154
V327	0.01926	0.08647	0.07827	0.816
V328	0.04686	0.00572	0.71763	0.22978
V329	0.17182	0.05666	0.13565	0.63586
V330	0.4082	0	0.2848	0.307
V331	0.34278	0.0414	0.02865	0.58718
V332	0.01119	0.01657	0.14393	0.82832
V333	0.47841	0.03427	0.34899	0.13833
V334	0.37237	0	0.30454	0.32309
V335	0.02753	0.28666	0.51315	0.17266
V336	0.20422	0.65113	0.01341	0.13124
V337	0.33913	0.34974	0.2743	0.03683
V338	0.00635	0.9828	0.00412	0.00673
V339	0.14616	0.00201	0.84414	0.00769
V340	0.06055	0.16814	0.51598	0.25533
V341	0.02154	0.0081	0.04267	0.92769
V342	0.27353	0	0.56098	0.16549
V343	0.98466	0.00426	0.00476	0.00632
V344	0.74302	0.10342	0.15357	0
