Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.34949	0.1092	0.26338	0.12583	0.1521
V2	0.06037	0.78849	0.05931	0.04701	0.04483
V3	0.08525	0.00075	0.44416	0.42274	0.0471
V4	0.03122	0.00156	0.22391	0.03819	0.70512
V5	0.0361	0	0.04727	0.07945	0.83717
V6	0.36283	0	0.28382	0.22155	0.1318
V7	0.02426	0.02665	0.415	0.06016	0.47392
V8	0.01559	0.02894	0.87551	0.06295	0.01701
V9	0.0784	0	0.25205	0.6153	0.05425
V10	0.48538	0.0094	0.47911	0	0.0261
V11	0.05537	0.00665	0.09257	0.04779	0.79762
V12	0.10128	0	0.21352	0.28742	0.39778
V13	0.15355	0.0269	0.03154	0.40086	0.38715
V14	0.17815	0	0.06288	0.62585	0.13312
V15	0.05365	0.00787	0	0.84511	0.09337
V16	0.59032	0.05119	0.01062	0.31604	0.03183
V17	0.08127	0.23455	0.01074	0.04337	0.63007
V18	0.09555	0.41629	0.26323	0.20017	0.02476
V19	0.05051	0	0	0.09199	0.8575
V20	0.012	0.00189	0.72853	0.22144	0.03614
V21	0.03892	0.24707	0.12721	0.1456	0.4412
V22	0.83696	0.06584	0.0677	0	0.02949
V23	0.09873	0.00206	0.01352	0.11302	0.77268
V24	0.46899	0.10278	0.01676	0.02996	0.3815
V25	0.05162	0.01309	0.00728	0.39603	0.53198
V26	0.48995	0.19085	0.06221	0.02656	0.23043
V27	0.12722	0.49885	0.18764	0	0.18629
V28	0.05492	0.05747	0.19703	0.61002	0.08055
V29	0.0262	0	0.31976	0.59026	0.06378
V30	0.75674	0.09128	0.0277	0.00896	0.11532
V31	0.43968	0.12609	0.01034	0.21965	0.20424
V32	0.93734	0	0.00218	0	0.06047
V33	0.04341	0.18659	0.00983	0.09705	0.66311
V34	0.11901	0.85834	0.01496	0.00193	0.00576
V35	0.0959	0.62293	0.2602	0.01752	0.00346
V36	0.04527	0.16092	0.1614	0.07471	0.55771
V37	0.75018	0	0	0	0.24982
V38	0.13915	0.01093	0.48545	0.19084	0.17362
V39	0.34523	0.01393	0.33774	0	0.30309
V40	0.22506	0.61941	0.02395	0.09095	0.04063
V41	0.05503	0.84838	0.02187	0	0.07472
