Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.19603	0.3786	0.16484	0.16081	0.09972
V2	0	0.92102	0	0	0.07898
V3	0	0.19432	0.28483	0.51167	0.00918
V4	0	0.13142	0.21549	0.3842	0.26889
V5	0	0.1051	0.05503	0.45305	0.38683
V6	0.1877	0.26947	0.17988	0.28959	0.07336
V7	0	0.16478	0.35707	0.32689	0.15125
V8	0	0.17729	0.71851	0.1042	0
V9	0	0.14867	0.10651	0.7072	0.03762
V10	0.3932	0.19551	0.41129	0	0
V11	0	0.14582	0.09754	0.4048	0.35184
V12	0	0.17575	0.14496	0.4855	0.19379
V13	0	0.19588	0	0.55419	0.24993
V14	0	0.15593	0	0.70207	0.142
V15	0	0	0	0.90253	0.09747
V16	0.46516	0.20459	0	0.21385	0.11639
V17	0	0.38585	0	0.26687	0.34728
V18	0	0.60742	0.12157	0.21907	0.05194
V19	0	0.1136	0	0.46737	0.41903
V20	0	0.1505	0.56627	0.28323	0
V21	0	0.37083	0.06866	0.33692	0.22359
V22	0.86361	0.13639	0	0	0
V23	0	0.16369	0.00878	0.43312	0.39441
V24	0.38658	0.31126	0	0.02863	0.27352
V25	0	0.09574	0	0.63271	0.27155
V26	0.39851	0.42567	0	0	0.17582
V27	0	0.75095	0.10007	5e-04	0.14849
V28	0	0.19786	0.05309	0.69078	0.05828
V29	0	0.11964	0.16013	0.70544	0.01479
V30	0.74121	0.24618	0	0	0.01261
V31	0.28981	0.3088	0	0.19122	0.21016
V32	1	0	0	0	0
V33	0	0.29905	0	0.3684	0.33255
V34	0	1	0	0	0
V35	0	0.85416	0.13174	0	0.0141
V36	0	0.30184	0.12227	0.32035	0.25555
V37	0.79207	0.09049	0	0	0.11744
V38	0	0.23589	0.39291	0.3327	0.0385
V39	0.21811	0.27035	0.29948	0.08418	0.12787
V40	0.05795	0.82311	0	0	0.11894
V41	0	0.95183	0	0	0.04817
V42	0.92504	0.07496	0	0	0
V43	0.40211	0.32519	0.2727	0	0
V44	0	0.45255	0.46245	0.08499	0
V45	0	0.80773	0	0.09597	0.09631
V46	0	0.97737	0	0	0.02263
V47	0	0.1741	0.79634	0.02956	0
V48	0.02549	0.34011	0.12207	0.39644	0.11589
V49	0.3504	0.4239	0.119	0.06039	0.04631
V50	0	0.20311	0.78109	0.01579	0
V51	0	0.4602	0.14456	0.18931	0.20592
V52	0	1	0	0	0
V53	0	0.15836	0	0.741	0.10064
V54	0.05014	0.11658	0	0.62915	0.20412
V55	0	0.00574	0	0.88602	0.10824
V56	0	0.02172	0	0.82975	0.14853
V57	0.01724	0.37073	0.50119	0.0911	0.01975
V58	0	0.14386	0.10251	0.46784	0.28579
V59	0.91078	0.08922	0	0	0
V60	0.30833	0.47496	0.01043	0.07135	0.13492
V61	0.09206	0.16059	0	0.43584	0.3115
V62	0	0.1819	0.24403	0.37284	0.20123
V63	0.29854	0.49217	0	0	0.20929
V64	1	0	0	0	0
V65	0	0.16458	0	0.68428	0.15114
V66	0	0.10465	0	0.82513	0.07021
V67	0	0.13912	0.28174	0.37877	0.20036
V68	0.37233	0.26247	0.34537	0	0.01983
V69	0.54978	0.35294	0.09729	0	0
V70	0	0.83306	0	0.05962	0.10732
V71	0	0.95018	0	0	0.04982
V72	0	0.52063	0	0.18265	0.29672
V73	0	0.13615	0	0.69741	0.16644
V74	0	0.05108	0	0.82932	0.1196
V75	0.38993	0.38191	0.22816	0	0
V76	0	0	0	0.89177	0.10823
V77	0	0.17972	0.75423	0.06605	0
V78	0	0.18052	0.7807	0.03879	0
V79	0	0.54458	0	0.21714	0.23828
V80	0	0.89409	0	0	0.10591
V81	0	0.18052	0.79727	0.02221	0
V82	0.04753	0.3046	0	0.50656	0.14131
V83	0	0.16992	0	0.63054	0.19954
V84	0	0.32083	0	0.30025	0.37893
V85	0	0.17378	0.79408	0.03214	0
V86	0	0.38086	0.15002	0.43544	0.03368
V87	0.315	0.15632	0	0.40392	0.12475
V88	0.18652	0.3548	0	0.24177	0.2169
V89	0	0.27931	0.67175	0.04894	0
V90	0	0.29721	0.02498	0.36474	0.31306
V91	0	0.04154	0	0.8838	0.07467
V92	0.15527	0.20721	0	0.27197	0.36554
V93	0	0.19555	0.04548	0.62883	0.13015
V94	0	0.26712	0	0.44439	0.28849
V95	0	0.3635	0	0.31717	0.31933
V96	0.81827	0.13586	0	0	0.04587
V97	0.07679	0.18991	0.01691	0.37657	0.33983
V98	0	0.53045	0.08963	0.22251	0.15742
V99	0.40071	0.28163	0	0.14582	0.17184
V100	0.46624	0.36983	0	0	0.16394
V101	0	1	0	0	0
V102	0.18697	0.48625	0.04458	0.11067	0.17153
V103	0.0524	0.13468	0	0.38295	0.42997
V104	0	0.5676	0.02727	0.15399	0.25114
V105	0	0.11497	0.03604	0.45799	0.391
V106	0	0.95974	0.01717	0	0.02309
V107	0	0.39673	0.55037	0.0529	0
V108	0	0.33246	0.66602	0.00151	0
V109	0	0.34215	0	0.42436	0.23349
V110	0.01973	0.78193	0.06857	0.04685	0.08292
V111	0.15449	0.42868	0.41683	0	0
V112	0.04007	0.18691	0.00609	0.58977	0.17716
V113	0.13838	0.1817	0.05926	0.35453	0.26613
V114	0.48489	0.27098	0	0.10029	0.14384
V115	0.94855	0.05145	0	0	0
V116	0	0.10048	0	0.46654	0.43298
V117	0	0.19952	0.67146	0.12901	0
V118	0	0	0	0.89459	0.10541
V119	0.18004	0.26546	0.29735	0.25716	0
V120	0	0.1646	0.66345	0.17195	0
V121	0.03181	0.93465	0	0	0.03353
V122	0	0.50758	0	0.31781	0.17461
V123	0.39399	0.25353	0	0.18117	0.17131
V124	0.09486	0.29836	0	0.35442	0.25236
V125	0	0.61743	0.38257	0	0
V126	0.04195	0.3867	0.15024	0.24868	0.17244
V127	0.13142	0.26545	0.5847	0.01842	0
V128	0.03183	0.96817	0	0	0
V129	0.13476	0.25632	0.19042	0.29182	0.12669
V130	0	0.57878	0	0.25195	0.16927
V131	0	0.12301	0.06901	0.76797	0.04
V132	0.21873	0.12846	0	0.40827	0.24454
V133	0	0.18607	0.45498	0.31143	0.04752
V134	0	0.22255	0.67152	0.10594	0
V135	0	0.25522	0.60848	0.1363	0
V136	1	0	0	0	0
V137	0.96243	0.03757	0	0	0
V138	0.1412	0.34547	0.01053	0.25604	0.24677
V139	0	0.17195	0.01649	0.73002	0.08154
V140	0	0.11935	0.15087	0.40795	0.32184
V141	0	0.37184	0.50392	0.12425	0
V142	0.0943	0.20035	0.27021	0.29911	0.13603
V143	0	0.33541	0.35512	0.28378	0.02569
V144	0.40138	0.44899	0	0.01391	0.13572
V145	0	0.17751	0.76575	0.05675	0
V146	0	0.39317	0	0.39869	0.20814
V147	0	0.26958	0.57881	0.15161	0
V148	0	0.98091	0	0	0.01909
V149	0	0	0	0.89226	0.10774
V150	0	0.44769	0.52916	0.02315	0
V151	0.29805	0.12801	0	0.39994	0.174
V152	0	0.08137	0	0.82244	0.09619
