Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.32676	0.13437	0.2655	0.12646	0.14691
V2	0.06578	0.77616	0.06163	0.0543	0.04212
V3	0.06063	0.01871	0.46847	0.41025	0.04195
V4	0.00293	0	0.22731	0.06711	0.70265
V5	0.00163	0	0.04936	0.11082	0.83819
V6	0.33808	0.02663	0.29041	0.21642	0.12845
V7	0.00105	0.02996	0.41949	0.07839	0.47111
V8	0.00423	0.03143	0.89947	0.05995	0.00493
V9	0.05208	0.00202	0.27957	0.61264	0.05369
V10	0.46525	0.03214	0.48533	0	0.01727
V11	0.02399	0.00263	0.09575	0.08058	0.79705
V12	0.07214	0.00302	0.22395	0.29433	0.40656
V13	0.12159	0.03933	0.03592	0.40255	0.40062
V14	0.15369	0	0.07538	0.62887	0.14207
V15	0.01907	0.02174	0	0.85903	0.10016
V16	0.57292	0.08292	0.01321	0.30292	0.02803
V17	0.05947	0.2283	0.01331	0.07102	0.62791
V18	0.0895	0.42795	0.26939	0.19252	0.02063
V19	0.01531	0	0	0.12263	0.86206
V20	0	0.00911	0.75454	0.2098	0.02655
V21	0.01948	0.2476	0.1312	0.15929	0.44243
V22	0.81789	0.08761	0.07226	0	0.02224
V23	0.06454	0.00056	0.01665	0.14012	0.77813
V24	0.43803	0.12131	0.01813	0.04571	0.37683
V25	0.01709	0.01652	0.01127	0.40203	0.55309
V26	0.46449	0.20791	0.06376	0.038	0.22584
V27	0.12321	0.49522	0.18866	0.01226	0.18065
V28	0.02615	0.07629	0.21441	0.60155	0.0816
V29	0	0	0.35146	0.5859	0.06264
V30	0.73191	0.1129	0.03025	0.01474	0.1102
V31	0.41435	0.15125	0.01202	0.21805	0.20433
V32	0.93484	9e-04	0.00949	0	0.05476
V33	0.01889	0.18049	0.0127	0.12214	0.66579
V34	0.12678	0.84387	0.01724	0.01081	0.0013
V35	0.0998	0.61549	0.26147	0.02323	0
V36	0.02279	0.16016	0.16493	0.09682	0.55531
V37	0.73937	0	0	0.00845	0.25218
V38	0.11541	0.0271	0.49702	0.19	0.17048
V39	0.31925	0.03477	0.33824	0.01255	0.29519
V40	0.22377	0.62043	0.02514	0.0927	0.03797
V41	0.06314	0.83012	0.02355	0.01187	0.07132
V42	0.86811	0.0396	0.02386	0	0.06843
V43	0.48351	0.13367	0.36619	0.0099	0.00674
V44	0.03541	0.28963	0.56186	0.00166	0.11144
V45	0.04896	0.67014	0.10344	0.12827	0.04919
V46	0.121	0.75793	0.07682	0.02869	0.01556
V47	0	0.02766	0.96357	0	0.00878
V48	0.16208	0.131	0.23228	0.31502	0.15962
V49	0.46757	0.15415	0.24002	0.12243	0.01584
