Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.35113	0.10941	0.26091	0.12757	0.15098
V2	0.03497	0.8101	0.055	0.05285	0.04708
V3	0.08745	0	0.4377	0.42887	0.04597
V4	0.03127	0	0.22542	0.02905	0.71426
V5	0.03593	0	0.04601	0.06976	0.84831
V6	0.36613	0.00093	0.28022	0.22323	0.1295
V7	0.02547	0.02044	0.41908	0.05625	0.47877
V8	0.01824	0.02949	0.87184	0.065	0.01543
V9	0.08017	0	0.2464	0.6205	0.05292
V10	0.48587	0.01809	0.47226	0	0.02379
V11	0.0566	0	0.09322	0.0377	0.81248
V12	0.10291	0	0.21166	0.28899	0.39644
V13	0.15501	0.02257	0.03037	0.40596	0.38609
V14	0.17934	0	0.06096	0.62936	0.13034
V15	0.05437	0.00506	0	0.84982	0.09075
V16	0.58223	0.05997	0.00909	0.31849	0.03022
V17	0.0759	0.23359	0.00857	0.03723	0.64471
V18	0.08595	0.41542	0.26248	0.21081	0.02533
V19	0.05005	0	0	0.08287	0.86709
V20	0.01525	0.00018	0.72266	0.22704	0.03487
V21	0.03307	0.24357	0.12661	0.14788	0.44888
V22	0.82482	0.08319	0.06504	0	0.02695
V23	0.09989	0	0.01194	0.10625	0.78192
V24	0.47105	0.10709	0.01514	0.02573	0.38098
V25	0.05269	0.00551	0.00647	0.40274	0.53259
V26	0.49021	0.19511	0.05985	0.02463	0.23019
V27	0.11586	0.50526	0.18757	0	0.19131
V28	0.05531	0.05268	0.19326	0.61897	0.07979
V29	0.02871	0	0.31286	0.5963	0.06213
V30	0.75037	0.10414	0.02586	0.00761	0.11202
V31	0.43787	0.1291	0.00837	0.22246	0.20221
V32	0.93024	0.00691	0.00498	0	0.05787
V33	0.03862	0.18325	0.00806	0.0935	0.67658
V34	0.0918	0.8863	0.00963	0.00555	0.00673
V35	0.07883	0.6354	0.26095	0.02101	0.00382
V36	0.0421	0.15596	0.16229	0.07136	0.56828
V37	0.75439	0	0	0	0.24561
V38	0.14246	0.008	0.48359	0.19351	0.17244
V39	0.34902	0.01512	0.33552	0	0.30034
V40	0.2099	0.63125	0.01929	0.09776	0.0418
V41	0.02677	0.87676	0.01677	0.00184	0.07786
V42	0.87333	0.03839	0.01856	0	0.06973
V43	0.50425	0.11769	0.35886	0.00726	0.01194
V44	0.03303	0.28634	0.56158	0	0.11905
V45	0.0262	0.68586	0.097	0.13743	0.05351
V46	0.09194	0.79139	0.07122	0.02508	0.02037
V47	0.0049	0.0365	0.93667	0	0.02192
V48	0.18497	0.10714	0.22119	0.32734	0.15936
V49	0.48639	0.13118	0.23147	0.13126	0.01971
V50	0.02624	0.05242	0.91079	0	0.01056
V51	0.11144	0.2498	0.19672	0.04901	0.39303
V52	0.02676	0.9453	0.01083	0.00885	0.00826
V53	0.05099	0.15257	0.00295	0.72661	0.06688
V54	0.23488	0	0.00151	0.53628	0.22733
V55	0.09915	0	0	0.82325	0.0776
V56	0.09641	0	0	0.732	0.17159
V57	0.16735	0.11592	0.5744	0.01028	0.13205
V58	0.08901	0	0.12168	0.1807	0.60861
V59	0.87583	0.01995	0.08942	0	0.0148
V60	0.44184	0.19055	0.12648	0.11464	0.12649
V61	0.21305	0	0.01691	0.20308	0.56697
V62	0.08055	0.00066	0.29607	0.11963	0.50308
V63	0.40754	0.25008	0.0611	0.01987	0.26141
V64	0.93141	0.02904	0.02075	0	0.01881
V65	0.11166	0.05507	0.03225	0.61163	0.18939
V66	0.05415	0	0.11872	0.75334	0.07379
V67	0.02832	0	0.33099	0.07917	0.56152
V68	0.4896	0	0.40359	0.01761	0.0892
V69	0.6163	0.10757	0.20462	0.00251	0.06899
V70	0.04654	0.72543	0.04565	0.15238	0.03
V71	0.07313	0.80678	0.04665	0.05823	0.01522
V72	0.04342	0.3922	0.02053	0.02168	0.52216
V73	0.08424	0	0.08943	0.56351	0.26282
V74	0.04374	0.04132	0.00171	0.77014	0.14309
V75	0.48749	0.17912	0.31549	0	0.0179
V76	0.04128	0	0.00791	0.81921	0.1316
V77	0.02774	0.02393	0.90648	0.02838	0.01347
V78	0.00531	0.04367	0.92916	0	0.02186
V79	0.08322	0.39252	0.03807	0.13125	0.35494
V80	0.10517	0.75392	0.0062	0.04626	0.08844
V81	0.01572	0.03665	0.93523	0	0.0124
V82	0.25072	0.13982	0.02536	0.53135	0.05275
V83	0.12284	0.05427	0.01497	0.53517	0.27275
V84	0.10851	0.14867	0	0.04043	0.70239
V85	0.00544	0.03765	0.94265	0	0.01426
V86	0.03716	0.23626	0.3001	0.38495	0.04153
V87	0.47531	0	0.03687	0.43493	0.05289
V88	0.32534	0.14067	0.05025	0.1864	0.29733
V89	0.04973	0.10948	0.80553	0.02531	0.00994
V90	0.0372	0.16236	0.05016	0.09076	0.65953
V91	0.03877	0	0.06729	0.81873	0.07521
V92	0.25843	0.01299	0.02036	0.03936	0.66886
V93	0.03736	0.06117	0.15435	0.51238	0.23474
V94	0.05855	0.14925	0.01556	0.22981	0.54683
V95	0.07623	0.21277	0.01632	0.09436	0.60032
V96	0.81223	0	0.0237	0.00854	0.15552
V97	0.18516	0.00166	0.03718	0.10371	0.67229
