Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.3343	0.112	0.2697	0.12193	0.16207
V2	0.06727	0.7744	0.06182	0.04907	0.04745
V3	0.06146	0.00648	0.47439	0.40649	0.05118
V4	0.00148	0	0.21952	0.0526	0.7264
V5	0.00129	0	0.04642	0.09197	0.86031
V6	0.34674	0.00294	0.29535	0.21197	0.143
V7	0.00014	0.02245	0.41387	0.06764	0.49589
V8	0.0035	0.02337	0.90154	0.05765	0.01394
V9	0.05096	0	0.28021	0.60673	0.06211
V10	0.47727	0.01014	0.48771	0	0.02489
V11	0.02311	0.00015	0.09168	0.06411	0.82094
V12	0.07076	0	0.22042	0.27917	0.42965
V13	0.12262	0.03085	0.03585	0.38701	0.42366
V14	0.15435	0	0.07444	0.6172	0.15401
V15	0.01853	0.02139	0	0.84884	0.11124
V16	0.5882	0.06022	0.01607	0.30107	0.03444
V17	0.0587	0.22156	0.01223	0.05734	0.65017
V18	0.09092	0.42182	0.2717	0.18881	0.02674
V19	0.01504	0	0	0.10285	0.88211
V20	0	0	0.75844	0.2055	0.03607
V21	0.01911	0.24102	0.12886	0.14586	0.46515
V22	0.83027	0.06772	0.07357	0	0.02844
V23	0.06294	0	0.01452	0.12131	0.80122
V24	0.44222	0.1006	0.01979	0.03864	0.39876
V25	0.01633	0.01428	0.01027	0.38066	0.57845
V26	0.47199	0.18873	0.06515	0.03268	0.24145
V27	0.12482	0.48601	0.188	0.00656	0.19462
V28	0.02577	0.06902	0.21642	0.59689	0.0919
V29	0	0	0.3511	0.57693	0.07197
V30	0.74367	0.09126	0.03218	0.01291	0.11998
V31	0.42251	0.13111	0.01435	0.2114	0.22063
V32	0.93072	0	0.00819	0	0.06109
V33	0.01818	0.1762	0.01131	0.10585	0.68845
V34	0.12859	0.84118	0.01768	0.00746	0.00509
V35	0.10141	0.61229	0.26301	0.02013	0.00315
V36	0.02224	0.15302	0.16097	0.08364	0.58012
V37	0.73272	0	0	0.00461	0.26267
V38	0.1174	0.01309	0.49969	0.18289	0.18693
V39	0.32372	0.01322	0.33912	0.00703	0.31691
V40	0.22759	0.61378	0.0269	0.08821	0.04351
V41	0.06368	0.82722	0.02434	0.00704	0.07773
V42	0.87809	0.02042	0.02538	0	0.07611
V43	0.49645	0.11241	0.36973	0.00878	0.01264
V44	0.0343	0.27987	0.56231	0	0.12352
V45	0.0506	0.66888	0.10307	0.12209	0.05536
V46	0.12268	0.7548	0.07781	0.02478	0.01994
V47	0	0.02206	0.9588	0	0.01913
V48	0.16547	0.11674	0.23425	0.30826	0.17527
V49	0.48128	0.13157	0.24425	0.12093	0.02198
V50	0.01592	0.04134	0.93538	0	0.00736
V51	0.09895	0.24404	0.196	0.05815	0.40287
V52	0.06931	0.89561	0.01887	0.00995	0.00626
V53	0.02751	0.17942	0.00981	0.70481	0.07844
V54	0.20994	0	0.00806	0.52011	0.26189
