Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.35365	0.11032	0.25823	0.12528	0.15252
V2	0.09058	0.76298	0.04801	0.04672	0.0517
V3	0.06478	0	0.45968	0.41884	0.0567
V4	0.00279	0	0.23204	0.06397	0.7012
V5	0.00162	0	0.05242	0.10628	0.83968
V6	0.36177	0	0.28396	0.21739	0.13687
V7	0.00776	0	0.43456	0.07927	0.47841
V8	0.01026	0	0.90423	0.06413	0.02138
V9	0.04843	0	0.26635	0.61817	0.06705
V10	0.50131	0	0.46984	0	0.02886
V11	0.02769	0	0.10083	0.07545	0.79603
V12	0.07571	0	0.21996	0.29809	0.40624
V13	0.12876	0.03672	0.03457	0.40367	0.39627
V14	0.15502	0	0.06918	0.62606	0.14975
V15	0.01309	0.02027	0	0.85512	0.11152
V16	0.58414	0.07682	0.00775	0.29186	0.03943
V17	0.07089	0.24003	0.01211	0.06315	0.61382
V18	0.11193	0.40835	0.25638	0.18963	0.03371
V19	0.01795	0	0	0.1184	0.86365
V20	0	0	0.74349	0.2148	0.04171
V21	0.02904	0.24769	0.13008	0.15683	0.43635
V22	0.82608	0.08058	0.06186	0	0.03147
V23	0.07017	0.00305	0.01918	0.13689	0.77072
V24	0.46488	0.11967	0.015	0.04126	0.3592
V25	0.01518	0.01788	0.01228	0.40621	0.54845
V26	0.48916	0.2013	0.05671	0.03297	0.21986
V27	0.15067	0.48499	0.17715	0.00606	0.18114
V28	0.02726	0.05683	0.21078	0.6105	0.09464
V29	0	0	0.33495	0.58894	0.07611
V30	0.74484	0.10793	0.02338	0.01216	0.11169
V31	0.43229	0.14693	0.00743	0.2111	0.20224
V32	0.93158	0.00264	0.00405	0	0.06173
V33	0.02454	0.191	0.01266	0.1168	0.65502
V34	0.15134	0.82329	0.00599	0.00488	0.0145
V35	0.12819	0.59439	0.24617	0.01919	0.01205
V36	0.03167	0.15665	0.16749	0.09414	0.55006
V37	0.75237	0	0	0.00721	0.24042
V38	0.13047	0	0.4959	0.19402	0.17962
V39	0.35223	0.00388	0.33902	0.01023	0.29463
V40	0.24819	0.60564	0.0134	0.08512	0.04764
V41	0.08674	0.81784	0.01243	0.00468	0.07832
V42	0.87092	0.03861	0.01718	0	0.07329
V43	0.51748	0.10207	0.35175	0.00932	0.01939
V44	0.05763	0.25054	0.56905	0	0.12277
V45	0.07164	0.65883	0.0899	0.12054	0.05908
V46	0.14711	0.74098	0.06254	0.02223	0.02714
V47	0	0	0.97318	0	0.02682
V48	0.1787	0.11211	0.22669	0.31556	0.16694
V49	0.4944	0.13107	0.22706	0.11947	0.02801
V50	0.03003	0	0.95417	0	0.01581
V51	0.1187	0.24798	0.19497	0.06328	0.37508
V52	0.09062	0.87766	0.00868	0.00729	0.01575
V53	0.02684	0.1789	0.00576	0.70705	0.08146
V54	0.21508	0	0.00634	0.53199	0.24659
V55	0.06689	0	0	0.83503	0.09808
V56	0.06078	0	0	0.74086	0.19836
V57	0.18042	0.08399	0.58151	0.01929	0.13479
V58	0.05692	0	0.12732	0.20377	0.61199
V59	0.87579	0.01642	0.08636	0	0.02143
V60	0.44565	0.19748	0.12129	0.10875	0.12683
V61	0.1913	0	0.0232	0.21943	0.56607
V62	0.05693	0	0.30344	0.13967	0.49996
V63	0.41095	0.2539	0.05796	0.0298	0.24739
V64	0.93635	0.02021	0.01891	0	0.02454
V65	0.0844	0.07293	0.03684	0.5999	0.20593
V66	0.01537	0	0.13483	0.75823	0.09157
V67	0.00049	0	0.3382	0.10443	0.55688
V68	0.48785	0	0.39592	0.02307	0.09316
V69	0.62017	0.10353	0.19772	0.00647	0.07211
V70	0.09428	0.69727	0.03979	0.13138	0.03728
V71	0.12888	0.75937	0.03926	0.04964	0.02284
V72	0.05565	0.39075	0.02235	0.04213	0.48912
V73	0.04862	0	0.09925	0.56569	0.28644
V74	0.00468	0.05955	0.00557	0.76579	0.16441
V75	0.5034	0.16458	0.30711	0	0.0249
V76	0	0	0.01559	0.82794	0.15647
V77	0.01955	0	0.93174	0.0298	0.01891
V78	0.00271	0	0.96936	0	0.02793
V79	0.09767	0.39404	0.03776	0.13215	0.33838
V80	0.15316	0.71365	0.00172	0.04292	0.08856
V81	0.01182	0	0.97117	0	0.01702
V82	0.24682	0.16284	0.02639	0.50052	0.06344
V83	0.09618	0.07222	0.01845	0.52585	0.28731
V84	0.0952	0.15777	0.00314	0.06955	0.67434
V85	0.00027	0	0.97957	0	0.02017
V86	0.03687	0.23651	0.31175	0.3636	0.05127
V87	0.47585	0.00318	0.04101	0.41512	0.06484
V88	0.32019	0.15593	0.05028	0.1836	0.29001
V89	0.06472	0.04387	0.84604	0.02841	0.01695
V90	0.02223	0.16884	0.05522	0.11468	0.63904
V91	0	0	0.08016	0.82544	0.0944
V92	0.23898	0.02326	0.02444	0.06808	0.64524
V93	0.00773	0.06691	0.16745	0.50659	0.25132
V94	0.04018	0.16297	0.01985	0.23782	0.53918
V95	0.06849	0.22198	0.01972	0.11334	0.57647
V96	0.80229	0.00514	0.02344	0.01554	0.15359
V97	0.16012	0.01152	0.04217	0.1286	0.6576
V98	0.07371	0.36	0.17707	0.11811	0.27112
V99	0.52045	0.13571	0	0.19855	0.14529
V100	0.54487	0.15907	0.0479	0.04499	0.20317
V101	0.09857	0.86517	0.01518	0.00615	0.01492
V102	0.32911	0.23107	0.13332	0.09691	0.20959
V103	0.1152	0	0	0.07589	0.80891
V104	0.06712	0.39659	0.08111	0.04006	0.41512
V105	0.0051	0	0.03783	0.11493	0.84214
V106	0.08901	0.72832	0.13769	0.0042	0.04078
V107	0.07343	0.17096	0.69662	0.03574	0.02325
V108	0.03862	0.12536	0.82194	0	0.01408
V109	0.06562	0.20867	0.05499	0.26827	0.40245
V110	0.20645	0.49174	0.17755	0.09213	0.03213
V111	0.32061	0.19437	0.47606	0	0.00897
V112	0.17587	0	0.10177	0.46054	0.26182
V113	0.23602	0	0.0986	0.15848	0.5069
V114	0.58568	0.07107	0.04742	0.15544	0.14039
V115	0.87571	0	0.00154	9e-04	0.12185
V116	0.00574	0	0	0.09147	0.90279
V117	0.05279	0	0.83181	0.07058	0.04481
V118	0.03302	0	0	0.84768	0.1193
V119	0.35433	0	0.39971	0.21733	0.02863
V120	0.00397	0	0.83671	0.1008	0.05853
V121	0.21937	0.70256	0.00158	0.00662	0.06987
V122	0.05243	0.38236	0.08375	0.21885	0.26261
V123	0.50725	0.02891	0.07429	0.17868	0.21086
V124	0.21923	0.09942	0.06034	0.2197	0.40131
V125	0.07332	0.41865	0.48865	0	0.01937
V126	0.17007	0.16391	0.21904	0.11538	0.3316
V127	0.29701	0	0.64761	0.03397	0.02141
V128	0.22916	0.73466	0.0106	0	0.02558
V129	0.28492	0.00582	0.27509	0.16992	0.26425
V130	0.05513	0.50141	0.04023	0.20513	0.19809
V131	0.00403	0	0.23674	0.68364	0.07559
V132	0.35807	0.01001	0	0.32627	0.30565
V133	0.0102	0.0032	0.57936	0.09442	0.31282
V134	0.0797	0	0.8009	0.01748	0.10192
V135	0.03901	0.04299	0.76166	0.0234	0.13295
V136	0.95896	0.00721	0.00541	0	0.02842
V137	0.90064	0.03413	0.00318	0.01362	0.04843
V138	0.2583	0.1312	0.07752	0.13692	0.39606
V139	0.11519	0	0.15581	0.65109	0.07792
V140	0.01676	0	0.14606	0.07048	0.7667
V141	0.03842	0.17434	0.67262	0.08642	0.0282
V142	0.21508	0	0.32399	0.13109	0.32984
V143	0.033	0.15943	0.49875	0.13786	0.17095
V144	0.51929	0.21522	0.06547	0.10165	0.09837
V145	0.00151	0	0.95361	0.00784	0.03703
V146	0.04756	0.34702	0.00511	0.29374	0.30657
V147	0.1166	0.01047	0.72262	0.09613	0.05418
V148	0.18494	0.75383	0.00994	0.02297	0.02831
V149	9e-05	0.00165	0	0.84627	0.15199
V150	0.1726	0.14888	0.59513	0	0.08339
V151	0.44739	0.00415	0.00747	0.38119	0.15981
V152	0.00122	0	0.1119	0.7302	0.15667
V153	0.19684	0.14667	0.4674	0.04396	0.14513
V154	0.14504	0.5788	0.02225	0.03378	0.22014
V155	0.02632	0	0.13398	0.74921	0.09049
V156	0.105	0	0.4094	0.15504	0.33057
V157	0.09482	0.01759	0.172	0.28126	0.43434
V158	0.20119	0	0.44147	0.05105	0.30629
V159	0.12156	0.2283	0.01147	0.54445	0.09422
V160	0.46989	0.15129	0.0918	0.04269	0.24433
V161	0.21521	0.00149	0.05881	0.05579	0.6687
V162	0.0046	0	0.97687	0	0.01854
V163	0.04417	0	0.00748	0.1052	0.84315
V164	0.91387	0.05548	0.01176	0	0.01888
V165	0.61918	0.20787	0.07995	0.03457	0.05843
V166	0.0442	0	0.23998	0.56879	0.14702
V167	0.06906	0.63308	0.01667	0.11721	0.16399
V168	0.0046	0	0.97687	0	0.01854
V169	0.093	0.66401	0.14803	0.06434	0.03062
V170	0.26524	0.38075	0.05278	0.16913	0.1321
V171	0.34045	0.05072	0.37338	0.16132	0.07413
V172	0.19078	0.21157	0.06875	0.04982	0.47907
V173	0.22232	0.09212	0.09045	0.38286	0.21225
V174	0.21709	0	0.35113	0.19526	0.23653
V175	0.08111	0.12822	0.11945	0.18899	0.48224
V176	0.38453	0.00654	0.00113	0.54479	0.063
V177	0.21716	0	0.59135	0.15975	0.03174
V178	0.31181	0	0.47798	0.10401	0.1062
V179	0.09059	0	0.00172	0.07836	0.82932
V180	0.02185	0	0.34509	0.04823	0.58483
V181	0.07391	0.26993	0	0.0893	0.56685
V182	0.56979	0.23232	0.0015	0.13417	0.06222
V183	0.10802	0.86226	0.00765	0.00036	0.02171
V184	0.3377	0	0.29892	0.30214	0.06124
V185	0.12633	0.47629	0.02127	0.1346	0.24152
V186	0.14161	0.17591	0.02658	0.24767	0.40823
V187	0.11127	0.67614	0.00168	0.17599	0.03492
V188	0.84884	0.02714	0.03146	0.06428	0.02828
V189	0.47087	0.24072	0.03306	0.21738	0.03797
V190	0.43735	0.042	0.21771	0.02304	0.2799
V191	0.22785	0.22591	0.00141	0.38602	0.15881
V192	0.34109	0.17991	0.12525	0.19539	0.15837
V193	0.09286	0.16604	0.53426	0.04089	0.16594
V194	0.27181	0.03214	0.08561	0.12194	0.4885
V195	0.59689	0.15339	0.2322	0	0.01752
V196	0	0	0.04979	0.10682	0.84339
V197	0.10576	0.83972	0.00548	0.02598	0.02306
V198	0.2412	0.21973	0.03417	0.19616	0.30874
V199	0.78194	0	0.20878	0	0.00929
V200	0.76888	0	0.02644	0.01858	0.18609
V201	0.02577	0	0.01621	0.68751	0.2705
V202	0.90789	0.06489	0	0	0.02722
V203	0.53932	0.25021	0.02418	0.0459	0.14039
V204	0.34537	0.06639	0.03138	0.03703	0.51983
V205	0.11524	0.00704	0.11726	0.11198	0.64848
V206	0.04172	0.1013	0	0.7362	0.12078
V207	0.01309	0.02027	0	0.85512	0.11152
V208	0.18712	0.1797	0.48649	0.03993	0.10677
V209	0.15922	0	0.09566	0.07987	0.66525
V210	0	0	0.9717	0	0.0283
V211	0.16114	0	0.20189	0.06692	0.57005
V212	0.09851	0.7317	0.07118	0.03363	0.06497
V213	0.09082	0	0.0535	0.27067	0.58502
V214	0.06125	0.52021	0.37473	0.00854	0.03527
V215	0.26726	0.20706	0.13416	0.08468	0.30684
V216	0.06133	0	0.33673	0.07379	0.52814
V217	0	0	0.02107	0.79799	0.18094
V218	0.08739	0.16754	0.29338	0.32222	0.12947
V219	0.15649	0.24414	0.39093	0.17621	0.03224
V220	0.22069	0.70575	0.05454	0.00053	0.01849
V221	0.05558	0.01542	0.51602	0.03229	0.38069
V222	0.01449	0	0.00168	0.09591	0.88793
V223	0.55312	0	0.31131	0.10119	0.03438
V224	0.06976	0.537	0.02361	0.08628	0.28334
V225	0.71339	0.1522	0.11879	0	0.01562
V226	0.46607	0.51487	0	0	0.01906
V227	0.10311	0.27111	0.00395	0.52855	0.09328
V228	0.61879	1e-05	0.27198	0.05502	0.0542
V229	0.30017	0.3728	0.25308	0.03152	0.04242
V230	0.01151	0	0	0.09641	0.89208
V231	0.09567	0.59677	0.05637	0.1493	0.1019
V232	0.81387	0	0.17498	0	0.01115
V233	0.05729	0	0.14662	0.13228	0.66381
V234	0.03951	0.3681	0.21214	0.31667	0.06359
