Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.33534	0.14136	0.2666	0.10491	0.15179
V2	0.05803	0.8144	0.03652	0.04492	0.04613
V3	0.06944	0	0.5115	0.3969	0.02216
V4	0.0055	0	0.22497	0.03622	0.7333
V5	0.00464	0	0.04811	0.07473	0.87252
V6	0.35412	0.02445	0.30328	0.19076	0.12739
V7	0.00676	0.01377	0.42179	0.05445	0.50323
V8	0.00818	0	0.93409	0.05772	0
V9	0.05591	0	0.3145	0.60508	0.02451
V10	0.47931	0.00458	0.50708	0	0.00903
V11	0.02643	0.00807	0.09285	0.04679	0.82586
V12	0.07714	0	0.23474	0.25538	0.43274
V13	0.12737	0.04983	0.03306	0.36226	0.42748
V14	0.17018	0	0.08253	0.61664	0.13065
V15	0.01663	0.025	0	0.89247	0.06591
V16	0.6127	0.10255	0	0.2792	0.00556
V17	0.0574	0.24014	0.00216	0.03901	0.66129
V18	0.09155	0.45217	0.26878	0.17497	0.01253
V19	0.01792	0	0	0.08402	0.89806
V20	0	0	0.78772	0.19783	0.01446
V21	0.0186	0.25729	0.12519	0.12698	0.47194
V22	0.84146	0.08707	0.06071	0	0.01076
V23	0.0654	0.01121	0.01305	0.09974	0.81059
V24	0.4355	0.14064	0.00377	0.02085	0.39924
V25	0.01724	0.02524	0.00817	0.35787	0.59148
V26	0.46882	0.22244	0.04986	0.02044	0.23844
V27	0.12139	0.50792	0.17447	0.00046	0.19576
V28	0.02893	0.07803	0.24039	0.59353	0.05912
V29	0	0	0.38712	0.57704	0.03584
V30	0.75216	0.11989	0.01481	0.00312	0.11001
V31	0.42458	0.17586	0	0.1884	0.21116
V32	0.95488	0.00259	0	0	0.04253
V33	0.01761	0.19142	0.00383	0.08661	0.70053
V34	0.11979	0.87518	0	0.0044	0.00063
V35	0.09727	0.63764	0.24777	0.01732	0
V36	0.02379	0.16239	0.16089	0.0649	0.58803
V37	0.74458	0	0	0	0.25542
V38	0.12753	0.00315	0.52169	0.16855	0.17907
V39	0.32097	0.02682	0.34228	0	0.30993
V40	0.22403	0.65965	0	0.07958	0.03674
V41	0.0542	0.86239	0	0.00373	0.07968
V42	0.88797	0.04128	0.0103	0	0.06045
V43	0.49962	0.11812	0.3782	0.00406	0
V44	0.03942	0.27749	0.56285	0	0.12024
V45	0.04275	0.70708	0.08603	0.11437	0.04978
V46	0.116	0.7951	0.05081	0.02135	0.01674
V47	0	0	0.99505	0	0.00495
V48	0.17267	0.13648	0.24395	0.28545	0.16145
V49	0.48661	0.16019	0.24204	0.10611	0.00505
V50	0.02406	0	0.97594	0	0
V51	0.09948	0.26566	0.1894	0.04279	0.40268
V52	0.05811	0.93269	0	0.00715	0.00205
V53	0.02533	0.21212	0.00109	0.72253	0.03893
V54	0.22822	0	0.00641	0.51136	0.25401
V55	0.07806	0	0	0.87203	0.04992
V56	0.06986	0	0	0.74376	0.18639
V57	0.16103	0.109	0.58544	0.01174	0.13278
V58	0.0565	0	0.13015	0.16015	0.65321
V59	0.89026	0.02033	0.0894	0	0
V60	0.42876	0.22971	0.12251	0.09323	0.12579
V61	0.18164	0.00426	0.02023	0.17591	0.61796
V62	0.05436	0.00586	0.30318	0.10585	0.53075
V63	0.38332	0.27901	0.04954	0.01722	0.27092
V64	0.96616	0.02147	0.01237	0	0
V65	0.08828	0.09164	0.03836	0.57895	0.20276
V66	0.02309	0	0.16267	0.76589	0.04835
V67	0.00355	0	0.3322	0.07421	0.59003
V68	0.47166	0	0.43031	0.01435	0.08368
V69	0.61193	0.11777	0.20796	0	0.06234
