Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.30131	0.20661	0.2583	0.06992	0.16387
V2	0.04011	0.84106	0.03051	0.03245	0.05586
V3	0.08012	0.01817	0.54623	0.34576	0.00971
V4	0.00665	0	0.22153	0	0.77182
V5	0.00156	0	0.04965	0.01988	0.92891
V6	0.32165	0.10832	0.29785	0.13994	0.13224
V7	0.01142	0.02238	0.41101	0.01931	0.53588
V8	0.02412	0	0.93473	0.04115	0
V9	0.06832	0.00238	0.36947	0.55458	0.00525
V10	0.42507	0.0713	0.49554	0	0.00809
V11	0.02366	0.01106	0.09307	0	0.87221
V12	0.07701	0.01611	0.24889	0.19028	0.4677
V13	0.12336	0.07117	0.03543	0.29153	0.47851
V14	0.18164	0.02386	0.09761	0.55768	0.13922
V15	0.01751	0.02677	0	0.91216	0.04356
V16	0.57935	0.19802	0	0.22264	0
V17	0.04528	0.2327	0	0	0.72202
V18	0.08597	0.47345	0.28396	0.14842	0.0082
V19	0.01357	0	0	0.02549	0.96094
V20	0.00882	0	0.81895	0.16647	0.00576
V21	0.01189	0.24868	0.13306	0.08496	0.52142
V22	0.7785	0.15851	0.05026	0	0.01273
V23	0.05778	0.01843	0.01371	0.0413	0.86878
V24	0.3709	0.20426	0	0	0.42484
V25	0.0152	0.02571	0.0103	0.28467	0.66411
V26	0.4307	0.26523	0.04303	0	0.26103
V27	0.10539	0.49549	0.1762	0	0.22292
V28	0.03315	0.09516	0.27986	0.54317	0.04865
V29	0	0	0.44663	0.53411	0.01926
V30	0.69279	0.18953	0.00129	0	0.1164
V31	0.38165	0.25185	0	0.13854	0.22796
V32	0.83439	0.12193	0	0	0.04367
V33	0.01022	0.18315	0.00275	0.03779	0.7661
V34	0.09793	0.90207	0	0	0
V35	0.0826	0.65965	0.24896	0.00879	0
V36	0.01899	0.15547	0.16489	0.02142	0.63924
V37	0.67097	0.0615	0	0	0.26753
V38	0.13032	0.02501	0.52358	0.12454	0.19656
V39	0.27348	0.09297	0.32227	0	0.31128
V40	0.20277	0.69497	0	0.06156	0.0407
V41	0.03391	0.87342	0	0	0.09266
V42	0.80674	0.12841	0	0	0.06484
V43	0.4604	0.15967	0.37993	0	0
V44	0.04007	0.28431	0.54441	0	0.13121
V45	0.03017	0.72042	0.0924	0.09814	0.05887
V46	0.09539	0.8324	0.04105	0.01188	0.01929
V47	0.01104	0	0.98851	0	0.00044
V48	0.16708	0.16997	0.25838	0.22753	0.17704
V49	0.45546	0.22252	0.24157	0.07976	0.00069
V50	0.03865	0.00476	0.95659	0	0
V51	0.08667	0.28129	0.18879	0.01219	0.43106
V52	0.0368	0.96179	0	0	0.00141
V53	0.02258	0.2451	6e-05	0.71462	0.01764
V54	0.23321	0.03189	0.00535	0.44168	0.28788
V55	0.08882	0.00741	0	0.88033	0.02344
V56	0.07734	0	0.00321	0.71005	0.20939
V57	0.1536	0.13584	0.56691	0	0.14365
V58	0.05478	0	0.13881	0.09735	0.70906
V59	0.80915	0.11233	0.07852	0	0
V60	0.39	0.2879	0.11911	0.06339	0.13961
V61	0.16648	0.02803	0.01939	0.10786	0.67825
V62	0.05269	0.02139	0.30109	0.05825	0.56659
V63	0.34176	0.31734	0.04301	0	0.29788
V64	0.86539	0.13461	0	0	0
V65	0.09056	0.11448	0.04443	0.51851	0.23201
V66	0.02951	0	0.20071	0.74096	0.02882
V67	0.00779	0	0.3265	0.02974	0.63597
V68	0.41977	0.07475	0.4201	6e-04	0.08477
V69	0.56768	0.1656	0.20229	0	0.06443
V70	0.05024	0.80094	0.01902	0.10705	0.02274
V71	0.07899	0.86042	0.01386	0.03635	0.01039
V72	0.02511	0.38096	0.00428	0	0.58965
V73	0.06131	0.00238	0.13139	0.46441	0.34051
V74	0.00529	0.08041	0.00495	0.75767	0.15168
V75	0.45156	0.21135	0.33266	0	0.00442
V76	0	0	0.02213	0.85092	0.12695
V77	0.03111	0	0.95399	0.0149	0
V78	0.01637	0	0.98204	0	0.00159
V79	0.06614	0.42314	0.02265	0.07374	0.41432
V80	0.10059	0.76925	0	0.02288	0.10728
V81	0.0212	0	0.9788	0	0
V82	0.25916	0.27187	0.01834	0.43606	0.01456
V83	0.09733	0.10906	0.01786	0.42512	0.35062
V84	0.06855	0.15513	0	0	0.77632
V85	0.01077	0	0.98923	0	0
V86	0.02365	0.28496	0.37192	0.30713	0.01233
V87	0.4719	0.14611	0.03195	0.33118	0.01885
V88	0.27436	0.24761	0.03526	0.10475	0.33802
V89	0.05865	0.08085	0.84762	0.01287	0
V90	0.00976	0.16611	0.04683	0.03572	0.74159
V91	0.00067	0	0.12263	0.85551	0.02119
V92	0.18644	0.06256	0.01362	0	0.73738
V93	0.00952	0.09288	0.20305	0.4033	0.29125
V94	0.02754	0.17189	0.01226	0.1394	0.6489
V95	0.04569	0.22209	0.00861	0.03584	0.68777
V96	0.7405	0.08367	0.00455	0	0.17128
V97	0.13109	0.04185	0.03548	0.03641	0.75516
V98	0.04584	0.38523	0.18207	0.06203	0.32483
V99	0.47431	0.24126	0	0.13116	0.15327
V100	0.49817	0.22271	0.03298	0.00781	0.23834
V101	0.04595	0.95297	0	0	0.00108
V102	0.27537	0.30628	0.12904	0.04788	0.24143
V103	0.09469	0	0	0	0.90531
V104	0.03702	0.40354	0.06712	0	0.49232
V105	0.00571	0	0.03365	0.02592	0.93471
V106	0.03893	0.78722	0.13409	0	0.03975
V107	0.05995	0.20802	0.70918	0.02007	0.00278
V108	0.0317	0.14626	0.82204	0	0
