Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.30365	0.19776	0.24022	0.17407	0.0843
V2	0.05473	0.85906	0.0061	0.01864	0.06148
V3	0.02786	0.06704	0.42926	0.45674	0.0191
V4	0	0.09808	0.26452	0.17176	0.46564
V5	0.00207	0.08852	0.06673	0.24671	0.59597
V6	0.30217	0.09432	0.26279	0.2716	0.06912
V7	0	0.10995	0.44417	0.16234	0.28355
V8	0	0.07622	0.84234	0.08144	0
V9	0.02489	0.03326	0.25374	0.65099	0.03713
V10	0.45572	0.07923	0.46505	0	0
V11	0.02276	0.11347	0.11676	0.19814	0.54888
V12	0.06133	0.0778	0.22518	0.38563	0.25005
V13	0.1235	0.09734	0.0206	0.50129	0.25726
V14	0.14112	0.0293	0.05193	0.68402	0.09363
V15	0	0.00771	0	0.91864	0.07364
V16	0.58351	0.0875	0	0.31974	0.00925
V17	0.06907	0.33836	0	0.14695	0.44561
V18	0.06882	0.45465	0.23845	0.21282	0.02525
V19	0.01884	0.0908	0	0.26173	0.62864
V20	0	0.04905	0.70215	0.24881	0
V21	0.0109	0.32664	0.12842	0.23359	0.30045
V22	0.88875	0.11125	0	0	0
V23	0.07375	0.10206	0.01667	0.26897	0.53855
V24	0.48704	0.18744	0	0.08836	0.23716
V25	0.01096	0.07871	0.00138	0.53623	0.37272
V26	0.50953	0.27284	0.01637	0.06354	0.13772
V27	0.12005	0.56576	0.16673	0.01649	0.13097
V28	0.00339	0.09938	0.19268	0.64565	0.0589
V29	0	0.0173	0.31852	0.62941	0.03477
V30	0.80407	0.13965	0	0.01673	0.03954
V31	0.42094	0.18604	0	0.26281	0.13021
V32	1	0	0	0	0
V33	0.01864	0.28649	0.00225	0.22027	0.47234
V34	0.11925	0.87275	0	0	0.00801
V35	0.07794	0.67352	0.22971	0.00233	0.01651
V36	0.01414	0.25687	0.17719	0.17899	0.37281
V37	0.84377	0.00691	0	0.02533	0.12399
V38	0.08814	0.09672	0.47322	0.2539	0.08803
V39	0.30774	0.12179	0.34066	0.06847	0.16134
V40	0.229	0.64277	0	0.07766	0.05057
V41	0.05328	0.88725	0	0	0.05947
V42	0.95035	0.04965	0	0	0
V43	0.48411	0.17662	0.33238	0.00689	0
V44	0	0.35918	0.56111	0.02179	0.05792
V45	0.03545	0.72359	0.06249	0.12048	0.05798
V46	0.11643	0.82976	0.01878	0	0.03503
V47	0	0.06965	0.92532	0.00503	0
V48	0.14933	0.17548	0.21028	0.36644	0.09847
V49	0.46121	0.20006	0.19594	0.14279	0
V50	0	0.09441	0.90559	0	0
V51	0.09856	0.33634	0.195	0.12297	0.24712
V52	0.05347	0.93685	0	0	0.00968
V53	0.01039	0.16575	0	0.76293	0.06093
V54	0.20484	0.02523	0	0.61326	0.15667
V55	0.04562	0	0	0.8913	0.06308
V56	0.05133	0	0	0.8207	0.12797
V57	0.1158	0.20335	0.5637	0.05933	0.05782
V58	0.05799	0.06674	0.14697	0.32333	0.40497
V59	0.92605	0.05446	0.01949	0	0
V60	0.42513	0.26396	0.0908	0.14407	0.07604
V61	0.19476	0.07987	0.01186	0.33425	0.37927
V62	0.03639	0.10317	0.31754	0.23465	0.30825
V63	0.41439	0.33518	0.02188	0.06329	0.16526
V64	1	0	0	0	0
V65	0.07184	0.10658	0.01659	0.668	0.13699
V66	0.0011	0.01783	0.11857	0.80455	0.05796
V67	0	0.0893	0.36083	0.20181	0.34806
V68	0.45061	0.07732	0.39635	0.0553	0.02041
V69	0.62976	0.17327	0.16306	0.02014	0.01377
V70	0.06267	0.76625	0	0.12505	0.04604
V71	0.09676	0.84719	0	0.01682	0.03922
V72	0.0488	0.48991	0	0.0919	0.3694
V73	0.04226	0.03592	0.09189	0.64781	0.18213
V74	0	0.05829	0	0.83405	0.10766
V75	0.47988	0.23175	0.28837	0	0
V76	0	0	0	0.90036	0.09964
V77	0	0.07327	0.88085	0.04588	0
V78	0	0.0781	0.90824	0.01366	0
V79	0.08938	0.46445	0.0154	0.18369	0.24707
V80	0.12827	0.76948	0	0.01696	0.0853
V81	0	0.0725	0.92695	0.00055	0
V82	0.22401	0.18213	0	0.54554	0.04832
V83	0.08984	0.11034	0	0.60814	0.19169
V84	0.09777	0.25167	0	0.16713	0.48343
V85	0	0.06806	0.92265	0.00928	0
V86	0	0.28076	0.28996	0.39786	0.03142
V87	0.45351	0.05047	0	0.46191	0.03411
V88	0.30916	0.22459	0.02563	0.24999	0.19063
V89	0	0.17016	0.7894	0.04043	0
V90	0.01377	0.26654	0.05336	0.21536	0.45097
V91	0	0.00472	0.05865	0.87771	0.05892
V92	0.25061	0.12516	0.00994	0.17136	0.44294
V93	0	0.11424	0.15609	0.57044	0.15923
V94	0.03741	0.2363	0.00757	0.34316	0.37556
V95	0.06438	0.31405	0.00503	0.20452	0.41201
V96	0.87299	0.03522	0	0.0309	0.06089
V97	0.16575	0.11096	0.03717	0.24254	0.44359
V98	0.04697	0.43209	0.17116	0.16345	0.18633
V99	0.51936	0.15771	0	0.23731	0.08563
V100	0.57264	0.22802	0.00198	0.07557	0.12178
V101	0.06163	0.92858	0	0	0.00979
V102	0.30245	0.30461	0.11523	0.14316	0.13456
V103	0.13432	0.07447	0	0.20531	0.5859
V104	0.05429	0.49183	0.06896	0.08165	0.30327
V105	0.0045	0.09733	0.04515	0.25607	0.59695
V106	0.04652	0.81218	0.10896	0	0.03234
V107	0	0.28457	0.6658	0.04963	0
V108	0	0.22343	0.77657	0	0
V109	0.0582	0.27095	0.04063	0.35408	0.27614
