Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V1	0.3603	0.10173	0.24562	0.11975	0.17261
V2	0.04429	0.79563	0.04324	0.03483	0.08201
V3	0.08216	0	0.41389	0.43003	0.07391
V4	0.01746	0	0.23393	0.02443	0.72418
V5	0.02011	0	0.04902	0.06968	0.86119
V6	0.37039	0	0.26242	0.21845	0.14874
V7	0.01651	0.01385	0.42317	0.05346	0.49302
V8	0.01562	0.03194	0.81847	0.05824	0.07573
V9	0.0731	0	0.23137	0.62727	0.06826
V10	0.48774	0.00862	0.43608	0	0.06756
V11	0.04485	0	0.0976	0.03384	0.82371
V12	0.09701	0	0.20829	0.29955	0.39515
V13	0.15853	0.00643	0.02899	0.42593	0.38012
V14	0.17632	0	0.05251	0.6402	0.13097
V15	0.04852	0	0	0.85689	0.09459
V16	0.59139	0.0426	0.00331	0.30938	0.05332
V17	0.07521	0.24226	0.00803	0.03	0.6445
V18	0.0894	0.41365	0.2382	0.19715	0.0616
V19	0.03738	0	0	0.08449	0.87814
V20	0.01006	0	0.685	0.22266	0.08227
V21	0.02846	0.25077	0.1246	0.14724	0.44892
V22	0.82133	0.06376	0.05372	0	0.06118
V23	0.09336	0	0.01127	0.10917	0.7862
V24	0.49502	0.09614	0.0115	0.01514	0.3822
V25	0.04314	0	0.00551	0.42741	0.52394
V26	0.50529	0.18805	0.05241	0.01199	0.24226
V27	0.1198	0.50328	0.16938	0	0.20754
V28	0.05157	0.04111	0.18379	0.63006	0.09347
V29	0.02006	0	0.29698	0.60255	0.08042
V30	0.7598	0.0875	0.01872	0	0.13397
V31	0.45216	0.11722	0.00338	0.21731	0.20993
V32	0.91556	0	0	0	0.08444
V33	0.03228	0.18748	0.0088	0.09306	0.67838
V34	0.10145	0.84856	0.00105	0	0.04895
V35	0.08608	0.62566	0.23229	0.00547	0.0505
V36	0.03625	0.159	0.16485	0.06823	0.57167
V37	0.75616	0	0	0	0.24384
V38	0.14351	0	0.46677	0.19281	0.19691
V39	0.36007	0.00266	0.32369	0	0.31357
V40	0.21718	0.61861	0.01022	0.07989	0.0741
V41	0.03614	0.84845	0.00789	0	0.10751
V42	0.87462	0.01723	0.01157	0	0.09658
V43	0.50649	0.10905	0.32838	0	0.05608
V44	0.03235	0.28814	0.52315	0	0.15637
V45	0.0329	0.67903	0.08279	0.12017	0.08511
V46	0.10098	0.77345	0.05744	0.00735	0.06078
V47	0.00306	0.03972	0.86863	0	0.08859
V48	0.18918	0.09877	0.2098	0.32884	0.1734
V49	0.49019	0.12207	0.21148	0.11956	0.0567
V50	0.02485	0.05492	0.84416	0	0.07606
V51	0.11437	0.25584	0.19107	0.04048	0.39824
V52	0.039	0.90661	0.00269	0	0.05169
V53	0.04964	0.14205	0	0.73271	0.0756
V54	0.23532	0	0	0.54546	0.21922
V55	0.09242	0	0	0.82808	0.0795
V56	0.08871	0	0	0.74668	0.16462
V57	0.17071	0.11516	0.54483	0.00049	0.16881
V58	0.08078	0	0.12295	0.18922	0.60706
V59	0.87128	0.00112	0.07659	0	0.05101
V60	0.45012	0.18327	0.11454	0.10373	0.14835
V61	0.21884	0	0.01324	0.21044	0.55747
V62	0.07356	0	0.29749	0.12097	0.50798
V63	0.4216	0.24636	0.05373	0.00704	0.27127
V64	0.92696	0.00515	0.01341	0	0.05448
V65	0.11106	0.04079	0.029	0.63006	0.18909
V66	0.04561	0	0.10947	0.76384	0.08107
V67	0.0158	0	0.33618	0.0783	0.56972
V68	0.49472	0	0.377	0.006	0.12228
V69	0.61864	0.09587	0.1851	0	0.1004
V70	0.05436	0.71371	0.0347	0.13336	0.06386
V71	0.08261	0.78783	0.03504	0.0395	0.05501
V72	0.04266	0.41031	0.01822	0.01085	0.51796
V73	0.07602	0	0.08343	0.58412	0.25643
V74	0.03954	0.02671	0.00059	0.78896	0.1442
V75	0.48593	0.16886	0.28546	0	0.05975
V76	0.0319	0	0.00424	0.83277	0.13109
V77	0.0256	0.02688	0.84852	0.02183	0.07716
V78	0.0033	0.04676	0.8624	0	0.08754
V79	0.0858	0.40272	0.03289	0.12413	0.35446
V80	0.11414	0.74141	0	0.02854	0.11592
V81	0.01435	0.0398	0.86635	0	0.0795
V82	0.25652	0.12697	0.01931	0.52892	0.06828
V83	0.12344	0.04016	0.01269	0.55596	0.26775
V84	0.11037	0.14884	0	0.03491	0.70587
V85	0.00381	0.04111	0.87296	0	0.08212
V86	0.03583	0.23352	0.28009	0.37975	0.07081
V87	0.47725	0	0.02704	0.42815	0.06756
V88	0.33997	0.13227	0.045	0.1835	0.29925
V89	0.04898	0.11178	0.75262	0.01718	0.06944
V90	0.03022	0.1654	0.05191	0.09026	0.6622
V91	0.02991	0	0.06066	0.82857	0.08086
V92	0.27582	0	0.02023	0.03385	0.67011
V93	0.03155	0.05087	0.15015	0.52982	0.23762
V94	0.05449	0.14776	0.01515	0.23991	0.54268
V95	0.07515	0.21882	0.01562	0.09215	0.59826
V96	0.81743	0	0.01415	0	0.16842
V97	0.18958	0	0.0358	0.10411	0.67051
V98	0.05905	0.37251	0.17022	0.10874	0.28948
V99	0.53624	0.10457	0	0.20381	0.15539
V100	0.5657	0.14043	0.043	0.02684	0.22402
V101	0.04693	0.89385	0.00897	0	0.05024
V102	0.33452	0.22179	0.12716	0.08701	0.22951
V103	0.14248	0	0	0.03168	0.82585
V104	0.05044	0.41849	0.07712	0.01153	0.44242
V105	0.02326	0	0.03231	0.08115	0.86328
V106	0.03933	0.75901	0.12812	0	0.07353
V107	0.05238	0.22188	0.63063	0.02448	0.07063
V108	0.01734	0.19094	0.72341	0	0.06831
V109	0.07516	0.19534	0.04864	0.27745	0.40342
V110	0.17595	0.50449	0.16807	0.08876	0.06273
V111	0.29364	0.21676	0.43865	0	0.05095
V112	0.19935	0	0.08756	0.4728	0.24029
V113	0.26336	0	0.09042	0.14018	0.50604
V114	0.60775	0.04174	0.04129	0.15572	0.15351
V115	0.8656	0	0	0	0.1344
V116	0.02604	0	0	0.05149	0.92247
V117	0.0592	0.01542	0.76913	0.06425	0.092
V118	0.06265	0	0	0.83964	0.09771
V119	0.35556	0	0.36674	0.22247	0.05523
V120	0.01664	0.00806	0.77357	0.09745	0.1043
V121	0.17806	0.7238	0	0	0.09814
V122	0.04241	0.38409	0.07626	0.22494	0.2723
V123	0.53599	0	0.06765	0.17797	0.2184
V124	0.24341	0.07554	0.05479	0.22104	0.40523
V125	0.03651	0.45423	0.44656	0	0.0627
V126	0.17603	0.16073	0.21254	0.10265	0.34805
V127	0.29943	0	0.61311	0.02305	0.06441
V128	0.18355	0.75362	0.00522	0	0.05761
V129	0.30202	0	0.26179	0.16339	0.2728
V130	0.0349	0.50687	0.03421	0.21261	0.21141
V131	0.03401	0	0.20202	0.69083	0.07314
V132	0.37809	0	0	0.33238	0.28953
V133	0.01335	0.03586	0.54178	0.0781	0.33091
V134	0.08182	0.0226	0.74865	0.0022	0.14473
V135	0.02843	0.10026	0.69488	0.00616	0.17027
V136	0.94237	0	0	0	0.05763
V137	0.9104	0.01434	0	0	0.07526
V138	0.27879	0.11238	0.0728	0.12592	0.41012
V139	0.13687	0	0.13156	0.66025	0.07132
V140	0.03501	0	0.14868	0.02823	0.78808
V141	0.02174	0.22039	0.60576	0.08026	0.07185
V142	0.23502	0	0.31521	0.11456	0.33521
V143	0.0271	0.18326	0.46373	0.13185	0.19406
V144	0.5243	0.19828	0.0599	0.0976	0.11992
V145	0.00376	0.04321	0.85836	0	0.09468
V146	0.04609	0.33798	9e-05	0.30878	0.30706
V147	0.10882	0.05593	0.65245	0.08933	0.09347
V148	0.14176	0.78283	0.0061	0.00813	0.06118
V149	0.03444	0	0	0.83939	0.12617
V150	0.15077	0.18185	0.54723	0	0.12016
V151	0.45701	0	0	0.39145	0.15155
V152	0.03458	0	0.09146	0.73924	0.13472
V153	0.18834	0.16661	0.44167	0.02795	0.17544
V154	0.11628	0.60562	0.01869	0.01306	0.24636
V155	0.05542	0	0.10892	0.75566	0.08001
V156	0.12024	0	0.39396	0.14486	0.34094
V157	0.11787	0.00128	0.16428	0.28583	0.43075
V158	0.21782	0	0.43127	0.02699	0.32393
V159	0.13164	0.19391	0.00523	0.5756	0.09362
V160	0.48999	0.13479	0.08716	0.02215	0.26591
V161	0.24529	0	0.05133	0.01548	0.6879
V162	0.00422	0.05257	0.86235	0	0.08085
V163	0.06638	0	0.00123	0.06734	0.86505
V164	0.90459	0.04032	0.00689	0	0.0482
V165	0.62193	0.19647	0.07417	0.02194	0.0855
V166	0.07065	0	0.21332	0.58053	0.1355
V167	0.03574	0.65399	0.0125	0.11326	0.18452
V168	0.00422	0.05257	0.86235	0	0.08085
V169	0.04959	0.69101	0.1396	0.05683	0.06297
V170	0.25667	0.3743	0.04647	0.17362	0.14894
V171	0.34148	0.05031	0.34794	0.16149	0.09877
V172	0.20113	0.20577	0.06523	0.02018	0.5077
V173	0.24168	0.0658	0.08045	0.40361	0.20846
V174	0.23461	0	0.3353	0.1885	0.24159
V175	0.09467	0.11734	0.11436	0.18263	0.491
V176	0.3851	0	0	0.55476	0.06014
V177	0.21982	0.00848	0.54406	0.16052	0.06712
V178	0.31295	0.01071	0.44658	0.09668	0.13308
V179	0.11408	0	0	0.03518	0.85074
V180	0.03597	0	0.34628	0.0121	0.60566
V181	0.07578	0.27174	0	0.06364	0.58885
V182	0.57158	0.21089	0	0.13566	0.08188
V183	0.05589	0.88655	0.00159	0	0.05597
V184	0.34332	0	0.27251	0.30904	0.07514
V185	0.10817	0.48618	0.017	0.13084	0.25781
V186	0.15765	0.1564	0.02126	0.25412	0.41057
V187	0.0759	0.68182	0	0.18326	0.05902
V188	0.85872	0.00422	0.02565	0.05721	0.0542
V189	0.46876	0.21589	0.02746	0.23038	0.05751
V190	0.4571	0.03015	0.21098	0	0.30177
V191	0.23678	0.19461	0	0.41031	0.1583
