Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.08266	0.04652	0.87081	0	0	0
V2	0.67907	0.16393	0	0.08015	0.07684	0
V3	0.03474	0.05212	0.19719	0	0	0.71595
V4	0.26853	0.54007	0	0.10038	0.05037	0.04065
V5	0	0.05143	0	0.71283	0.23574	0
V6	0.15076	0.02492	0.16935	0.02899	0.1135	0.51247
V7	0	0.44673	0	0.02629	0.52698	0
V8	0.83343	0.09574	0	0.07083	0	0
V9	0.26682	0.19006	0	0.297	0	0.24611
V10	0.53146	0.08779	0.00512	0.37563	0	0
V11	0.02307	0.97155	0.00327	0.00212	0	0
V12	0	0	0	0	0	1
V13	0.01813	0.60106	0.38081	0	0	0
V14	0	0.05874	0	0.94126	0	0
V15	0.597	0.11515	0	0.11172	0.17613	0
V16	0	0.02988	0	0.51107	0.34368	0.11537
V17	0	0.00776	0.12073	0	0	0.87151
V18	0.81991	0.18009	0	0	0	0
V19	0.69493	0.09957	0.15257	0	0.05294	0
V20	0.76536	0.11008	0.04264	0.08193	0	0
V21	0	0.01694	0	0	0	0.98306
V22	0.21936	0.08296	0	0.08164	0.61605	0
V23	0.04663	0.04583	0.35373	0.01357	0.54024	0
V24	0.17566	0.04044	0	0.14326	0.64064	0
V25	0.547	0.31942	0	0.13358	0	0
V26	0.31991	0.05719	0	0	0.6229	0
V27	0	0	0.16062	0	0	0.83938
V28	0.03282	0.29564	0.17452	0.29029	0	0.20674
V29	0	0.73013	0.10194	0.05187	0	0.11606
V30	0.25765	0.23484	0.09325	0	0.20927	0.205
V31	0.78115	0.07028	0.14858	0	0	0
V32	0	0.03521	0.37279	0.592	0	0
V33	0.28504	0.45542	0.25954	0	0	0
V34	0	0.01853	0.56629	0.02107	0.3941	0
V35	0	0.07256	0.18363	0.65319	0.09062	0
V36	0.06892	0.59385	0.12635	0.00837	0.20252	0
V37	0.00669	0.02852	0.85616	0	0	0.10863
V38	0	0	0.10342	0	0	0.89658
V39	0.65437	0.08764	0	0.25799	0	0
V40	0	0.61209	0	0.22365	0.0804	0.08386
V41	0.83515	0.05272	0	0	0	0.11213
V42	0.30992	0.04493	0.60839	0	0	0.03677
V43	0.26289	0.47579	0	0.02645	0.23249	0.00237
V44	0.03131	0.96869	0	0	0	0
V45	0.54774	0.3636	0.00391	0	0	0.08475
V46	0	0.00993	0	0.36207	0.3413	0.28669
V47	0.02653	0.49295	0	0.20886	0.23871	0.03294
V48	0	0.71427	0.24712	0	0.03861	0
V49	0.01683	0.93693	0	0.00396	0.04228	0
V50	0	0.02015	0.28243	0.02061	0.64337	0.03344
V51	0	0.01349	0	0.03228	0.95423	0
V52	0	0.63734	0.33714	0.02552	0	0
V53	0.16248	0.04033	0.03216	0.04482	0.72021	0
V54	0.05173	0.14607	0.69158	0.04021	0.03059	0.03981
V55	0	0.05422	0.06763	0.05415	0.824	0
V56	0	0.05341	0.83909	0.1075	0	0
V57	0.1105	0.41716	0.00844	0	0.09152	0.37238
V58	0.00901	0.03824	0.95274	0	0	0
V59	0	0.03886	0	0.96114	0	0
V60	0.51646	0.06995	0	0.41359	0	0
V61	0.3088	0.15121	0	0.18986	0	0.35013
V62	0.66793	0.07299	0.03648	0.11991	0.06325	0.03945
V63	0	0.59043	0	0.06266	0	0.34691
V64	0	0.10996	0	0.01101	0.87903	0
V65	0.66528	0.16161	0	0	0	0.17311
V66	0.56106	0.08549	0.08068	0.00084	0.27193	0
V67	0	0.16116	0.36136	0.26913	0	0.20835
V68	0.91091	0.08909	0	0	0	0
V69	0.61177	0.05297	0	0	0	0.33525
V70	0	0.04196	0.22521	0.70201	0.03082	0
V71	0	0.29375	0	0.14825	0.39287	0.16513
V72	0.76212	0.16452	0.04182	0	0.03154	0
V73	0	0.04404	0.06769	0.88827	0	0
V74	0	0.13988	0	0.86012	0	0
V75	0	0.96762	0	0.03238	0	0
V76	0	0.0325	0.79912	0.02121	0.14717	0
V77	0.06781	0.17278	0.075	0.65369	0	0.03073
V78	0.64425	0.15655	0.01264	0.11713	0	0.06944
V79	0	0.58129	0	0	0	0.41871
V80	0	0.63174	0	0	0	0.36826
V81	0.81313	0.15697	0.0299	0	0	0
V82	0	0.87982	0	0.06528	0.0549	0
V83	0.12967	0.18507	0	0.51698	0.12152	0.04676
V84	0.38493	0.06784	0.05196	0.49527	0	0
V85	0.8791	0.08615	0.03475	0	0	0
V86	0.23086	0.05992	0.10776	0.34151	0	0.25996
V87	0	0.02497	0	0.97503	0	0
V88	0	0.04506	0	0.65002	0	0.30492
V89	0	0.1601	0.5126	0	0	0.3273
V90	0.05343	0.7616	0.157	0.00707	0.0209	0
V91	0.01997	0.03897	0	0.15021	0.79084	0
V92	0	0.07881	0	0.0255	0.89569	0
V93	0.1414	0.08014	0	0.11424	0.24879	0.41543
