Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.08551	0.03361	0.88087	0	0	0
V2	0.70392	0.14238	0	0.094	0.05971	0
V3	0	0.04136	0.18589	0	0	0.77275
V4	0.21352	0.57705	0	0.10345	0.04337	0.0626
V5	0	0.04101	0	0.70935	0.24965	0
V6	0.12812	0.0195	0.16079	0.03399	0.10958	0.54803
V7	0	0.44095	0	0.02001	0.53904	0
V8	0.85735	0.06701	0	0.07564	0	0
V9	0.24308	0.18814	0	0.30931	0	0.25946
V10	0.55359	0.06345	0.00215	0.38081	0	0
V11	0	1	0	0	0	0
V12	0	0	0	0	0	1
V13	0	0.62716	0.37284	0	0	0
V14	0	0.04338	0	0.95662	0	0
V15	0.60562	0.10118	0	0.12336	0.16984	0
V16	0	0.02279	0	0.51264	0.36369	0.10088
V17	0	0	0.09898	0	0	0.90102
V18	0.85161	0.14839	0	0	0	0
V19	0.74369	0.0771	0.13925	0	0.03996	0
V20	0.79818	0.08686	0.0263	0.08866	0	0
V21	0	0	0	0	0	1
V22	0.20111	0.08087	0	0.08919	0.62883	0
V23	0.03864	0.04291	0.35058	0.02184	0.54603	0
V24	0.15537	0.03967	0	0.15019	0.65477	0
V25	0.54934	0.31461	0	0.13606	0	0
V26	0.31799	0.0475	0	0.00459	0.62993	0
V27	0	0	0.13424	0	0	0.86576
V28	0	0.30688	0.175	0.30154	0	0.21659
V29	0	0.77135	0.08491	0.03757	0	0.10617
V30	0.22327	0.24653	0.08536	0	0.21758	0.22726
V31	0.82457	0.04598	0.12946	0	0	0
V32	0	0.02	0.37937	0.60062	0	0
V33	0.26356	0.48253	0.25391	0	0	0
V34	0	0.01472	0.56045	0.02974	0.39509	0
V35	0	0.05997	0.19392	0.65775	0.08835	0
V36	0.01829	0.63949	0.12654	0.00629	0.20938	0
V37	0	0.01888	0.871	0	0	0.11012
V38	0	0	0.079	0	0	0.921
V39	0.67411	0.06113	0	0.26476	0	0
V40	0	0.63503	0	0.22232	0.07586	0.0668
V41	0.84807	0.0322	0	0	0	0.11973
V42	0.32441	0.03535	0.60741	0	0	0.03283
V43	0.2072	0.50505	0	0.02676	0.24108	0.0199
V44	0	1	0	0	0	0
V45	0.52487	0.373	0	0	0	0.10213
V46	0	0.00186	0	0.36327	0.3577	0.27716
V47	0	0.51402	0	0.21038	0.25215	0.02344
V48	0	0.7486	0.23525	0	0.01615	0
V49	0	0.97668	0	0	0.02332	0
V50	0	0.02139	0.28266	0.02587	0.65293	0.01714
V51	0	0.0139	0	0.03973	0.94637	0
V52	0	0.6636	0.32688	0.00952	0	0
