Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.08867	0.03193	0.87941	0	0	0
V2	0.71001	0.13546	0	0.09167	0.06286	0
V3	0	0.03362	0.1935	0	0	0.77288
V4	0.22187	0.5662	0	0.09846	0.05075	0.06272
V5	0	0.03992	0	0.69851	0.26157	0
V6	0.12474	0.01429	0.16591	0.02896	0.11644	0.54967
V7	0	0.43312	0	0.01344	0.55345	0
V8	0.86219	0.06073	0	0.07708	0	0
V9	0.24694	0.17983	0	0.3088	0	0.26443
V10	0.55736	0.0582	0.00824	0.3762	0	0
V11	0	1	0	0	0	0
V12	0	0	0	0	0	1
V13	0	0.61423	0.38577	0	0	0
V14	0.00079	0.04229	0	0.95692	0	0
V15	0.6089	0.0956	0	0.12003	0.17547	0
V16	0	0.02067	0	0.50094	0.37572	0.10267
V17	0	0	0.10459	0	0	0.89541
V18	0.85871	0.14129	0	0	0	0
V19	0.74173	0.07153	0.14497	0	0.04176	0
V20	0.79935	0.08045	0.03231	0.08789	0	0
V21	0	0	0	0	0	1
V22	0.20463	0.07713	0	0.08194	0.6363	0
V23	0.04557	0.04159	0.35058	0.01341	0.54885	0
V24	0.15856	0.03713	0	0.1424	0.66191	0
V25	0.55899	0.30579	0	0.13522	0	0
V26	0.32097	0.04443	0	0	0.6346	0
V27	0	0	0.13996	0	0	0.86004
V28	0	0.2978	0.18641	0.295	0	0.22079
V29	0	0.75745	0.09423	0.03628	0	0.11204
V30	0.22371	0.23633	0.08964	0	0.22363	0.22668
V31	0.82287	0.04069	0.13644	0	0	0
V32	0	0.01905	0.39275	0.58821	0	0
V33	0.26864	0.46819	0.26317	0	0	0
V34	0	0.01763	0.56172	0.02113	0.39952	0
V35	0	0.05772	0.20376	0.6412	0.09733	0
V36	0.02724	0.62339	0.13164	0	0.21773	0
V37	0	0.01971	0.87445	0	0	0.10583
V38	0	0	0.0846	0	0	0.9154
V39	0.68018	0.05512	0	0.2647	0	0
V40	0	0.62595	0	0.21491	0.08676	0.07238
V41	0.85269	0.02645	0	0	0	0.12086
V42	0.32426	0.03303	0.61579	0	0	0.02692
V43	0.2159	0.4936	0	0.02119	0.25176	0.01755
V44	0	1	0	0	0	0
V45	0.53225	0.36375	0	0	0	0.104
V46	0	0	0	0.35256	0.36854	0.2789
V47	0	0.50511	0	0.20243	0.26563	0.02684
V48	0	0.73386	0.24469	0	0.02144	0
V49	0	0.96753	0	0	0.03247	0
V50	0	0.02343	0.28433	0.01798	0.65812	0.01613
V51	0	0.01637	0	0.03645	0.94718	0
V52	0	0.65256	0.34124	0.00619	0	0
V53	0.15864	0.03374	0.0387	0.04517	0.72375	0
V54	0.03658	0.15007	0.72308	0.03546	0.01997	0.03484
V55	0	0.05182	0.07392	0.04915	0.82511	0
V56	0	0.04458	0.85402	0.10141	0	0
V57	0.0378	0.4348	0.00031	0	0.09683	0.43026
V58	0.00514	0.0308	0.96406	0	0	0
V59	0	0.02535	0	0.97289	0.00176	0
V60	0.54439	0.03593	0	0.41968	0	0
V61	0.28782	0.14002	0	0.19525	0	0.37691
V62	0.68923	0.0553	0.03334	0.12986	0.05504	0.03723
V63	0	0.59515	0	0.04647	0	0.35838
V64	0	0.1043	0	0.00935	0.88635	0
V65	0.66378	0.14662	0	0	0	0.1896
V66	0.58496	0.06272	0.07506	0.00856	0.2687	0
V67	0	0.14951	0.37724	0.26987	0	0.20338
V68	0.95147	0.04723	0	0.00129	0	0
V69	0.61028	0.02932	0	0	0	0.3604
V70	0	0.02655	0.24905	0.69054	0.03385	0
V71	0	0.28701	0	0.13618	0.42607	0.15075
V72	0.78983	0.15031	0.03486	0.00468	0.02031	0
V73	0	0.02564	0.10049	0.87293	0.00094	0
V74	0	0.12617	0	0.87383	0	0
V75	0	0.98804	0	0.01196	0	0
V76	0	0.02834	0.80845	0.02306	0.14016	0
V77	0.05179	0.16261	0.09936	0.66495	0	0.02128
V78	0.65629	0.14166	0.00509	0.12305	0	0.0739
V79	0	0.57014	0	0	0	0.42986
V80	0	0.62647	0	0	0	0.37353
V81	0.85788	0.12526	0.01686	0	0	0
V82	0	0.90241	0	0.0484	0.0492	0
V83	0.11319	0.17886	0	0.52433	0.14105	0.04257
V84	0.4011	0.04262	0.0622	0.49408	0	0
V85	0.93404	0.04562	0.02034	0	0	0
V86	0.22786	0.04228	0.11368	0.34872	0	0.26746
V87	0	0.01174	0	0.98826	0	0
V88	0	0.02555	0	0.66096	0.00304	0.31044
V89	0	0.1454	0.52215	0	0	0.33245
V90	0.00668	0.81463	0.16437	0	0.01432	0
V91	0.01029	0.03963	0	0.14615	0.80394	0
V92	0	0.07456	0	0.02301	0.90242	0
V93	0.10555	0.07302	0	0.11192	0.26916	0.44034
V94	0	0.00376	0.27812	0.71812	0	0
V95	0	0.0216	0.31716	0.13863	0.52261	0
V96	0	0.42078	0	0.04859	0.35359	0.17704
V97	0	0.02232	0	0.09478	0.8829	0
V98	0	0.07751	0	0.85587	0.06662	0
V99	0	0.0093	0	0.9907	0	0
V100	0	0.02227	0.55544	0.30886	0.11343	0
V101	0	0.36462	0.56592	0.06946	0	0
V102	0.90615	0.05299	0.04086	0	0	0
V103	0.76294	0.0631	0	0.1717	0.00227	0
V104	0	0.01166	0.24392	0.74441	0	0
V105	0	0	0.012	0	0	0.988
V106	0	0	0.68776	0	0	0.31224
V107	0.00665	0.71628	0.27707	0	0	0
V108	0	0	0	0	0.19366	0.80634
V109	0	0	0	0	0.13857	0.86143
V110	0.00565	0.17019	0.82415	0	0	0
V111	0	0.03111	0.96889	0	0	0
V112	0	0.30887	0	0.69113	0	0
V113	0	0.10738	0.76057	0.0272	0.10484	0
V114	0.13068	0.02759	0.72487	0.11686	0	0
V115	0.49014	0.08416	0	0.01131	0.10142	0.31296
V116	0.93186	0.04718	0	0.02095	0	0
V117	0.59897	0.05078	0	0.09487	0.25538	0
V118	0	0.81339	0.12814	0.03425	0.02422	0
V119	0	0.97812	0	0.02188	0	0
V120	0.0483	0.23238	0.10425	0.5495	0.06556	0
V121	0.26054	0.01232	0	0.29071	0	0.43643
V122	0.29294	0.0495	0	0.65756	0	0
V123	0.29806	0.01372	0	0.03897	0.10564	0.54361
V124	0	0.02396	0.2946	0.02242	0.65903	0
V125	0	0.1641	0.80147	0.01996	0	0.01447
V126	0	0.22447	0	0	0	0.77553
V127	0.02082	0.02681	0.88073	0.07164	0	0
V128	0.40121	0.28895	0.09009	0.19598	0.02377	0
V129	0	0.03044	0.92319	0.04637	0	0
V130	0.58429	0.14803	0	0.26768	0	0
V131	0	0.01874	0	0.03453	0.83738	0.10935
V132	0	0.49483	0.50517	0	0	0
V133	0.00899	0.21655	0.69432	0.08014	0	0
V134	0.18563	0.76127	0	0	0.05311	0
V135	0.04828	0.02872	0.85057	0	0	0.07242
V136	0.05011	0.86397	0.08105	0.00486	0	0
V137	0	0.18056	0.66186	0.00382	0.15376	0
V138	0	0	0	0.51149	0.03783	0.45068
V139	0	0.04377	0.13466	0	0.49701	0.32456
V140	0.69664	0.25062	0	0.05274	0	0
V141	0.26614	0.29681	0.11812	0.31892	0	0
V142	0.07011	0.84507	0	0.03719	0	0.04762
V143	0.04943	0.08806	0.73873	0.07611	0.04768	0
V144	0	0.14339	0	0.09515	0	0.76146
V145	0	0	0	1	0	0
V146	0.14488	0.03833	0.01959	0.02012	0.77247	0.00461
V147	0.53493	0.09082	0.07782	0.00079	0	0.29565
V148	0	0.16356	0.83644	0	0	0
V149	0	0.49678	0	0	0	0.50322
V150	0	0.00275	0	0.99432	0.00292	0
V151	0	0.38944	0	0	0	0.61056
V152	0.02945	0.27096	0.55684	0.0266	0.1	0.01615
V153	0	0.03958	0.70517	0.25525	0	0
V154	0.40647	0.21079	0	0	0	0.38273
V155	0.00708	0.42048	0.0633	0	0.49597	0.01317
V156	0	0.50029	0	0	0.49971	0
V157	0	0.07603	0	0.32193	0	0.60203
V158	0	0.06646	0.93354	0	0	0
V159	0.12999	0.26699	0.40429	0.19873	0	0
V160	0.0083	0.01692	0.95412	0	0	0.02067
V161	0	0.51644	0	0.43336	0.05019	0
V162	0	0.61369	0	0.16358	0.22272	0
V163	0.00637	0.02094	0.97268	0	0	0
V164	0	0.37094	0.47104	0.12777	0.03025	0
V165	0	0.04278	0	0.03501	0.85509	0.06711
V166	0	0	0	0.17991	0.49871	0.32138
V167	0	0.00666	0.45908	0.53426	0	0
V168	0.72856	0.0494	0	0.22203	0	0
V169	0	0.02685	0.7797	0.19345	0	0
V170	0.49724	0.06834	0.06693	0.33736	0.03013	0
V171	0	0.50537	0	0	0	0.49463
V172	0.03528	0.08969	0.64512	0.16642	0	0.06349
V173	0	0.02406	0.88888	0	0	0.08705
V174	0.69772	0.13522	0	0	0.16705	0
V175	0.01461	0.8099	0.16083	0.00983	0.00483	0
V176	0	0.01211	0.98789	0	0	0
V177	0.06984	0.10367	0.39071	0.01014	0.15586	0.26979
V178	0	0.06329	0	0.01533	0.92138	0
V179	0	0	0.01719	0.77112	0.08225	0.12944
V180	0.28833	0.02878	0.18456	0.44031	0	0.05802
V181	0.65722	0.14627	0.02292	0.06814	0.02793	0.07751
V182	0	0.09881	0.87802	0.02317	0	0
V183	0	0.00264	0	0.99736	0	0
V184	0.44823	0.44535	0	0.01742	0.08899	0
V185	0.00994	0.64769	0	0	0.11497	0.22741
V186	0	0.00312	0.66739	0.32949	0	0
V187	0.30891	0.5614	0	0.00603	0.12365	0
V188	0	0.67182	0	0	0	0.32818
V189	0	0.08267	0.16815	0.03188	0.62678	0.09052
V190	0	0.18568	0	0.01422	0.67076	0.12934
V191	0	0.62556	0	0	0	0.37444
V192	0.64945	0.25937	0.05906	0.01714	0.01498	0
V193	0	0.04772	0	0	0	0.95228
V194	0	0.03567	0	0.15134	0.81299	0
V195	0	0.02065	0.80809	0.09934	0.07193	0
V196	0	0	0.00597	0.97685	0.01718	0
V197	0.21712	0.03297	0	0.01736	0.73254	0
V198	0.07711	0.46309	0.00328	0.20538	0.25115	0
V199	0	0.24254	0.07351	0.13407	0.54988	0
V200	0.03098	0.02804	0.66402	0.22822	0	0.04874
V201	0	6e-05	0	0.99994	0	0
V202	0	0.07873	0.53053	0.02329	0.11041	0.25704
V203	0.60138	0.0623	0	0.33632	0	0
V204	0	0.02914	0	0.16412	0	0.80674
V205	0	0.03523	0.96477	0	0	0
V206	0	0.04213	0.10712	0.85075	0	0
V207	0.47733	0.21359	0	0.29068	0	0.0184
