Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.07616	0.04901	0.87483	0	0	0
V2	0.70999	0.13919	0	0.09638	0.05444	0
V3	0.09411	0.04312	0.21444	0	0	0.64834
V4	0.27399	0.5386	0	0.12042	0.03901	0.02798
V5	0	0.05688	0	0.73079	0.21233	0
V6	0.19205	0.01611	0.18044	0.05991	0.09212	0.45938
V7	0	0.44524	0	0.03864	0.51613	0
V8	0.86882	0.06004	0	0.07114	0	0
V9	0.30892	0.18626	0	0.29791	0	0.20691
V10	0.56136	0.06416	0.01589	0.35859	0	0
V11	0	0.96893	0.0058	0.02527	0	0
V12	0.00879	0.00843	0.02474	0	0	0.95804
V13	0.00222	0.61027	0.38751	0	0	0
V14	0	0.07397	0	0.92603	0	0
V15	0.622	0.0952	0	0.12755	0.15525	0
V16	0.01442	0.03753	0	0.52366	0.32795	0.09644
V17	0.02233	0.01547	0.14133	0	0	0.82087
V18	0.85315	0.14685	0	0	0	0
V19	0.72835	0.07236	0.16722	0	0.03207	0
V20	0.79563	0.07475	0.04908	0.08054	0	0
V21	0.03498	0.02188	0	0.01588	0	0.92726
V22	0.21532	0.08524	0	0.09202	0.60741	0
V23	0.03857	0.05469	0.3553	0.02426	0.52719	0
V24	0.17175	0.04425	0	0.15336	0.63064	0
V25	0.55687	0.31033	0	0.1328	0	0
V26	0.32079	0.05497	0	0.00546	0.61878	0
V27	0	0	0.18707	0	0	0.81293
V28	0.04511	0.30558	0.18901	0.28035	0	0.17994
V29	0	0.72834	0.10955	0.0631	0	0.09901
V30	0.27707	0.23436	0.09959	0.00468	0.20923	0.17508
V31	0.81615	0.03264	0.15121	0	0	0
V32	0	0.04055	0.39693	0.56252	0	0
V33	0.28331	0.45308	0.26361	0	0	0
V34	0	0.02119	0.57723	0.03574	0.36584	0
V35	0	0.0783	0.21136	0.65915	0.05119	0
V36	0.05154	0.59794	0.13099	0.02513	0.19441	0
V37	0.01246	0.03255	0.86371	0	0	0.09128
V38	0	0	0.1292	0	0	0.8708
V39	0.69062	0.06239	0	0.24699	0	0
V40	0	0.62284	0	0.23479	0.07386	0.0685
V41	0.91268	0.00978	0	0	0	0.07754
V42	0.33497	0.03267	0.6146	0	0	0.01776
V43	0.25422	0.47718	0	0.04665	0.22195	0
V44	0.01286	0.98714	0	0	0	0
V45	0.58036	0.34873	0.01287	1e-05	0	0.05803
V46	0	0.01981	0	0.3798	0.33205	0.26833
V47	0.02138	0.50884	0	0.218	0.23132	0.02046
V48	0	0.70856	0.25152	0.01301	0.0269	0
V49	0	0.93327	0	0.03363	0.0331	0
V50	0.00261	0.02827	0.2789	0.03609	0.6352	0.01893
V51	0	0.01425	0	0.0482	0.93755	0
V52	0	0.63349	0.33856	0.02794	0	0
V53	0.16135	0.04163	0.02263	0.05488	0.71951	0
V54	0.05166	0.15779	0.71801	0.0462	0	0.02634
V55	0	0.05475	0.05264	0.067	0.82561	0
V56	0	0.05418	0.85882	0.087	0	0
V57	0.1236	0.42116	0.01828	0.01338	0.09535	0.32823
V58	0	0.04546	0.95454	0	0	0
V59	0	0.04964	0	0.95036	0	0
V60	0.55322	0.05073	0	0.39605	0	0
V61	0.35515	0.13983	0	0.20297	0	0.30205
V62	0.72569	0.04087	0.04775	0.14003	0.03552	0.01014
V63	0	0.60004	0	0.08524	0	0.31472
V64	0	0.10774	0	0.02486	0.8674	0
V65	0.71777	0.13439	0	0.01361	0	0.13423
V66	0.58118	0.0633	0.08652	0.017	0.252	0
V67	0	0.17454	0.38038	0.25505	0	0.19003
V68	0.94891	0.05109	0	0	0	0
V69	0.68838	0.02144	0	0	0	0.29018
V70	0	0.04883	0.25493	0.69624	0	0
V71	0	0.30541	0	0.16036	0.39023	0.144
V72	0.78751	0.13374	0.05067	0.01976	0.00832	0
V73	0	0.05335	0.08691	0.85974	0	0
V74	0	0.15007	0	0.84993	0	0
V75	0	0.9484	0	0.0516	0	0
V76	0	0.03776	0.83039	0.03616	0.09569	0
V77	0.09456	0.17769	0.09322	0.62804	0	0.00649
V78	0.69296	0.12936	0.01867	0.12108	0	0.03792
V79	0	0.60407	0	0	0	0.39593
V80	0	0.65358	0	0	0	0.34642
V81	0.84279	0.12257	0.03464	0	0	0
V82	0	0.86759	0	0.08741	0.045	0
V83	0.16111	0.18971	0	0.52675	0.10217	0.02027
V84	0.41077	0.05121	0.0649	0.47312	0	0
V85	0.91732	0.04541	0.03727	0	0	0
V86	0.27414	0.04825	0.12143	0.33178	0	0.22442
V87	0	0.03206	0	0.96794	0	0
V88	0.01343	0.05287	0	0.64809	0	0.2856
V89	0.00089	0.17132	0.52468	0	0	0.3031
V90	0.0345	0.76256	0.16474	0.02906	0.00914	0
V91	0.01011	0.04909	0	0.15718	0.78362	0
V92	0	0.079	0	0.039	0.88201	0
V93	0.17714	0.07587	0	0.13845	0.23793	0.37062
V94	0	0.01976	0.27758	0.70266	0	0
V95	0	0.02421	0.31998	0.15272	0.50308	0
V96	0.00802	0.4326	0	0.07917	0.31925	0.16096
V97	0	0.02224	0	0.10726	0.8705	0
V98	0	0.10517	0	0.88359	0.01124	0
V99	0	0.02627	0	0.97373	0	0
V100	0	0.03742	0.57468	0.321	0.0669	0
V101	0	0.37143	0.55882	0.06975	0	0
V102	0.88879	0.05299	0.05822	0	0	0
V103	0.77095	0.06051	0	0.16854	0	0
V104	0	0.03387	0.24	0.72613	0	0
V105	0	0	0.05604	0	0	0.94396
V106	0	0.00296	0.70273	0	0	0.29431
V107	0.0319	0.69142	0.27668	0	0	0
V108	0	0.02576	0	0.03946	0.19452	0.74026
V109	0	0	0	0.02837	0.15198	0.81965
V110	0.01452	0.18055	0.80493	0	0	0
V111	0	0.04069	0.95931	0	0	0
V112	0	0.34054	0	0.65946	0	0
V113	0	0.11989	0.76955	0.04279	0.06777	0
V114	0.1202	0.0508	0.73484	0.09415	0	0
V115	0.55153	0.07485	0	0.03874	0.08721	0.24766
V116	0.93314	0.05165	0	0.01521	0	0
V117	0.60721	0.05569	0	0.1004	0.23669	0
V118	0	0.77697	0.13537	0.06783	0.01983	0
V119	0	0.94058	0	0.05942	0	0
V120	0.07497	0.24714	0.10636	0.54286	0.02867	0
V121	0.33029	0.01894	0	0.28185	0	0.36891
V122	0.29607	0.07195	0	0.63198	0	0
V123	0.37369	0.01297	0	0.07086	0.08567	0.45681
V124	0	0.02725	0.29121	0.03569	0.64585	0
V125	0	0.1811	0.78999	0.01127	0	0.01764
V126	0	0.27247	0.02443	0	0	0.70311
V127	0.00311	0.05349	0.89295	0.05044	0	0
V128	0.39972	0.29268	0.10279	0.19751	0.0073	0
V129	0	0.04489	0.92501	0.0301	0	0
V130	0.58887	0.15734	0	0.25379	0	0
V131	0.02089	0.0213	0	0.05262	0.80979	0.0954
V132	0	0.496	0.504	0	0	0
V133	0.00767	0.23337	0.68675	0.07221	0	0
V134	0.2075	0.7161	0	0.02799	0.04841	0
V135	0.055	0.03872	0.8451	0	0	0.06118
V136	0.07135	0.81008	0.08513	0.03344	0	0
V137	0	0.19398	0.6669	0.01902	0.1201	0
V138	0.03504	0.01316	0	0.53759	0.00246	0.41175
V139	0	0.06043	0.13713	0.02912	0.46882	0.3045
V140	0.69133	0.24861	0.00582	0.05424	0	0
V141	0.27453	0.30475	0.12256	0.29817	0	0
V142	0.12827	0.79559	0	0.06016	0	0.01598
V143	0.04727	0.10392	0.75092	0.08744	0.01044	0
V144	0.00267	0.18621	0	0.12564	0	0.68547
V145	0	0.01549	0	0.98451	0	0
V146	0.17091	0.03345	0	0.03744	0.75821	0
V147	0.58382	0.08233	0.09526	0.01044	0	0.22815
V148	0	0.17409	0.82591	0	0	0
V149	0	0.53848	0	0	0	0.46152
V150	0	0.01755	0	0.98245	0	0
V151	0	0.43879	0	0	0	0.56121
V152	0.05506	0.27365	0.54948	0.0463	0.06945	0.00607
V153	0	0.05244	0.71255	0.23501	0	0
V154	0.48928	0.20787	0	0	0	0.30285
V155	0.05029	0.41576	0.05533	0.01815	0.46047	0
V156	0	0.50712	0	0.01633	0.47655	0
V157	0	0.11263	0.0053	0.33685	0	0.54522
V158	0	0.07709	0.92291	0	0	0
V159	0.14265	0.27313	0.39915	0.18508	0	0
V160	0.00463	0.03071	0.94624	0	0	0.01841
V161	0	0.53112	0	0.44194	0.02694	0
V162	0	0.6155	0	0.18576	0.19874	0
V163	0	0.03295	0.96705	0	0	0
V164	0	0.37718	0.47171	0.14302	0.00809	0
V165	0.02386	0.04375	0	0.05239	0.82652	0.05348
V166	0	0.01675	0	0.20936	0.46472	0.30917
V167	0	0.02032	0.46714	0.51254	0	0
V168	0.73952	0.05488	0	0.2056	0	0
V169	0	0.04535	0.78551	0.16913	0	0
V170	0.50023	0.07596	0.08187	0.33586	0.00608	0
V171	0.07305	0.51335	0	0	0	0.41361
V172	0.05612	0.10218	0.63931	0.14661	0	0.05577
V173	0	0.03908	0.8826	0	0	0.07832
V174	0.69854	0.13817	0	0.0021	0.16118	0
V175	0.03448	0.76446	0.16232	0.03874	0	0
V176	0	0.01717	0.98283	0	0	0
V177	0.11115	0.10737	0.39443	0.03596	0.12479	0.22629
V178	0	0.06988	0	0.02973	0.9004	0
V179	0	0.02109	0.0174	0.8065	0.0314	0.12362
V180	0.31858	0.03616	0.18727	0.41306	0	0.04493
V181	0.6925	0.13175	0.03972	0.08299	0.01348	0.03957
V182	0	0.11517	0.87439	0.01043	0	0
V183	0	0.02311	0	0.97689	0	0
V184	0.44852	0.43691	0	0.03564	0.07894	0
V185	0.0886	0.6118	0	0.02897	0.10976	0.16086
V186	0	0.01563	0.67899	0.30538	0	0
V187	0.31393	0.54698	0	0.02854	0.11056	0
V188	0.05146	0.66906	0	0	0	0.27949
V189	0	0.0934	0.16185	0.05597	0.5974	0.09138
V190	0	0.20287	0	0.04193	0.63157	0.12364
V191	0	0.65467	0	0	0	0.34533
V192	0.63681	0.25218	0.07526	0.02868	0.00708	0
V193	0	0.10466	0	0	0	0.89534
V194	0	0.04166	0	0.16547	0.79287	0
V195	0	0.02996	0.83321	0.11065	0.02617	0
V196	0	0.01403	0	0.98597	0	0
V197	0.21979	0.03976	0	0.0248	0.71565	0
V198	0.10165	0.4618	0.00396	0.21206	0.22054	0
V199	0	0.25876	0.06502	0.15185	0.52437	0
V200	0.04289	0.04427	0.66399	0.20399	0	0.04487
V201	0	0.02236	0	0.97764	0	0
V202	0.03698	0.08743	0.53193	0.04722	0.07773	0.21871
V203	0.60927	0.07599	0	0.31473	0	0
V204	0.05514	0.05225	0.01253	0.18285	0	0.69722
V205	0	0.0445	0.9555	0	0	0
V206	0	0.0613	0.09652	0.84219	0	0
V207	0.50675	0.21037	0.00649	0.27639	0	0
V208	0.41781	0.12499	0.42958	0.02762	0	0
V209	0.31328	0.5313	0	0.00809	0	0.14733
V210	0.07616	0.0569	0.86694	0	0	0
V211	0.68969	0.04912	0.08233	0.0106	0.11934	0.04892
V212	0	0.29244	0.23857	0.46899	0	0
V213	0.00739	0.11112	0.27587	0.04849	0.55713	0
V214	0.89054	0.06621	0	0.04324	0	0
V215	0	0.722	0	0.01074	0	0.26726
V216	0.10312	0.54046	0.35642	0	0	0
V217	0.20726	0.00632	0	0.13264	0.26972	0.38406
V218	0	0.36586	0	0.63414	0	0
V219	0.98251	0.01749	0	0	0	0
V220	0.053	0.06181	0	0.88519	0	0
V221	0.06106	0.82863	0.01621	0.0941	0	0
V222	0.0601	0.32939	0	0.21708	0.39343	0
V223	0	0.33159	0.32141	0	0	0.347
V224	0	0.02776	0.438	0.01649	0.51775	0
V225	0.10548	0	0	0	0	0.89452
V226	0.31149	0.08825	0.22455	0.3343	0.0414	0
V227	0.76754	0.02467	0	0.2078	0	0
V228	0.13618	0.26892	0.56618	0.02871	0	0
V229	0.17566	0.04946	0.42614	0.29401	0.05473	0
V230	0.00618	0.18229	0.81153	0	0	0
V231	0	0.06478	0	0.93522	0	0
V232	0.43539	0.02456	0	0.29024	0	0.24982
V233	0.90351	0.05435	0	0.04214	0	0
V234	0.51047	0.0444	0	0.0195	0.42563	0
V235	0.03475	0.05337	0	0.91188	0	0
V236	0.03549	0.01602	0.17833	0.04294	0.55666	0.17056
V237	0	0.03079	0.9026	0.06661	0	0
V238	0.7777	0.01306	0.01033	0.0883	0	0.11062
V239	0.62041	0.06684	0.09135	0.15253	0.06888	0
V240	0	0.24157	0	0.16498	0.59345	0
V241	0.61974	0.19372	0	0.18654	0	0
V242	0.30748	0.06422	0.01648	0.23992	0.00851	0.36339
V243	0	0.4123	0.56621	0.02149	0	0
V244	0.11839	0.03554	0	0.01493	0.59686	0.23427
V245	0.88845	0.00941	0	0	0	0.10214
V246	0	0.06648	0.24189	0.45917	0.23245	0
V247	0.25511	0.09047	0	0.1927	0	0.46171
V248	0.27789	0.06685	0	0.27612	0.37914	0
V249	0.27451	0.1892	0.44235	0.03956	0	0.05438
V250	0	0.03278	0	0.96722	0	0
V251	0	0.63304	0.16289	0.20407	0	0
V252	0	0.02798	0.00796	0.96406	0	0
V253	0	0.07274	0	0.53845	0.04736	0.34145
V254	0.02857	0.30839	0.04673	0.27415	0.33604	0.00613
V255	0.47747	0.33999	0.05888	0.08736	0	0.0363
V256	0	0.97436	0	0.02564	0	0
V257	0.03483	0.48445	0	0.05789	0.4032	0.01964
V258	0	0.26033	0.13445	0.60522	0	0
V259	0	0.59614	0.40386	0	0	0
V260	0.12523	0.063	0	0.04267	0.70802	0.06108
V261	0.64743	0.03808	0	0.05046	0.18954	0.07449
V262	0.04414	0.06176	0.8941	0	0	0
V263	0	0.08763	0.72963	0.18274	0	0
V264	0.75511	0.03749	0.09135	0.04408	0	0.07196
V265	0	0.03889	0	0.06491	0.8962	0
V266	0.10735	0.03085	0	0	0	0.86181
V267	0.15219	0.76805	0	0.07976	0	0
V268	0.96455	0.03545	0	0	0	0
V269	0	0.076	0.11243	0.81158	0	0
V270	0.32507	0.55381	0	0.03188	0.08923	0
V271	0	0.12977	0.29497	0	0	0.57526
V272	0.00034	0.03023	0	0.13454	0.81275	0.02213
V273	0.05837	0.02954	0	0.13823	0.77385	0
V274	0	0	0.18038	0.04018	0	0.77945
V275	0.7943	0.2057	0	0	0	0
V276	0.06529	0.30062	0.07456	0.10264	0	0.45689
V277	0.54754	0.02826	0	0.01657	0.08202	0.32561
V278	0.13547	0.16108	0.0667	0.31793	0.31882	0
V279	0.10462	0.05647	0.23009	0.0342	0	0.57463
V280	0.07054	0.05096	0	0.8785	0	0
V281	0	0.93855	0.02	0.04145	0	0
V282	0	0.06167	0	0.1059	0.83243	0
V283	0	0.47182	0	0.02748	0.5007	0
V284	0	0.13356	0.37982	0.39295	0	0.09366
V285	0	0.03227	0	0.96773	0	0
V286	0.71563	0.07314	0.04519	0.16604	0	0
V287	0.00446	0.04219	0	0.13949	0.81385	0
V288	0.03531	0.32404	0	0.02957	0.07104	0.54005
V289	0	0.10227	0.8265	0.07123	0	0
V290	0	0.01646	0.23258	0.75096	0	0
V291	0	0.05491	0	0.94509	0	0
V292	0.11646	0.13923	0	0.69819	0.04612	0
V293	0	0.06201	0	0.04289	0.8951	0
V294	0.66098	0.05145	0	0.02292	0.26318	0.00148
V295	0.11424	0	0	0	0	0.88576
V296	0	0.44131	0.08574	0.38125	0	0.0917
V297	0	0.04865	0	0	0	0.95135
V298	0	0.82392	0.17608	0	0	0
V299	0.11972	0.11281	0.76746	0	0	0
V300	0.8778	0.1222	0	0	0	0
V301	0.54107	0.4358	0.02313	0	0	0
V302	0	0.31368	0.04453	0.64179	0	0
V303	0	0.79381	0.06173	0.04693	0.09752	0
V304	0	0.03752	0	0.03218	0.9303	0
V305	0	0.02823	0.20667	0.56152	0.00177	0.20181
V306	0.39798	0.09566	0	0	0	0.50637
V307	0.21415	0.03581	0	0.04021	0.70983	0
V308	0	0.01778	0	0.98222	0	0
V309	0	0.57088	0	0.42912	0	0
V310	0.02345	0.42484	0.31438	0	0	0.23733
