Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.02713	0.10112	0.87175	0	0	0
V2	0.72214	0.21379	0	0.05687	0.0072	0
V3	0	0.09552	0.14354	0	0	0.76094
V4	0.28697	0.5848	0	0.09346	0.0089	0.02586
V5	0	0.0843	0	0.79994	0.11575	0
V6	0.10487	0.07871	0.14485	0.02537	0.07328	0.57293
V7	0	0.49638	0	0.0353	0.46832	0
V8	0.858	0.142	0	0	0	0
V9	0.21624	0.24778	0	0.25525	0	0.28073
V10	0.53345	0.13879	0	0.32776	0	0
V11	0.02284	0.97716	0	0	0	0
V12	0	0.03199	0	0	0	0.96801
V13	0.00366	0.65345	0.34289	0	0	0
V14	0	0.08494	0	0.91506	0	0
V15	0.62344	0.17293	0	0.09904	0.10459	0
V16	0	0.07633	0	0.56475	0.25289	0.10603
V17	0	0.04709	0.06112	0	0	0.8918
V18	0.78817	0.21183	0	0	0	0
V19	0.73822	0.13865	0.12313	0	0	0
V20	0.81934	0.15475	0.00787	0.01803	0	0
V21	0	0.05307	0	0	0	0.94693
V22	0.18986	0.15257	0	0.09712	0.56039	7e-05
V23	0.00736	0.10852	0.34772	0.03303	0.50336	0
V24	0.1139	0.11221	0	0.1696	0.58096	0.02333
V25	0.5556	0.36934	0	0.07506	0	0
V26	0.30462	0.12194	0	0	0.57345	0
V27	0	0.01584	0.10268	0	0	0.88149
V28	0	0.35014	0.14129	0.27466	0	0.23391
V29	0.01036	0.76648	0.0763	0.04303	0	0.10383
V30	0.2457	0.28569	0.06673	0	0.17042	0.23145
V31	0.81041	0.10845	0.08114	0	0	0
V32	0	0.07544	0.32024	0.60432	0	0
V33	0.29163	0.49953	0.20883	0	0	0
V34	0	0.05841	0.59153	0.03644	0.31362	0
V35	0	0.11503	0.14587	0.73909	0	0
V36	0.06947	0.64451	0.10637	0.01117	0.16848	0
V37	0	0.06263	0.82171	0	0	0.11565
V38	0	0.00845	0.0459	0	0	0.94564
V39	0.66885	0.13936	0	0.19179	0	0
V40	0	0.65417	0	0.23081	0.04341	0.07161
V41	0.77605	0.0961	0	0	0	0.12785
V42	0.25629	0.0972	0.56074	0	0	0.08577
V43	0.2644	0.5291	0	0.02268	0.18366	0.00016
V44	0.0267	0.9733	0	0	0	0
V45	0.53047	0.38886	0	0	0	0.08067
V46	0	0.05505	0	0.39025	0.26461	0.29009
V47	0.00393	0.55053	0	0.22175	0.18796	0.03583
V48	0	0.76561	0.23439	0	0	0
V49	0.02048	0.95604	0	0.00782	0.01566	0
V50	0	0.0631	0.23972	0.04103	0.61382	0.04233
V51	0	0.04768	0	0.05065	0.90168	0
V52	0	0.68797	0.31203	0	0	0
V53	0.13587	0.10055	0	0.06308	0.7005	0
V54	0	0.21218	0.7099	0	0	0.07793
V55	0	0.09514	0	0.0816	0.82326	0
V56	0	0.08962	0.87099	0.03939	0	0
V57	0.11152	0.44941	0	0	0.07122	0.36785
V58	0	0.06832	0.93168	0	0	0
V59	0	0.06186	0	0.93814	0	0
V60	0.50985	0.12633	0	0.36382	0	0
V61	0.26614	0.20313	0	0.14936	0	0.38137
V62	0.6895	0.12399	0.01388	0.10003	0.00318	0.06942
V63	0	0.61901	0	0.04723	0	0.33377
V64	0	0.1513	0	0.02541	0.82329	0
V65	0.62374	0.19728	0	0	0	0.17899
V66	0.60115	0.13431	0.0565	0	0.20804	0
V67	0	0.21162	0.32325	0.24429	0	0.22084
V68	0.87734	0.12266	0	0	0	0
V69	0.55078	0.09854	0	0	0	0.35069
V70	0	0.07605	0.16894	0.75502	0	0
V71	0	0.34117	0	0.15745	0.34	0.16138
V72	0.79517	0.20483	0	0	0	0
V73	0	0.07485	0	0.92515	0	0
V74	0	0.16976	0	0.83024	0	0
V75	0	0.98255	0	0.01745	0	0
V76	0	0.07126	0.89792	0.03063	0.00019	0
V77	0.00125	0.23783	0.02375	0.66577	0	0.07141
V78	0.64883	0.20479	0	0.05738	0	0.089
V79	0	0.6038	0	0	0	0.3962
V80	0	0.65232	0	0	0	0.34768
V81	0.81121	0.18879	0	0	0	0
V82	0	0.90461	0	0.07019	0.0252	0
V83	0.06857	0.25032	0	0.55095	0.04714	0.08302
V84	0.38638	0.12358	0.00398	0.48607	0	0
V85	0.88283	0.11717	0	0	0	0
V86	0.18386	0.11528	0.06508	0.31958	0	0.31621
V87	0	0.04912	0	0.95088	0	0
V88	0	0.08689	0	0.62014	0	0.29297
V89	0	0.20162	0.45252	0	0	0.34586
V90	0.06112	0.79708	0.1398	0.00199	0	0
V91	0	0.08586	0	0.17947	0.73467	0
V92	0	0.12028	0	0.04183	0.83788	0
V93	0.08018	0.13957	0	0.11487	0.19775	0.46763
V94	0	0.05008	0.17976	0.77016	0	0
V95	0	0.06091	0.28455	0.18087	0.47367	0
V96	0	0.4679	0	0.06725	0.28144	0.18342
V97	0	0.05447	0	0.11964	0.82588	0
V98	0	0.12284	0	0.87716	0	0
V99	0	0.04295	0	0.95705	0	0
V100	0	0.07383	0.56563	0.36054	0	0
V101	0	0.42942	0.53277	0.03782	0	0
V102	0.87607	0.12393	0	0	0	0
V103	0.75974	0.14143	0	0.09883	0	0
V104	0	0.06194	0.14527	0.7928	0	0
V105	0	0.0068	0	0	0	0.9932
V106	0	0.03105	0.63472	0	0	0.33423
V107	0.04101	0.72963	0.22936	0	0	0
V108	0	0.05569	0	0	0.15497	0.78933
